Kreyol|French|English|Spanish
Li te kapab pase an ba yon trilobit ki san defans, teke tribolit la antre nan bouch li, epi vale tribolit la tousuit.|Il pouvait passer sous un trilobite impuissant et l’avaler aussitôt.|It could go under a helpless trilobite and flip it into its mouth.|empty
Bouch Anomalokaris la te gen yon fòm tankou yon sèk epi l te chita an ba kò a.|Sa bouche avait la forme d’un cercle et se trouvait au bas de son corps.|Its mouth was shaped like a ring and it was located on the bottom of the body.|empty
Anomalokaris te mezire apeprè 1 mèt nan longè.|Il mesurait environ 90 centimètres.|It was about three feet long.|empty
Li te viv nan zòn Amerik di Nò, Chin, ak Ostrali.|Il vivait en Amérique du Nord, en Chine et en Australie.|It lived in North America, China and Australia.|empty
Yo te jwenn fosil bra Anomalokaris an 1892.|Les fossiles de ses bras ont été découverts en 1892.|Fossils of its arms were found in 1892.|empty
Yo te panse se te fosil yon kalama. #### Men, se jis an 1911 yo vin jwenn lòt pati kò li.|On pensait que c’était ceux d’un calamar et c’est en 1911 qu’on a découvert d’autres parties de son corps.|They were thought to belong to a squid and it wasn’t until 1911 that they found other parts of its body.|empty
Se jis nan lane 1980 yo vin reyalize ke tou de (2) dekouvèt sa yo te gen rapò youn ak lòt.|Il a fallu attendre les années 1980 pour réaliser que ces deux découvertes étaient liées.|They didn’t realize that the two discoveries were related until the 1980s.|empty
Pikaya|Pikaia|Pikaia|empty
Sa gen 530 milyon ane|Il y a 530 millions d’années|530 million years ago|empty
Se aryè aryè aryè aryè aryè aryè aryè aryè aryè aryè aryè gran grann nou wi !|Notre arrière- arrière- arrière- arrière- arrière- arrière- arrière- arrière- arrière- arrière- arrière- arrière-grand-mère !|Our great- great- great- great- great- great- great- great- great- great- great- great-grandmother!|empty
Se vre wi !|C’est pourtant vrai !|True though!|empty
Pikaya se premye vètebre !|Pikaia était le premier vertébré !|Pikaia were the first vertabrates!|empty
Wi, se premye bèt vivan ki te gen kolòn vètebral !!!|Oui, le premier être vivant avec une colonne vertébrale !!!|Yes, the first living things with SpInEs!!!!|empty
Ki vle di li te kapab naje tout bon.|Ce qui veut dire qu’il pouvait carrément nager.|Meaning that they could legit swim.|empty
Wi. #### San egzajere, TOUT LÒT BÈT evolye sot nan Pikaya.|Oui, littéralement TOUT a évolué à partir de pikaia .|Yeah. #### Literally EVERYTHING evolved from Pikaia!|empty
O mwen, tout sa k gen kolòn vètebral !|En tout cas, au moins TOUT ce qui avait une colonne vertébrale.|EVERYTHING with spines at least.|empty
Opabinya|Opabinia|Opabinia|empty
Epòk Kanbriyen an : Sa gen 500 milyon ane|Période Cambrienne, il y a 500 millions d’années|Cambrian Period-500 million years ago|empty
Otè : Daniel ak Sami|par Daniel et Sami .|By Daniel and Sami|empty
Opabinya se yon ti bèt ki te gen senk (5) je ki te sou ti pikèt nan tèt li.|L’opabinia était un petit animal avec 5 yeux qui étaient comme des petites tiges sur sa tête.|The Opabinia was a small animal with five eyes that were on little stalks on its head.|empty
An plis, li te gen yon nen long li te itilize pou l pran manje met nan bouch li.|Il avait aussi une trompe qu’il utilisait pour attraper de la nourriture et la porter à sa bouche.|It also had a proboscis that it used to grab food and bring the food to its mouth.|empty
Li te konn manje manje ki mou paske li pa t gen machwè.|Il ne mangeait que de la nourriture molle car il n’avait pas de mâchoire.|It ate soft food because it didn’t have a jaw.|empty
Se kanivò li te ye.|Il était carnivore.|It was a carnivore.|empty
Pou pi gwo, opabinya a te ka mezire sèt (7) cm kon sa.|Sa taille maximale était de sept centimètres.|At the biggest, it would be around seven centimeters.|empty
An jeneral, opabiniya te mezire ant kat (4) ak sèt (7) cm nan longè.|Il faisait généralement entre quatre et sept centimètres de long.|It was usually between four and seven centimeters long.|empty
Opabiniya te plis viv nan zòn ki rele Kanada kounye a.|L’opabinia vivait principalement là où se trouve actuellement le Canada.|The Opabinia lived mostly in what is now Canada.|empty
Yo te jwenn pifò fosil opabiniya nan Kolonbi Britanik nan Kanada.|La plupart de ses fossiles ont été retrouvés en Colombie-Britannique au Canada.|Most of its fossils were found in British Columbia in Canada.|empty
Li te difisil pou yo te jwenn fosil bèt sa a paske kò li te mou.|Ses fossiles ont été difficiles à trouver en raison de son corps mou.|Its fossils were hard to find because it had a soft body.|empty
Li te viv nan epòk Kanbriyen an.|Il a vécu au cours de la période cambrienne.|It lived in the Cambrian period.|empty
Yo te ba l non dapre pas dlo Opabin ki tou pre Lak O'Hara.|Il a été nommé d’après le Passage Opabin près du Lac O’Hara au Canada.|It was named after Opabin Pass near Lake O’Hara in Canada.|empty
Se Charles Doolittle Walcott ki te ba l non sa a an 1912.|Il a été nommé par Charles Doolittle Walcott en 1912.|It was named by Charles Doolittle Walcott in 1912.|empty
Terigotis|Pterygotus|Pterygotus|empty
Siliryen : Sa gen 435 milyon ane|Silurien il y a 435 millions d’années|Silurian 435 Million years ago|empty
Terigotis se youn nan pi gwo eskòpyon lanmè ki te janm egziste.|Le pterygotus était l’un des plus gros scorpions de mer ayant jamais existé.|The Pterygotus was one of the biggest sea scorpions ever to live.|empty
Li te mezire 2,2 mèt nan longè epi li te gen 60 cm nan lajè.|Il mesurait environ 2,25 mètres de long et 60 centimètres d’épaisseur.|It was 7 feet 4 inches long and about two feet thick.|empty
Li te apeprè gwosè yon ti reken.|Il faisait à peu près la taille d’un petit requin.|It was around the size of a small shark.|empty
Yo te jwenn fosil terigotis tou patou sou latè esepte nan Antatik la.|Ses premiers fossiles ont été découverts dans le monde entier, sauf en Antarctique.|The first fossils were found all over the world except in Antarctica.|empty
Li te viv nan dlo ki pa t twò fon pre kòt yo.|Ils vivaient dans les eaux peu profondes des zones côtières.|It lived in shallow coastal areas.|empty
Li te youn nan bèt lanmè ki te pi voras nan manje lòt bèt.|Ils étaient l’un des plus grands prédateurs de la mer.|It was one of the most predatory animals in the sea.|empty
Li te konn manje pwason ak trilobit.|Ils chassaient les poissons et les trilobites.|It hunted fish and trilobites.|empty
Metòd lachas li se avanse tou dousman, sèvi ak ke l pou l kouri sou bèt li vle manje a, epi sezi bèt la ak grif li ki plen pikan.|Son style de chasse était de ramper lentement, puis d’utiliser sa queue pour accélérer vers sa proie et la saisir entre ses pattes surmontées de piques.|Its style of hunting was to creep up slowly and then use its “tail” to speed toward its prey and grasp it between its spiky claws.|empty
Li te twò gwo pou l t al sou tè, ki donk li te rete nan lanmè.|Trop grand pour aller sur terre, il restait dans la mer.|It was much too large to go on land, so it stayed in the sea.|empty
Yo te jwenn fosil terigotis nan tout kalite anviwonnman tankou dlo dous letan ki te ka kèk kilomèt byen lwen lanmè.|Ses fossiles ont été trouvés dans toutes sortes d’habitats tels que les lacs d’eau douce situés à plusieurs kilomètres de la mer.|Its fossils were found in all kinds of habitats like freshwater lakes that would have been many kilometers from the sea.|empty
Bèt ki te konn manje terigotis se donkleyosteyis.|Il était la proie des dunkleosteus.|It was prey to Dunkleosteus.|empty
Sefalaspis|Le Céphalaspis|Cephalaspis|empty
Sa gen 400 milyon ane|Il y a 400 millions d’années|400 million years ago|empty
Sefalaspis gen 45 cm nan longè, ki fè l prèske menm gwosè ak yon gwo mozayik.|Le cephalaspis mesure 45 centimètres de long, presque aussi grand qu’un carrelage de sol.|The Cephalaspis was 1.5 ft. long, almost as big as a tile in the floor.|empty
Sefalaspis te viv nan epòk Paleyozoyik la.|Le cephalaspis vivait à l'ère paléozoïque.|The Cephalaspis lived in the Paleozoic Era.|empty
Sefalaspis se yon pwason ki te viv nan dlo dous.|C'est un poisson qui vivait en eau douce.|The Cephalaspis was a fish who lived in freshwater.|empty
Sefalaspis te gen koulè vèt elektrik ak jòn elektrik.|Le cephalaspis est un néon vert et jaune.|The Cephalaspis was neon green and yellow.|empty
Tiktalik Wozeya|Tiktalik Roseae|Tiktalik Roseae|empty
Sa gen 375 milyon ane|Il y a 375 millions d’années|375 million years ago|empty
Otè : Nuriel ak Waylon|par Nuriel et Waylon|By Nuriel and Waylon|empty
Tiktalik la se youn nan premye bèt ki te mache sou tè.|Le tiktaalik était l’un des premiers animaux à marcher sur la terre.|The Tiktaalik was one of the first animals to set foot on land.|empty
Li te mache sou najwa li tankou yon gobi.|Il marchait sur ses nageoires comme un gobie.|It walked on its fins like a mudskipper.|empty
Pandan plis pase 10 milyon ane, li evolye pou l tounen reptil ak lòt bèt k ap viv sou tè jounen jodi a.|Sur une période de plusieurs millions d’années, il s’est transformé en reptile et en d’autres animaux terrestres modernes.|Over tens of millions of years, it evolved into reptiles and other modern land animals.|empty
Sa ki pi piti yo te mezire 1 mèt.|Les plus petits mesuraient à peu près 1 mètre.|The smallest ones were 3 feet.|empty
Men, pafwa li konn grandi jis li mezire 3 mèt nan longè !|Mais parfois il atteignait presque 3 mètres de long !|But it sometimes grew up to be 9 feet long!|empty
Nou panse premye kote li te viv se nan yon zile ki rele Elzmi nan Nonnavòt, Kanada, paske se la syantifik te jwenn fosil pa l yo.|On pense qu’il a d’abord vécu sur l’Île d’Ellesmere à Nunavut au Canada, puisque c’est là où des scientifiques ont retrouvé des fossiles.|We think it first lived on Ellesmere Island in Nunavut, Canada, since that is where scientists found the fossils.|empty
19 O rezime, Tiktalik te sanble ak pwason, leza e kayiman tout ansanm !|Pour simplifier, le tiktaalik ressemblait à un poisson-lézard-alligator !|To say very little, the Tiktaalik looked like a fish-lizard-alligator!|empty
Zo nan najwa Tiktalik te tankou zo nan ponyèt oubyen nan pye bèt ki viv sou tè.|Les os de ses nageoires ressemblaient à ceux des poignets et des pieds des animaux terrestres.|The bones on the fins of Tiktaaliks were like the bones in the wrists and feet of land animals.|empty
Li te gen poumon AVÈK branchi.|Il avait aussi des poumons ET des branchies.|It also had lungs AND gills.|empty
Tiktalik te gen zo kòt ki te pi fèm pase pifò lòt pwason. #### Sa te pèmèt li ka rete sou tè san dlo.|Le tiktaalik avait une cage thoracique plus importante que la plupart des autres poissons, lui permettant de rester hors de l’eau.|Tiktaalik had a stronger ribcage than most other fish, enabling it to stay out of water.|empty
Iktiyostega|Ichtyostéga|Icthyostega|empty
Sa gen 370 milyon ane|Il y a 370 millions d‘années|370 million years ago|empty
Otè : Daniel H. ak Mohan|par Daniel H. et Mohan|By Daniel H. and Mohan|empty
Iktiyostega se yon bèt ki tankou yon leza. #### Li te viv 370 milyon ane de sa, nan epòk Siliryen an.|L'ichtyostéga ressemble à un lézard. #### Il a vécu il y a 370 millions d’années au cours de la période Silurienne.|The Icthyostega was a lizard-like animal that lived 370 million years ago in the Silurian Period.|empty
Òdinèman, iktiyostega te konn viv sou tè. #### Men, li te kapab al nan dlo tou.|Il vivait normalement sur terre, mais il pouvait aussi aller dans l’eau.|The Icthyostega normally lived on land, but it could go into the water.|empty
Li te mezire 1 mèt nan longè, prèske menm longè ak yon baton òki epi li te gen yon najwa sou tout longè ke li.|Il mesurait environ 1 mètre de long, environ la taille d’une crosse de hockey, et il avait une nageoire le long de sa queue.|It was about three feet long, around the size of a hockey stick, and had a fin along its tail.|empty
Li te gen dan tou.|Il avait aussi des dents.|It also had teeth.|empty
Iktiyostega se yon vètebre. #### Sa vle di li te gen yon zo rèl do.|C'est un vertébré, ce qui signifie qu’il avait une colonne vertébrale.|It was a vertebrate, which means it had a backbone.|empty
Li te yon bèt dlo anvan li te vin evolye pou l tounen youn nan premye bèt ki te viv sou tè.|Il était à l’origine un animal marin, et il a évolué pour devenir l’un des premiers animaux à vivre sur terre.|It evolved from water animals and was one of the first animals to live on land.|empty
Yo te jwenn fosil li nan zòn oryantal Gwennlann, epi tou li se youn nan premye bèt ak kat (4) pat nou jwenn kòm fosil.|Ses fossiles ont été trouvés au Groenland Oriental. #### C’est l’un des premiers fossiles tétrapodes.|Its fossils were found in Eastern Greenland and it is one of the first tetrapods in the fossil record.|empty
Inèpeton|Hynerpeton|Hynerpeton|empty
Sa gen 360 milyon ane|Il y a 360 millions d’années|360 million years ago|empty
Estetakantis|Stethacanthus|Stethacanthus|empty
Sa gen 345 milyon ane|Il y a 345 millions d’années|345 million years ago|empty
Otè : Perun|par Perun|By Perun|empty
Estetakantis se premye reken ki te janm domine planèt sa a.|Le stethacantus est l’un des premiers requins à avoir dirigé la planète.|Stethacantus was one of the first sharks to ever rule the planet.|empty
Estetakantis te viv ant 370 ak 340 milyon ane de sa.|Le stethacantus a vécu il y a 370 à 340 millions d’années.|The stethacantus lived 370-340 million years ago.|empty
Yo te jwenn fosil bèt sa a ann Amerik di Nò, ann Ewòp ak ann Azi di nò.|Ses fossiles ont été retrouvés en Amérique du Nord, en Europe et en Asie du Nord.|Fossils were found in North America, Europe and Northern Asia.|empty
Estetakantis te mezire 2 mèt nan longè (lè li fin devlope).|Le stethacanthus mesurait 2 mètres de long (à l’âge adulte).|Stethacanthus was 6 feet and 5 inches long (when an adult).|empty
Lòt jan yo konn rele Estetakantis se « planchèt » akoz najwa etranj li genyen sou do li.|Le stethacanthus est aussi connu comme « planche à repasser » en raison de sa bizarre nageoire dorsale.|Stethacanthus is also known as an ‘ironing board’ because of its weird dorsal fin.|empty
Se mal yo sèlman ki te gen najwa sa a sou do yo, ki petèt te jwe yon wòl lè yo t ap kwaze ak femèl.|Seuls les mâles avaient cette nageoire dorsale, ce qui a dû jouer un rôle pour l‛accouplement.|Only males had the dorsal fin, which might have played a role in mating.|empty
Sèl sa Estetakantis te konn manje se pwason gwosè mwayen ak trilobit, kwak li te gen yon bouch laj.|Le stethacathus ne mangeait que des poissons de taille moyenne et des trilobites même s’il avait une grande bouche.|Stethacathus only ate medium-sized fish and trilobites, even though it had a large mouth.|empty
Bèt ki pi gwo pase Estetakantis, tankou Donkleyosteyis, te konn manje l.|Il était mangé par de plus grands animaux tels que les dunkleosteus .|It was eaten by bigger animals like Dunkleosteus.|empty
Pifò fosil estetakantis se dan yo ye. #### Yo pa jwenn zo paske, menm jan ak reken jounen jodi a, se katilaj li te genyen nan plas zo.|La plupart de ses fossiles sont des dents parce que, comme les requins aujourd’hui, il avait des cartilages à la place des os.|Most of the fossils are teeth because, like sharks today, it had cartilage instead of bone.|empty
Donkleyosteyis|Dunkleosteus|Dunkleosteus|empty
Sa gen 360 milyon ane|Il y a 360 millions d’années|360 million years ago|empty
Otè : Qai Hinds|Otè : Qai Hinds|By Qai Hinds|empty
Donkleyosteyis se yon kokennchenn pwason ki te manje reken.|Un dunkleosteus était un énorme requin cuirassé qui mangeait des poissons.|A dunkleosteus was a huge armored shark eating fish.|empty
Li te mezire ant 8 ak 10 m nan longè.|Il mesurait de 8 à 10 mètres de long.|It was 8 – 10 meters long.|empty
Syantis te jwenn fosil li ann Amerik di Nò, ann Ewòp ak ann Afrik di nò.|Les scientifiques ont découvert ses fossiles en Amérique du Nord, en Europe et en Afrique du Nord.|Scientists found its fossils in North America, Europe and North Africa.|empty
Non donkleyosteyis la sot nan non Doktè Dunkle, yon mesye ki te etidye fosil Donkleyosteyis.|Le dunkleosteus a été nommé d’après le Dr. Dunkle, un homme qui a étudié les fossiles de dunkleosteus .|Dunkleosteus was named after Dr. Dunkle, a man who studied Dunkleosteus fossils.|empty
Donkleyosteyis te gen yon machwè mobil ki te fè mouvman tankou sizo.|Il avait une mâchoire mobile qui bougeait comme des ciseaux.|It had a movable jaw that moved like scissors.|empty
Li te konn naje vit. #### Men, li disparèt depi 355 milyon ane.|Il nageait vite et s’est éteint il y a 355 millions d’années.|It swam fast and went extinct 355 million years ago.|empty
Ofidèpeton|Ophiderpeton|Ophiderpeton|empty
Sa gen 300 milyon ane|300 millions d’années|300 million years ago|empty
Otè : Tanya|par Tanya|By Tanya|empty
Ofidèpeton se yon bèt ki te sanble ak koulèv. #### Li te viv ant 360 ak 300 milyon ane de sa, nan epòk Kabonifè a.|L’ophiderpeton ressemble à un serpent. #### Il vivait il y a 360 à 300 millions d’années, au cours de la période carbonifère.|The Ophiderpeton was a snake-like creature that lived 360-300 million years ago during the Carboniferous Period.|empty
Koulèv sa a te mezire anviwon 60 cm nan longè, epi li te peze mwens pase yon liv.|Ce serpent mesurait environ 60 centimètres de long et pesait moins de 500 grammes.|This snake was about two feet long and weighed less than a pound.|empty
Zo kràn tèt li te mezire 15 cm.|Son crâne mesurait 15 centimètres.|Its skull measured 15 centimeters.|empty
Li te gen gwo je pou l gadedevan. #### Sa endike se lachas li te konn fè pou l jwenn manje pou lviv.|Il avait de grands yeux proéminents qui suggéraient un mode de vie de chasseur.|It had large forward facing eyes suggesting a hunting lifestyle.|empty
Ofidèpeton te rete nan tinèl an ba tè nan lanmè a.|Il vivait dans un terrier dans l’océan.|It lived in a burrow in the ocean.|empty
Yo tejwenn fosil li oz Etazini ak nan Repiblik Tchèk.|Ses fossiles ont été retrouvés aux États-Unis et dans la République Tchèque.|Fossils were found in the USA and Czech Republic.|empty
Sa li te manjese bèt tankou ensèk, vè tè, milpye ak kalmason.|Il mangeait des insectes, des vers, des mille pattes et des escargots.|It ate things like insects, worms, millipedes and snails.|empty
Bèt ki sanble akOfidèpeton se Fleyetonyas ak Silèpeton.|Les animaux similaires aux ophiderpetons sont les phleyethonias et les silleerpetons.|Animals that are similar to Ophiderpeton are Phleyethonia and Silleerpeton.|empty
Atwoplera|Arthropleura|Arthropleura|empty
Sa gen 280 milyon ane|Il y a 280 millions d’années|280 million years ago|empty
Otè : Sebastian ak Bobby|par Sebastian et Bobby|By Sebastian and Bobby|empty
Atwoplera se yon gwo gwo gwo milpat.|L’arthropleura était un méga mille-pattes incroyable.|The Arthropleura was an incredible mega centipede.|empty
Se te yon bèt estwòdinè nan fanmi atwopòd yo.|C’était une créature fascinante dans la famille des arthropodes.|It was a fascinating creature in the arthropod family.|empty
Atwoplera te viv ant 340 ak 280 milyon ane de sa avan l vin disparèt sou tè a.|Il a vécu il y a 340 à 280 millions d’années avant de s’éteindre.|It lived from 340 to 280 million years ago before going extinct.|empty
Li te sanble ak yon kokenn chenn milpat ki gen apeprè 30 plak ki anvlope kò li.|Il ressemblait à un géant mille-pattes avec 30 plaques individuelles entourant son corps.|It looked like a giant centipede or millipede with 30 individual plates surrounding its body.|empty
Li te rete zòn nou rele Amerik di nò ak Ewòp kounye a.|Il vivait là où se trouvent actuellement l’Amérique du Nord et l’Europe.|It lived in what is now North America and Europe.|empty
Li pa t gen predatè paske pa t gen bèt ki te gwo ase pou yo ta fè l mal.|Il n’avait pas de prédateurs car rien n’était assez gros pour le mettre en danger.|It had no predators because nothing was big enough to hurt it.|empty
Li te grandi jouk li rive mezire 2,6 mèt nan longè, menm gwosè ak yon kwokodil.|Il mesurait jusqu’à 2,5 mètres, ce qui est la taille d’un alligator.|It grew up to eight feet, which is the size of an alligator.|empty
Men yon enfòmasyon ki enteresan : atwoplera se pi gwo atwopòd ki te janm mache sou latè.|Une chose intéressante à souligner, c’est qu’il était le plus grand arthropode à avoir jamais marché sur la terre.|An interesting fact is that it was the largest arthropod that ever walked the Earth.|empty
Men yon lòt enfòmasyon ki enteresan : anpil syantis te panse se te yon kanivò, ki vle di li te manje vyann. #### Men, yo vin wè li pa t yon kanivò.|Autre fait intéressant, c’est que de nombreux scientifiques pensaient qu’il était carnivore, ce qui veut dire qu’il pouvait manger de la viande. #### Mais, ce n’était pas le cas.|Another interesting fact is that many scientists thought it was carnivorous, which means it would have eaten meat, but it turned out it was not carnivorous.|empty
Yon dènye done enteresan : yo pa janm jwenn fosil bouch li, donk yo te oblije etidye fosil lestomak li pou yo te ka konnen sa li te konn manje.|Dernier fait intéressant : on n’a jamais retrouvé les fossiles de sa bouche, donc il a fallu examiner les fossiles de son estomac pour découvrir ce qu’il mangeait.|One last interesting fact is that they never found any fossils of its mouth, so they had to look at fossils of its stomach to figure out what it ate.|empty
Meganera|Meganeura|Meganeura|empty
Sa gen 300 milyon ane|Il y a 300 millions d’années|300 million years ago|empty
Otè : Theo S. ak Erik B.|par Theo S. et Erik B.|By Theo S. and Erik B.|empty
Meganera se yon ensèk jeyan, yon demwazèl ki te gwo anpil.|Le meganeura est une libellule géante.|The Meganeura is a giant dragon fly.|empty
Lè zèl li te louvri, sa te bay yon longè 70 cm.|Ses ailes déployées mesuraient 68 centimètres.|Its wingspan is 27 inches.|empty
Li te prèske gwosè yon èg.|Il avait à peu près la taille d’un aigle.|It was roughly the size of an eagle.|empty
Li te viv nan forè zòn marekay twopikal, yon zòn yo t ap vin rele « Ewòp » pi devan.|Il vivait dans les forêts marécageuses tropicales là où se trouve aujourd’hui l’Europe.|It lived in tropical swamp forests in the place that would one day become Europe.|empty
Li te gwo anpil epi se te danje mòtèl.|Il était très grand et mortel.|It was extremely large and deadly.|empty
Youn te konn manje lòt, epi li pa t janm sispann vole an lè.|Il mangeait même les leurs. #### Et il ne s’arrêtait jamais de voler.|It ate its own kind and it never stopped flying.|empty
Lè a te pi pwès nan epòk sa a.|L’air était bien plus dense à l’époque.|The air was a lot denser back then.|empty
Li te ka grandi anpil paske te gen plis oksijèn epi poumon li te pi efikas.|Il pouvait atteindre de telles tailles en raison du fait que le niveau d’oxygène était plus élevé et que ses poumons étaient plus efficaces.|It was able to grow so large because the amount of oxygen was higher and its lungs were more efficient.|empty
Li pa t ap ka viv nan atmosfè ki genyen jodi a. #### Men, li gen rapò dirèk ak demwazèl jounen jodi a.|Il n’aurait pas pu survivre à l’atmosphère d’aujourd’hui, mais il est directement lié aux libellules d’aujourd’hui.|It could not have survived in today’s atmosphere, but it is directly related to the dragon flies of today.|empty
Meganera vle di bèt ki gen gwo nè.|Meganeura signifie de grandes nervures.|Meganeura means large-nerved.|empty
Dimetwodon|Dimétrodon|Dimetrodon|empty
Sa gen 280 milyon ane|Il y a 280 millions d’années|280 million years ago|empty
Otè : Sam ak Taj|par Sam et Taj|By Sam and Taj|empty
Gen 280 milyon ane de sa, te gen yon gwo reptil ki te gen yon mòd vwal sou do li. Se te yon kanivò yo te rele Dimetwodon.|Il y a 280 millions d’années, existait un célèbre reptile carnivore à voile dorsal appelé dimétrodon.|In the time of 280 million years ago, there was a famous sail-backed carnivorous reptile named Dimetrodon.|empty
Si l te kanpe, li te mezire 3,4 mèt nan wotè, ki donk li te pi wo pase yon panye baskètbòl.|D’une taille de près de 3,4 mètres de haut, il dépassait de 30 centimètres un panier de basket.|Standing at 11 feet tall, it was a foot taller than a basketball hoop.|empty
Li te konn viv nan marekay ak nan mòn ann Amerik di Nò epi li te konn kanpe nan dlo ki pa fon pou l chase pwason.|Il vivait dans les marécages et les montagnes d’Amérique du Nord, chassant les poissons en se positionnant dans les eaux peu profondes dans l’attente de les capturer.|It lived in the swamps and mountains of North America, hunting fish, by standing in shallow waters waiting for fish.|empty
Se te youn nan premye bèt ki te gen dan diferan gwosè.|Il est l’un des premiers animaux à avoir eu des dents de différentes tailles.|It was one of the first animals to have teeth of different sizes.|empty
Dimetwodon te ka sèvi ak vwal sou do li pou li absòbe solèy. #### Sa te pèmèt li kòmanse chase bonè nan maten.|Le dimétrodon pouvait utiliser son voile dorsal pour absorber le soleil, ce qui lui permettait de commencer à chasser tôt le matin.|The Dimetrodon could use its sail to soak up the sun, which let it get an early start hunting in the morning.|empty
Malgre Dimetwodon se yon bèt yo pran pou dinozò, se te yon reptil ki te viv dè milyon ane avan dinozò.|Bien que le dimétrodon soit considéré parfois comme un dinosaure, c’est un reptile qui a vécu des millions d’années avant les dinosaures.|Although the Dimetrodon is sometimes considered a dinosaur, it's a reptile that lived millions of years before dinosaurs.|empty
Premye fwa yo te jwenn fosil dimetwodon se te an 1878 ann Amerik di Nò ak ann Ewòp.|Les premières découvertes de fossiles de dimétrodon ont eu lieu en 1878 en Amérique du Nord et en Europe.|Dimetrodon fossil were first found in 1878 in North America and Europe.|empty
Gògonops|Gorgonops|Gorgonops|empty
Sa gen 252 milyon ane|Il y a 252 millions d’années|252 million years ago|empty
Otè : Jacob ak Leo|par Jacob et Leo|By Jacob and Leo|empty
Gògonopsid oubyen gògonops se yon bèt ki t ap viv nan epòk Pèmyen ant 252 milyon ak 248 milyon ane de sa.|Le gorgonopside ou gorgonops est une créature de la période permienne, de 252 millions à 248 millions d'années.|The gorgonopsid or gorgonops was a creature from the Permian period, 252 million to 248 million years ago.|empty
