Cluster|Property |e1|e2|Sentence
3|P30|South Africa|Africa|[[Sowth Afreka]] esa kuntrii i' [[Afreka]].
3|P30|Barbados|Central America|[[Barbados]] es a' letl ailen kuntrii en [[Sentril Merika]].
3|P30|Morocco|Africa|[[Morocco]] esa kuntrii i' [[Afreka]].
3|P30|Portugal|Europe|[[Portugal]] esa kuntrii i' [[Urup]].
3|P30|Armenia|Asia|[[Aarmanya]] esa kuntrii i' [[Asya]].
3|P30|Cape Verde|Africa|[[Cape Verde]] esa ailen kuntrii i' [[Afreka]].
3|P30|Algeria|Africa|[[Algeria]] esa kuntrii i' [[Afreka]].
3|P30|Paraguay|South America|[[Paraguay]] esa inlan kuntrii i' [[Sowth Merika]].
3|P30|Andora|Europe|[[Endora]] esa kuntrii i' [[Urup]].
3|P30|Burkina Faso|Africa|[[Burkina Faso]] esa kuntrii i' [[Afreka]].
3|P30|Spain|Europe|[[Spain]] esa kuntrii i' [[Urup]].
3|P30|Beliz|Central America|[[Beles]] esa kuntrii i' [[Sentril Merika]].
3|P30|Bulgaria|Europe|[[Bulgeriya]] esa kuntrii i' [[Urup]].
3|P30|Hungary|Europe|[[Hungrii]] esa kuntrii i' [[Urup]].
4|P131|Brisbane|Australia|[[Brisbin]] esa citii i' [[Ostrielya]].
4|P131|Grenoble|France|[[Grenobel]] esa citii i' [[Frans]].
4|P131|Ufa|Russia|[[Ufa]] esa citii i' [[Rusha]].
4|P131|Tartu|Estonia|[[Taatu]] esa citii i' [[Estonya]].
4|P131|https://en.wikipedia.org/wiki/Osasco|Brazil|[[Osasco]] esa biges citii i' [[Bresel]].
4|P131|Hobart|Australia|[[Hobart]] esa citii i' [[Ostrielya]].
4|P131|Sidney|Australia|[[Sidni]] esa citii i' [[Ostrielya]].
4|P131|Podolsk|Russia|[[Podolsk]] esa citii i' Moscow Oblast i' [[Rusha]].
4|P131|Hamburg|Germany|[[Hamburg]] esa big citii i' [[Doichland]].
4|P131|Coreca|Italy|[[Coreca]], esa citii i' [[Italii]], a' es 4 km area.
4|P131|Kaluga|Russia|[[Kaluga]] esa citii i' [[Rusha]] an center a' t' Kaluga Oblast.
5|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Freddie Mercury]] esa [[singer]], Ingland.
5|P106|https://en.wikipedia.org/wiki/Anastacia|https://www.wikidata.org/wiki/Q177220|[[Anastacia]] (Septemba 17, 1968, Chicago) esa Merikan [[singer]].
5|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Valerii Leontiev]] (Maach 19, 1949) esa Rushan [[singer]].
5|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Lena Belkina]] (27 Nowemba 1987) esa [[singer]].
5|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Anna Netrebko]] (18 Septemba 1971) esa [[singer]].
5|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Avril Lavigne]] esa Kanedan [[singer-songwriter]].
5|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Julien Doré]] (7 Juulai 1982) esa [[singer]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Goran Vishnich]] (b. September 9 1972) es wun Kroayshan [[akter]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Jason Bateman]] (Jaenyuweri 14, 1969) es wun Merikan [[akter]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Josh Duhamel]] (Nowemba 14, 1972) es wun Merikan [[akter]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Taylor Lautner]] (barn Febyuweri 11, 1992) es wun Merikan [[akter]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Alexandre Borges Corrêa]] (Febyuweri 23, 1966) es wun Breselyan [[akter]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|"[[Abel Askoena]] (Ieprel 1, 1988, [[Madrid]]; fuul naem esa Abel Askoena Markuus) esa wun Spanish [[akter]]."
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Andrew Garfield]] (Orgas 20, 1983) es wun Merikan [[akter]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Lília Cabral Bertolli Figueiredo]] (barn Juulai 13, 1957) esa Breselyan [[aktress]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Nathalia Timberg]] (Orgas 5, 1929) es wun Breselyan [[aktress]].
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Kendall Nicole Jenner]] (Nowemba 3, 1995) es wun Merikan [[akter]] and model.
6|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[William Bradley "Brad" Pitt]] (Disemba 18, 1963) es wun Merikan [[akter]] an film producer.
7|P1376|Berlin|Germany|[[Berlin]] esa kapitel a' [[Doichland]].
7|P1376|Stockholm|Sweden|[[Stokhoelm]] es t' kapitel citii a' [[Swiiden]].
7|P1376|Belgrade|Serbia|[[Belgrade]] es kapitel citii a' [[Serbya]].
7|P1376|Mogadishu|Somalia|[[Mogadisho]] es t' kapitel a' [[Somalia]].
7|P1376|Darwin|Alice Springs|[[Daarwin]] esa kapitel a' biges citii, [[Alis Springs]] a' Ten'nent Criik a' otha citii.
7|P1376|https://en.wikipedia.org/wiki/Alofi|https://en.wikipedia.org/wiki/Niue|[[Alofi]] es t' ofishol kapitel a' t' Pesifik ailen kuntrii o' [[Niue]].
7|P1376|Canabara|Australia|[[Kanbra]] esa kapitel citii o' [[Ostrielya]], an kapitel a' t' Ostrielyan Kapitel Teritrii too.
7|P1376|Jakarta|Indonesia|[[Jakarta]] es t' kapitel a' biges citii o' [[Endonesya]].
7|P1376|Kampala|Uganda|[[Kampala]] es t' biges citii an kapitel a' [[Yuganda]].
7|P1376|https://en.wikipedia.org/wiki/Kingston,_Norfolk_Island|https://en.wikipedia.org/wiki/Norfolk_Island|[[Daun A'Taun]] es t' ofishol kapitel a' [[Norfuk Ailen]].
7|P1376|Juno|Alaska|[[Juuno]] es t' kapitel a' [[Alaska]], Yunitid Staits.
7|P1376|https://en.wikipedia.org/wiki/Patio,_Taha%27a|https://en.wikipedia.org/wiki/Taha%27a|[[Patio]] es t' ofishol kapitel an t' biges sett'l'ment a' t' ailen [[Tahaa]] i' French Poliinesya.
7|P1376|Moscow|Russia|[[Moskou]] es t' kapitel an' t' biges citii a' [[Rusha]] an' t' sekan biges citii a' Urup (aftaa Istanbuel).
7|P1376|Copenhagen|Denmark|[[Kopengagn]] es t' kapitel a' [[Denmark]] an ets t' msa popyulous citii, wi' an urban popyulayshun a' 1,230,728 an a' metropolitan popyulayshun a' 1,956,278.
7|P1376|Vilnius|Lithuania|[[Vilnius]] es t' kapitel a' [[Lithyuanya]], an its biges citii, wi' a popyulashun a' 535,091 (809,225 t'gether wi' Vilnius County) as a' 2011.
8|P31|https://www.wikidata.org/wiki/Q757|https://www.wikidata.org/wiki/Q112099|[[Saint Vincent a' t' Grenadines]] esa [[ailen kuntrii]] i' Etlantic Oshen, i' t' karibiyen.
8|P31|https://www.wikidata.org/wiki/Q697|https://www.wikidata.org/wiki/Q112099|[[T' Repablik a' Nauruu]] (also spelt Ripublik Naoero) esa [[ailen kuntrii]] i' Pesifik Oshen.
8|P31|Madagascar|https://www.wikidata.org/wiki/Q112099|[[Madagascar]] esa [[ailen kuntrii]] i t'Indien Oshun ner Afreka.
8|P31|New Zealand|https://www.wikidata.org/wiki/Q112099|[[Nyuu Ziilan]] esa [[ailen kuntrii]] eist o' Ostrielya, i' a' sowth Pesifik Oshen.
8|P31|Mauritius |https://www.wikidata.org/wiki/Q112099|[[Mauritius]] esa [[ailen kuntrii]] i' Afreka.
8|P31|Trinidad and Tobago|https://www.wikidata.org/wiki/Q112099|[[Trinidad a' Tobago]] esa [[ailen kuntrii]] i' Etlantic Oshen.
8|P31|Saint Lucia|https://www.wikidata.org/wiki/Q112099|[[Saint Lucia]] esa [[ailen kuntrii]] i' Etlantic Oshen.
8|P31|Cape Verde|https://www.wikidata.org/wiki/Q112099|[[Cape Verde]] esa [[ailen kuntrii]] i' Afreka.
9|P31|https://www.wikidata.org/wiki/Q4873233|https://www.wikidata.org/wiki/Q23442|[[Batlshep]] esa [[ailen]] i' Alaska, Yunitid Staits.
9|P31|https://www.wikidata.org/wiki/Q17070|https://www.wikidata.org/wiki/Q23442|[[Réunion Ailen]] esa [[ailen]] i t' Indien Oshen.
9|P31|https://www.wikidata.org/wiki/Q25277|https://www.wikidata.org/wiki/Q23442|[[Hispanyola]] esa [[ailen]] in North Merika.
9|P31|https://www.wikidata.org/wiki/Q1043128|https://www.wikidata.org/wiki/Q23442|[[Shikotaan]] esa [[ailen]] i' Pesifik Oshen o' Archiipelago dem Kuril Ailen i' Rusha.
9|P31|https://en.wikipedia.org/wiki/Jan_Mayen|https://www.wikidata.org/wiki/Q23442|[[Yaan Meien]] esa [[ailen]] north a' Norwaii en esa dapendecii a' Norwaii.
