Cluster|Property |e1|e2|Sentence
3|P31|https://en.wikipedia.org/wiki/Dried_and_salted_cod|https://www.wikidata.org/wiki/Q152|[[Mori]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Sardine|https://www.wikidata.org/wiki/Q152|[[Sadin]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Tuna|https://www.wikidata.org/wiki/Q152|[[Ton]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Gilt-head_bream|https://www.wikidata.org/wiki/Q152|[[Dorad]] se yon [[pwason]].
4|P31|https://en.wikipedia.org/wiki/Aliger_gigas|https://www.wikidata.org/wiki/Q729|[[Lanbi]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Crocodile|https://www.wikidata.org/wiki/Q729|[[Krokodil]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Leopard|https://www.wikidata.org/wiki/Q729|[[Lewopa]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Sheep|https://www.wikidata.org/wiki/Q729|[[Mouton]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Livestock_(domesticated_bovines)|https://www.wikidata.org/wiki/Q729|[[Bèf]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Shrimp|https://www.wikidata.org/wiki/Q729|[[Kribich]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Turtle|https://www.wikidata.org/wiki/Q729|[[Tòti]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Hippopotamus|https://www.wikidata.org/wiki/Q729|[[Ipopotam]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Worm|https://www.wikidata.org/wiki/Q729|[[Vè]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Lizard|https://www.wikidata.org/wiki/Q729|[[Leza]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Rattus|https://www.wikidata.org/wiki/Q729|[[Rat]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Lion|https://www.wikidata.org/wiki/Q729|[[Lyon]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Tiger|https://www.wikidata.org/wiki/Q729|[[Tig]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Spiny_lobster|https://www.wikidata.org/wiki/Q729|[[Langous]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Llama|https://www.wikidata.org/wiki/Q729|[[Lama]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Frog|https://www.wikidata.org/wiki/Q729|[[Krapo]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Wolf|https://www.wikidata.org/wiki/Q729|[[Lou]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Bear|https://www.wikidata.org/wiki/Q729|[[Lous]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Rhinoceros|https://www.wikidata.org/wiki/Q729|[[Rinosewòs]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Fox|https://www.wikidata.org/wiki/Q729|[[Rena]] se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Crab|https://www.wikidata.org/wiki/Q729|[[Krab]] (Brachyura) se yon [[bèt]].
4|P31|https://en.wikipedia.org/wiki/Lobster|https://www.wikidata.org/wiki/Q729|[[Oma]] se yon [[bèt]].
5|P31|https://en.wikipedia.org/wiki/Louse|https://www.wikidata.org/wiki/Q1390|[[Pou]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Wasp|https://www.wikidata.org/wiki/Q1390|[[Gèp]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Termite|https://www.wikidata.org/wiki/Q1390|[[Tèmit]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Odonata|https://www.wikidata.org/wiki/Q1390|[[Demwazèl]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Fly|https://www.wikidata.org/wiki/Q1390|[[Mouch]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Firefly|https://www.wikidata.org/wiki/Q1390|[[Koukouy]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Caterpillar|https://www.wikidata.org/wiki/Q1390|[[Chini]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Butterfly|https://www.wikidata.org/wiki/Q1390|[[Papiyon]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Cicadidae|https://www.wikidata.org/wiki/Q1390|[[Sigal]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Caelifera|https://www.wikidata.org/wiki/Q1390|[[Krikèt]] se yon [[ensèk]].
5|P31|https://en.wikipedia.org/wiki/Ant|https://www.wikidata.org/wiki/Q1390|[[Foumi]] se yon [[ensèk]].
6|P1376|Mexico City|Mexico|[[Meksiko]] se kapital [[Meksik]].
6|P1376|Nairobi|Kenya|[[Nayrobi]] se kapital [[Kenya]].
6|P1376|Kampala|Uganada|[[Kanpala]] se kapital [[Ouganda]].
6|P1376|Montevideo|Uruguay |[[Montevideo]] se kapital [[Irigwe]].
6|P1376|Nassau|Bahamas|[[Naso]] se kapital [[Bahamas]].
6|P1376|Lisbon|Portugal|[[Lisbòn]] se [[kapital]] [[Pòtigal]].
6|P1376|Asuncion|Paraguay|[[Asounsyòn]] se kapital [[Paragwe]].
6|P1376|Kigali|Rwanda|[[Kigali]] se kapital peyi [[Rwanda]].
6|P1376|Chisinau|Moldova|[[Chisinaou]] se kapital peyi [[Moldavi]].
6|P1376|Luanda|Angola|[[Louanda]] se kapital peyi [[Angola]].
6|P1376|Islamabad|Pakistan|[[Islamabad]] se kapital peyi [[Pakistan]].
7|P36|Jamaica|Kingston|Kapital [[Jamayik]] se [[Kinstòn]].
7|P36|North Dakota|Bismarck|Kapital [[Dakota dinò]] se [[Bismàk]].
7|P36|Russia|Moscow|Kapital [[Risi]] se [[Moskou]].
7|P36|Somaliland|Hargeisa|Kapital [[Somaliland]] se [[Hargeysa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[María José Mariscal]] (ki fèt 2006) se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Armando Araiza]] se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Jorge Lavat]] (ki fèt 1933) se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Raúl Carbonell Huo]] se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Enoc Leaño]] se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Jean-Alain Velardo]] se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Marco de Paula]] (1977) se yon [[aktè]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Judith Vilbon]] se yon [[aktris]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Pilar Ixquic Mata]] se yon [[aktris]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Adela Legrá]] se yon [[aktris]].
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Cynthia Olavarría]] (ki fèt 1982) se yon [[aktris]] pòtoriken.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Joann Polanco]] se yon [[aktris]].
