Cluster|Property |e1|e2|Sentence
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Marcus Stephen]] i [[presiden]] bilong Nauru.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Nicolas Sarkozy]] i [[presiden]] bilong Frens.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Ilham Aliyev]] i [[presiden]] bilong Azerbaijan.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[William Jefferson (Bill) Clinton]] i [[presiden]] namba 42 bilong Amerika.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Kim Il-sung]] (15 Epril 1912 – 8 Julai 1994) i [[presiden]] (28 Disemba 1972 – 8 Julai 1994) bilong Not Koria.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Toomas Hendrik]] Ilves i [[presiden]] bilong Estonia.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[János Áder]] i [[presiden]] namba 5 bilong Hangari.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Tarja Halonen]] (Desemba 24 1943) em i [[presiden]] bilong Pinlan.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Ham Lini]] i [[praim minista]] bilong Vanuatu.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Peter O'Neill]] i [[praim minista]] bilong Papua Niugini.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Xavier Bettel]] i [[praim minista]] bilong Laksembog.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Kevin Rudd]] i [[praim minista]] bilong Ostrelia.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Apisai Ielemia]] i [[praim minista]] bilong Tuvalu.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Helen Clark]] i [[praim minista]] bilong Niu Silan.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Gordon Brown]] i [[praim minista]] bilong Yunaitet Kingdom.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Sanna Marin]] (Novemba 16 1985) i [[praim minista]] bilong Pinlan.
7|P106|lookup|https://www.wikidata.org/wiki/Q14212|[[Viktor Orbán]] i [[praim minista]] bilong Hangari.
8|P131|lookup|Japan|[[Hokkaido]] em i bikpela ailan long [[Siapan]].
8|P131|lookup|Japan|[[Honshu]] em i bikpela ailan long [[Siapan]].
8|P131|lookup|Japan|[[Shikoku]] (o Sikoku) em i bikpela ailan long [[Siapan]].
8|P131|lookup|Japan|[[Kyushu]] (o Kiusiu) em i bikpela ailan long [[Siapan]].
8|P131|lookup|Vietnam|[[Phu Quoc]] em i bikpela ailan long [[Vietnam]].
8|P131|lookup|Vietnam|[[Con Dao]] em i bikpela ailan long [[Vietnam]].
8|P131|https://en.wikipedia.org/wiki/Takuu_Atoll|https://www.wikidata.org/wiki/Q691|[[Takuu]] emi wanpela ailan long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q849790|https://www.wikidata.org/wiki/Q691|[[Westen Provins]] em i wanpela provins bilong [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q753686|https://www.wikidata.org/wiki/Q691|[[Oro]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q753689|https://www.wikidata.org/wiki/Q691|[[Sandaun]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q853664|https://www.wikidata.org/wiki/Q691|[[Morobe]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q874962|https://www.wikidata.org/wiki/Q691|[[Milen Be]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q849801|https://www.wikidata.org/wiki/Q691|[[Sauten Hailans]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q690880|https://www.wikidata.org/wiki/Q691|[[Is Sepik]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q599448|https://www.wikidata.org/wiki/Q691|[[Simbu]] em i wanpela provins long hailans bilong [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q849812|https://www.wikidata.org/wiki/Q691|[[Isten Hailans]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q667468|https://www.wikidata.org/wiki/Q691|[[Wes Niu Briten]] em i wanpela provins long [[Papua Niugini]].
9|P131|https://www.wikidata.org/wiki/Q753702|https://www.wikidata.org/wiki/Q691|[[Is Niu Briten]] em i wanpela provins long [[Papua Niugini]].
10|P17|https://www.wikidata.org/wiki/Q43829|Solomon Islands|[[.sb]] em i Intanet kod bilong kantri [[Solomon Ailans]].
10|P17|https://www.wikidata.org/wiki/Q36541|Russia|[[.ru]] em i Intanet kod bilong kantri [[Rasia]].
10|P17|https://www.wikidata.org/wiki/Q41060|Norway|[[.no]] em i Intanet kod bilong kantri [[Nowe]].
10|P17|https://www.wikidata.org/wiki/Q38291|Albania|[[.al]] em i Intanet kod bilong kantri [[Albenia]].
10|P17|https://www.wikidata.org/wiki/Q42677|Romania|[[.ro]] em i Intanet kod bilong kantri [[Romenia]].
10|P17|https://www.wikidata.org/wiki/Q37420|Australia|[[.au]] em i Intanet kod bilong kantri [[Ostrelia]].
