text,text_preprocessed,LEN
"Di pier fos riliis, ""Chribuut tu [[Jinaral]] [[Eko]]"" did memba di riisently kill slak [[DJ]], an dem wuda lieta [[mek]] di British chaat wid dem vorzhan a ""Tap Dat-de Trien"".",Di pier fos riliis Chribuut tu Jinaral Eko did memba di riisently kill slak DJ an dem wuda lieta mek di British chaat wid dem vorzhan a Tap Datde Trien,30
Buot a di dewuo album dem did [[mek]] di tap faiv a di [[UK]] Indipendant Chaat.,Buot a di dewuo album dem did mek di tap faiv a di UK Indipendant Chaat,16
Lionaad Yuula ar Leonhard Euler (15 Iepril 1707 – 18 Septemba 1783) wena wah payanier Suis matimatishan ah fizisis uu spen muos a ih laif a [[Rosha]] ah [[Joermani]].,Lionaad Yuula ar Leonhard Euler wena wah payanier Suis matimatishan ah fizisis uu spen muos a ih laif a Rosha ah Joermani,22
Yuula mek nof big diskovri ina fiil laka [[kialkiulos]] ah graaf tiori.,Yuula mek nof big diskovri ina fiil laka kialkiulos ah graaf tiori,12
"Ih kumop wid nof a di madan matimatikal toerminaliji ah nuotieshan, espeshal fi [[matimatikal analisis]], laka di aidie a matimatikal fongshan.",Ih kumop wid nof a di madan matimatikal toerminaliji ah nuotieshan espeshal fi matimatikal_analisis laka di aidie a matimatikal fongshan,20
"Ih binuon tu fi di wok we ih du wid mikianix, fluid dainamix, aptix, ah [[aschranami]].",Ih binuon tu fi di wok we ih du wid mikianix fluid dainamix aptix ah aschranami,16
"Mesopotiemia (Ienshent Griik: ""Μεσοποταμία"" ""[lan] bitwiin riva""; frah Ienshent Aamiinian Միջագետք (Mijagetq); Arabic: بلاد الرافدين‎ bilād ar-rāfidayn; Persian: میان‌رودان‎‎ miyān rodān; Syriac: ܒܝܬ ܢܗܪܝܢ‎ Beth Nahrain ""lan a riva"") a di niem fi di ieria a di Taigris–Yuufrietiiz riva sistim, rofli karispandin tu madan-die [[Irak]], [[Siria]] ah [[Kuwiet]], ingkluudn riijan gens di Toerkish-Sirian baada ah Iran–Irak baada.",Mesopotiemia Arabic بلاد الرافدين‎ bilād arrāfidayn Persian میان‌رودان‎‎ miyān rodān Syriac ܒܝܬ ܢܗܪܝܢ‎ Beth Nahrain lan a riva a di niem fi di ieria a di TaigrisYuufrietiiz riva sistim rofli karispandin tu madandie Irak Siria ah Kuwiet ingkluudn riijan gens di ToerkishSirian baada ah IranIrak baada,46
"Di ischri a di [[Amoerkaz]] kova buot Naat ah [[Sout Amoerka]], ingkluudn Senchral Amoerka ah di [[Kiaribiyan]].",Di ischri a di Amoerkaz kova buot Naat ah Sout Amoerka ingkluudn Senchral Amoerka ah di Kiaribiyan,17
"Deh maigriet ina [[Naat Amoerka]], askaadn tu di muos papiula tiori, kraas di Bierin Lan Brij.",Deh maigriet ina Naat_Amoerka askaadn tu di muos papiula tiori kraas di Bierin Lan Brij,15
Demya kolcha ya deh divelop ina [[Siblaizieshan]].,Demya kolcha ya deh divelop ina Siblaizieshan,7
Sout Amoerka a di sodan [[kantinent]] a di [[Amoerkaz]].,Sout Amoerka a di sodan kantinent a di Amoerkaz,9
"Ina [[batani]], wah chrii a pirenial plaant wid lang stem, ar chonk, ah supuot branch ah liif-dem, ina muos spiishiz.",Ina batani wah chrii a pirenial plaant wid lang stem ar chonk ah supuot branch ah liifdem ina muos spiishiz,20
"Di Veda (IPAc-en ˈveɪdəz,_ˈvi-; [[Sanskrit]]: वेद ""IAST véda"", ""[[nalij]]"") a laaj badi a tex arijiniet ina ienshent India.",Di Veda a laaj badi a tex arijiniet ina ienshent India,11
"Kompuoz ina Vedik Sanskrit, di texdem kanstityuut di aulis lieya a Sanskrit lichicha ah di aulis skripcha a [[Induizim]].",Kompuoz ina Vedik Sanskrit di texdem kanstityuut di aulis lieya a Sanskrit lichicha ah di aulis skripcha a Induizim,19
"Espeja de San Marcelino a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Espeja de San Marcelino a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,15
"Ina [[fizix]], di kinetik enaji a wah abjik a di [[enaji]] we ipozes juu tu imuoshan.",Ina fizix di kinetik enaji a wah abjik a di enaji we ipozes juu tu imuoshan,16
Di Ripoblik a Airilan a wah konchri ina [[Yuurop]].,Di Ripoblik a Airilan a wah konchri ina Yuurop,9
"Santa María de las Hoyas a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Santa María de las Hoyas a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,16
"Ina [[kimischri]], bies a sobstans we, ina hakwios saluushan, sipl fi toch, ties aschinjent, chienj kola a hindikieta (fi hegzampl, ton red litmos piepa bluu), riak wid asid fi faam saal, promuot soertn kimikal riakshan (bies kiatalisis), axep pruotan frah heni pruotan duona, an/ar kantien kompliitli ar paashali displiesebl OH− ayon.",Ina kimischri bies a sobstans we ina hakwios saluushan sipl fi toch ties aschinjent chienj kola a hindikieta riak wid asid fi faam saal promuot soertn kimikal riakshan axep pruotan frah heni pruotan duona anar kantien kompliitli ar paashali displiesebl OH− ayon,42
Ilekchokaadiagrafi (ECG ar EKG*) a di pruoses fi rekaad di hilekchikal aktiviti a di [[aat]] uoba a piiriad a taim bai yuuz ilekchuod put pah di kin.,Ilekchokaadiagrafi a di pruoses fi rekaad di hilekchikal aktiviti a di aat uoba a piiriad a taim bai yuuz ilekchuod put pah di kin,24
"Di British Voerjin Ailanz a wah British Uobasii Terichri we de ina di [[Kiaribiyan Sii]], tu di iis a [[Puoto Riiko]].",Di British Voerjin Ailanz a wah British Uobasii Terichri we de ina di Kiaribiyan_Sii tu di iis a Puoto Riiko,20
Di ailandem a paat a di Voerjin Ailan aachipelago; di res a ailandem a paat a di [[Yunaitid Stiet Voerjin Ailanz]].,Di ailandem a paat a di Voerjin Ailan aachipelago di res a ailandem a paat a di Yunaitid_Stiet_Voerjin_Ailanz,18
"Tide Shinto a toerm we aplai tu di rilijan a poblik shraindem we divuot tu di woship a moltityuud a [[gad]] (""kami""), askaadn tu difrah-difrah poerpos laka waar mimuorial ah aavis festival, ah aplai azwel tu vierios sektierian aaganizieshan.",Tide Shinto a toerm we aplai tu di rilijan a poblik shraindem we divuot tu di woship a moltityuud a gad askaadn tu difrahdifrah poerpos laka waar mimuorial ah aavis festival ah aplai azwel tu vierios sektierian aaganizieshan,38
Kiep Voerdi a wahn konchri ina [[Afrika]].,Kiep Voerdi a wahn konchri ina Afrika,7
"Arcos de Jalón a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Arcos de Jalón a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Muriel Viejo a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Muriel Viejo a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,13
"rapid aatbiit ah briidin, swetin, mosl tenshan) intigral tu di expiirians we wi fiil [[fried]].",rapid aatbiit ah briidin swetin mosl tenshan intigral tu di expiirians we wi fiil fried,15
Deh sitiet naat a di laaja Grieta Antiliiz ailan gruup ah sout a di [[Ba'aamaz]].,Deh sitiet naat a di laaja Grieta Antiliiz ailan gruup ah sout a di Baaamaz,15
"Panamaa (Panish: ""Panamá""), ofishali niem di Ripoblik a Panamaa (Panish: ""República de Panamá""), a wah konchri ina [[Senchral Amoerka]], we de bitwiin [[Naat Amoerka]] ah [[Sout Amoerka]].",Panamaa ofishali niem di Ripoblik a Panamaa a wah konchri ina Senchral_Amoerka we de bitwiin Naat Amoerka ah Sout Amoerka,20
"Ibaada wid [[Kasta Riika]] tu di wes, [[Kolombia]] tu di soutiis, di [[Kiaribiyan]] tu di naat ah di [[Pasifik Uoshan]] tu di sout.",Ibaada wid Kasta_Riika tu di wes Kolombia tu di soutiis di Kiaribiyan tu di naat ah di Pasifik Uoshan tu di sout,22
"[[A]] riedaar sistim kansis a chanzmita we projuus ilekchomagnetik wiev [[ina]] di riedio ar maikrowiev domien, wah imitin antena, wah risiivin antena (sepret ar di siem az di priivos wan) fi kiapcha heni ritoern frah abjek ina di paas a di signal we imit, wah risiiva ah pruosesa fi ditoermin di propatidem a di habjek.",A riedaar sistim kansis a chanzmita we projuus ilekchomagnetik wiev ina di riedio ar maikrowiev domien wah imitin antena wah risiivin antena fi kiapcha heni ritoern frah abjek ina di paas a di signal we imit wah risiiva ah pruosesa fi ditoermin di propatidem a di habjek,47
"Aaganizieshan a Pichruoliom Expuotin Konchri [Ingglish: [[Organization of the Petroleum Exporting Countries]] ([[OPEC]], /ˈoʊpɛk/ ""OH-pek"", ar [[OPEP]] ina nof adaels languij)] a wah intagobamental aaganizieshan a 13 nieshan, foun [[ina]] 1960 [[ina]] [[Bagdad]] bai di fos faib memba, ah edkwaata sens 1965 [[ina]] [[Viena]].",Aaganizieshan a Pichruoliom Expuotin Konchri Ingglish Organization_of_the_Petroleum_Exporting_Countries a wah intagobamental aaganizieshan a nieshan foun ina ina Bagdad bai di fos faib memba ah edkwaata sens ina Viena,27
"Di 13 konchri akount fi 40 posent a gluobal ail prodokshan ah 73 posent a di wol ail rizoerv wa ""pruuv"", we gi [[OPEC]] mieja influens pah gluobal ail prais.",Di konchri akount fi posent a gluobal ail prodokshan ah posent a di wol ail rizoerv wa pruuv we gi OPEC mieja influens pah gluobal ail prais,27
"Az a Juun 2016, OPEC membadem a [[Aljiiria]], [[Angguola]], Ekuador, Indoniija, [[Iran]], Irak, [[Kuwiet]], [[Libia]], [[Naijiiria]], [[Kata]], [[Saadi Ariebia]] (di de facto liida), [[Yunaitid Arab Emiret]], ah [[Venizuela]].",Az a Juun OPEC membadem a Aljiiria Angguola Ekuador Indoniija Iran Irak Kuwiet Libia Naijiiria Kata Saadi Ariebia Yunaitid Arab Emiret ah Venizuela,23
"Mask (IPAc-en mɒsk; frah المسجد ""Al-masjid"") a plies a woship fi falara a [[Izlam]].",Mask a plies a woship fi falara a Izlam,9
"Nof mask ab ilabaret [[duom]], minaret, ah praya aal, ina difrah-difrah stail a aachitecha.",Nof mask ab ilabaret duom minaret ah praya aal ina difrahdifrah stail a aachitecha,14
Di abzoervebl yunivoers a bout 28 bilian paasek (91 bilian lait-ier) [[ina]] dayamita.,Di abzoervebl yunivoers a bout bilian paasek ina dayamita,9
"Riesizim a prodok a di kamplex intarakshan ina sasayati a ries-bies wolvyuu wid prejudis, steriotaipin, ah [[diskriminieshan]].",Riesizim a prodok a di kamplex intarakshan ina sasayati a riesbies wolvyuu wid prejudis steriotaipin ah diskriminieshan,17
"Absens a waar yuujali kaal ""[[piis]]"".",Absens a waar yuujali kaal piis,6
"Propuoshanali spiikin, di muos dischroktiv waar ina madan ischri a di Waar a di Chripl Alayans, we tek di laif a uoba 60% a [[Paragwai]] papilieshan, askaadn tu Stiivn Pingka (Steven Pinker).",Propuoshanali spiikin di muos dischroktiv waar ina madan ischri a di Waar a di Chripl Alayans we tek di laif a uoba a Paragwai papilieshan askaadn tu Stiivn Pingka,29
Senchral Afrikan Ripoblik a wahn konchri ina [[Afrika]].,Senchral Afrikan Ripoblik a wahn konchri ina Afrika,8
Istanbul a di bigis [[siti]] ina Torki.,Istanbul a di bigis siti ina Torki,7
"Alentisque a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Alentisque a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Uoshanagrafi (kompoun a di Griik woddem ""ὠκεανός"" miinin ""uoshan"" ah ""γράφω"" miinin ""fi rait""), aalso nuo az uoshanalaji, a di branch a ""h""[[Oert sayans]] we todi di uoshan.",Uoshanagrafi aalso nuo az uoshanalaji a di branch a hOert_sayans we todi di uoshan,14
"Kaaban (frah Latn: ""carbo"" ""kuol"") a wah [[kimikal eliment]] wid simbal C ah atamik nomba 6.",Kaaban a wah kimikal_eliment wid simbal C ah atamik nomba,10
"Trévago a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Trévago a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
Westan filasafi a di [[filasafi]]kal taat ah wok a di Westan wol.,Westan filasafi a di filasafikal taat ah wok a di Westan wol,12
"Istarikali, di toerm refa tu di filasafikal tingkin a Westan [[kolcha]], biginin wid Elenik (i.e.",Istarikali di toerm refa tu di filasafikal tingkin a Westan kolcha biginin wid Elenik ie,15
"Dis eh-ingkluud di prablem a filasafi az deh andastan tide; bot azwel iweh-ingkluud nof adaels disiplin, laka pyuor [[matimatix]] ah nachral sayans laka [[fizix]], astralaji, ah [[bailoji]] ([[Aristakl]], fi egzampl, eh-rait pah aal a demaya tapik.)",Dis ehingkluud di prablem a filasafi az deh andastan tide bot azwel iwehingkluud nof adaels disiplin laka pyuor matimatix ah nachral sayans laka fizix astralaji ah bailoji,27
"Pichruoliom (""[[L.]] petroleum"", frah hoerli 15c.",Pichruoliom L petroleum frah hoerli c,6
"[[ina]] Angglo-[[French]]), frah Midiival Latn petroleum, frah Latn: petra: ""rak"" + oleum: ""ail"") a nachral okorin, yelo-tu-blak likuid fain [[ina]] jaalajikal faamieshan biniit di [[Oert]] soerfis, we kamanli rifain ina vierios taip a fiuwil.",ina AnggloFrench frah Midiival Latn petroleum frah Latn petra rak oleum ail a nachral okorin yelotublak likuid fain ina jaalajikal faamieshan biniit di Oert soerfis we kamanli rifain ina vierios taip a fiuwil,33
"Marid, aalso kaal marij, machrimani ar wedlak, a suoshali ar richuali rekanaiz yuunian ar liigal kanchrak bitwiin spouz we extablish raits ah abligieshan bitwiin dem, bitwiin dem ah deh [[pitni]], ah bitwiin dem ah deh in-laa, azwel sasayati in jinaral.",Marid aalso kaal marij machrimani ar wedlak a suoshali ar richuali rekanaiz yuunian ar liigal kanchrak bitwiin spouz we extablish raits ah abligieshan bitwiin dem bitwiin dem ah deh pitni ah bitwiin dem ah deh inlaa azwel sasayati in jinaral,40
"Askaadn tu di ""[[Ax a di Apasl]]"", ih eh-get kanvoert pah di ruod gaa Damaskos.",Askaadn tu di Ax_a_di_Apasl ih ehget kanvoert pah di ruod gaa Damaskos,12
Totiin ipisl ina di Nyuu Testiment ina di [[Baibl]] asosiet wid Paal.,Totiin ipisl ina di Nyuu Testiment ina di Baibl asosiet wid Paal,12
"[[Pablo Neruda]] (Julai 12, 1904–Septemba 23, 1973) wehna di nikniem, an den di ofishal liigal niem fi di Chiliyan raita an palitishan [[Neftalí Ricardo Reyes Basoalto]].",Pablo_Neruda wehna di nikniem an den di ofishal liigal niem fi di Chiliyan raita an palitishan Neftalí Ricardo Reyes Basoalto,20
"Kahal Kadosh Shaare Shalom ""Uoli Kanggrigieshan a di Gietdem a Piis"", aalso nuo az di Yunaitid Kanggrigieshan a Izrelait, a wah istarik sinigag ina di siti a Kinston pah di ailan a [[Jumieka]].",Kahal Kadosh Shaare Shalom Uoli Kanggrigieshan a di Gietdem a Piis aalso nuo az di Yunaitid Kanggrigieshan a Izrelait a wah istarik sinigag ina di siti a Kinston pah di ailan a Jumieka,33
"Wid di inflox a Juu tu [[Jumieka]] ina di 17t senchri, moltipl sinigag eh-kanschok kraas di ailan ina soch siti az [[Mantigo Bie]], [[Panish Tong]], [[Puot Rayal]], ah [[Kinston]].",Wid di inflox a Juu tu Jumieka ina di t senchri moltipl sinigag ehkanschok kraas di ailan ina soch siti az Mantigo Bie Panish Tong Puot Rayal ah Kinston,29
"Arijinali, tuu sinigag eh-bil a [[Panish Tong]], di Sefaadi K.K.",Arijinali tuu sinigag ehbil a Panish_Tong di Sefaadi KK,9
"[[Neve Shalom]] (""Abitieshan a Piis"") kansikriet ina 1704, ah di ""h""Ashkenaazi K.K.",Neve_Shalom kansikriet ina ah di hAshkenaazi KK,7
"Mikve [[Izrel]] (""Uop a [[Izrel]]"") irek ina 1796.",Mikve Izrel irek ina,4
"Demya tuu kanggrigieshan uda lieta moerj az di Juudem bigin fi maigriet frah [[Panish Tong]] tu Kinston, di nyuu kiapital siti.",Demya tuu kanggrigieshan uda lieta moerj az di Juudem bigin fi maigriet frah Panish_Tong tu Kinston di nyuu kiapital siti,20
"Laka ina [[Panish Tong]], tuu kangrigieshan (Sefaadi ah Ashkenaazi) weh-egzis [[ina]] [[Kinston]].",Laka ina Panish_Tong tuu kangrigieshan wehegzis ina Kinston,8
"Di Yunaitid Kanggrigieshan a ""h""Izrelait eh-kanschok di arijinal Shaare Shalom sinigag [[ina]] 1885, bot wah oertkwiek dischrayi.",Di Yunaitid Kanggrigieshan a hIzrelait ehkanschok di arijinal Shaare Shalom sinigag ina bot wah oertkwiek dischrayi,16
"Ina 1921, di ""h""Ashkenaazi komiuniti moerj wid di [[Shaare Shalom Sinigag]] fi faam wah yuunifai kanggrigieshan we kantiniu fi egzis.",Ina di hAshkenaazi komiuniti moerj wid di Shaare_Shalom_Sinigag fi faam wah yuunifai kanggrigieshan we kantiniu fi egzis,17
Di sinigag kiah akamadiet muo dah 600 smadi fi soervis [[ina]] di sangchueri.,Di sinigag kiah akamadiet muo dah smadi fi soervis ina di sangchueri,12
Di sangchueri fluor kova [[ina]] san (frah di Sefaadi kostom) fi memba piipl bout di taim wen Juu eh-kova deh fluor wid san fi mofl di song a deh prayaz juurin di [[Panish Ingkuizishan]].,Di sangchueri fluor kova ina san fi memba piipl bout di taim wen Juu ehkova deh fluor wid san fi mofl di song a deh prayaz juurin di Panish Ingkuizishan,30
"Di kangrigieshan mentien di Ilel Akiadimi, wan a di tap prep skuul ina [[Jumieka]].",Di kangrigieshan mentien di Ilel Akiadimi wan a di tap prep skuul ina Jumieka,14
Di madan Juuwish komiuniti ina [[Jumieka]] kansis a apraximetli 250–300 Juu.,Di madan Juuwish komiuniti ina Jumieka kansis a apraximetli Juu,10
Duom a wah fiicha ina chrokcharal [[jaaloji]] we kansis a simechrikal antiklain we intasek wananeda a deh rispektiv iepex.,Duom a wah fiicha ina chrokcharal jaaloji we kansis a simechrikal antiklain we intasek wananeda a deh rispektiv iepex,19
"Di yong muosataim go tru metamaafosis frah laava wid gil, op tu fulsaiz ier-briidin faam wid [[long]].",Di yong muosataim go tru metamaafosis frah laava wid gil op tu fulsaiz ierbriidin faam wid long,17
"Deh syuupafishali fieba [[reptail]]; duo, alang wid [[mamal]] ah [[bod]], di reptail a hamnyuot ah no rikuaya no waata fi dem bret a ier.",Deh syuupafishali fieba reptail duo alang wid mamal ah bod di reptail a hamnyuot ah no rikuaya no waata fi dem bret a ier,24
"Pah di ailant a [[Jumieka]], di Maruun Kongsl a di hegzekitiv badi wid adminischrietiv powa ah abligieshan fi di Maruun komyuunitidem.",Pah di ailant a Jumieka di Maruun Kongsl a di hegzekitiv badi wid adminischrietiv powa ah abligieshan fi di Maruun komyuunitidem,21
"Di Branz Iej a taim piiriad kiaraktaraiz bai di yuus a [[branz]], pruoto-raitn, ah adaels hoerli fiicha a oerban sivilizieshan.",Di Branz Iej a taim piiriad kiaraktaraiz bai di yuus a branz pruotoraitn ah adaels hoerli fiicha a oerban sivilizieshan,20
Intiga a wah [[nomba]] we kiah raitdong widoutn no frakshanal kompuonent.,Intiga a wah nomba we kiah raitdong widoutn no frakshanal kompuonent,11
Iityuopia a wahn konchri ina [[Afrika]].,Iityuopia a wahn konchri ina Afrika,6
"Dis rienj a di yaad fi nain a di ten ayis piik pah Oert, ingkluudn di ayis abov sii lebl, [[Mount Evares]].",Dis rienj a di yaad fi nain a di ten ayis piik pah Oert ingkluudn di ayis abov sii lebl Mount_Evares,21
Nof Imaleyan piik siekrid ina buot [[Budizim]] ah [[Induizim]].,Nof Imaleyan piik siekrid ina buot Budizim ah Induizim,9
"Etikal iidonizim deh se eh-staat bai Aristipos a Sairiin (Aristippus of Cyrene), wah schuudent a [[Sakratiiz]].",Etikal iidonizim deh se ehstaat bai Aristipos a Sairiin wah schuudent a Sakratiiz,13
"Di foundieshan muosli nuo fi uos Wikipedia, di [[Intanet]] insaiklopidia, azwel az Wiktionary, Wikiquote, Wikibooks, Wikisource, Wikimedia Commons, Wikispecies, Wikinews, Wikiversity, Wikidata, Wikivoyage, Wikimedia Incubator, ah Meta-Wiki.",Di foundieshan muosli nuo fi uos Wikipedia di Intanet insaiklopidia azwel az Wiktionary Wikiquote Wikibooks Wikisource Wikimedia Commons Wikispecies Wikinews Wikiversity Wikidata Wikivoyage Wikimedia Incubator ah MetaWiki,27
"Ina [[bailoji]], di sel a di biesik chokcha a [[aaganizim]].",Ina bailoji di sel a di biesik chokcha a aaganizim,10
San Mariino Siti a di kiapital ah bigis siti ina [[San Mariino]].,San Mariino Siti a di kiapital ah bigis siti ina San_Mariino,11
"Aldealices a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Aldealices a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
"Wid di [[Daminikan Ripoblik]], iakiupai di ailan a [[Ispanyuola]], ina di Grieta Antiliiz Aakipelago.",Wid di Daminikan_Ripoblik iakiupai di ailan a Ispanyuola ina di Grieta Antiliiz Aakipelago,13
"""Ayiti"" (""Ai-op lan"") a weh di ""h""indijinos [[Taino]] niem fi di ailan.",Ayiti a weh di hindijinos Taino niem fi di ailan,10
"Ieti a weh di fos indipendant nieshan ina di [[Kiaribiyan]], di fos puos-koluonial indipendant blak-ron nieshan ina di wol, ah di onggl konchri we get indipendans afta wah soksesful sliev ribelian.",Ieti a weh di fos indipendant nieshan ina di Kiaribiyan di fos puoskoluonial indipendant blakron nieshan ina di wol ah di onggl konchri we get indipendans afta wah soksesful sliev ribelian,31
"Ieti a di onggl muosli Frankofuon nieshan ina di Kiaribiyan, ah wan outa tuu ina [[Naat Amoerka]] (wid [[Kianada]]) we ab [[French]] az ofishal languij.",Ieti a di onggl muosli Frankofuon nieshan ina di Kiaribiyan ah wan outa tuu ina Naat_Amoerka we ab French az ofishal languij,22
"Monteagudo de las Vicarías a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Monteagudo de las Vicarías a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,15
"Castillejo de Robledo a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Castillejo de Robledo a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,14
"Panish (Panish: español/castellano) a wah romans languij we kombout ina nadan [[Spien]], ah den likl bai likl ivalv ina di mien languij ina gobament ah chried.",Panish a wah romans languij we kombout ina nadan Spien ah den likl bai likl ivalv ina di mien languij ina gobament ah chried,24
"Afta dat, bitwiin di fiftiint ah di naintiint senchri, juurin koluonial expanshan, ipred gaa [[Afrika]], di [[Amoerkaz]], [[Ieja]] ah di Pasifik.",Afta dat bitwiin di fiftiint ah di naintiint senchri juurin koluonial expanshan ipred gaa Afrika di Amoerkaz Ieja ah di Pasifik,21
"Dis meki aida di sekan ar tod languij we piipl taak di muos az deh fos languij [[ina]] di [[wol]], dipen [[pan]] di suos we yu riid.",Dis meki aida di sekan ar tod languij we piipl taak di muos az deh fos languij ina di wol dipen pan di suos we yu riid,27
"Yu muosli nuotis dis ina konchri laka [[Brazil]], di [[Yunaitid Stiet]], [[Itali]], [[Puotigal]], [[Frans]], ah muos a di ""h""Ingglish taakin konchridem.",Yu muosli nuotis dis ina konchri laka Brazil di Yunaitid Stiet Itali Puotigal Frans ah muos a di hIngglish taakin konchridem,21
