Property,e1,e2,Sentence,Properties,TripleInWD
P31,Q30153,Q152,"[[Makwo]] (""Scomber scombrus"") se yon [[pwason]].",,False
P31,Q2258881,Q152,[[Twit]] se yon [[pwason]].,,False
P31,Q273083,Q152,[[Melan]] se yon [[pwason]].,,False
P31,Q209907,Q152,[[Aran]] se yon [[pwason]].,,False
P31,Q7372,Q152,[[Reken]] se yon [[pwason]].,['P279'],False
P31,Q2428509,Q152,[[Mori]] se yon [[pwason]].,,False
P31,Q5141254,Q152,[[Sadin]] se yon [[pwason]].,,False
P31,Q6146274,Q152,[[Ton]] se yon [[pwason]].,,False
P31,Q237046,Q152,[[Dorad]] se yon [[pwason]].,,False
P31,Q62603,Q729,[[Lanbi]] se yon [[bèt]].,,False
P31,Q2535664,Q729,[[Krokodil]] se yon [[bèt]].,,False
P31,Q34706,Q729,[[Lewopa]] se yon [[bèt]].,,False
P31,Q7368,Q729,[[Mouton]] se yon [[bèt]].,,False
P31,Q4767951,Q729,[[Bèf]] se yon [[bèt]].,,False
P31,Q1517781,Q729,[[Kribich]] se yon [[bèt]].,,False
P31,Q223044,Q729,[[Tòti]] se yon [[bèt]].,,False
P31,Q34505,Q729,[[Ipopotam]] se yon [[bèt]].,,False
P31,Q47253,Q729,[[Vè]] se yon [[bèt]].,,False
P31,Q15879,Q729,[[Leza]] se yon [[bèt]].,,False
P31,Q36396,Q729,[[Rat]] se yon [[bèt]].,,False
P31,Q140,Q729,[[Lyon]] se yon [[bèt]].,,False
P31,Q19939,Q729,[[Tig]] se yon [[bèt]].,,False
P31,Q916760,Q729,[[Langous]] se yon [[bèt]].,,False
P31,Q42569,Q729,[[Lama]] se yon [[bèt]].,['P1889'],False
P31,Q53636,Q729,[[Krapo]] se yon [[bèt]].,,False
P31,Q18498,Q729,[[Lou]] se yon [[bèt]].,,False
P31,Q11788,Q729,[[Lous]] se yon [[bèt]].,,False
P31,Q34718,Q729,[[Rinosewòs]] se yon [[bèt]].,,False
P31,Q8331,Q729,[[Rena]] se yon [[bèt]].,,False
P31,Q40802,Q729,[[Krab]] (Brachyura) se yon [[bèt]].,,False
P31,Q1038113,Q729,[[Oma]] se yon [[bèt]].,,False
P31,Q6481228,Q1390,[[Pou]] se yon [[ensèk]].,,False
P31,Q9458574,Q1390,[[Gèp]] se yon [[ensèk]].,,False
P31,Q546583,Q1390,[[Tèmit]] se yon [[ensèk]].,,False
P31,Q25375,Q1390,[[Demwazèl]] se yon [[ensèk]].,,False
P31,Q25312,Q1390,[[Mouch]] se yon [[ensèk]].,,False
P31,Q25420,Q1390,[[Koukouy]] se yon [[ensèk]].,,False
P31,Q81825,Q1390,[[Chini]] se yon [[ensèk]].,,False
P31,Q11946202,Q1390,[[Papiyon]] se yon [[ensèk]].,,False
P31,Q130778,Q1390,[[Sigal]] se yon [[ensèk]].,,False
P31,Q83902,Q1390,[[Krikèt]] se yon [[ensèk]].,,False
P31,Q7386,Q1390,[[Foumi]] se yon [[ensèk]].,,False
P1376,Q1489,Q96,[[Meksiko]] se kapital [[Meksik]].,"['P17', 'P131', 'P1376']",True
P1376,Q3870,Q114,[[Nayrobi]] se kapital [[Kenya]].,"['P17', 'P1376']",True
P1376,Q3894,Q1036,[[Kanpala]] se kapital [[Ouganda]].,"['P17', 'P1376']",True
P1376,Q1335,Q77,[[Montevideo]] se kapital [[Irigwe]].,"['P17', 'P1376']",True
P1376,Q2467,Q778,[[Naso]] se kapital [[Bahamas]].,"['P17', 'P1376']",True
P1376,Q2933,Q733,[[Asounsyòn]] se kapital [[Paragwe]].,"['P17', 'P1376']",True
P1376,Q3859,Q1037,[[Kigali]] se kapital peyi [[Rwanda]].,"['P17', 'P1376']",True
P1376,Q21197,Q217,[[Chisinaou]] se kapital peyi [[Moldavi]].,"['P17', 'P1376']",True
P1376,Q3897,Q916,[[Louanda]] se kapital peyi [[Angola]].,"['P17', 'P1376']",True
P1376,Q1362,Q843,[[Islamabad]] se kapital peyi [[Pakistan]].,"['P17', 'P1376']",True
P36,Q766,Q34692,Kapital [[Jamayik]] se [[Kinstòn]].,['P36'],True
P36,Q1207,Q37066,Kapital [[Dakota dinò]] se [[Bismàk]].,['P36'],True
P36,Q159,Q649,Kapital [[Risi]] se [[Moskou]].,"['P36', 'P150']",True
P36,Q34754,Q168652,Kapital [[Somaliland]] se [[Hargeysa]].,['P36'],True
P106,Q19844260,Q33999,[[María José Mariscal]] (ki fèt 2006) se yon [[aktè]].,['P106'],True
P106,Q3875031,Q33999,[[Armando Araiza]] se yon [[aktè]].,['P106'],True
P106,Q984426,Q33999,[[Jorge Lavat]] (ki fèt 1933) se yon [[aktè]].,['P106'],True
P106,Q65322568,Q33999,[[Raúl Carbonell Huo]] se yon [[aktè]].,['P106'],True
P106,Q31721222,Q33999,[[Enoc Leaño]] se yon [[aktè]].,['P106'],True
P106,Q3163659,Q33999,[[Jean-Alain Velardo]] se yon [[aktè]].,['P106'],True
P106,Q5996446,Q33999,[[Marco de Paula]] (1977) se yon [[aktè]].,['P106'],True
P106,Q12892187,Q33999,[[Judith Vilbon]] se yon [[aktris]].,,False
P106,Q61107576,Q33999,[[Pilar Ixquic Mata]] se yon [[aktris]].,['P106'],True
P106,Q55478390,Q33999,[[Adela Legrá]] se yon [[aktris]].,['P106'],True
P106,Q422581,Q33999,[[Cynthia Olavarría]] (ki fèt 1982) se yon [[aktris]] pòtoriken.,['P106'],True
P106,Q65322204,Q33999,[[Joann Polanco]] se yon [[aktris]].,,False
P31,Q2796766,Q152,[[Somon]] se yon [[pwason]].,['P279'],False
P1376,Q597,Q45,[[Lisbòn]] se kapital [[Pòtigal]].,"['P17', 'P1376']",True
