Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Un pulitico de Georgia si Zaza Lominadze.,Zaza Lominadze,pulitico,Q106680628,Q82955,P106
Un ciudad na Turkey el Edirne.,Edirne,Turkey,Q43387,Q43,P17
Un ciudad na Argentina el Reconquista que tiene populacion de 99.288 residente (2010).,Reconquista,Argentina,Q933165,Q414,P17
Roma el centro ciudad (na Pais) del Italia/Italy.,Roma,Italia,Q220,Q38,P1376
Un ciudad na Netherlands el Utrecht que tiene populacion de 324.723 residente (2013).,Utrecht,Netherlands,Q803,Q55,P17
Locao na Costa Norte del Amerika el Cuba.,Cuba,Amerika,Q241,Q49,P30
Un ciudad na Germany el Düsseldorf.,Düsseldorf,Germany,Q1718,Q183,P17
Un singer de fado na Portugal si Cristina Branco.,Cristina Branco,singer,Q463925,Q177220,P106
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria el Tordas.,Tordas,Hangaria,Q972594,Q28,P17
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria el Vereb.,Vereb,Hangaria,Q587260,Q28,P17
Un ciudad na Switzerland el Zurich que tiene populacion de 392.062 residente (2012).,Zurich,Switzerland,Q72,Q39,P17
Un pulitico de Georgia si Levan Varshalomidze.,Levan Varshalomidze,pulitico,Q660038,Q82955,P106
Un pulitico de Georgia si Nona Mamulashvili.,Nona Mamulashvili,pulitico,Q104776858,Q82955,P106
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria el Pátka .,Pátka,Hangaria,Q1094990,Q28,P17
Un singer si Billie Eilish.,Billie Eilish,singer,Q29564107,Q177220,P106
Un probincia na Argentina el Corrientes que tiene populacion de 346.334 residente (2010).,Corrientes,Argentina,Q44758,Q414,P131
Locao na Asia el Israel.,Israel,Asia,Q801,Q48,P30
Un cantora si Lena Belkina (quien ya nase del 1987).,Lena Belkina,cantora,Q6522077,Q177220,P106
Nuuk el centro ciudad (na Pais) del Greenland.,Nuuk,Greenland,Q226,Q223,P1376
Un lugar que tiene mga casarias na probincia de Fejér na Hangaria/Hungary el Vértesacsa.,Vértesacsa,Hangaria,Q1084360,Q28,P17
Un pulitico de Georgia si Davit Kirkitadze.,Davit Kirkitadze,pulitico,Q12863569,Q82955,P106
"Un probincia na Argentina el Mendoza que tiene populacion de 114.822
residente (2010).",Mendoza,Argentina,Q44797,Q414,P131
Un pulitico de Georgia si Irakli Beraia.,Irakli Beraia,pulitico,Q94997724,Q82955,P106
Un pulitico de Georgia si Irakli Zarkua.,Irakli Zarkua,pulitico,Q106680689,Q82955,P106
"Un ciudad na Netherlands el Rotterdam que tiene populacion de 617.347 
residente (2012).",Rotterdam,Netherlands,Q34370,Q55,P131
