Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Burkina Faso hem i wan kaontri long Afrika .,Burkina Faso,Afrika,Q965,Q15,P30
Daejeon emi wan siti long Saot Koria .,Daejeon,Saot Koria,Q20921,Q884,P131
Junichiro Koizumi ( bon 8 Januware 1942 ) hemi bin praem minista blong Japan bifo .,Junichiro Koizumi,praem minista blong Japan,Q130852,Q274948,P39
Torba hem i wan provens blong Vanuatu .,Torba,Vanuatu,Q822514,Q686,P131
Vilnius emi kapitol blong Lithuania .,Vilnius,Lithuania,Q216,Q37,P1376
Łobez hemi wan taon long Polan .,Łobez,Polan,Q196163,Q36,P17
Masayoshi Ito ( 15 Desemba 1913 Ð 21 Mei 1994 ) hem i wan politisen blong Japan blong bifo .,Masayoshi Ito,politisen,Q744989,Q82955,P106
Corinth emi wan ples long Greece.,Corinth,Greece,Q103011,Q41,P17
Berlin hemi kapitol blong Jemani .,Berlin,Jemani,Q64,Q183,P1376
Ulsan hem i wan siti long Saot Koria .,Ulsan,Saot Koria,Q41278,Q884,P131
Trenton hemi kapitol blong New Jersey .,Trenton,New Jersey,Q25330,Q1408,P1376
Namibia emi wan kaontri long Afrika .,Namibia,Afrika,Q1030,Q15,P30
Bangkok hem i kapitol blong Taelan .,Bangkok,Taelan,Q1861,Q869,P1376
Fiji hemi wan kaontri long Pasifik .,Fiji,Pasifik,Q712,Q538,P30
Somkid Jatusripitak ( bon long yia 1958 ) emi wan politisen blong Taelan .,Somkid Jatusripitak,politisen,Q4922374,Q82955,P106
Takeo Miki ( 17 Maj 1907 Ð 14 Novemba 1988 ) hem i bin praem minista blong Japan bifo .,Takeo Miki,praem minista blong Japan,Q317675,Q274948,P39
Solomon Aelan hemi wan kaontri long Pasifik .,Solomon Aelan,Pasifik,Q685,Q538,P30
Alexander Hamilton ( 1757 - 1804 ) emi wan politisen blong US bifo .,Alexander Hamilton,politisen,Q178903,Q82955,P106
Rwanda hem i wan kaontri long Afrika .,Rwanda,Afrika,Q1037,Q15,P30
Isangel hemi kapitol blong Tafea .,Isangel,Tafea,Q1070178,Q576417,P1376
Penama emi wan provens blong Vanuatu .,Penama,Vanuatu,Q836649,Q686,P131
Yoshirō Mori ( bon 14 Julae 1937 ) hem i bin praem minista blong Japan bifo .,Yoshirō Mori,praem minista blong Japan,Q233499,Q274948,P39
Hoobastank hemi wan miusik grup blong US .,Hoobastank,blong US,Q49724,Q30,P495
Kaoru Yosano ( 22 Ogis 1938 Ð 23 Mei 2017 ) emi bin wan politisen blong Japan .,Kaoru Yosano,politisen,Q1156675,Q82955,P106
Bangladesh hem i wan kaontri long Asia .,Bangladesh,Asia,Q902,Q48,P30
Kunio Hatoyama ( 1948 - 2016 ) hemi bin wan politisen blong Japan .,Kunio Hatoyama,politisen,Q777936,Q82955,P106
GŽrard Philipe ( 1922 - 1959 ) emi wan akta blong Franis blong bifo .,GŽrard Philipe,akta,Q150662,Q33999,P106
James Maitland Stewart ( 20 Mei 1908 Ð 2 Julae 1997 ) hem i wan akta blong US blong bifo .,James Maitland Stewart,akta,Q102462,Q33999,P106
Benedicta Boccoli ( bon long Milan long 11 Novemba 1966 ) hemi wan akta blong Italy .,Benedicta Boccoli,akta,Q2448709,Q33999,P106
Tafea emi wan provens blong Vanuatu .,Tafea,Vanuatu,Q576417,Q686,P131
Pierre hem i kapitol blong South Dakota .,Pierre,South Dakota,Q40747,Q1211,P1376
Port Moresby hemi kapitol blong Papua Niugini .,Port Moresby,Papua Niugini,Q36526,Q691,P1376
Georgia emi wan kaontri long Asia .,Georgia,Asia,Q230,Q48,P30
Jean-Alfred Villain-Marais ( 1913 - 1998 ) hem i wan akta blong Franis blong bifo .,Jean-Alfred Villain-Marais,akta,Q168359,Q33999,P106
Bette Midler ( bon 1 Desemba 1945 ) hemi wan akta blong US .,Bette Midler,akta,Q190631,Q10800557,P106
Jirō Hatoyama ( bon 1979 ) emi wan politisen blong Japan .,Jirō Hatoyama,politisen,Q17219387,Q82955,P106
Coreca hem i wan taon long saot blong Italy .,Coreca,Italy,Q15220504,Q38,P17
Mongolia hemi wan kaontri long Asia .,Mongolia,Asia,Q711,Q48,P30
Yemen emi wan kaontri long Asia .,Yemen,Asia,Q805,Q48,P30
Momoko Okui ( bon 7 Maj 1968 ) hem i wan akta blong Japan .,Momoko Okui,akta,Q11445603,Q33999,P106
Sanma hemi wan provens blong Vanuatu .,Sanma,Vanuatu,Q740640,Q686,P131
William Shatner ( bon 22 Maj 1931 ) emi wan akta blong Canada .,William Shatner,akta,Q16297,Q33999,P106
Judy Garland ( 10 Jun 1922 Ð 22 Jun 1969 ) hem i wan akta blong US blong bifo .,Judy Garland,akta,Q11637,Q33999,P106
Switzerland hemi wan kaontri long Yurop .,Switzerland,Yurop,Q39,Q46,P30
Gryfice emi wan taon long Polan .,Gryfice,Polan,Q167744,Q36,P17
Nepal hem i wan kaontri long Asia .,Nepal,Asia,Q837,Q48,P30
Gambia hemi wan kaontri long Afrika .,Gambia,Afrika,Q1005,Q15,P30
Sejong hem i wan siti long Saot Koria .,Sejong,Saot Koria,Q20929,Q884,P131
Lebanon emi wan kaontri long Asia .,Lebanon,Asia,Q822,Q48,P30
Demi Moore ( bon 11 Novemba 1962 olsem Demetra Gene Guynes ) hemi wan akta blong US .,Demi Moore,akta,Q43044,Q33999,P106
Tuvalu hem i wan kaontri long Pasifik .,Tuvalu,Pasifik,Q672,Q538,P30
Vienna hem i kapitol blong Ostria .,Vienna,Ostria,Q1741,Q40,P1376
Wrocław hemi wan siti long Polan .,Wrocław,Polan,Q1799,Q36,P17
Filipin emi wan kaontri long Asia .,Filipin,Asia,Q928,Q48,P30
Madrid hem i kapitol blong Spain .,Madrid,Spain,Q2807,Q29,P1376
Springfield hemi kapitol blong Illinois .,Springfield,Illinois,Q28515,Q1204,P1376
Kajang Tularak ( 1913 - 2009 ) hem i bin wan politisen blong Taelan .,Kajang Tularak,politisen,Q13012531,Q82955,P106
Jemani hem i wan kaontri long Yurop .,Jemani,Yurop,Q183,Q46,P30
Lauren Bacall ( 16 Septemba 1924 Ð 12 Ogis 2014 ) hemi bin wan akta blong US .,Lauren Bacall,akta,Q104000,Q33999,P106
James Montgomery Doohan ( 1920 - 2005 ) hem i wan akta blong Canada .,James Montgomery Doohan,akta,Q318412,Q33999,P106
Bry-sur-Marne emi wan taon long Franis .,Bry-sur-Marne,Franis,Q369954,Q142,P17
Botswana hemi wan kaontri long Afrika .,Botswana,Afrika,Q963,Q15,P30
Irwin Keyes ( 16 Maj 1952 Ð 8 Julae 2015 ) hem i bin wan akta blong US bifo .,Irwin Keyes,akta,Q6075068,Q33999,P106
Claudette Colbert ( 13 Septemba 1903 Ð 30 Julae 1996 ) emi bin wan akta blong US bifo .,Claudette Colbert,akta,Q203819,Q10800557,P106
Gary Cooper ( 7 Mei 1901 Ð 13 Mei 1961 ) hemi wan akta blong US blong bifo .,Gary Cooper,akta,Q93957,Q33999,P106
Prague hem i kapitol blong Czech Ripablik .,Prague,Czech Ripablik,Q1085,Q213,P1376
Yuriko Koike ( bon 15 Julae 1952 ) hem i wan politisen blong Japan .,Yuriko Koike,politisen,Q261703,Q82955,P106
Ryutaro Hashimoto ( 29 Julae 1937 Ð 1 Julae 2006 ) hemi bin praem minista blong Japan bifo .,Ryutaro Hashimoto,praem minista blong Japan,Q309374,Q274948,P39
Bochotnica emi wan smol taon long Polan .,Bochotnica,Polan,Q2386011,Q36,P17
Gwangju hem i wan siti blong Saot Koria .,Gwangju,Saot Koria,Q41283,Q884,P17
Jackie Chan ( bon 1954 ) hemi wan akta blong Hong Kong .,Jackie Chan,akta,Q36970,Q10800557,P106
Seoul emi kapitol blong Saot Koria .,Seoul,Saot Koria,Q8684,Q884,P1376
Benjamin Franklin ( 1706 - 1790 ) hem i bin wan politisen blong US bifo .,Benjamin Franklin,politisen,Q34969,Q82955,P106
