text,text_clean,text_ents
"[[Ibn Al-Roumi]], oben [[Abou el-Hassan]] Ali ben Abbas ar-[[Roumi]], sirnonmen ibn ar-[[Roumi]] pas so pè té krétchen, sa roun powèt arab chiite né an 836 é mouri an 896, atè [[Bagdad]].",Ibn AlRoumi oben Abou elHassan Ali ben Abbas arRoumi sirnonmen ibn arRoumi pas so pè té krétchen sa roun powèt arab chiite né an é mouri an atè Bagdad,Ibn_AlRoumi oben Abou elHassan Ali ben Abbas arRoumi sirnonmen ibn arRoumi pas so pè té krétchen sa roun powèt arab chiite né an é mouri an atè Bagdad
I ka lésé dèyè li dé lèt ki li té voyé pou so zanmi é oun diwan.,I ka lésé dèyè li dé lèt ki li té voyé pou so zanmi é oun diwan,I ka lésé dèyè li dé lèt ki li té voyé pou so zanmi é oun diwan
Li pédi so pròch é mété so kò à ékri dé powèm koté li ka kritiké sa ki fè li di mal.,Li pédi so pròch é mété so kò à ékri dé powèm koté li ka kritiké sa ki fè li di mal,Li pédi so pròch é mété so kò à ékri dé powèm koté li ka kritiké sa ki fè li di mal
Épi li mouri anpwazonnen.,Épi li mouri anpwazonnen,Épi li mouri anpwazonnen
"Filozofi ògsidantal-a ka dézigné pansé filozofik-a é so élaborasyon an Ògsidan, ka distengé so kò osi di filozofi oryantal-a oben di ròt tandans divèrs òbsèrvé koté plizyò pèp otoktonn.",Filozofi ògsidantala ka dézigné pansé filozofika é so élaborasyon an Ògsidan ka distengé so kò osi di filozofi oryantala oben di ròt tandans divèrs òbsèrvé koté plizyò pèp otoktonn,Filozofi ògsidantala ka dézigné pansé filozofika é so élaborasyon an Ògsidan ka distengé so kò osi di filozofi oryantala oben di ròt tandans divèrs òbsèrvé koté plizyò pèp otoktonn
"Tèrm-an sa résan é sa envanté pou dézigné pansé filozofik-a di sivilizasyon ògsidantal-a di so rakaba grèk-ya, an Lagrès antik, é ka kouvri évantchwèlman oun grann [[parti]] di glòb ki ka enkli [[Amérik]] di Nò ké [[Ostrali]]-a.",Tèrman sa résan é sa envanté pou dézigné pansé filozofika di sivilizasyon ògsidantala di so rakaba grèkya an Lagrès antik é ka kouvri évantchwèlman oun grann parti di glòb ki ka enkli Amérik di Nò ké Ostralia,Tèrman sa résan é sa envanté pou dézigné pansé filozofika di sivilizasyon ògsidantala di so rakaba grèkya an Lagrès antik é ka kouvri évantchwèlman oun grann parti di glòb ki ka enkli Amérik di Nò ké Ostralia
"[[Mo]] ""filozofi"" sa li-menm orijinèr di Lagrès antik-a : philosophia (φιλοσοφία), litéralman, « lanmou di sajès-a » (φιλεῖν - philein « kontan » épi σοφία - sophia ""sajès"", annan sans-a di konésans-a)",Mo filozofi sa limenm orijinèr di Lagrès antika philosophia φιλοσοφία litéralman « lanmou di sajèsa » φιλεῖν philein « kontan » épi σοφία sophia sajès annan sansa di konésansa,Mo filozofi sa limenm orijinèr di Lagrès antika philosophia φιλοσοφία litéralman « lanmou di sajèsa » φιλεῖν philein « kontan » épi σοφία sophia sajès annan sansa di konésansa
Pròch-Oryan.,PròchOryan,PròchOryan
"Roger d’Antioche ka asiré so kò kontrol-a di tout larout-ya mennen atè [[Alep]], ka tchipé prensipal fòrtérès-ya ki kz antouré lavil-a, é fot di rézistans, ka rivé menm à prélvé oun taks asou chak pèlren ki ka randé so kò à [[La Mecque]].",Roger d ’ Antioche ka asiré so kò kontrola di tout laroutya mennen atè Alep ka tchipé prensipal fòrtérèsya ki kz antouré lavila é fot di rézistans ka rivé menm à prélvé oun taks asou chak pèlren ki ka randé so kò à La Mecque,Roger d ’ Antioche ka asiré so kò kontrola di tout laroutya mennen atè Alep ka tchipé prensipal fòrtérèsya ki kz antouré lavila é fot di rézistans ka rivé menm à prélvé oun taks asou chak pèlren ki ka randé so kò à La Mecque
Sa paj ka konserné lannen 1820 (MDCCCXX an chif romen) di kalandriyé grégoryen.,Sa paj ka konserné lannen MDCCCXX an chif romen di kalandriyé grégoryen,Sa paj ka konserné lannen MDCCCXX an chif romen di kalandriyé grégoryen
1762 sa roun lannen koumin ki ka koumansé oun vandrédi.,sa roun lannen koumin ki ka koumansé oun vandrédi,sa roun lannen koumin ki ka koumansé oun vandrédi
Bèl-lar sa annan tradisyon akadémik ògsidantal oun ansanm di disiplin artistik.,Bèllar sa annan tradisyon akadémik ògsidantal oun ansanm di disiplin artistik,Bèllar sa annan tradisyon akadémik ògsidantal oun ansanm di disiplin artistik
"I ka enkli istorikman desen-an, lapentir-a, èskiltir-a, architèktir-a, lanmizik-a, powézi-a, téyat-a ké ladans-a.",I ka enkli istorikman desenan lapentira èskiltira architèktira lanmizika powézia téyata ké ladansa,I ka enkli istorikman desenan lapentira èskiltira architèktira lanmizika powézia téyata ké ladansa
"Si li ka konsèrné inisyalman lar plastik-ya « ki ka vizé à èsprésyon sansib di bèl », tèrm-an di bèl-lar sa anplwayé pou dé disiplin divèrs soulon péyi-ya ké kiltir-ya.",Si li ka konsèrné inisyalman lar plastikya « ki ka vizé à èsprésyon sansib di bèl » tèrman di bèllar sa anplwayé pou dé disiplin divèrs soulon péyiya ké kiltirya,Si li ka konsèrné inisyalman lar plastikya « ki ka vizé à èsprésyon sansib di bèl » tèrman di bèllar sa anplwayé pou dé disiplin divèrs soulon péyiya ké kiltirya
"[[Sèrbi]] /sɛʁ.bi/, an form long Répiblik di [[Sèrbi]], an serb laten [[Srbija]]/sř̩.bi.ja/ é [[Republika Srbija]], an serbecyrillique Сpбија é Република Сpбија, sa roun Léta di Éròp di Lès, ki ka fè [[parti]] dé Balkan oksidantal é di Éròp santral ; so réjim politik sa di tip démokrasi parlmantèr monokaméral.",Sèrbi sɛʁbi an form long Répiblik di Sèrbi an serb laten Srbijasř̩bija é Republika Srbija an serbecyrillique Сpбија é Република Сpбија sa roun Léta di Éròp di Lès ki ka fè parti dé Balkan oksidantal é di Éròp santral so réjim politik sa di tip démokrasi parlmantèr monokaméral,Sèrbi sɛʁbi an form long Répiblik di Sèrbi an serb laten Srbijasř̩bija é Republika Srbija an serbecyrillique Сpбија é Република Сpбија sa roun Léta di Éròp di Lès ki ka fè parti dé Balkan oksidantal é di Éròp santral so réjim politik sa di tip démokrasi parlmantèr monokaméral
"Emmanuel [[Kant (Immanuel]] an alman, prounonsé an sa lanng [ɪˈmaːnu̯eːl kant]), né 22 avril 1724 atè [[Königsberg]], kapital di [[Prusse]]-Oryantal, é mouri annan sa menm lavil 12 févriyé 1804, sa roun filozòf alman, fondatò di kritisism é di dòktrin dit « idéyalism transandantal ».",Emmanuel Kant Immanuel an alman prounonsé an sa lanng ɪˈmaːnu̯eːl kant né avril atè Königsberg kapital di PrusseOryantal é mouri annan sa menm lavil févriyé sa roun filozòf alman fondatò di kritisism é di dòktrin dit « idéyalism transandantal »,Emmanuel Kant_Immanuel an alman prounonsé an sa lanng ɪˈmaːnu̯eːl kant né avril atè Königsberg kapital di PrusseOryantal é mouri annan sa menm lavil févriyé sa roun filozòf alman fondatò di kritisism é di dòktrin dit « idéyalism transandantal »
"Gran pansò di [[Aufklärung]] (Limyè almann), [[Kant]] ègzèrsé oun enfliyans konsidérab asou idéyalism almann, filozofi analitik-a, fénoménoloji-a, filozofi pòsmodèrn-an, ké pansé kritik-a an jénéral.",Gran pansò di Aufklärung Limyè almann Kant ègzèrsé oun enfliyans konsidérab asou idéyalism almann filozofi analitika fénoménolojia filozofi pòsmodèrnan ké pansé kritika an jénéral,Gran pansò di Aufklärung Limyè almann Kant ègzèrsé oun enfliyans konsidérab asou idéyalism almann filozofi analitika fénoménolojia filozofi pòsmodèrnan ké pansé kritika an jénéral
Oun Minout sa oun inité pratik di mizour di [[tan]].,Oun Minout sa oun inité pratik di mizour di tan,Oun Minout sa oun inité pratik di mizour di tan
"Byen ki an dèrò di Systèm enternasyonal (SE), li sa itilizé kominèman.",Byen ki an dèrò di Systèm enternasyonal SE li sa itilizé kominèman,Byen ki an dèrò di Systèm enternasyonal SE li sa itilizé kominèman
Minout-a sa défini kou oun douré di 60 [[ségonn]].,Minouta sa défini kou oun douré di ségonn,Minouta sa défini kou oun douré di ségonn
Oun [[lò]] gen 60 minout.,Oun lò gen minout,Oun lò gen minout
Élèktrokardjografi ([[EKG]]) sa roun rouprézantasyon grafik di aktivité élèktrik-a di tchò.,Élèktrokardjografi EKG sa roun rouprézantasyon grafik di aktivité élèktrika di tchò,Élèktrokardjografi EKG sa roun rouprézantasyon grafik di aktivité élèktrika di tchò
Sa aktivité élèktrik sa lyannen o varyasyon di potansyèl élèktrik dé sélil èspésyalizé annan kontraksyon-an (myosit) é dé selil èspésyalizé annan otomatism-an é kondiksyon-an dé influx.,Sa aktivité élèktrik sa lyannen o varyasyon di potansyèl élèktrik dé sélil èspésyalizé annan kontraksyonan myosit é dé selil èspésyalizé annan otomatisman é kondiksyonan dé influx,Sa aktivité élèktrik sa lyannen o varyasyon di potansyèl élèktrik dé sélil èspésyalizé annan kontraksyonan myosit é dé selil èspésyalizé annan otomatisman é kondiksyonan dé influx
Li sa rékéyi pa dé élèktròd à sirfas-a di lapo-a.,Li sa rékéyi pa dé élèktròd à sirfasa di lapoa,Li sa rékéyi pa dé élèktròd à sirfasa di lapoa
Élèktrokardjogranm-an sa trasé papyé-a di aktivité élèktrik annan tchò-a.,Élèktrokardjogranman sa trasé papyéa di aktivité élèktrik annan tchòa,Élèktrokardjogranman sa trasé papyéa di aktivité élèktrik annan tchòa
Élèktrokardjograf-a sa aparèy-a ki ka pèrmèt di fè roun élèktrokardjogranm.,Élèktrokardjografa sa aparèya ki ka pèrmèt di fè roun élèktrokardjogranm,Élèktrokardjografa sa aparèya ki ka pèrmèt di fè roun élèktrokardjogranm
"Élèktrokardjoskòp-a, oben skòp, sa roun aparèy ki ka afiché trasé-a asou roun lékran.",Élèktrokardjoskòpa oben skòp sa roun aparèy ki ka afiché traséa asou roun lékran,Élèktrokardjoskòpa oben skòp sa roun aparèy ki ka afiché traséa asou roun lékran
"A roun ègzanmen rapid ki ka pran ki tchèk minout, endolò é pa envazif, dénwé di tout danjé.",A roun ègzanmen rapid ki ka pran ki tchèk minout endolò é pa envazif dénwé di tout danjé,A roun ègzanmen rapid ki ka pran ki tchèk minout endolò é pa envazif dénwé di tout danjé
1732 sa roun lannen bisègstil ki ka koumansé oun mardi.,sa roun lannen bisègstil ki ka koumansé oun mardi,sa roun lannen bisègstil ki ka koumansé oun mardi
1901 sa roun lannen konmin ki ka koumansé oun mardi.,sa roun lannen konmin ki ka koumansé oun mardi,sa roun lannen konmin ki ka koumansé oun mardi
"[[Lonn]] (prounonsé [lɔ̃dʁ] ; an anglé [[London[ˈlʌn.dən]]]), sitchwé annan Sidès-a di [[Grann-Brétagn]], sa kapital-a ké pli grann lavil di Anglétèr é di Rwayom-Ini.",Lonn prounonsé lɔ̃dʁ an anglé Londonˈlʌndən sitchwé annan Sidèsa di GrannBrétagn sa kapitala ké pli grann lavil di Anglétèr é di RwayomIni,Lonn prounonsé lɔ̃dʁ an anglé Londonˈlʌndən sitchwé annan Sidèsa di GrannBrétagn sa kapitala ké pli grann lavil di Anglétèr é di RwayomIni
"Lontan kapital di Anpir britanik, li sa dézòrmè syèj di [[Commonwealth of Nations]].",Lontan kapital di Anpir britanik li sa dézòrmè syèj di Commonwealth of Nations,Lontan kapital di Anpir britanik li sa dézòrmè syèj di Commonwealth_of_Nations
"Fondé i té gen prèsk 2 000 lan pa Romen-yan anba non-an di [[Londinium]], [[Lonn]] té o xixe syèk lavil-a pli péplé di monn.",Fondé i té gen prèsk lan pa Romenyan anba nonan di Londinium Lonn té o xixe syèk lavila pli péplé di monn,Fondé i té gen prèsk lan pa Romenyan anba nonan di Londinium Lonn té o xixe syèk lavila pli péplé di monn
"[[Charlemagne]], di laten [[Carolus Magnus]], oben Charles Ie nonmen « Gran-an », né à roun dat enkonnèt (vrèsanblabman douran lannen 742, wè 747 oben 748, pitèt 2 avril), mouri 28 janvyé 814 à [[Aix-la-Chapelle]], sa roun rwa dé [[Franc]] é anprò.",Charlemagne di laten Carolus Magnus oben Charles Ie nonmen « Granan » né à roun dat enkonnèt vrèsanblabman douran lannen wè oben pitèt avril mouri janvyé à AixlaChapelle sa roun rwa dé Franc é anprò,Charlemagne di laten Carolus Magnus oben Charles Ie nonmen « Granan » né à roun dat enkonnèt vrèsanblabman douran lannen wè oben pitèt avril mouri janvyé à AixlaChapelle sa roun rwa dé Franc é anprò
I ka apartni à dinasti-a dé [[Carolingien]].,I ka apartni à dinastia dé Carolingien,I ka apartni à dinastia dé Carolingien
"Tiboug di [[Pépin le Bref]], li sa rwè dé [[Franc]] à partir di 768, ka divini pa konkèt rwa dé Lombards an 774 é sa kouronné anprò à [[Rome]] pa pap [[Léon III]] 25 désanm 800 (oben 24 décembre 800), ka rélévé oun dignité ki té disparèt dipi chit-a Anpir romen di Ògsidan an 476.",Tiboug di Pépin le Bref li sa rwè dé Franc à partir di ka divini pa konkèt rwa dé Lombards an é sa kouronné anprò à Rome pa pap Léon III désanm oben décembre ka rélévé oun dignité ki té disparèt dipi chita Anpir romen di Ògsidan an,Tiboug di Pépin_le_Bref li sa rwè dé Franc à partir di ka divini pa konkèt rwa dé Lombards an é sa kouronné anprò à Rome pa pap Léon III désanm oben décembre ka rélévé oun dignité ki té disparèt dipi chita Anpir romen di Ògsidan an
"Élisabeth Ié, né 7 sèptanm 1533 o palè di [[Placentia]] atè [[Lonn]] é mouri 24 mars 1603 o palè di Richmond atè [[Lonn]], té renn d'Anglétèr é d'Irlann di 1558 à so lanmò.",Élisabeth Ié né sèptanm o palè di Placentia atè Lonn é mouri mars o palè di Richmond atè Lonn té renn dAnglétèr é dIrlann di à so lanmò,Élisabeth Ié né sèptanm o palè di Placentia atè Lonn é mouri mars o palè di Richmond atè Lonn té renn dAnglétèr é dIrlann di à so lanmò
"Élisabeth té tifi-a di rwè [[Henri VIII]] d'Anglétèr, so mè [[Anne Boleyn]] té ègzékité trwa lan aprè so nésans, é li ka pédi so tit di prensès.",Élisabeth té tifia di rwè Henri VIII dAnglétèr so mè Anne Boleyn té ègzékité trwa lan aprè so nésans é li ka pédi so tit di prensès,Élisabeth té tifia di rwè Henri_VIII dAnglétèr so mè Anne Boleyn té ègzékité trwa lan aprè so nésans é li ka pédi so tit di prensès
"[[So]] dimi-frè [[Édouard VI]] té nonmen kou éritchèr so kouzin [[Jeanne Grey]], sa ki ka ékarté Élisabeth ké so dimi-sò [[Marie]] di siksésyon o tronn.",So dimifrè Édouard VI té nonmen kou éritchèr so kouzin Jeanne Grey sa ki ka ékarté Élisabeth ké so dimisò Marie di siksésyon o tronn,So dimifrè Édouard VI té nonmen kou éritchèr so kouzin Jeanne Grey sa ki ka ékarté Élisabeth ké so dimisò Marie di siksésyon o tronn
"Testaman-an d'Édouard [[VI]] té néyanmwen ignoré, [[Jeanne Grey]] té ègzékité é Marie divini renn an 1553.",Testamanan dÉdouard VI té néyanmwen ignoré Jeanne Grey té ègzékité é Marie divini renn an,Testamanan dÉdouard VI té néyanmwen ignoré Jeanne Grey té ègzékité é Marie divini renn an
1587 sa roun lannen koumin ki ka koumansé oun jédi.,sa roun lannen koumin ki ka koumansé oun jédi,sa roun lannen koumin ki ka koumansé oun jédi
"Afganistan, an form long Répiblik islamik d'Afganistan (pachto : د أفغانستان اسلامي جمهوریت (Da Afghanestan Islami Jomhouriyet) ; dari : جمهوری اسلامی أفغانستان(Jomhūrī-ye Eslāmī-ye Afġānestān)), sa roun péyi d'[[Lazi]] santral.",Afganistan an form long Répiblik islamik dAfganistan pachto د أفغانستان اسلامي جمهوریت Da Afghanestan Islami Jomhouriyet dari جمهوری اسلامی أفغانستانJomhūrīye Eslāmīye Afġānestān sa roun péyi dLazi santral,Afganistan an form long Répiblik islamik dAfganistan pachto د أفغانستان اسلامي جمهوریت Da Afghanestan Islami Jomhouriyet dari جمهوری اسلامی أفغانستانJomhūrīye Eslāmīye Afġānestān sa roun péyi dLazi santral
"Povté-a sa roun tèrm ki ka karaktérizé sitchwasyon-an di roun endividi, di roun group di moun oben di roun sosyété ki pa ka dispozé dé rousours sifizant pou pèrmèt li di satisfè so benzwen fondamantal-ya é di dévlopé nòrmalman so kò.",Povtéa sa roun tèrm ki ka karaktérizé sitchwasyonan di roun endividi di roun group di moun oben di roun sosyété ki pa ka dispozé dé rousours sifizant pou pèrmèt li di satisfè so benzwen fondamantalya é di dévlopé nòrmalman so kò,Povtéa sa roun tèrm ki ka karaktérizé sitchwasyonan di roun endividi di roun group di moun oben di roun sosyété ki pa ka dispozé dé rousours sifizant pou pèrmèt li di satisfè so benzwen fondamantalya é di dévlopé nòrmalman so kò
"Povté-a ka référé primitivman so kò à laksè-a à nouritir-a, dilo potab-a, vètman-yan, lòjman-an ké chofaj-a, mè ké progré tèknik ké dévlopman-an dé sosyété yé ka konsèrné égalman laksè-a à dé rousours kou élèktrisité-a ké kominikasyon-an, é di mannyè jénéral ansanm-an dé kondisyon di lavi, ki ka enkli laksè-a à dé swen di santé ké édikasyon-an.",Povtéa ka référé primitivman so kò à laksèa à nouritira dilo potaba vètmanyan lòjmanan ké chofaja mè ké progré tèknik ké dévlopmanan dé sosyété yé ka konsèrné égalman laksèa à dé rousours kou élèktrisitéa ké kominikasyonan é di mannyè jénéral ansanman dé kondisyon di lavi ki ka enkli laksèa à dé swen di santé ké édikasyonan,Povtéa ka référé primitivman so kò à laksèa à nouritira dilo potaba vètmanyan lòjmanan ké chofaja mè ké progré tèknik ké dévlopmanan dé sosyété yé ka konsèrné égalman laksèa à dé rousours kou élèktrisitéa ké kominikasyonan é di mannyè jénéral ansanman dé kondisyon di lavi ki ka enkli laksèa à dé swen di santé ké édikasyonan
Lendi a jou di lasimèn ki ka siksédé o [[dimanch]] é ki ka présédé [[mardi]].,Lendi a jou di lasimèn ki ka siksédé o dimanch é ki ka présédé mardi,Lendi a jou di lasimèn ki ka siksédé o dimanch é ki ka présédé mardi
"Tradisyonèlman dézyèm jou di lasimèn, li sa konsidéré aprézan kou ponmyé jou di lasimèn annan sertenn péyi.",Tradisyonèlman dézyèm jou di lasimèn li sa konsidéré aprézan kou ponmyé jou di lasimèn annan sertenn péyi,Tradisyonèlman dézyèm jou di lasimèn li sa konsidéré aprézan kou ponmyé jou di lasimèn annan sertenn péyi
"Étik-a (di grèk ethos « karaktèr, koutim, mèrs ») sa roun disiplin filozofik ki ka poté asou joujman di valò.",Étika di grèk ethos « karaktèr koutim mèrs » sa roun disiplin filozofik ki ka poté asou joujman di valò,Étika di grèk ethos « karaktèr koutim mèrs » sa roun disiplin filozofik ki ka poté asou joujman di valò
"Étik-a ka défini so kò [[tèl]] oun réflèksyon fondamantal asou lakèl moral-a ké établi so nòrm, so limit é so dévwar.",Étika ka défini so kò tèl oun réflèksyon fondamantal asou lakèl morala ké établi so nòrm so limit é so dévwar,Étika ka défini so kò tèl oun réflèksyon fondamantal asou lakèl morala ké établi so nòrm so limit é so dévwar
"So fòrmilasyon ka karaktérizé so kò pa dé énonsé nòrmatif, prèskriptiv oben òkò évaliyatif parmi lakèl nou ka trouvé dé enpératif katégorik.",So fòrmilasyon ka karaktérizé so kò pa dé énonsé nòrmatif prèskriptiv oben òkò évaliyatif parmi lakèl nou ka trouvé dé enpératif katégorik,So fòrmilasyon ka karaktérizé so kò pa dé énonsé nòrmatif prèskriptiv oben òkò évaliyatif parmi lakèl nou ka trouvé dé enpératif katégorik
"Démarch étik-a ka distengé so kò kidonk di démarch syantifik-a ki li ka bazé so kò asou dé joujman di fè fòrmilé andan dé énonsé dèskriptif, parmi lakèl nou ka trouvé dé enpératif ipotétik.",Démarch étika ka distengé so kò kidonk di démarch syantifika ki li ka bazé so kò asou dé joujman di fè fòrmilé andan dé énonsé dèskriptif parmi lakèl nou ka trouvé dé enpératif ipotétik,Démarch étika ka distengé so kò kidonk di démarch syantifika ki li ka bazé so kò asou dé joujman di fè fòrmilé andan dé énonsé dèskriptif parmi lakèl nou ka trouvé dé enpératif ipotétik
An absans d'enpératif katégorik oun fòrmilasyon étik ka roulévé di roun fot di lojik entitilé paralojism natiralis.,An absans denpératif katégorik oun fòrmilasyon étik ka roulévé di roun fot di lojik entitilé paralojism natiralis,An absans denpératif katégorik oun fòrmilasyon étik ka roulévé di roun fot di lojik entitilé paralojism natiralis
"Pou dé filozòf tèl ki [[Aristote]] é [[Kant]], étik-a gen pou but di défini sa ki divèt fika.",Pou dé filozòf tèl ki Aristote é Kant étika gen pou but di défini sa ki divèt fika,Pou dé filozòf tèl ki Aristote é Kant étika gen pou but di défini sa ki divèt fika
Sa paj ka konsèrnen lannen 1507 di [[kalandriyé julyen]].,Sa paj ka konsèrnen lannen di kalandriyé julyen,Sa paj ka konsèrnen lannen di kalandriyé_julyen
1684 sa roun lannen bisègstil ki ka koumansé oun sanmdi.,sa roun lannen bisègstil ki ka koumansé oun sanmdi,sa roun lannen bisègstil ki ka koumansé oun sanmdi
Sa paj ka konserné lannen 1886 (MDCCCLXXXVI an chif romen) di kalandriyé grégoryen.,Sa paj ka konserné lannen MDCCCLXXXVI an chif romen di kalandriyé grégoryen,Sa paj ka konserné lannen MDCCCLXXXVI an chif romen di kalandriyé grégoryen
"Oun pati politik sa roun lòrgannizasyon politik ki ka sasé à enfliyansé roun politik gouvèlmantal, an nonman so pròp kandida é an tantan di òbténi dé manda politik.",Oun pati politik sa roun lòrgannizasyon politik ki ka sasé à enfliyansé roun politik gouvèlmantal an nonman so pròp kandida é an tantan di òbténi dé manda politik,Oun pati politik sa roun lòrgannizasyon politik ki ka sasé à enfliyansé roun politik gouvèlmantal an nonman so pròp kandida é an tantan di òbténi dé manda politik
"Pli jénéralman, nosyon-an di [[parti politik]] ka posédé dé définisyon.",Pli jénéralman nosyonan di parti politik ka posédé dé définisyon,Pli jénéralman nosyonan di parti_politik ka posédé dé définisyon
"Pronmyé-a, di lòrd idéyolojik, sa prèsk sinonim di faksyon : ki sa, pou roupran tèrm-ya di [[Benjamin Constant]], di roun « réynyon di wonm ki ka profésé lamenm dòktrin politik ».",Pronmyéa di lòrd idéyolojik sa prèsk sinonim di faksyon ki sa pou roupran tèrmya di Benjamin Constant di roun « réynyon di wonm ki ka profésé lamenm dòktrin politik »,Pronmyéa di lòrd idéyolojik sa prèsk sinonim di faksyon ki sa pou roupran tèrmya di Benjamin_Constant di roun « réynyon di wonm ki ka profésé lamenm dòktrin politik »
