text,text_clean,text_ents
Chek out demya tu.,Chek out demya tu,Chek out demya tu
<hr/><br/>,hrbr,hrbr
"Abu Abdullah Muhammad Ibn Abdullah Al Lawati Al Tanji Ibn Battuta (arabik أبو عبد الله محمد ابن عبد الله اللواتي الطنجي بن بطوطة), nuo az Ibn Battuta (1304 – 1368 ar 1369) wehn a Marakan skala ahn chrabla uu binuons fi di akount a hihn chrabl ahn ""h""exkorjan dem kaal di Rihla (Vaayj).",Abu Abdullah Muhammad Ibn Abdullah Al Lawati Al Tanji Ibn Battuta arabik أبو عبد الله محمد ابن عبد الله اللواتي الطنجي بن بطوطة nuo az Ibn Battuta ar wehn a Marakan skala ahn chrabla uu binuons fi di akount a hihn chrabl ahn hexkorjan dem kaal di Rihla Vaayj,Abu Abdullah Muhammad Ibn Abdullah Al Lawati Al Tanji Ibn Battuta arabik أبو عبد الله محمد ابن عبد الله اللواتي الطنجي بن بطوطة nuo az Ibn Battuta ar wehn a Marakan skala ahn chrabla uu binuons fi di akount a hihn chrabl ahn hexkorjan dem kaal di Rihla Vaayj
"Hihn jorni dem laas fi a piiriad a nieli toti ier ahn chrechout uoba aalmuos di huol a di binuons ""h""Izlamik wol ahn forda, exten frahn Naat Afrika, Wes Afrika, Sodan Yuurop ahn Iistan Yuurop ina di Wes, tu di [[Migl Iis]], Indian sobkantinent, Senchral Ieja, Soutiis Ieja ahn [[Chaina]] ina di Iis, wa distans iiziwel paasout hihn pridisesa dem ahn hihn nier-kantempareri [[Maako Puolo]].",Hihn jorni dem laas fi a piiriad a nieli toti ier ahn chrechout uoba aalmuos di huol a di binuons hIzlamik wol ahn forda exten frahn Naat Afrika Wes Afrika Sodan Yuurop ahn Iistan Yuurop ina di Wes tu di Migl Iis Indian sobkantinent Senchral Ieja Soutiis Ieja ahn Chaina ina di Iis wa distans iiziwel paasout hihn pridisesa dem ahn hihn nierkantempareri Maako Puolo,Hihn jorni dem laas fi a piiriad a nieli toti ier ahn chrechout uoba aalmuos di huol a di binuons hIzlamik wol ahn forda exten frahn Naat Afrika Wes Afrika Sodan Yuurop ahn Iistan Yuurop ina di Wes tu di Migl_Iis Indian sobkantinent Senchral Ieja Soutiis Ieja ahn Chaina ina di Iis wa distans iiziwel paasout hihn pridisesa dem ahn hihn nierkantempareri Maako Puolo
Di Wol Elt Aaganizieshan (WHO) a wah speshalaiz iejensi a di [[Yunaitid Nieshan]] we kansoern wid intanashinal poblik elt.,Di Wol Elt Aaganizieshan WHO a wah speshalaiz iejensi a di Yunaitid Nieshan we kansoern wid intanashinal poblik elt,Di Wol Elt Aaganizieshan WHO a wah speshalaiz iejensi a di Yunaitid_Nieshan we kansoern wid intanashinal poblik elt
"Iweh extablish pah 7 Iepril 1948, edkwaata ina Jiniiva, [[Suitsalan]].",Iweh extablish pah Iepril edkwaata ina Jiniiva Suitsalan,Iweh extablish pah Iepril edkwaata ina Jiniiva Suitsalan
Di WHO a memba a di Yunaitid Nieshan Divelopment Gruup.,Di WHO a memba a di Yunaitid Nieshan Divelopment Gruup,Di WHO a memba a di Yunaitid Nieshan Divelopment Gruup
"Ipriidisesa, di Elt Aaganizieshan, ena iejensi a di Liig a Nieshan.",Ipriidisesa di Elt Aaganizieshan ena iejensi a di Liig a Nieshan,Ipriidisesa di Elt Aaganizieshan ena iejensi a di Liig a Nieshan
Teliskuop a wah aptikal inschument we elp wid di habzavieshan a rimuot abjek bai kalek ilekchomagnetik redieshan (laka vizebl lait).,Teliskuop a wah aptikal inschument we elp wid di habzavieshan a rimuot abjek bai kalek ilekchomagnetik redieshan laka vizebl lait,Teliskuop a wah aptikal inschument we elp wid di habzavieshan a rimuot abjek bai kalek ilekchomagnetik redieshan laka vizebl lait
"Dijit a wah nyuumerik simbal (laka ""2"" ar ""5"") yuuz ina kombinieshan (laka ""25"") fi riprizent nomba (laka di nomba 25) ina pozishanal nyuumaral sistim.",Dijit a wah nyuumerik simbal laka ar yuuz ina kombinieshan laka fi riprizent nomba laka di nomba ina pozishanal nyuumaral sistim,Dijit a wah nyuumerik simbal laka ar yuuz ina kombinieshan laka fi riprizent nomba laka di nomba ina pozishanal nyuumaral sistim
"Bou ah ""h""aro a wah projektail wepan sistim (wah bou wid soh haro) we priidiet rikaadid ischri ah kaman tu muos kolcha.",Bou ah haro a wah projektail wepan sistim wah bou wid soh haro we priidiet rikaadid ischri ah kaman tu muos kolcha,Bou ah haro a wah projektail wepan sistim wah bou wid soh haro we priidiet rikaadid ischri ah kaman tu muos kolcha
"Aachri a di haat, praktis, ar skil fi aplaii.",Aachri a di haat praktis ar skil fi aplaii,Aachri a di haat praktis ar skil fi aplaii
"Gormaz a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Gormaz a wahn miunisipaliti luokiet ina di pravins a Soria Kiastiil ahn León Spien,Gormaz a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien
 <ns>0</ns>  <revision></revision>  <parentid>20411</parentid>  <timestamp>2021-11-27T23:32:24Z</timestamp>  <contributor></contributor>  <username>Eurohunter</username>    <model>wikitext</model>  <format>text/x-wiki</format> Klin Iiswud (baan [[Rabat]] Braama) a wan Jumiekan regay [[DJ]] we did rekaad az wan suolo aatis inna di liet 1970-dem an orly 1980-dem bifuor im tiim op wid British [[DJ]] [[Jinaral]] Sient az di dewuo Klin Iiswud an Jinaral Sient.,nsns revisionrevision parentidparentid timestampTZtimestamp contributorcontributor usernameEurohunterusername modelwikitextmodel formattextxwikiformat Klin Iiswud baan Rabat Braama a wan Jumiekan regay DJ we did rekaad az wan suolo aatis inna di liet dem an orly dem bifuor im tiim op wid British DJ Jinaral Sient az di dewuo Klin Iiswud an Jinaral Sient,nsns revisionrevision parentidparentid timestampTZtimestamp contributorcontributor usernameEurohunterusername modelwikitextmodel formattextxwikiformat Klin Iiswud baan Rabat Braama a wan Jumiekan regay DJ we did rekaad az wan suolo aatis inna di liet dem an orly dem bifuor im tiim op wid British DJ Jinaral Sient az di dewuo Klin Iiswud an Jinaral Sient
Biagrafii.,Biagrafii,Biagrafii
"Di yonga breda a [[DJ]] Trinity, Braama tek di tren a yuuzin di niem a karakta fram Spageti Westan az stiej niem wan step forda bai a rekaad an pafaam unda di niem a wan a di janra muos suksesful acta, Clin Iiswud.",Di yonga breda a DJ Trinity Braama tek di tren a yuuzin di niem a karakta fram Spageti Westan az stiej niem wan step forda bai a rekaad an pafaam unda di niem a wan a di janra muos suksesful acta Clin Iiswud,Di yonga breda a DJ Trinity Braama tek di tren a yuuzin di niem a karakta fram Spageti Westan az stiej niem wan step forda bai a rekaad an pafaam unda di niem a wan a di janra muos suksesful acta Clin Iiswud
"Im rekaad [[chrii]] albom inna 1978 - ""Afrikan Yuut"" an ""Step [[It]] In a Zayan"" fi produusa [[Boni]] Lii, an ""Det In Di Ariina"" fi Chanal Wan.",Im rekaad chrii albom inna Afrikan Yuut an Step It In a Zayan fi produusa Boni Lii an Det In Di Ariina fi Chanal Wan,Im rekaad chrii albom inna Afrikan Yuut an Step It In a Zayan fi produusa Boni Lii an Det In Di Ariina fi Chanal Wan
"Muor album kom inna 1979 an 1980, incluudin ""Seks Edikieshan"" fi Griinsliivz Rekaads, Iiswud pat a wan gruup a deejie we did liid di muuv fram 'kolchoral' chant tu dansaal chat an 'slaknes'.",Muor album kom inna an incluudin Seks Edikieshan fi Griinsliivz Rekaads Iiswud pat a wan gruup a deejie we did liid di muuv fram kolchoral chant tu dansaal chat an slaknes,Muor album kom inna an incluudin Seks Edikieshan fi Griinsliivz Rekaads Iiswud pat a wan gruup a deejie we did liid di muuv fram kolchoral chant tu dansaal chat an slaknes
Inna 1981 kom di riliis a wan laiv album rekaad wid Dilinja an di taat a wan paatnaship wid Jinaral Sient.,Inna kom di riliis a wan laiv album rekaad wid Dilinja an di taat a wan paatnaship wid Jinaral Sient,Inna kom di riliis a wan laiv album rekaad wid Dilinja an di taat a wan paatnaship wid Jinaral Sient
"Di pier fos riliis, ""Chribuut tu [[Jinaral]] [[Eko]]"" did memba di riisently kill slak [[DJ]], an dem wuda lieta [[mek]] di British chaat wid dem vorzhan a ""Tap Dat-de Trien"".",Di pier fos riliis Chribuut tu Jinaral Eko did memba di riisently kill slak DJ an dem wuda lieta mek di British chaat wid dem vorzhan a Tap Datde Trien,Di pier fos riliis Chribuut tu Jinaral Eko did memba di riisently kill slak DJ an dem wuda lieta mek di British chaat wid dem vorzhan a Tap Datde Trien
Buot a di dewuo album dem did [[mek]] di tap faiv a di [[UK]] Indipendant Chaat.,Buot a di dewuo album dem did mek di tap faiv a di UK Indipendant Chaat,Buot a di dewuo album dem did mek di tap faiv a di UK Indipendant Chaat
Lionaad Yuula ar Leonhard Euler (15 Iepril 1707 – 18 Septemba 1783) wena wah payanier Suis matimatishan ah fizisis uu spen muos a ih laif a [[Rosha]] ah [[Joermani]].,Lionaad Yuula ar Leonhard Euler Iepril Septemba wena wah payanier Suis matimatishan ah fizisis uu spen muos a ih laif a Rosha ah Joermani,Lionaad Yuula ar Leonhard Euler Iepril Septemba wena wah payanier Suis matimatishan ah fizisis uu spen muos a ih laif a Rosha ah Joermani
Yuula mek nof big diskovri ina fiil laka [[kialkiulos]] ah graaf tiori.,Yuula mek nof big diskovri ina fiil laka kialkiulos ah graaf tiori,Yuula mek nof big diskovri ina fiil laka kialkiulos ah graaf tiori
"Ih kumop wid nof a di madan matimatikal toerminaliji ah nuotieshan, espeshal fi [[matimatikal analisis]], laka di aidie a matimatikal fongshan.",Ih kumop wid nof a di madan matimatikal toerminaliji ah nuotieshan espeshal fi matimatikal analisis laka di aidie a matimatikal fongshan,Ih kumop wid nof a di madan matimatikal toerminaliji ah nuotieshan espeshal fi matimatikal_analisis laka di aidie a matimatikal fongshan
"Ih binuon tu fi di wok we ih du wid mikianix, fluid dainamix, aptix, ah [[aschranami]].",Ih binuon tu fi di wok we ih du wid mikianix fluid dainamix aptix ah aschranami,Ih binuon tu fi di wok we ih du wid mikianix fluid dainamix aptix ah aschranami
Yuula kansida fi bi di bes matimatishan a di 18t senchri ah wan a di bes fi aal taim.,Yuula kansida fi bi di bes matimatishan a di t senchri ah wan a di bes fi aal taim,Yuula kansida fi bi di bes matimatishan a di t senchri ah wan a di bes fi aal taim
Astaraid 2002 niem afta im.,Astaraid niem afta im,Astaraid niem afta im
"Ih de pah di Sient Kialenda a di Luutaran Choch, pah Mie 24.",Ih de pah di Sient Kialenda a di Luutaran Choch pah Mie,Ih de pah di Sient Kialenda a di Luutaran Choch pah Mie
Im a weh wah Kristian uu aagiu gens di praminent ietiyis a di taim.,Im a weh wah Kristian uu aagiu gens di praminent ietiyis a di taim,Im a weh wah Kristian uu aagiu gens di praminent ietiyis a di taim
Tempicha a wah abjektiv komparativ meja fi at ar kuol.,Tempicha a wah abjektiv komparativ meja fi at ar kuol,Tempicha a wah abjektiv komparativ meja fi at ar kuol
"Imeja bai toermamita, we kiah wok chuu di bolk biyevia a toermomechrik matiirial, ditekshan a toermal redieshan, ar paatikl kinetik enaji.",Imeja bai toermamita we kiah wok chuu di bolk biyevia a toermomechrik matiirial ditekshan a toermal redieshan ar paatikl kinetik enaji,Imeja bai toermamita we kiah wok chuu di bolk biyevia a toermomechrik matiirial ditekshan a toermal redieshan ar paatikl kinetik enaji
"Sebral skiel ah yuunit egzis fi meja tempicha, di muos kaman a Selsios (Celsius dinuot °C; faamali nuo az sentigried), Farenait (Fahrenheit dinuot °F), ah, espeshal ina sayans, Kelvin (dinuot K).",Sebral skiel ah yuunit egzis fi meja tempicha di muos kaman a Selsios Celsius dinuot °C faamali nuo az sentigried Farenait Fahrenheit dinuot °F ah espeshal ina sayans Kelvin dinuot K,Sebral skiel ah yuunit egzis fi meja tempicha di muos kaman a Selsios Celsius dinuot °C faamali nuo az sentigried Farenait Fahrenheit dinuot °F ah espeshal ina sayans Kelvin dinuot K
"Mesopotiemia (Ienshent Griik: ""Μεσοποταμία"" ""[lan] bitwiin riva""; frah Ienshent Aamiinian Միջագետք (Mijagetq); Arabic: بلاد الرافدين‎ bilād ar-rāfidayn; Persian: میان‌رودان‎‎ miyān rodān; Syriac: ܒܝܬ ܢܗܪܝܢ‎ Beth Nahrain ""lan a riva"") a di niem fi di ieria a di Taigris–Yuufrietiiz riva sistim, rofli karispandin tu madan-die [[Irak]], [[Siria]] ah [[Kuwiet]], ingkluudn riijan gens di Toerkish-Sirian baada ah Iran–Irak baada.",Mesopotiemia Ienshent Griik Μεσοποταμία lan bitwiin riva frah Ienshent Aamiinian Միջագետք Mijagetq Arabic بلاد الرافدين‎ bilād arrāfidayn Persian میان‌رودان‎‎ miyān rodān Syriac ܒܝܬ ܢܗܪܝܢ‎ Beth Nahrain lan a riva a di niem fi di ieria a di TaigrisYuufrietiiz riva sistim rofli karispandin tu madandie Irak Siria ah Kuwiet ingkluudn riijan gens di ToerkishSirian baada ah IranIrak baada,Mesopotiemia Ienshent Griik Μεσοποταμία lan bitwiin riva frah Ienshent Aamiinian Միջագետք Mijagetq Arabic بلاد الرافدين‎ bilād arrāfidayn Persian میان‌رودان‎‎ miyān rodān Syriac ܒܝܬ ܢܗܪܝܢ‎ Beth Nahrain lan a riva a di niem fi di ieria a di TaigrisYuufrietiiz riva sistim rofli karispandin tu madandie Irak Siria ah Kuwiet ingkluudn riijan gens di ToerkishSirian baada ah IranIrak baada
"Di ischri a di [[Amoerkaz]] kova buot Naat ah [[Sout Amoerka]], ingkluudn Senchral Amoerka ah di [[Kiaribiyan]].",Di ischri a di Amoerkaz kova buot Naat ah Sout Amoerka ingkluudn Senchral Amoerka ah di Kiaribiyan,Di ischri a di Amoerkaz kova buot Naat ah Sout Amoerka ingkluudn Senchral Amoerka ah di Kiaribiyan
"Itaat wid piipl a-maigriet ina dem ieria ya frah Ieja juurin di ait a di ""h""Ais Iej.",Itaat wid piipl amaigriet ina dem ieria ya frah Ieja juurin di ait a di hAis Iej,Itaat wid piipl amaigriet ina dem ieria ya frah Ieja juurin di ait a di hAis Iej
"Demya piipl ya weh sepret frah di wandem ina di ""Uol Wol"" tel di Yuropiyandem kom ina di 10t ah 15t senchri.",Demya piipl ya weh sepret frah di wandem ina di Uol Wol tel di Yuropiyandem kom ina di t ah t senchri,Demya piipl ya weh sepret frah di wandem ina di Uol Wol tel di Yuropiyandem kom ina di t ah t senchri
"Di ansistadem a di Nietiv Amoerkandem we wi nuo tide, yuus fi ont ah geda fuud.",Di ansistadem a di Nietiv Amoerkandem we wi nuo tide yuus fi ont ah geda fuud,Di ansistadem a di Nietiv Amoerkandem we wi nuo tide yuus fi ont ah geda fuud
"Deh maigriet ina [[Naat Amoerka]], askaadn tu di muos papiula tiori, kraas di Bierin Lan Brij.",Deh maigriet ina Naat Amoerka askaadn tu di muos papiula tiori kraas di Bierin Lan Brij,Deh maigriet ina Naat_Amoerka askaadn tu di muos papiula tiori kraas di Bierin Lan Brij
"Likl Pielio-Indian gruup prabli fala di mamat ah ""h""ada ""h""animal.",Likl PielioIndian gruup prabli fala di mamat ah hada hanimal,Likl PielioIndian gruup prabli fala di mamat ah hada hanimal
"Kolchral chriet a di fos imigrantdem den faam di bakbuon fi kolcha laka di Irokwai pah Naat Amoerka, ah di Pirahã ina Sout Amoerka.",Kolchral chriet a di fos imigrantdem den faam di bakbuon fi kolcha laka di Irokwai pah Naat Amoerka ah di Pirahã ina Sout Amoerka,Kolchral chriet a di fos imigrantdem den faam di bakbuon fi kolcha laka di Irokwai pah Naat Amoerka ah di Pirahã ina Sout Amoerka
Demya kolcha ya deh divelop ina [[Siblaizieshan]].,Demya kolcha ya deh divelop ina Siblaizieshan,Demya kolcha ya deh divelop ina Siblaizieshan
"Kolcha we wi wuda kansida sivilaiz ingkluud: Kahuokia, Zapotek, Toltek, Olmek, Maya, Aztek, Purepecha, Chimor, ah di Ingka.",Kolcha we wi wuda kansida sivilaiz ingkluud Kahuokia Zapotek Toltek Olmek Maya Aztek Purepecha Chimor ah di Ingka,Kolcha we wi wuda kansida sivilaiz ingkluud Kahuokia Zapotek Toltek Olmek Maya Aztek Purepecha Chimor ah di Ingka
Sout Amoerka a di sodan [[kantinent]] a di [[Amoerkaz]].,Sout Amoerka a di sodan kantinent a di Amoerkaz,Sout Amoerka a di sodan kantinent a di Amoerkaz
Di wuola it de ina di westan emisfier an muosli ina di sodan emisfier.,Di wuola it de ina di westan emisfier an muosli ina di sodan emisfier,Di wuola it de ina di westan emisfier an muosli ina di sodan emisfier
"Di ieria a di kantinent a 17,840,00 sk km, ar almuos 3.5 posent a di soerfis a di oert.",Di ieria a di kantinent a sk km ar almuos posent a di soerfis a di oert,Di ieria a di kantinent a sk km ar almuos posent a di soerfis a di oert
"Di papilieshan a bout 371,090,000.",Di papilieshan a bout,Di papilieshan a bout
Sout Amoerka a di fuot bigis kantinent ina ieria ah di fif bigis ina papilieshan.,Sout Amoerka a di fuot bigis kantinent ina ieria ah di fif bigis ina papilieshan,Sout Amoerka a di fuot bigis kantinent ina ieria ah di fif bigis ina papilieshan
"Ina [[batani]], wah chrii a pirenial plaant wid lang stem, ar chonk, ah supuot branch ah liif-dem, ina muos spiishiz.",Ina batani wah chrii a pirenial plaant wid lang stem ar chonk ah supuot branch ah liifdem ina muos spiishiz,Ina batani wah chrii a pirenial plaant wid lang stem ar chonk ah supuot branch ah liifdem ina muos spiishiz
"Somtaim, ""chrii"" miinin kiah onggl ingkluud di udi plaant wid sekanderi gruot, plaant we yuuz fi lomba, ar plant we taala dah wah soertn ait.",Somtaim chrii miinin kiah onggl ingkluud di udi plaant wid sekanderi gruot plaant we yuuz fi lomba ar plant we taala dah wah soertn ait,Somtaim chrii miinin kiah onggl ingkluud di udi plaant wid sekanderi gruot plaant we yuuz fi lomba ar plant we taala dah wah soertn ait
"Di Veda (IPAc-en ˈveɪdəz,_ˈvi-; [[Sanskrit]]: वेद ""IAST véda"", ""[[nalij]]"") a laaj badi a tex arijiniet ina ienshent India.",Di Veda IPAcen ˈveɪdəz_ˈvi Sanskrit वेद IAST véda nalij a laaj badi a tex arijiniet ina ienshent India,Di Veda IPAcen ˈveɪdəz_ˈvi Sanskrit वेद IAST véda nalij a laaj badi a tex arijiniet ina ienshent India
"Kompuoz ina Vedik Sanskrit, di texdem kanstityuut di aulis lieya a Sanskrit lichicha ah di aulis skripcha a [[Induizim]].",Kompuoz ina Vedik Sanskrit di texdem kanstityuut di aulis lieya a Sanskrit lichicha ah di aulis skripcha a Induizim,Kompuoz ina Vedik Sanskrit di texdem kanstityuut di aulis lieya a Sanskrit lichicha ah di aulis skripcha a Induizim
"Induu kansida di Veda fi bi ""apauruṣeya"", we miin ""nat frah man, syuupayuuman"" ah ""impoersnal, aatales"".",Induu kansida di Veda fi bi apauruṣeya we miin nat frah man syuupayuuman ah impoersnal aatales,Induu kansida di Veda fi bi apauruṣeya we miin nat frah man syuupayuuman ah impoersnal aatales
"Espeja de San Marcelino a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Espeja de San Marcelino a wahn miunisipaliti luokiet ina di pravins a Soria Kiastiil ahn León Spien,Espeja de San Marcelino a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien
"Ina [[fizix]], di kinetik enaji a wah abjik a di [[enaji]] we ipozes juu tu imuoshan.",Ina fizix di kinetik enaji a wah abjik a di enaji we ipozes juu tu imuoshan,Ina fizix di kinetik enaji a wah abjik a di enaji we ipozes juu tu imuoshan
[1] Idifain az di wok we niid fi axalariet wah badi a soertn mas frah res tu wah stietid velasiti.,Idifain az di wok we niid fi axalariet wah badi a soertn mas frah res tu wah stietid velasiti,Idifain az di wok we niid fi axalariet wah badi a soertn mas frah res tu wah stietid velasiti
"Afta idon-gien dis enaji juurin axalarieshan, di badi mentien dis kinetik enaji anles ispiid chienj.",Afta idongien dis enaji juurin axalarieshan di badi mentien dis kinetik enaji anles ispiid chienj,Afta idongien dis enaji juurin axalarieshan di badi mentien dis kinetik enaji anles ispiid chienj
Di siem amount a wok du bai di badi wen idiisalariet fran ikorant spiid tu a stiet a res.,Di siem amount a wok du bai di badi wen idiisalariet fran ikorant spiid tu a stiet a res,Di siem amount a wok du bai di badi wen idiisalariet fran ikorant spiid tu a stiet a res
Di Ripoblik a Airilan a wah konchri ina [[Yuurop]].,Di Ripoblik a Airilan a wah konchri ina Yuurop,Di Ripoblik a Airilan a wah konchri ina Yuurop
"Santa María de las Hoyas a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Santa María de las Hoyas a wahn miunisipaliti luokiet ina di pravins a Soria Kiastiil ahn León Spien,Santa María de las Hoyas a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien
"Ina [[kimischri]], bies a sobstans we, ina hakwios saluushan, sipl fi toch, ties aschinjent, chienj kola a hindikieta (fi hegzampl, ton red litmos piepa bluu), riak wid asid fi faam saal, promuot soertn kimikal riakshan (bies kiatalisis), axep pruotan frah heni pruotan duona, an/ar kantien kompliitli ar paashali displiesebl OH− ayon.",Ina kimischri bies a sobstans we ina hakwios saluushan sipl fi toch ties aschinjent chienj kola a hindikieta fi hegzampl ton red litmos piepa bluu riak wid asid fi faam saal promuot soertn kimikal riakshan bies kiatalisis axep pruotan frah heni pruotan duona anar kantien kompliitli ar paashali displiesebl OH− ayon,Ina kimischri bies a sobstans we ina hakwios saluushan sipl fi toch ties aschinjent chienj kola a hindikieta fi hegzampl ton red litmos piepa bluu riak wid asid fi faam saal promuot soertn kimikal riakshan bies kiatalisis axep pruotan frah heni pruotan duona anar kantien kompliitli ar paashali displiesebl OH− ayon
