text,text_clean,text_ents
"Na h챦ng채ng철 b챤an챤 atene n챘ng철 ter챗 t챤 zo na l챦ngb챦ng철 ter챗 t챤 창ngang체 t챤 lo la창 s챦 ayeke na g체nd창 t챤 zar채 , t챤 nz철n챤 ngbanga na t챤 s챤r챤r챤 na nd철 t챤 d청n챤a, Na h챦ng채ng철 n챤 p챘p챘e na k챘ng철 창ndi채 t챤 bata n챘ng철 ter챘 t챤 zo la창 ad체 kp채l챘 t챤 bir채 s척 abi ngonzo na b챗 t챤 창hal챘zo, ng창 s챦 g채ng철 t챤 mb챗n챤 fin챤 k철d철r철 s척 창hal챘zo k청e al챤ngbi t챤 tene t챘n챘 t챤 b챗 t챤 창la, t챤 m채b챗 t챤 창la afa n챤 t철ngana ta창 k철t채 b챗k체 t챤 창zo t챤 nd철 t챤 g챦g챤, Ayeke k철t채 y챗 m챤ngi t챤 tene az챤 l챘 na nd철 t챤 창ndi채 t챤 bata n챘ng철 ter챗 t챤 zo g챦 na l챘ng철 mb챗n챤 ger챗 t챤 ndi채 nd창li t챤 s챦철n챤 s챗gb챦채 na l챘ng철 p창si, Na h챦ng채ng철 n챤 atene ayeke k철t채 y챗 m챤ngi t챤 m청 ngang체 na m채챦ng철 t챤 l챘ng철 s철ng철 na p철p철 t챤 k철d철r철 nd챗 nd챗, Na h챦ng채ng철 n챤 atene na y창 t챤 s챗ndi채 hal챘zo t챤 b챗ndo t챤 g챦g챤 afa t챤 fin챤 n챤 m채b챗 t챤 창la na 창ta창 ndi채 t챤 zo , na n챘ng철 ter챘 ng창 na k철t채 t챤 zo na l챦ngb챦ng철 ter챗 t챤 창ngang체 t챤 k척l챦 na w창l챦, s챦 창la atene 창n챦 yeke s창ra ngang체 k청챗 t챤 m채챦ng철 t챤 s챗dut챦 t챤 zo na l챘ng철 창nz철n챤 l챗g챘 t챤 dut챦 na y창 t챤 mb챗n챤 k철t채 zar채 , Na h챦ng채ng철 n챤 atene 창k철d철r철 s척 ab청ngbi am청 y창ng창 t챤 l챘 kp챘ng철 ndi채 t챤 bata n챘ng철 ter챘 t챤 zo na zar채 t챤 lo na y창 t챤 kua t챤 mab척ko na mab척ko na b청ngbi t챤 b챗ndo t챤 g챦g챤, Na h챦ng채ng철 atene m채ngb챦ng철 b챗 na 창ndi채 s척 na 창zar채 s척 ng창 ayeke b챤an챤 ngang체 y챗 m챤ngi t챤 s창ra kua s척 g챦 na pek철 t챤 y창ng창 s척 창la m청, K철t채 L챤ng철 Avûnga D챗p채 t챤 p철p철k철d철r철 t챤 b채t채ng철 n챘ng철 ter챗 t챤 zo s척 t철ngana kunib챗 s척 hal챘zo na 창k철d철r철 k청챗 al챤ngbi t챤 wara, s챤 창zo k청챗 ng창 na 창k청nd청 t챤 b척so k청챗 as창ra ngang체, na l챗g챘 t챤 f채ng철 mb챘t챦 na f채ng철-ndo, t챤 l챘 kp챘ng철 창ndi채 na 창zar채 s척 ng창 t챤 s창ra na kod챘 t챤 창ndi채 t챤 k철d철r철 wala t챤 p철p철k철d철r철 t챤 tene ay챗ka n챤 ng창 s챦 al챘 tamb청la n챤 na ndo k청e, na p철p철 t챤 hal챘zo na let채a n챤 s척 al체 mbere n챤, t철ngana 창la s척 angb창 na gbe t챤 l챗 t챤 창la.",Na h챦ng채ng철 b챤an챤 atene n챘ng철 ter챗 t챤 zo na l챦ngb챦ng철 ter챗 t챤 창ngang체 t챤 lo la창 s챦 ayeke na g체nd창 t챤 zar채 t챤 nz철n챤 ngbanga na t챤 s챤r챤r챤 na nd철 t챤 d청n챤a Na h챦ng채ng철 n챤 p챘p챘e na k챘ng철 창ndi채 t챤 bata n챘ng철 ter챘 t챤 zo la창 ad체 kp채l챘 t챤 bir채 s척 abi ngonzo na b챗 t챤 창hal챘zo ng창 s챦 g채ng철 t챤 mb챗n챤 fin챤 k철d철r철 s척 창hal챘zo k청e al챤ngbi t챤 tene t챘n챘 t챤 b챗 t챤 창la t챤 m채b챗 t챤 창la afa n챤 t철ngana ta창 k철t채 b챗k체 t챤 창zo t챤 nd철 t챤 g챦g챤 Ayeke k철t채 y챗 m챤ngi t챤 tene az챤 l챘 na nd철 t챤 창ndi채 t챤 bata n챘ng철 ter챗 t챤 zo g챦 na l챘ng철 mb챗n챤 ger챗 t챤 ndi채 nd창li t챤 s챦철n챤 s챗gb챦채 na l챘ng철 p창si Na h챦ng채ng철 n챤 atene ayeke k철t채 y챗 m챤ngi t챤 m청 ngang체 na m채챦ng철 t챤 l챘ng철 s철ng철 na p철p철 t챤 k철d철r철 nd챗 nd챗 Na h챦ng채ng철 n챤 atene na y창 t챤 s챗ndi채 hal챘zo t챤 b챗ndo t챤 g챦g챤 afa t챤 fin챤 n챤 m채b챗 t챤 창la na 창ta창 ndi채 t챤 zo na n챘ng철 ter챘 ng창 na k철t채 t챤 zo na l챦ngb챦ng철 ter챗 t챤 창ngang체 t챤 k척l챦 na w창l챦 s챦 창la atene 창n챦 yeke s창ra ngang체 k청챗 t챤 m채챦ng철 t챤 s챗dut챦 t챤 zo na l챘ng철 창nz철n챤 l챗g챘 t챤 dut챦 na y창 t챤 mb챗n챤 k철t채 zar채 Na h챦ng채ng철 n챤 atene 창k철d철r철 s척 ab청ngbi am청 y창ng창 t챤 l챘 kp챘ng철 ndi채 t챤 bata n챘ng철 ter챘 t챤 zo na zar채 t챤 lo na y창 t챤 kua t챤 mab척ko na mab척ko na b청ngbi t챤 b챗ndo t챤 g챦g챤 Na h챦ng채ng철 atene m채ngb챦ng철 b챗 na 창ndi채 s척 na 창zar채 s척 ng창 ayeke b챤an챤 ngang체 y챗 m챤ngi t챤 s창ra kua s척 g챦 na pek철 t챤 y창ng창 s척 창la m청 K철t채 L챤ng철 Avûnga D챗p채 t챤 p철p철k철d철r철 t챤 b채t채ng철 n챘ng철 ter챗 t챤 zo s척 t철ngana kunib챗 s척 hal챘zo na 창k철d철r철 k청챗 al챤ngbi t챤 wara s챤 창zo k청챗 ng창 na 창k청nd청 t챤 b척so k청챗 as창ra ngang체 na l챗g챘 t챤 f채ng철 mb챘t챦 na f채ng철ndo t챤 l챘 kp챘ng철 창ndi채 na 창zar채 s척 ng창 t챤 s창ra na kod챘 t챤 창ndi채 t챤 k철d철r철 wala t챤 p철p철k철d철r철 t챤 tene ay챗ka n챤 ng창 s챦 al챘 tamb청la n챤 na ndo k청e na p철p철 t챤 hal챘zo na let채a n챤 s척 al체 mbere n챤 t철ngana 창la s척 angb창 na gbe t챤 l챗 t챤 창la,Na h챦ng채ng철 b챤an챤 atene n챘ng철 ter챗 t챤 zo na l챦ngb챦ng철 ter챗 t챤 창ngang체 t챤 lo la창 s챦 ayeke na g체nd창 t챤 zar채 t챤 nz철n챤 ngbanga na t챤 s챤r챤r챤 na nd철 t챤 d청n챤a Na h챦ng채ng철 n챤 p챘p챘e na k챘ng철 창ndi채 t챤 bata n챘ng철 ter챘 t챤 zo la창 ad체 kp채l챘 t챤 bir채 s척 abi ngonzo na b챗 t챤 창hal챘zo ng창 s챦 g채ng철 t챤 mb챗n챤 fin챤 k철d철r철 s척 창hal챘zo k청e al챤ngbi t챤 tene t챘n챘 t챤 b챗 t챤 창la t챤 m채b챗 t챤 창la afa n챤 t철ngana ta창 k철t채 b챗k체 t챤 창zo t챤 nd철 t챤 g챦g챤 Ayeke k철t채 y챗 m챤ngi t챤 tene az챤 l챘 na nd철 t챤 창ndi채 t챤 bata n챘ng철 ter챗 t챤 zo g챦 na l챘ng철 mb챗n챤 ger챗 t챤 ndi채 nd창li t챤 s챦철n챤 s챗gb챦채 na l챘ng철 p창si Na h챦ng채ng철 n챤 atene ayeke k철t채 y챗 m챤ngi t챤 m청 ngang체 na m채챦ng철 t챤 l챘ng철 s철ng철 na p철p철 t챤 k철d철r철 nd챗 nd챗 Na h챦ng채ng철 n챤 atene na y창 t챤 s챗ndi채 hal챘zo t챤 b챗ndo t챤 g챦g챤 afa t챤 fin챤 n챤 m채b챗 t챤 창la na 창ta창 ndi채 t챤 zo na n챘ng철 ter챘 ng창 na k철t채 t챤 zo na l챦ngb챦ng철 ter챗 t챤 창ngang체 t챤 k척l챦 na w창l챦 s챦 창la atene 창n챦 yeke s창ra ngang체 k청챗 t챤 m채챦ng철 t챤 s챗dut챦 t챤 zo na l챘ng철 창nz철n챤 l챗g챘 t챤 dut챦 na y창 t챤 mb챗n챤 k철t채 zar채 Na h챦ng채ng철 n챤 atene 창k철d철r철 s척 ab청ngbi am청 y창ng창 t챤 l챘 kp챘ng철 ndi채 t챤 bata n챘ng철 ter챘 t챤 zo na zar채 t챤 lo na y창 t챤 kua t챤 mab척ko na mab척ko na b청ngbi t챤 b챗ndo t챤 g챦g챤 Na h챦ng채ng철 atene m채ngb챦ng철 b챗 na 창ndi채 s척 na 창zar채 s척 ng창 ayeke b챤an챤 ngang체 y챗 m챤ngi t챤 s창ra kua s척 g챦 na pek철 t챤 y창ng창 s척 창la m청 K철t채 L챤ng철 Avûnga D챗p채 t챤 p철p철k철d철r철 t챤 b채t채ng철 n챘ng철 ter챗 t챤 zo s척 t철ngana kunib챗 s척 hal챘zo na 창k철d철r철 k청챗 al챤ngbi t챤 wara s챤 창zo k청챗 ng창 na 창k청nd청 t챤 b척so k청챗 as창ra ngang체 na l챗g챘 t챤 f채ng철 mb챘t챦 na f채ng철ndo t챤 l챘 kp챘ng철 창ndi채 na 창zar채 s척 ng창 t챤 s창ra na kod챘 t챤 창ndi채 t챤 k철d철r철 wala t챤 p철p철k철d철r철 t챤 tene ay챗ka n챤 ng창 s챦 al챘 tamb청la n챤 na ndo k청e na p철p철 t챤 hal챘zo na let채a n챤 s척 al체 mbere n챤 t철ngana 창la s척 angb창 na gbe t챤 l챗 t챤 창la
Sura 1.,Sura,Sura
"Ad체 창zo k청챗 yamba, ng창 창la l챤ngbi ter챗 na l챗g챘 t챤 n챘ng철-ter챗 na t챤 창ngang체.",Ad체 창zo k청챗 yamba ng창 창la l챤ngbi ter챗 na l챗g챘 t챤 n챘ng철ter챗 na t챤 창ngang체,Ad체 창zo k청챗 yamba ng창 창la l챤ngbi ter챗 na l챗g챘 t챤 n챘ng철ter챗 na t챤 창ngang체
[[Ala]] k청챗 awara ndar채 na b철r철-li s챦 창la l챤ngbi t챤 dut챦 na 창mb창 t챤 창la g챦 na l챗ng철 s철ng철.,Ala k청챗 awara ndar채 na b철r철li s챦 창la l챤ngbi t챤 dut챦 na 창mb창 t챤 창la g챦 na l챗ng철 s철ng철,Ala k청챗 awara ndar채 na b철r철li s챦 창la l챤ngbi t챤 dut챦 na 창mb창 t챤 창la g챦 na l챗ng철 s철ng철
"Zo 척ko 척ko al챤ngbi t챤 p챤ka kate na nd철 t챤 창ngang체 s척 d챗p채 av청nga, na s채r채ng철 k창ngbi 척ko p챘p챘 wala na nd철 t챤 ten챘 t챤 mar채, wala t챤 nzor척ko t챤 ter챗 wala t챤 ndi채 wala t챤 k척l챦 na w창l챦 t챤 y창ng창 k철d철r철 wala t챤 [[mosoro]], t챤 ndo t챤 d체ng철 wala t챤 mar채 dut챦, Na nd철n챤 k청챗, al챤ngbi t챤 s창ra mb챗n챤 k창ngbi 척ko p챘p챘 s척 al철nd철 na nd철 t챤 t챘n챘 t챤 poros철 wala t챤 ndi채 wala t챤 p철p철k철d철r철, t챤 mb챗n챤 zo wala t챤 mb챗n챤 k철d철r철 n챤 s척 al챤ngbi t챤 dut챦 lipand채 wala na gbe l챗 t챤 mb챗n챤 k철d철r철 wala s척 ayeke na kp채l챘 t챤 s챗gb챦채.",Zo 척ko 척ko al챤ngbi t챤 p챤ka kate na nd철 t챤 창ngang체 s척 d챗p채 av청nga na s채r채ng철 k창ngbi 척ko p챘p챘 wala na nd철 t챤 ten챘 t챤 mar채 wala t챤 nzor척ko t챤 ter챗 wala t챤 ndi채 wala t챤 k척l챦 na w창l챦 t챤 y창ng창 k철d철r철 wala t챤 mosoro t챤 ndo t챤 d체ng철 wala t챤 mar채 dut챦 Na nd철n챤 k청챗 al챤ngbi t챤 s창ra mb챗n챤 k창ngbi 척ko p챘p챘 s척 al철nd철 na nd철 t챤 t챘n챘 t챤 poros철 wala t챤 ndi채 wala t챤 p철p철k철d철r철 t챤 mb챗n챤 zo wala t챤 mb챗n챤 k철d철r철 n챤 s척 al챤ngbi t챤 dut챦 lipand채 wala na gbe l챗 t챤 mb챗n챤 k철d철r철 wala s척 ayeke na kp채l챘 t챤 s챗gb챦채,Zo 척ko 척ko al챤ngbi t챤 p챤ka kate na nd철 t챤 창ngang체 s척 d챗p채 av청nga na s채r채ng철 k창ngbi 척ko p챘p챘 wala na nd철 t챤 ten챘 t챤 mar채 wala t챤 nzor척ko t챤 ter챗 wala t챤 ndi채 wala t챤 k척l챦 na w창l챦 t챤 y창ng창 k철d철r철 wala t챤 mosoro t챤 ndo t챤 d체ng철 wala t챤 mar채 dut챦 Na nd철n챤 k청챗 al챤ngbi t챤 s창ra mb챗n챤 k창ngbi 척ko p챘p챘 s척 al철nd철 na nd철 t챤 t챘n챘 t챤 poros철 wala t챤 ndi채 wala t챤 p철p철k철d철r철 t챤 mb챗n챤 zo wala t챤 mb챗n챤 k철d철r철 n챤 s척 al챤ngbi t챤 dut챦 lipand채 wala na gbe l챗 t챤 mb챗n챤 k철d철r철 wala s척 ayeke na kp채l챘 t챤 s챗gb챦채
"Zo k청챗 ayeke na ngang체 t챤 dut챦 na fin챤 t챤 lo, t챤 dut챦 yamba na t챤 dut챦 na mbeto t챤 wara s챦철n챤 p챘p챘e.",Zo k청챗 ayeke na ngang체 t챤 dut챦 na fin챤 t챤 lo t챤 dut챦 yamba na t챤 dut챦 na mbeto t챤 wara s챦철n챤 p챘p챘e,Zo k청챗 ayeke na ngang체 t챤 dut챦 na fin챤 t챤 lo t챤 dut챦 yamba na t챤 dut챦 na mbeto t챤 wara s챦철n챤 p챘p챘e
Zo 척ko al챤ngbi t챤 dut챦 na gbe t챤 ngb창a p챘p챘e.,Zo 척ko al챤ngbi t챤 dut챦 na gbe t챤 ngb창a p챘p챘e,Zo 척ko al챤ngbi t챤 dut챦 na gbe t챤 ngb창a p챘p챘e
Ak창nga l챗g챘 b챤an챤 na dut챦 t챤 ngb채a ng창 na d챘ng철 buz챘 t챤 k채ng철 zo na ngb창a.,Ak창nga l챗g챘 b챤an챤 na dut챦 t챤 ngb채a ng창 na d챘ng철 buz챘 t챤 k채ng철 zo na ngb창a,Ak창nga l챗g챘 b챤an챤 na dut챦 t챤 ngb채a ng창 na d챘ng철 buz챘 t챤 k채ng철 zo na ngb창a
Zo ôko alîngbi tî sâra mbâ tî lo na pâsi tî ponön wala na pâsi tî finön pëpëe.,Zo ôko alîngbi tî sâra mbâ tî lo na pâsi tî ponön wala na pâsi tî finön pëpëe,Zo ôko alîngbi tî sâra mbâ tî lo na pâsi tî ponön wala na pâsi tî finön pëpëe
Zo k청챗 ayeke na ngang체 t챤 tene ndi채 abata lo na 창s챦철n챤 l창k청챗 na ndo k청챗.,Zo k청챗 ayeke na ngang체 t챤 tene ndi채 abata lo na 창s챦철n챤 l창k청챗 na ndo k청챗,Zo k청챗 ayeke na ngang체 t챤 tene ndi채 abata lo na 창s챦철n챤 l창k청챗 na ndo k청챗
"Azo k청e al챤ngbi ter챗 na l챗 t챤 ndi채, ng창 창la yeke na ngang체 l챗g챘 척ko na s채r채ng철 k창ngbi 척ko p챘p챘e.",Azo k청e al챤ngbi ter챗 na l챗 t챤 ndi채 ng창 창la yeke na ngang체 l챗g챘 척ko na s채r채ng철 k창ngbi 척ko p챘p챘e,Azo k청e al챤ngbi ter챗 na l챗 t챤 ndi채 ng창 창la yeke na ngang체 l챗g챘 척ko na s채r채ng철 k창ngbi 척ko p챘p챘e
"Am청 na 창la ngang체 na s챗b채t채ng철 ter챘 l챗g챘 척ko, na t챘n챘 t챤 k창ngbi t챤 mar채 s척 al챤ngbi t챤 f챤ngi d챗p채 s척 ng창 na t챘n챘 t챤 g챦ng철 l챗g챘 t챤 k창ngbi t챤 mar채 s척.",Am청 na 창la ngang체 na s챗b채t채ng철 ter챘 l챗g챘 척ko na t챘n챘 t챤 k창ngbi t챤 mar채 s척 al챤ngbi t챤 f챤ngi d챗p채 s척 ng창 na t챘n챘 t챤 g챦ng철 l챗g챘 t챤 k창ngbi t챤 mar채 s척,Am청 na 창la ngang체 na s챗b채t채ng철 ter챘 l챗g챘 척ko na t챘n챘 t챤 k창ngbi t챤 mar채 s척 al챤ngbi t챤 f챤ngi d챗p채 s척 ng창 na t챘n챘 t챤 g챦ng철 l챗g챘 t챤 k창ngbi t챤 mar채 s척
Zo k청챗 al챤ngbi t챤 l챦 ngbanga na 창dangbanga t챤 k철d철r철 t챤 lo t철ngana 창zo akp챘 p챘p챘e 창ngang체 s척 s챗ndi채 t챤 k철d철r철 t챤 lo am청 na lo.,Zo k청챗 al챤ngbi t챤 l챦 ngbanga na 창dangbanga t챤 k철d철r철 t챤 lo t철ngana 창zo akp챘 p챘p챘e 창ngang체 s척 s챗ndi채 t챤 k철d철r철 t챤 lo am청 na lo,Zo k청챗 al챤ngbi t챤 l챦 ngbanga na 창dangbanga t챤 k철d철r철 t챤 lo t철ngana 창zo akp챘 p챘p챘e 창ngang체 s척 s챗ndi채 t챤 k철d철r철 t챤 lo am청 na lo
"Al챤ngbi 척ko p챘p챘e t챤 gb청 zo na k창nga wala t챤 bata lo na k창nga wala t챤 tokua zo yong척ro na k철d철r철 t챤 lo g챦 s챗ng챗 s챗ng챗, t철ngana nd창 n챤 ayeke da p챘p챘e.",Al챤ngbi 척ko p챘p챘e t챤 gb청 zo na k창nga wala t챤 bata lo na k창nga wala t챤 tokua zo yong척ro na k철d철r철 t챤 lo g챦 s챗ng챗 s챗ng챗 t철ngana nd창 n챤 ayeke da p챘p챘e,Al챤ngbi 척ko p챘p챘e t챤 gb청 zo na k창nga wala t챤 bata lo na k창nga wala t챤 tokua zo yong척ro na k철d철r철 t챤 lo g챦 s챗ng챗 s챗ng챗 t철ngana nd창 n챤 ayeke da p챘p챘e
"Zo k청챗 ayeke na ngang체, l챗g챘 척ko na 창mb창 t챤 lo, t챤 tene am채 pol챗l챗 t챘n챘 t챤 y창ng창 t챤 lo na l챗 t챤 boro ngbanga s척 fad챘 afa 창nde wala 창ngang체 wala 창kuandi채 t챤 lo wala t철ngana p채ng철 챦r챦 na t챘n챘 s척 al챦 ngbanga da na nd철 t챤 lo s척 ayeke mb챤r챤mb챤r챤.",Zo k청챗 ayeke na ngang체 l챗g챘 척ko na 창mb창 t챤 lo t챤 tene am채 pol챗l챗 t챘n챘 t챤 y창ng창 t챤 lo na l챗 t챤 boro ngbanga s척 fad챘 afa 창nde wala 창ngang체 wala 창kuandi채 t챤 lo wala t철ngana p채ng철 챦r챦 na t챘n챘 s척 al챦 ngbanga da na nd철 t챤 lo s척 ayeke mb챤r챤mb챤r챤,Zo k청챗 ayeke na ngang체 l챗g챘 척ko na 창mb창 t챤 lo t챤 tene am채 pol챗l챗 t챘n챘 t챤 y창ng창 t챤 lo na l챗 t챤 boro ngbanga s척 fad챘 afa 창nde wala 창ngang체 wala 창kuandi채 t챤 lo wala t철ngana p채ng철 챦r챦 na t챘n챘 s척 al챦 ngbanga da na nd철 t챤 lo s척 ayeke mb챤r챤mb챤r챤
Al챤ngbi 척ko p챘p챘e t챤 y척ro ter챗 na mb채n채 na y창 t챤 s챗dut챦 t챤 zo wala t챤 s챘wa t챤 lo wala t챤 da t챤 lo wala t챤 d챤ko mb챘t챦s청 t챤 lo.,Al챤ngbi 척ko p챘p챘e t챤 y척ro ter챗 na mb채n채 na y창 t챤 s챗dut챦 t챤 zo wala t챤 s챘wa t챤 lo wala t챤 da t챤 lo wala t챤 d챤ko mb챘t챦s청 t챤 lo,Al챤ngbi 척ko p챘p챘e t챤 y척ro ter챗 na mb채n채 na y창 t챤 s챗dut챦 t챤 zo wala t챤 s챘wa t챤 lo wala t챤 da t챤 lo wala t챤 d챤ko mb챘t챦s청 t챤 lo
Al챤ngbi p챘p챘e t챤 buba 챦r챦 t챤 zo ng창 na w체ng철 t챤 챦r챦 t챤 lo.,Al챤ngbi p챘p챘e t챤 buba 챦r챦 t챤 zo ng창 na w체ng철 t챤 챦r챦 t챤 lo,Al챤ngbi p챘p챘e t챤 buba 챦r챦 t챤 zo ng창 na w체ng철 t챤 챦r챦 t챤 lo
Zo k청챗 ayeke na ngang체 t챤 tene ndi채 abata lo ngbanga t챤 창mar채 kp채l챘 t철ngas철.,Zo k청챗 ayeke na ngang체 t챤 tene ndi채 abata lo ngbanga t챤 창mar채 kp채l챘 t철ngas철,Zo k청챗 ayeke na ngang체 t챤 tene ndi채 abata lo ngbanga t챤 창mar채 kp채l챘 t철ngas철
Sura 13 Sura 18.,Sura Sura,Sura Sura
"Am청 na zo k청e zar채 t챤 bib챗, t챤 boro-li na t챤 m채b챗 ; ngang체 s척 afa atene zo k청챗 ayeke na zar채 t챤 gb챤an m채b챗 t챤 lo, wala bib챗 t챤 lo ng창 na zar채 t챤 fa pol챗l챗 m채b챗 ti lo, lo 척ko wala na y창 t챤 mb챗n챤 b청ngbi, pol챗l챗 wala koiko, na l챗g챘 t챤 f채ng척 mb챘t챦, t챤 s채r채ng철 y챗, t챤 v철r철ng철 nzap채 ng창 na s채r채ng철 창ng척bo.",Am청 na zo k청e zar채 t챤 bib챗 t챤 boroli na t챤 m채b챗 ngang체 s척 afa atene zo k청챗 ayeke na zar채 t챤 gb챤an m채b챗 t챤 lo wala bib챗 t챤 lo ng창 na zar채 t챤 fa pol챗l챗 m채b챗 ti lo lo 척ko wala na y창 t챤 mb챗n챤 b청ngbi pol챗l챗 wala koiko na l챗g챘 t챤 f채ng척 mb챘t챦 t챤 s채r채ng철 y챗 t챤 v철r철ng철 nzap채 ng창 na s채r채ng철 창ng척bo,Am청 na zo k청e zar채 t챤 bib챗 t챤 boroli na t챤 m채b챗 ngang체 s척 afa atene zo k청챗 ayeke na zar채 t챤 gb챤an m채b챗 t챤 lo wala bib챗 t챤 lo ng창 na zar채 t챤 fa pol챗l챗 m채b챗 ti lo lo 척ko wala na y창 t챤 mb챗n챤 b청ngbi pol챗l챗 wala koiko na l챗g챘 t챤 f채ng척 mb챘t챦 t챤 s채r채ng철 y챗 t챤 v철r철ng철 nzap채 ng창 na s채r채ng철 창ng척bo
Am청 na zo k청챗 ngang체 t챤 zar채 t챤 bib챗 na t챤 s채r채ng철 t챘n챘.,Am청 na zo k청챗 ngang체 t챤 zar채 t챤 bib챗 na t챤 s채r채ng철 t챘n챘,Am청 na zo k청챗 ngang체 t챤 zar채 t챤 bib챗 na t챤 s채r채ng철 t챘n챘
S척 atene al챤ngbi t챤 doroko zo p챘p챘e nd창li t챤 창bib챗 t챤 lo.,S척 atene al챤ngbi t챤 doroko zo p챘p챘e nd창li t챤 창bib챗 t챤 lo,S척 atene al챤ngbi t챤 doroko zo p챘p챘e nd창li t챤 창bib챗 t챤 lo
"Am청 ng창 na zo k청챗 ngang체 t챤 gi, t챤 wara na t챤 v청nga 창sango na 창kod챘 na 창mar채 l챗g챘 k청챗, na z챦채ng철 b챗 p챘p챘e na nd철 t챤 t챘n챘 t챤 창meka.",Am청 ng창 na zo k청챗 ngang체 t챤 gi t챤 wara na t챤 v청nga 창sango na 창kod챘 na 창mar채 l챗g챘 k청챗 na z챦채ng철 b챗 p챘p챘e na nd철 t챤 t챘n챘 t챤 창meka,Am청 ng창 na zo k청챗 ngang체 t챤 gi t챤 wara na t챤 v청nga 창sango na 창kod챘 na 창mar채 l챗g챘 k청챗 na z챦채ng철 b챗 p챘p챘e na nd철 t챤 t챘n챘 t챤 창meka
Zo k청챗 t철ngana wab척so t챤 hal챘zo ayeke na ngang체 na kod챘kua t챤 b채t채ng철 ter챘.,Zo k청챗 t철ngana wab척so t챤 hal챘zo ayeke na ngang체 na kod챘kua t챤 b채t채ng철 ter챘,Zo k청챗 t철ngana wab척so t챤 hal챘zo ayeke na ngang체 na kod챘kua t챤 b채t채ng철 ter챘
