text,text_clean,text_ents
Ets a' form o' [[transport]]: a weih f' getten araun an t' carrieh kargo.,Ets a form o transport a weih f getten araun an t carrieh kargo,Ets a form o transport a weih f getten araun an t carrieh kargo
"Dem Folklan Ailen ([[Inglish]]: ""Falkland Islands"") esa archipelago i' t' sowth paat o' t' [[Etlantic Oshen]].",Dem Folklan Ailen Inglish Falkland Islands esa archipelago i t sowth paat o t Etlantic Oshen,Dem Folklan Ailen Inglish Falkland Islands esa archipelago i t sowth paat o t Etlantic Oshen
"""De facto"", ets auesii teritrii o' t' [[Yunitid Kingdum]], butth Arjentina consaaide daa Dem Folklan Ailen esa paat o' t' Arjentin prowiins Faeland.",De facto ets auesii teritrii o t Yunitid Kingdum butth Arjentina consaaide daa Dem Folklan Ailen esa paat o t Arjentin prowiins Faeland,De facto ets auesii teritrii o t Yunitid_Kingdum butth Arjentina consaaide daa Dem Folklan Ailen esa paat o t Arjentin prowiins Faeland
"Wiktoreya esa stait i' t' sowth a' eist o' [[Ostrielya]], sowth o' Niiw Sowth Waayls an eist o' [[Sowth Ostrielya]].",Wiktoreya esa stait i t sowth a eist o Ostrielya sowth o Niiw Sowth Waayls an eist o Sowth Ostrielya,Wiktoreya esa stait i t sowth a eist o Ostrielya sowth o Niiw Sowth Waayls an eist o Sowth Ostrielya
T' kapitel citii es [[Melban]].,T kapitel citii es Melban,T kapitel citii es Melban
Taedha mien citii es Jillong.,Taedha mien citii es Jillong,Taedha mien citii es Jillong
Wiktoreya es proklaaim a' difrent colonii f' Niiw Sowth Waayls in 1851.,Wiktoreya es proklaaim a difrent colonii f Niiw Sowth Waayls in,Wiktoreya es proklaaim a difrent colonii f Niiw Sowth Waayls in
Leten Merika es wun region sityuuaitid i' [[Sowth Merika]] an' [[North Merika]].,Leten Merika es wun region sityuuaitid i Sowth Merika an North Merika,Leten Merika es wun region sityuuaitid i Sowth_Merika an North Merika
"Alla Borisowna Pugachova (Ieprel 15, 1949, [[Moskou]]) esa wun [[Rushan]] singaa.",Alla Borisowna Pugachova Ieprel Moskou esa wun Rushan singaa,Alla Borisowna Pugachova Ieprel Moskou esa wun Rushan singaa
Osheania ([[Inglish]]: Oceania; [[French]]: Océanie) esa [[kontenent]] kampoziid o' vereas gruups o' Pesifik Ailens an [[Ostrielya]].,Osheania Inglish Oceania French Océanie esa kontenent kampoziid o vereas gruups o Pesifik Ailens an Ostrielya,Osheania Inglish Oceania French Océanie esa kontenent kampoziid o vereas gruups o Pesifik Ailens an Ostrielya
"Ets maeked o' for mein parts; Melaniisya, Poliinesya, Mikronesya, an Ostrielyaisya.",Ets maeked o for mein parts Melaniisya Poliinesya Mikronesya an Ostrielyaisya,Ets maeked o for mein parts Melaniisya Poliinesya Mikronesya an Ostrielyaisya
"T' termin ""Osheania"" wos kreaytid i' 1831 b' [[French]] eksplora Dumont d'Urville.",T termin Osheania wos kreaytid i b French eksplora Dumont dUrville,T termin Osheania wos kreaytid i b French eksplora Dumont dUrville
T' termin es yuus'd teda i' mani laenghwij t' dinot a' kontenent kemprising [[Ostrielya]] an ajaysent Pesifik.,T termin es yuusd teda i mani laenghwij t dinot a kontenent kemprising Ostrielya an ajaysent Pesifik,T termin es yuusd teda i mani laenghwij t dinot a kontenent kemprising Ostrielya an ajaysent Pesifik
"Rushan (""русский язык"") esa em [[laenghwij]] i' [[Rusha]].",Rushan русский язык esa em laenghwij i Rusha,Rushan русский язык esa em laenghwij i Rusha
Et es spoken mas i' [[Urup]] a' [[Asya]].,Et es spoken mas i Urup a Asya,Et es spoken mas i Urup a Asya
Riigaa es kapitel citii a' [[Latwya]].,Riigaa es kapitel citii a Latwya,Riigaa es kapitel citii a Latwya
 esa kuntrii i' [[Urup]].,esa kuntrii i Urup,esa kuntrii i Urup
Es tÂṀsmalles kuntrii o' t' woerld.,Es tÂṀsmalles kuntrii o t woerld,Es tÂṀsmalles kuntrii o t woerld
Em liiv t' pope.,Em liiv t pope,Em liiv t pope
Afganistaan esa kuntrii i' [[Asya]].,Afganistaan esa kuntrii i Asya,Afganistaan esa kuntrii i Asya
 es a' ailen kuntriis a' [[Afreka]].,es a ailen kuntriis a Afreka,es a ailen kuntriis a Afreka
"Abaza ([[Rushan]]: Абаза) esa citii i' [[Rusha]], i' Khakassia.",Abaza Rushan Абаза esa citii i Rusha i Khakassia,Abaza Rushan Абаза esa citii i Rusha i Khakassia
T' popyulayshun a' 2018 iya esa 15 335 piopel.,T popyulayshun a iya esa piopel,T popyulayshun a iya esa piopel
 esa kuntrii i' [[Afreka]].,esa kuntrii i Afreka,esa kuntrii i Afreka
 <ns>0</ns>  <revision></revision>  <timestamp>2021-12-12T13:09:51Z</timestamp>  <contributor></contributor>  <username>Alefar</username>    <comment>Redirected page to [[Entanashunal Fonetikl Elphabet]]</comment>  <model>wikitext</model>  <format>text/x-wiki</format>,nsns revisionrevision timestampTZtimestamp contributorcontributor usernameAlefarusername commentRedirected page to Entanashunal Fonetikl Elphabetcomment modelwikitextmodel formattextxwikiformat,nsns revisionrevision timestampTZtimestamp contributorcontributor usernameAlefarusername commentRedirected page to Entanashunal_Fonetikl_Elphabetcomment modelwikitextmodel formattextxwikiformat
Human enetomii es [[enetomii]] o' humans.,Human enetomii es enetomii o humans,Human enetomii es enetomii o humans
 es t' ofishol [[kurencii]] a' [[Fiijii]].,es t ofishol kurencii a Fiijii,es t ofishol kurencii a Fiijii
"LSBT (""LGBT"") es an ekronim det stands f' Lesbien, Suuta, Baiseksh'l an Trensjendaa (""Lesbian, Gay, Bisexual and Transgender"").",LSBT LGBT es an ekronim det stands f Lesbien Suuta Baisekshl an Trensjendaa Lesbian Gay Bisexual and Transgender,LSBT LGBT es an ekronim det stands f Lesbien Suuta Baisekshl an Trensjendaa Lesbian Gay Bisexual and Transgender
"Iin [[Norfuk]]/[[Pitkern]], t' uni letaa difr'nt iin t' [[Inglish]] ekronim es t' ""S"" as t' ""G"" (as t' Norfuk/Pitkern werd f' ""gay"" es ""suuta"").",Iin NorfukPitkern t uni letaa difrnt iin t Inglish ekronim es t S as t G as t NorfukPitkern werd f gay es suuta,Iin NorfukPitkern t uni letaa difrnt iin t Inglish ekronim es t S as t G as t NorfukPitkern werd f gay es suuta
"Pigazzano esa toen i' [[Italii]], a' es 6.2 km² area.",Pigazzano esa toen i Italii a es km² area,Pigazzano esa toen i Italii a es km² area
"Es popyulayshun s' es 1,000 i' 2009.",Es popyulayshun s es i,Es popyulayshun s es i
T' ofishol tal' o' Niue wos edaptedi i' 1974.,T ofishol tal o Niue wos edaptedi i,T ofishol tal o Niue wos edaptedi i
Dis 's wen Niue got independens an join'd i' t' frii associashun wi' [[Nyuu Ziilan]].,Dis s wen Niue got independens an joind i t frii associashun wi Nyuu Ziilan,Dis s wen Niue got independens an joind i t frii associashun wi Nyuu_Ziilan
"Transport es a' wieh t' get araun, from wan plais taedha.",Transport es a wieh t get araun from wan plais taedha,Transport es a wieh t get araun from wan plais taedha
Wiehs a' get araun: Norufuk [[Ailen]] transport.,Wiehs a get araun Norufuk Ailen transport,Wiehs a get araun Norufuk Ailen transport
"[[Norfuk Ailen]] reliis moestly on tuu forms a' transport: Dem sheps laen a' [[Kingston]] ulla Kaaskied piya, en pliens laen a' t' Norfuk Ailen Eyaport.",Norfuk Ailen reliis moestly on tuu forms a transport Dem sheps laen a Kingston ulla Kaaskied piya en pliens laen a t Norfuk Ailen Eyaport,Norfuk_Ailen reliis moestly on tuu forms a transport Dem sheps laen a Kingston ulla Kaaskied piya en pliens laen a t Norfuk Ailen Eyaport
Lae es t' sekan biges sitii iin [[Papua Nyuu Gini]].,Lae es t sekan biges sitii iin Papua Nyuu Gini,Lae es t sekan biges sitii iin Papua_Nyuu_Gini
Baagdad ([[Erabek]]: بغداد‎) esa wan o' em biges citii o' [[Medl Eist]].,Baagdad Erabek بغداد‎ esa wan o em biges citii o Medl Eist,Baagdad Erabek بغداد‎ esa wan o em biges citii o Medl Eist
Ets elsa t' kapitel an t' biges citii a' [[Eraak]] (wit a' popyulayshun a' 9 million salan).,Ets elsa t kapitel an t biges citii a Eraak wit a popyulayshun a million salan,Ets elsa t kapitel an t biges citii a Eraak wit a popyulayshun a million salan
Jainism esa rilijin.,Jainism esa rilijin,Jainism esa rilijin
"Sukhumi ulla Sukhum ([[Rushan]]: Сухум; Jorjan: სოხუმი; Abkasiyan: ""Аҟәа"") es t' kapitel citii o' region Abkasiya an o' unrekogniis'd kuntrii [[Repablik o' Abkasiya]] (""[[Jorja]]"").",Sukhumi ulla Sukhum Rushan Сухум Jorjan სოხუმი Abkasiyan Аҟәа es t kapitel citii o region Abkasiya an o unrekogniisd kuntrii Repablik o Abkasiya Jorja,Sukhumi ulla Sukhum Rushan Сухум Jorjan სოხუმი Abkasiyan Аҟәа es t kapitel citii o region Abkasiya an o unrekogniisd kuntrii Repablik o Abkasiya Jorja
"Hebe Maria Camargo (barn 8 Maach 1929) esa [[Bresel]]yan television presenta, aktres an singa.",Hebe Maria Camargo barn Maach esa Breselyan television presenta aktres an singa,Hebe Maria Camargo barn Maach esa Breselyan television presenta aktres an singa
Estonya esa kuntrii i' [[Urup]].,Estonya esa kuntrii i Urup,Estonya esa kuntrii i Urup
[[Tallinn]] es t' kapitel.,Tallinn es t kapitel,Tallinn es t kapitel
"Estonya, [[Latwya]] a' [[Lithyuanya]] maik a' em Baawltik Staat.",Estonya Latwya a Lithyuanya maik a em Baawltik Staat,Estonya Latwya a Lithyuanya maik a em Baawltik Staat
Dem Cauntiis.,Dem Cauntiis,Dem Cauntiis
"Estonya es kut i' 15 cauntii, kaal ""maakond"" i' [[Estonyan]]:",Estonya es kut i cauntii kaal maakond i Estonyan,Estonya es kut i cauntii kaal maakond i Estonyan
 esa [[ailen]] kuntrii i' [[Pesifik Oshen]].,esa ailen kuntrii i Pesifik Oshen,esa ailen kuntrii i Pesifik Oshen
Es kapitel a' [[Funafuti]].,Es kapitel a Funafuti,Es kapitel a Funafuti
" (Norwaiian: ""Svalbard""; [[Rushan]]: ""Шпицберген""; Doich: ""Spitzbergen"") esa [[ailen]] north a' [[Norwaii]] en esa dapendecii a' Norwaii.",Norwaiian Svalbard Rushan Шпицберген Doich Spitzbergen esa ailen north a Norwaii en esa dapendecii a Norwaii,Norwaiian Svalbard Rushan Шпицберген Doich Spitzbergen esa ailen north a Norwaii en esa dapendecii a Norwaii
Es kapitel citii a' Longyearbyen.,Es kapitel citii a Longyearbyen,Es kapitel citii a Longyearbyen
"Campora San Giovanni, esa citii i' [[Italii]], a' es 6,2 km area.",Campora San Giovanni esa citii i Italii a es km area,Campora San Giovanni esa citii i Italii a es km area
"[[Puerto Rico]] ofishili t' [[Commonwealth of Puerto Rico]] ""(Spanish: [[Estado Libre Asociado de Puerto Rico]])"" esa Merikan teritorii.",Puerto Rico ofishili t Commonwealth of Puerto Rico Spanish Estado Libre Asociado de Puerto Rico esa Merikan teritorii,Puerto_Rico ofishili t Commonwealth of Puerto Rico Spanish Estado Libre Asociado de Puerto Rico esa Merikan teritorii
Sicilii esa ailen i' [[Italii]].,Sicilii esa ailen i Italii,Sicilii esa ailen i Italii
[[A]]' Etem es a' baesik paatikel a' t' metaa.,A Etem es a baesik paatikel a t metaa,A Etem es a baesik paatikel a t metaa
"Dem etem esa weri smohl, ets 'bout 10-8m ekros.",Dem etem esa weri smohl ets bout m ekros,Dem etem esa weri smohl ets bout m ekros
"[[Theresa Mary May]] (née Brasier, born 1 Oktoeba 1956) es t' Priim Minista a' t' [[Yunitid Kingdum]].",Theresa Mary May née Brasier born Oktoeba es t Priim Minista a t Yunitid Kingdum,Theresa_Mary_May née Brasier born Oktoeba es t Priim Minista a t Yunitid Kingdum
Jamaeka es a' karibiyen ailen kuntrii.,Jamaeka es a karibiyen ailen kuntrii,Jamaeka es a karibiyen ailen kuntrii
T' [[kapitel citii]] es [[Kingston]].,T kapitel citii es Kingston,T kapitel_citii es Kingston
"T' airea o' t' kuntrii es 10,991 km² an t' [[popyulayshun]] as a' 2017 iya es 2,890,299 salan.",T airea o t kuntrii es km² an t popyulayshun as a iya es salan,T airea o t kuntrii es km² an t popyulayshun as a iya es salan
"T' mien [[laenghwij]] es [[Inglish]], alla ets neya kuntriis daa tal [[Spanish]].",T mien laenghwij es Inglish alla ets neya kuntriis daa tal Spanish,T mien laenghwij es Inglish alla ets neya kuntriis daa tal Spanish
Esrail esa kuntrii i' t' [[Medl Eist]].,Esrail esa kuntrii i t Medl Eist,Esrail esa kuntrii i t Medl_Eist
"Mas salan a' Esrail es em [[Jua]], taedha salan a' em Erab an a' em Druus.",Mas salan a Esrail es em Jua taedha salan a em Erab an a em Druus,Mas salan a Esrail es em Jua taedha salan a em Erab an a em Druus
"T' kapitel citii es Jerusalem daa es houlii i' [[Islem]], [[Judaism]] an [[Kreschenitii]].",T kapitel citii es Jerusalem daa es houlii i Islem Judaism an Kreschenitii,T kapitel citii es Jerusalem daa es houlii i Islem Judaism an Kreschenitii
Amoen taedha big citiis deir esa Tel Aviv an Hefa.,Amoen taedha big citiis deir esa Tel Aviv an Hefa,Amoen taedha big citiis deir esa Tel Aviv an Hefa
"Samoan esa Polynesian laenghwij, es spoken i' [[Samoa]].",Samoan esa Polynesian laenghwij es spoken i Samoa,Samoan esa Polynesian laenghwij es spoken i Samoa
Blomberg esa toen i' [[Doichland]].,Blomberg esa toen i Doichland,Blomberg esa toen i Doichland
T' popyulayshun es 15 274 (2016).,T popyulayshun es,T popyulayshun es
Gerhard Schroder wos barn i' Blomberg.,Gerhard Schroder wos barn i Blomberg,Gerhard Schroder wos barn i Blomberg
Iseland esa kuntrii i' [[Urup]].,Iseland esa kuntrii i Urup,Iseland esa kuntrii i Urup
T' kapitel citii es Reykjavik.,T kapitel citii es Reykjavik,T kapitel citii es Reykjavik
T' President es Guðni Th.,T President es Guðni Th,T President es Guðni Th
Jóhannesson.,Jóhannesson,Jóhannesson
Yaren Konstituensii es wan a' dem konstituensiis o' [[Nauruu]].,Yaren Konstituensii es wan a dem konstituensiis o Nauruu,Yaren Konstituensii es wan a dem konstituensiis o Nauruu
Et riiturn tuu membas f' Yaren t' t' Parliament o' Nauruu i' Yaren.,Et riiturn tuu membas f Yaren t t Parliament o Nauruu i Yaren,Et riiturn tuu membas f Yaren t t Parliament o Nauruu i Yaren
Sitayshuns.,Sitayshuns,Sitayshuns
"Sii ""naurugov.nr"" Eksternal Links.",Sii naurugovnr Eksternal Links,Sii naurugovnr Eksternal Links
Miidya riilated t' Konstituensiis o' [[Nauruu]] a' Wikkamiidya Komons.,Miidya riilated t Konstituensiis o Nauruu a Wikkamiidya Komons,Miidya riilated t Konstituensiis o Nauruu a Wikkamiidya Komons
"Šiprage (Шипраге) esa village in [[Bosnya a' Hersegowina]], kuntrii i' [[Urup]].",Šiprage Шипраге esa village in Bosnya a Hersegowina kuntrii i Urup,Šiprage Шипраге esa village in Bosnya_a_Hersegowina kuntrii i Urup
Ducie Ailen esa [[ailen]] i t' [[Pesifik Oshen]].,Ducie Ailen esa ailen i t Pesifik Oshen,Ducie Ailen esa ailen i t Pesifik Oshen
Es oend b' [[Pitkern Ailen]].,Es oend b Pitkern Ailen,Es oend b Pitkern_Ailen
Noewan liws o' Ducie Ailen.,Noewan liws o Ducie Ailen,Noewan liws o Ducie Ailen
Es part a' Pitkern Ailen teritrii.,Es part a Pitkern Ailen teritrii,Es part a Pitkern Ailen teritrii
Kresmes (Anshunt Griik: Ή κατά σάρκα Γέννησις τού Κυρίου καί Θεού καί Σωτήρος ἡμῶν Ιησού Χριστού) es a [[Kreschen]] ennyuual hohlidi dat silibriet d' biirth o' Jiisus Kraist.,Kresmes Anshunt Griik Ή κατά σάρκα Γέννησις τού Κυρίου καί Θεού καί Σωτήρος ἡμῶν Ιησού Χριστού es a Kreschen ennyuual hohlidi dat silibriet d biirth o Jiisus Kraist,Kresmes Anshunt Griik Ή κατά σάρκα Γέννησις τού Κυρίου καί Θεού καί Σωτήρος ἡμῶν Ιησού Χριστού es a Kreschen ennyuual hohlidi dat silibriet d biirth o Jiisus Kraist
"Et s' silibriet'd orn Disemba 25 i' t' Werl eksept d' ortodoks kuntriis ([[Rusha]], [[Yukrayn]], [[Griis]] andem) said et s' silibriet'd orn Jaenyuweri 7.",Et s silibrietd orn Disemba i t Werl eksept d ortodoks kuntriis Rusha Yukrayn Griis andem said et s silibrietd orn Jaenyuweri,Et s silibrietd orn Disemba i t Werl eksept d ortodoks kuntriis Rusha Yukrayn Griis andem said et s silibrietd orn Jaenyuweri
Kresmes es orlsoe a kalcharl hohlidi f' plenti non-Kreschen salan.,Kresmes es orlsoe a kalcharl hohlidi f plenti nonKreschen salan,Kresmes es orlsoe a kalcharl hohlidi f plenti nonKreschen salan
"Iin d' Northern Hemisfiir, d' Kresmes siisen es iin [[winta]].",Iin d Northern Hemisfiir d Kresmes siisen es iin winta,Iin d Northern Hemisfiir d Kresmes siisen es iin winta
"Bifor et s' silibriet'd, enshunt salan silibriet'd defrent winta festeval, an sam o' em tradishn lorngf' et bekiem Kresmes tradishn.",Bifor et s silibrietd enshunt salan silibrietd defrent winta festeval an sam o em tradishn lorngf et bekiem Kresmes tradishn,Bifor et s silibrietd enshunt salan silibrietd defrent winta festeval an sam o em tradishn lorngf et bekiem Kresmes tradishn
Dem Tradishn.,Dem Tradishn,Dem Tradishn
Pablik selebreyshun.,Pablik selebreyshun,Pablik selebreyshun
Plenti o' em sitiis an tauns silibreit [[Kresmes]] lorngf' putinap dekorayshuns.,Plenti o em sitiis an tauns silibreit Kresmes lorngf putinap dekorayshuns,Plenti o em sitiis an tauns silibreit Kresmes lorngf putinap dekorayshuns
"Corazón valiente (""Fearless Heart)"" esa Spanish-laenghwij telenovela prodyuus'd bii t' Yunitid Staits-beis'd televisiien network Telemundo, featuring a' ensembl cast.",Corazón valiente Fearless Heart esa Spanishlaenghwij telenovela prodyuusd bii t Yunitid Staitsbeisd televisiien network Telemundo featuring a ensembl cast,Corazón valiente Fearless Heart esa Spanishlaenghwij telenovela prodyuusd bii t Yunitid Staitsbeisd televisiien network Telemundo featuring a ensembl cast
"Adriana Fonseca, Ximena Duque, José Luis Reséndez an Fabián Ríos starred as dem mien protaagonists.",Adriana Fonseca Ximena Duque José Luis Reséndez an Fabián Ríos starred as dem mien protaagonists,Adriana Fonseca Ximena Duque José Luis Reséndez an Fabián Ríos starred as dem mien protaagonists
Aylín Mújica an Manuel Landeta starred as dem mien antaagonists.,Aylín Mújica an Manuel Landeta starred as dem mien antaagonists,Aylín Mújica an Manuel Landeta starred as dem mien antaagonists
"Telemundo aired ""Corazón valiente"" wiiknights at 9pm/8c from March 6, 2012 to Januarii 7, 2013 riplaciin ""Flor salvaje"".",Telemundo aired Corazón valiente wiiknights at pmc from March to Januarii riplaciin Flor salvaje,Telemundo aired Corazón valiente wiiknights at pmc from March to Januarii riplaciin Flor salvaje
"On Januarii 8, 2013 ""La patrona"" ripleis'd ""Corazón valiente.""",On Januarii La patrona ripleisd Corazón valiente,On Januarii La patrona ripleisd Corazón valiente
"As wit most o' dem otha novelas, Telemundo broadcast closed kapsyuuns i' Inglish, as well as Spanish.",As wit most o dem otha novelas Telemundo broadcast closed kapsyuuns i Inglish as well as Spanish,As wit most o dem otha novelas Telemundo broadcast closed kapsyuuns i Inglish as well as Spanish
Plot.,Plot,Plot
This esa t' storii o' t' friendship bitwiin tuu girls i' a' riimot citii calla Villa de Bravo.,This esa t storii o t friendship bitwiin tuu girls i a riimot citii calla Villa de Bravo,This esa t storii o t friendship bitwiin tuu girls i a riimot citii calla Villa de Bravo
"Ángela Valdez (Sofía Sanabria), humble an swiit, waa t' daughter o' Miguel Valdez (Jorge Luis Pila) t' bodiiguard o' t' powerful an wealthii Sandoval Navarro familii.",Ángela Valdez Sofía Sanabria humble an swiit waa t daughter o Miguel Valdez Jorge Luis Pila t bodiiguard o t powerful an wealthii Sandoval Navarro familii,Ángela Valdez Sofía Sanabria humble an swiit waa t daughter o Miguel Valdez Jorge Luis Pila t bodiiguard o t powerful an wealthii Sandoval Navarro familii
Samantha Sandoval Navarro was t' rich girl guarded bii Miguel Valdéz.,Samantha Sandoval Navarro was t rich girl guarded bii Miguel Valdéz,Samantha Sandoval Navarro was t rich girl guarded bii Miguel Valdéz
"Dem tuu girls' lives ar foreva chaynged when Samantha i' kidnapped, resulting i' Miguel Valdéz sacrificing his life t' save her.",Dem tuu girls lives ar foreva chaynged when Samantha i kidnapped resulting i Miguel Valdéz sacrificing his life t save her,Dem tuu girls lives ar foreva chaynged when Samantha i kidnapped resulting i Miguel Valdéz sacrificing his life t save her
"Efta what happened, dem girls were separated.",Efta what happened dem girls were separated,Efta what happened dem girls were separated
Ángela and Samantha miit again afta eightiin years.,Ángela and Samantha miit again afta eightiin years,Ángela and Samantha miit again afta eightiin years
Ángela (Adriana Fonseca) i' mariid t' Luis Martínez (Gabriel Valenzuela) haa a' daughter Violeta (Nicole Arci) an works as a' baker.,Ángela Adriana Fonseca i mariid t Luis Martínez Gabriel Valenzuela haa a daughter Violeta Nicole Arci an works as a baker,Ángela Adriana Fonseca i mariid t Luis Martínez Gabriel Valenzuela haa a daughter Violeta Nicole Arci an works as a baker
"For her part, Samantha (Ximena Duque), works as a bodiiguard.",For her part Samantha Ximena Duque works as a bodiiguard,For her part Samantha Ximena Duque works as a bodiiguard
"Samantha thiinks o' t' idea o' inviting Ángela to work wi' her; Ángela aksepts an assigns her t' misyun t' protect Génesis Arroyo, t' daughter o' a' multimillionaire lawyer neim'd Juan Marcos Arroyo (José Luis Reséndez) who is unfortunatlii mariid to Isabel Uriarte (Sonia Smith) a' proud an evil woman who i' unfaithful ivin wi' his ouun bodiiguard.",Samantha thiinks o t idea o inviting Ángela to work wi her Ángela aksepts an assigns her t misyun t protect Génesis Arroyo t daughter o a multimillionaire lawyer neimd Juan Marcos Arroyo José Luis Reséndez who is unfortunatlii mariid to Isabel Uriarte Sonia Smith a proud an evil woman who i unfaithful ivin wi his ouun bodiiguard,Samantha thiinks o t idea o inviting Ángela to work wi her Ángela aksepts an assigns her t misyun t protect Génesis Arroyo t daughter o a multimillionaire lawyer neimd Juan Marcos Arroyo José Luis Reséndez who is unfortunatlii mariid to Isabel Uriarte Sonia Smith a proud an evil woman who i unfaithful ivin wi his ouun bodiiguard
"Meanwhile, Samantha i' ordered t' protect Willy del Castillo (Fabián Ríos) her first love, who has become a whimsical playboy an womanizer.",Meanwhile Samantha i ordered t protect Willy del Castillo Fabián Ríos her first love who has become a whimsical playboy an womanizer,Meanwhile Samantha i ordered t protect Willy del Castillo Fabián Ríos her first love who has become a whimsical playboy an womanizer
"Samantha decides not t' reveal anything o' her past, but hi ends up discovering who she is an love arises between them.",Samantha decides not t reveal anything o her past but hi ends up discovering who she is an love arises between them,Samantha decides not t reveal anything o her past but hi ends up discovering who she is an love arises between them
"Thus, Ángela and Samantha will hauf t' fight wi' all dem obstacles daa their enemies will [[put]] them through i' order t' b' hapii wi' t' piopel dey love, while always having a' brave heart.",Thus Ángela and Samantha will hauf t fight wi all dem obstacles daa their enemies will put them through i order t b hapii wi t piopel dey love while always having a brave heart,Thus Ángela and Samantha will hauf t fight wi all dem obstacles daa their enemies will put them through i order t b hapii wi t piopel dey love while always having a brave heart
Cast.,Cast,Cast
Adriana Fonseca as Ángela Valdez José Luis Reséndez as Juan Marcos Arroyo Aylín Mújica as Fernanda del Castillo Ximena Duque as Samantha Sandoval Navarro Fabián Ríos as Willy del Castillo Gabriel Valenzuela as Luis Martínez,Adriana Fonseca as Ángela Valdez José Luis Reséndez as Juan Marcos Arroyo Aylín Mújica as Fernanda del Castillo Ximena Duque as Samantha Sandoval Navarro Fabián Ríos as Willy del Castillo Gabriel Valenzuela as Luis Martínez,Adriana Fonseca as Ángela Valdez José Luis Reséndez as Juan Marcos Arroyo Aylín Mújica as Fernanda del Castillo Ximena Duque as Samantha Sandoval Navarro Fabián Ríos as Willy del Castillo Gabriel Valenzuela as Luis Martínez
"Orklan (Maori: ""Tāmaki-Makarau"", [[Inglish]]: ""Auckland"") es t' biges citii i' [[Nyuu Ziilan]].",Orklan Maori TāmakiMakarau Inglish Auckland es t biges citii i Nyuu Ziilan,Orklan Maori TāmakiMakarau Inglish Auckland es t biges citii i Nyuu Ziilan
I' es on t' [[North Ailen]].,I es on t North Ailen,I es on t North_Ailen
Kazakstaan ulla Kasakstaan esa kuntrii i' [[Asya]].,Kazakstaan ulla Kasakstaan esa kuntrii i Asya,Kazakstaan ulla Kasakstaan esa kuntrii i Asya
T' kapitel citii es Nur-Sultan.,T kapitel citii es NurSultan,T kapitel citii es NurSultan
