Property,e1,e2,Sentence
P30,Q664,Q538,[[Nyuu Ziilant]] a wahn konchri ina [[Uoshania]].
P30,Q34,Q46,[[Swiidn]] a wah Naadik konchri ina Nadan [[Yuurop]].
P30,Q114,Q15,[[Kenia]] a wahn konchri ina [[Afrika]].
P30,Q712,Q538,[[Fiiji]] a wahn konchri ina [[Uoshania]].
P30,Q1019,Q15,[[Madagiaska]] a wahn konchri ina [[Afrika]].
P30,Q17070,Q15,[[Reunioh]] a wahn terichri ina [[Afrika]].
P30,Q958,Q15,[[Sout Sudan]] a wahn konchri ina [[Afrika]].
P30,Q218,Q46,[[Rumienia]] a wah konchri ina [[Yuurop]].
P30,Q32,Q46,[[Logzimboerg]] a wah konchri ina [[Yuurop]].
P30,Q214,Q46,[[Slovakia]] a wah konchri ina senchral [[Yuurop]].
P30,Q963,Q15,[[Botswaana]] a wahn konchri ina [[Afrika]].
P30,Q1000,Q15,[[Giabon]] a wahn konchri ina [[Afrika]].
P30,Q953,Q15,[[Zambia]] a wahn konchri ina [[Afrika]].
P30,Q36,Q46,[[Puolan]] a wah konchri ina senchral [[Yuurop]].
P30,Q709,Q538,[[Maashal Ailanz]] a wahn konchri ina [[Uoshania]].
P30,Q35,Q46,[[Denmaak]] a wah konchri ina [[Yuurop]].
P30,Q215,Q46,[[Sloviinia]] a wah konchri ina [[Yuurop]].
P30,Q347,Q46,[[Liktenstain]] a wahn konchri ina [[Yuurop]].
P30,Q916,Q15,[[Angguola]] a wahn konchri ina [[Afrika]].
P31,Q753,Q11344,[[Kapa]] a wah [[kimikal eliment]] wid simbal Cu (frah Latn: cuprum) ah atamik nomba 29.
P31,Q623,Q11344,[[Kaaban]] a wah [[kimikal eliment]] wid simbal C ah atamik nomba 6.
P31,Q1090,Q11344,[[Silva]] a di [[kimikal eliment]] wid di hatamik nomba 47.
P31,Q560,Q11344,[[Iiliom]] a wah [[kimikal eliment]] wid simbal He ah atamik nomba 2.
P31,Q629,Q11344,[[Axijen]] a wah [[kimikal eliment]] wid simbal O ah atamik nomba 8.
P31,Q627,Q11344,[[Naichojen]] a wah [[kimikal eliment]] wid simbal N ah atamik nomba 7.
P31,Q556,Q11344,[[Aijrojin]] a wah [[kimikal eliment]] wid kimikal simbal H ah atamik nomba 1.
P31,Q677,Q11344,[[Ayan]] a wah [[kimikal eliment]] wid simbal Fe (frah Latn: ferrum) ah atamik nomba 26.
P31,Q682,Q11344,[[Solfa]] a di [[kimikal eliment]] wid simbal S ah atamik nomba 16.
P31,Q1098,Q11344,[[Yuurieniom]] a wah [[kimikal eliment]] wid simbal U ah atamik nomba 92.
P31,Q663,Q11344,[[Aluuminom]] a wah [[kimikal eliment]] ina di buoran gruup wid simbal Al ah atamik nomba 13.
P31,Q897,Q11344,"[[Guol]] a [[kimikal eliment]] wid di simbal Au ah di ""h""atamik nomba 79."
P36,Q45,Q597,"Di kiapital a [[Puotigal]] niem ""[[Lizban]]""."
P37,Q270,Q809,"Ikiapital a [[Warsaa]], ah di ofishal languij a [[Puolish]]."
P37,Q649,Q7737,"Di kiapital a [[Masko]], ah di ofishal languij a [[Roshan]]."
P37,Q90,Q150,"Ikiapital a [[Paris]], ah di ofishal languij a [[French]]."
P39,Q207,Q11696,[[George Walker Bush]] (6 July 1946) wehna 43t [[Prezident a Yunaitid Stiet]] (2001 – 2009).
P39,Q329,Q191954,[[Nicolas Sarkozy]] (28 Janiweri 1955 – ) wehna [[Prezident a Frans]] (2007 – 2012).
P39,Q2105,Q191954,[[Jacques Chirac]] (29 Novemba 1932 – 26 Septemba 2019) wehna [[Prezident a Frans]] (1995 – 2007).
P39,Q9960,Q11696,[[Ronald Wilson Reagan]] (6 Febiweri 1911 – 5 Juun 2004) wehna 40t [[Prezident a Yunaitid Stiet]] (1981 – 1989).
P495,Q33077,Q970,"[[Shikomor]], di ofishal languij ina [[Komoros]] ah azwel spiik ina Mayot (Shimaore), rilietid tuo Swayili."
P495,Q43510,Q33,[[Nightwish]] wehn a rak ban frahn [[Finlan]].
P495,Q23471,Q33,[[Lordi]] wehn a rak ban frahn [[Finlan]].
P495,Q1779944,Q30,"[[Rhino Bucket]] wehn a rak ban frahn California, [[Yunaitid Stiet]]."
