Property,e1,e2,Sentence
P30,Q1041,Q15,[[Senegal]] em i kantri bilong kontinen [[Aprika]].
P30,Q28,Q46,[[Hangari]] em i kantri bilong sentrel [[Yurop]].
P30,Q148,Q48,[[China]] istap tupela kantri bilong [[Esia]].
P30,Q32,Q46,[[Laksembog]] em i kantri bilong [[Yurop]].
P30,Q842,Q48,[[Oman]] em i wanpela kantri long [[Esia]].
P30,Q1000,Q15,[[Gabon]] em i wanpela kantri bilong [[Aprika]].
P30,Q794,Q48,[[Iran]] em i wanpela kantri long [[Esia]].
P30,Q805,Q48,[[Yemen]] em i kantri bilong kontinen [[Esia]].
P30,Q79,Q15,[[Ijip]] em i kantri bilong kontinen [[Aprika]].
P30,Q881,Q48,[[Vietnam]] em i kantri bilong [[Esia]].
P30,Q45,Q46,[[Potugal]] em i kantri bilong [[Yurop]].
P30,Q334,Q48,[[Singapo]] i stap wanpela kantri long [[Esia]].
P30,Q678,Q538,[[Tonga]] emi wanpela kantri long [[Osenia]].
P30,Q884,Q48,[[Saut Koria]] o Korea i kantri bilong [[Esia]].
P36,Q423,Q18808,Kapitol bilong [[Not Korea]] emi [[Pyongyang]].
P36,Q214,Q1780,Kapitol bilong [[Slovakia]] i [[Bratislava]].
P36,Q189,Q1764,Kapitol bilong [[Aislan]] em i [[Reykjavik]].
P36,Q32,Q1842,Kapitol bilong [[Laksembog]] emi [[Luxembourg]].
P36,Q28,Q1781,Kapitol bilong [[Hangari]] ol i kolim [[Budapest]].
P36,Q1044,Q3780,Kapitol bilong [[Sierra Leone]] i [[Freetown]].
P36,Q40,Q1741,Kapitol bilong [[Ostria]] ol i kolim [[Vienna]].
P361,Q804,Q27611,[[Panama]] emi wanpela kantri bilong [[Sentrel Amerika]].
P39,Q57641,Q3315094,[[Viktor Orbán]] i [[praim minista bilong Hangari]].
P39,Q16986436,Q738695,[[Sanna Marin]] (Novemba 16 1985) i [[praim minista bilong Pinlan]].
P39,Q10648,Q14211,[[Gordon Brown]] i [[praim minista bilong Yunaitet Kingdom]].
P39,Q180383,Q1071117,[[Helen Clark]] i [[praim minista bilong Niu Silan]].
P39,Q316267,Q592866,[[Apisai Ielemia]] i [[praim minista bilong Tuvalu]].
P39,Q43135,Q319145,[[Kevin Rudd]] i [[praim minista bilong Ostrelia]].
P39,Q561213,Q1344632,[[Xavier Bettel]] i [[praim minista bilong Laksembog]].
P39,Q57892,Q1074656,[[Peter O'Neill]] i [[praim minista bilong Papua Niugini]].
P39,Q57467,Q520765,[[János Áder]] i [[presiden bilong Hangari]].
P39,Q29213,Q29558,[[Tarja Halonen]] (Desemba 24 1943) em i [[presiden bilong Pinlan]].
P39,Q29207,Q29558,[[Sauli Niinistö]] (Ogas 24 1948) em i [[presiden bilong kantri Pinlan]].
P39,Q76,Q11696,[[Barack Hussein Obama II]] i [[presiden bilong Ol Yunaitet Stet]].
P39,Q274174,Q628102,[[Marcus Stephen]] i [[presiden bilong Nauru]].
P39,Q329,Q191954,[[Nicolas Sarkozy]] i [[presiden bilong Frens]].
P39,Q57371,Q205602,[[Ilham Aliyev]] i [[presiden bilong Azerbaijan]].
P39,Q1124,Q11696,[[William Jefferson (Bill) Clinton]] i [[presiden bilong Amerika]].
P39,Q41117,Q11700396,[[Kim Il-sung]] (15 Epril 1912 – 8 Julai 1994) i [[presiden bilong Not Koria]].
P39,Q57289,Q890005,[[Toomas Hendrik Ilves]] i [[presiden bilong Estonia]].
P39,Q469851,Q1029958,[[Ham Lini]] i [[praim minista bilong Vanuatu]].
