qcode	count	label	qcodes_broader
Q1373949	26	Onancock	['Q15127012']
Q1107196	19	Le Marginal	['Q11424']
Q2231601	30	Jeffers	['Q1093829']
Q12895118	4	Palé	['Q4167410']
Q2208995	27	Madisonville	['Q486972', 'Q15127012']
Q961271	27	Richland	['Q1093829']
Q1195507	16	La Scoumoune	['Q11424']
Q6953	172	1816	['Q19828', 'Q217024', 'Q3186692']
Q1570295	12	Վ	['Q41757766']
Q47217613	2	Vincent Vermignon	['Q5']
Q1263328	25	Red-bellied Fruit Dove	['Q16521']
Q1094424	26	Stuart	['Q15127012']
Q3599842	7	796	['Q4167410']
Q1384888	13	Pierre Samuel	['Q5']
Q16946224	1	François Saget	['Q5']
Q1069941	13	2008	['Q21199', 'Q50707', 'Q13366104']
Q426719	26	Millstadt	['Q751708']
Q18470773	3	El combate	['Q5398426']
Q920784	26	Pittsfield	['Q15127012']
Q616562	40	Tulare	['Q1093829', 'Q13218391']
Q5191184	22	Crystal Dunn	['Q5']
Q2834371	12	Tequeño	['Q6460735', 'Q19861951']
Q970933	20	Alden	['Q15127012', 'Q106071004']
Q181460	67	Р	['Q3841820', 'Q19793988']
Q1183980	21	South Philipsburg	['Q498162', 'Q17343829']
Q4328023	3	Luis Gerardo Núñez	['Q5']
Q314403	36	Guillaume Canet	['Q5']
Q3177135	2	Jenny Burnay	['Q5']
Q1584981	9	Hard Cash	['Q11424']
Q483501	107	artist	['Q12737077', 'Q88789639']
Q1180355	21	Zelienople	['Q777120']
Q974423	22	Pecan Acres	['Q498162']
Q1217069	23	The Innocent	['Q11424']
Q1115001	11	Temwen Island	['Q23442']
Q1139494	12	Neil Grayston	['Q5']
Q1236734	12	John Henry Pratt	['Q5']
Q6495391	35	late modern period	['Q816829', 'Q4671286', 'Q6428674']
Q1380598	30	Cohoes	['Q15063611']
Q1229838	11	Cricket	['Q4167410']
Q1601679	39	Aznalcóllar	['Q2074737']
Q6400	138	1395	['Q577']
Q2001929	24	Milton	['Q15127012']
Q931195	9	Jean-Louis Verdier	['Q5']
Q852389	31	beekeeper	['Q28640']
Q2153091	34	Holly Hill	['Q1093829']
Q2726562	22	Industry	['Q15127012']
Q16946674	1	John Olusola Adeniran	['Q5']
Q4597	44	Solomon Islands dollar	['Q8142', 'Q14083']
Q1975746	36	Fernandina Beach	['Q1093829']
Q1923126	30	DeQuincy	['Q1093829']
Q12893536	1	Linements of the Lwa	['Q5']
Q148109	86	Subrahmanyan Chandrasekhar	['Q5']
Q224787	18	Kenneth Appel	['Q5']
Q20563755	1	Xavier Amiama	['Q5']
Q3335421	17	Castorland	['Q751708', 'Q55237813']
Q370742	14	Joseph Nemours Pierre-Louis	['Q5']
Q79931	63	Prescott	['Q62049', 'Q1093829']
Q12897826	1	Toto Necesite	['Q5']
Q1065431	11	Jane Eyre	['Q11424']
Q323320	60	Kip S. Thorne	['Q5']
Q53089	22	Dipaculao	['Q24764']
Q3447575	19	Raymond	['Q15127012']
Q988204	35	Maple Valley	['Q1093829']
Q55716389	11	Go Go Squid!	['Q5398426']
Q381307	30	Oscar Zariski	['Q5']
Q16645226	2	Jean-François Guérin	['Q5']
Q2151556	33	Coleman	['Q1093829']
Q852673	50	Hamilton	['Q62049', 'Q1093829']
Q1398901	14	Thomas Callister Hales	['Q5']
Q21933261	2	Graphy Jules	['Q5']
Q476804	38	Brownsville	['Q1093829']
Q7558821	2	Solon Ménos	['Q5']
Q3345723	3	Noémie Elbaz	['Q5']
Q14502	30	Lo Barnechea	['Q1840161']
Q12896221	1	Richard Senecal	['Q5']
Q389222	7	376	['Q4167410']
Q3197224	38	Kinto Sol	['Q215380']
Q3090379	5	Frédérique Hébrard	['Q5']
Q3307045	26	Richmond	['Q15127012']
Q48841793	3	Tres Milagros	['Q5398426']
Q380900	52	Chuck Schumer	['Q5']
Q1195911	21	Yūko Nakazawa	['Q5']
Q2825425	2	Adèle Csech	['Q5']
Q42677	92	.ro	['Q42032']
Q491880	16	The Princess' Man	['Q5398426']
Q1280	133	Umbria	['Q16110']
Q20045384	6	1051	['Q4167410']
Q337226	48	Bertrand Tavernier	['Q5']
Q2668846	20	Broughton	['Q751708']
Q16946361	1	Gerald Agbegha	['Q5']
Q1191401	33	Rosemont	['Q532']
Q2372414	35	Norton	['Q1093829']
Q18687993	4	Juan Martín Jáuregui	['Q5']
Q3453189	17	Ellenville	['Q751708', 'Q55237813']
Q952004	24	Alfordsville	['Q15127012']
Q3708474	18	Hadley	['Q15127012', 'Q106071004']
Q3289795	24	Memphis	['Q751708']
Q2416494	27	Ardoch	['Q1093829']
Q48780	27	Rogers	['Q1093829']
Q555913	41	Castril	['Q2074737']
Q20563240	1	Thierry Lof	['Q5']
Q12893189	1	Larece Frantz	['Q5']
Q1990655	27	Golden	['Q3957']
Q63223560	3	Athene cunicularia arubensis	['Q16521']
Q2230155	32	Lilydale	['Q1093829']
Q607666	37	Fair Lawn	['Q2911266']
Q23734	131	899	['Q577']
Q2713293	9	Brice de Nice	['Q11424']
Q12887060	2	Aderemi Kuku	['Q5']
Q47456200	5	Jules Houplain	['Q5']
Q526494	45	172	['Q21199', 'Q50707', 'Q13366104']
Q985573	55	Hinojosa del Campo	['Q2074737']
Q12893473	1	Levoy exil	['Q5']
Q451331	29	Jacques Tits	['Q5']
Q17496932	8	Louise Grinberg	['Q5']
Q748	13	Buddhism	['Q9174', 'Q32090', 'Q49447', 'Q2915955', 'Q6957341']
Q1028108	28	Meeteetse	['Q15127012']
Q12888395	1	Calixtes	['Q5']
Q16233221	7	Charles Herold Jr.	['Q5']
Q14518812	30	While You Were Sleeping	['Q5398426']
Q6620601	4	list of football clubs in Aruba	['Q13406463']
Q309374	48	Ryutaro Hashimoto	['Q5']
Q2193366	22	Trimble	['Q751708']
Q52145597	18	Memories of the Alhambra	['Q15416']
Q5584507	4	Goran Švob	['Q5']
Q853577	44	Owatonna	['Q1093829']
Q357124	21	Kalilangan	['Q24764']
Q19543765	3	Africaine	['Q11424']
Q255781	33	Wendover	['Q1093829']
Q1094998	20	Szár	['Q2590631']
Q7354	177	Southern Ocean	['Q9430']
Q3293398	22	Fortville	['Q15127012']
Q3436089	5	Robert Plagnol	['Q5']
Q5186704	6	critical consciousness	['Q49094543']
Q5369	5	baseball	['Q31629', 'Q31085894']
Q493444	24	Tiwi	['Q24764']
Q12966093	18	3 January 2010	['Q2156', 'Q47150325']
Q168550	26	Eric W. Weisstein	['Q5']
Q201426	20	William Feller	['Q5']
Q1089353	27	Woodlynne	['Q2911266']
Q12439	164	Detroit	['Q62049', 'Q902814', 'Q1093829', 'Q1549591']
Q577862	38	Calumet City	['Q1093829']
Q3452798	18	Painted Post	['Q751708']
Q2418170	22	Campton	['Q15127012']
Q2617448	24	Edinburgh	['Q15127012']
Q626992	24	New Washington	['Q24764']
Q892584	29	Maben	['Q15127012']
Q31359	123	142	['Q577']
Q6067283	2	Paul Vega	['Q5']
Q49191	49	Portsmouth	['Q486972', 'Q1093829']
Q58918442	10	Diana Allen	['Q5']
Q27535240	15	Damien Bonnard	['Q5']
Q1185911	19	West Middletown	['Q777120']
Q79527	35	Clarendon	['Q1093829']
Q2657606	22	Blountsville	['Q486972', 'Q15127012']
Q947206	28	Grenola	['Q1093829']
Q3020363	12	On the Other Side of the Tracks	['Q11424']
Q974835	24	Richland	['Q15127012']
Q1738363	26	Kelso	['Q3957']
Q981160	22	Villa Verde	['Q498162']
Q7704	180	1864	['Q19828', 'Q217036', 'Q3186692']
Q650617	35	Shefa	['Q847299']
Q4029688	8	1992	['Q4167410']
Q963309	41	Marshfield	['Q1093829']
Q3296030	27	Strawberry	['Q498162']
Q948059	42	Los Alamitos	['Q1093829', 'Q13218391']
Q5739	133	Castile and León	['Q10742']
Q2293763	34	Veneta	['Q63440326']
Q12069	134	1102	['Q577']
Q12886671	2	1493	['Q4167410']
Q201076	25	Ñuñoa	['Q1840161']
Q7479790	9	April 6, 2006	['Q2506', 'Q47150325']
Q333265	36	Leon Theremin	['Q5']
Q47926	122	354	['Q577']
Q2044573	26	Eastview	['Q15127012']
Q12892262	1	Kale	['Q8171']
Q712706	80	44	['Q21199', 'Q50707', 'Q754831', 'Q1200532', 'Q2634498', 'Q13366104']
Q12889584	1	dire	['Q24905']
Q3287621	25	Bethel Springs	['Q15127012']
Q65154	20	Rudolf Klein-Rogge	['Q5']
Q33734	117	346	['Q577']
Q2443088	26	St. John	['Q1093829']
Q2688891	30	Prospect	['Q1093829']
Q982465	37	Gilmer	['Q1093829']
Q526247	12	Jeff Cheeger	['Q5']
Q2672231	22	Teutopolis	['Q751708']
Q472282	29	Josh Charles	['Q5']
Q2911998	2	Boubacar Guiro	['Q5']
Q440609	21	Noémie Lvovsky	['Q5']
Q390280	60	Bonorva	['Q747074']
Q1131698	22	Broad Top City	['Q777120']
Q578017	31	Elmdale	['Q1093829']
Q3476947	21	Corinna	['Q15127012']
Q1184879	23	Glen Campbell	['Q777120']
Q2230786	31	Elgin	['Q1093829']
Q2784729	28	Winterville	['Q1093829', 'Q76514543']
Q1869391	35	Elberton	['Q62049', 'Q1093829', 'Q76514543']
Q3475668	17	West Haven	['Q2154459']
Q2714385	13	Rona Hartner	['Q5']
Q3246902	9	OSS 117 - Double Agent	['Q11424']
Q59312	23	Lian	['Q24764']
Q55695457	18	Vagabond	['Q5398426']
Q1012330	35	Paintsville	['Q62049', 'Q1093829']
Q1022786	31	Roxie	['Q15127012']
Q54170	39	Winthrop	['Q1093829']
Q977960	26	Sundown	['Q1093829']
Q1846981	24	Riley	['Q486972', 'Q15127012']
Q3260830	29	Lula	['Q1093829', 'Q76514543']
Q578447	34	Countryside	['Q1093829']
Q1134530	21	Emsworth	['Q777120']
Q483297	31	Highland	['Q1093829']
Q22905665	4	Le Cancre	['Q11424']
Q484552	78	Algeciras	['Q515', 'Q2074737']
Q183631	75	Ernest Walton	['Q5']
Q2415892	29	Norwood	['Q15127012']
Q3285866	33	Reedsport	['Q63440326']
Q1028671	29	Midwest	['Q15127012']
Q16946048	1	Dieudoné Morency	['Q5']
Q44873	32	Molinaseca	['Q2074737']
Q307043	58	Eastern philosophy	['Q22811234']
Q5644099	5	Señora tentación	['Q5398426']
Q11995	1	human pregnancy	['Q7189713']
Q7961208	5	Wakpala	['Q17343829']
Q2989007	10	geography of French Guiana	['Q46865913']
Q2246550	29	Jennings	['Q1093829']
Q2673420	22	Cerro Gordo	['Q751708']
Q5410	135	1228	['Q3186692']
Q15965422	2	Tom Villa	['Q5']
Q1492408	15	855	['Q21199', 'Q50707', 'Q190893', 'Q663029', 'Q13366129']
Q269894	27	Kim Dickens	['Q5']
Q1183345	21	West Sunbury	['Q777120']
Q12889357	1	D Zine	['Q5']
Q1181378	22	Rouseville	['Q777120']
Q2856388	31	Bristow	['Q1093829']
Q3473246	16	Fleischmanns	['Q751708', 'Q55237813']
Q2110365	9	Prince Far I	['Q5']
Q1134863	18	Armagh	['Q777120']
Q3524856	7	Thomas Allen	['Q5']
Q8222	128	Hangul	['Q182133', 'Q1049394', 'Q1191127', 'Q1191702', 'Q2182919', 'Q4004706', 'Q4491715']
Q395981	9	191	['Q4167410']
Q149574	9	No Me Queda Más	['Q134556']
Q973923	45	Fredericksburg	['Q62049', 'Q1093829']
Q220402	35	Timothy Gowers	['Q5']
Q1130573	21	Fox Chapel	['Q777120']
Q3017769	8	Alexandria Township	['Q7830213']
Q1505403	31	Winthrop	['Q15127012']
Q12886558	5	1287	['Q4167410']
Q2050249	25	Dallas	['Q15127012']
Q782083	18	618	['Q21199', 'Q50707', 'Q13366104']
Q61107148	1	Earl Brown	['Q5']
Q380280	35	Vakhtang Kikabidze	['Q5']
Q2450077	30	Harrah	['Q1093829']
Q3450176	21	Lowell	['Q15127012']
Q2668796	21	Forest	['Q751708']
Q978396	22	Whiteface	['Q15127012']
Q3897	167	Luanda	['Q515', 'Q5119', 'Q1549591', 'Q1637706', 'Q2264924']
Q929233	17	Brookline	['Q2154459']
Q767485	36	respiratory failure	['Q1441305', 'Q1931388', 'Q112193867', 'Q112965645']
Q510375	28	seismogram	['Q28923']
Q1705364	40	Firebaugh	['Q1093829']
Q76001	25	San Pablo	['Q106078286']
Q14615466	9	2 August 2006	['Q2785', 'Q47150325']
Q5179975	17	Coxsackie	['Q486972', 'Q15127012', 'Q106071004']
Q12897719	1	Theordore Sykes	['Q5']
Q20599730	1	Torralba, Pinar del Rio	['Q486972']
Q1925334	31	Somers	['Q1093829']
Q921603	8	Romain Sardou	['Q5']
Q1183715	23	Robesonia	['Q777120']
Q977063	23	Hitchcock	['Q15127012']
Q12889707	1	Dominique Jean-Jacques	['Q5']
Q959131	21	Revere	['Q751708']
Q932	138	thallium	['Q11344', 'Q113681859']
Q103767	72	Charlie Parker	['Q5']
Q9960	302	Ronald Reagan	['Q5']
Q12890526	1	Eugène Jean	['Q5']
Q2115537	29	Viola	['Q1093829']
Q450259	9	Emma Lehmer	['Q5']
Q315584	43	Takeo Fukuda	['Q5']
Q969587	27	Savoy	['Q1093829']
Q7587	173	1833	['Q235684', 'Q3186692']
Q2310402	24	Leo-Cedarville	['Q15127012']
Q84104992	54	COVID-19 pandemic in Italy	['Q3241045']
Q1516385	1	Eden	['Q1093829']
Q2534054	24	East Brookfield	['Q15127012']
Q41688	107	Hendrik Lorentz	['Q5']
Q631187	23	Draper	['Q15127012']
Q167099	19	Kassandra	['Q5398426']
Q310769	40	Alan Baker	['Q5']
Q969092	33	Kingston	['Q62049', 'Q1093829']
Q457089	22	Audrey Fleurot	['Q5']
Q2188746	23	Birmingham	['Q751708']
Q2662374	31	North Newton	['Q1093829']
Q3448950	20	Williston Park	['Q751708', 'Q55237813']
Q753836	26	Suffield	['Q15127012']
Q39155	95	.it	['Q42032']
Q978379	22	Buckholts	['Q15127012']
Q1845	14	Bible	['Q179461']
Q3481869	4	Shenaz Patel	['Q5']
Q5166696	5	Conway Berners-Lee	['Q5']
Q3164963	4	Jean-Claude Fignolé	['Q5']
Q657644	27	Mayfield	['Q1093829']
Q5555	134	1292	['Q577']
Q2671558	20	Waterford	['Q15221242']
Q631168	6	Ludwig Immanuel Magnus	['Q5']
Q488064	23	My Girlfriend Is a Nine-Tailed Fox	['Q5398426']
Q20902344	16	Pasión y poder	['Q5398426']
Q1882766	21	Tarnov	['Q751708']
Q383910	25	Dungannon	['Q3957']
Q1089095	25	Cranford	['Q7830213']
Q996830	45	Dalton	['Q1093829', 'Q76514543']
Q12895231	1	Patrice Ntumba	['Q5']
Q31135	123	757	['Q577']
Q877	143	iridium	['Q11344', 'Q113681859']
Q1181397	20	Spring City	['Q777120']
Q358547	30	Rafael Bombelli	['Q5']
Q3204767	5	The Overeater	['Q11424']
Q162331	46	The 400 Blows	['Q11424']
Q2750537	4	The Itals	['Q215380']
Q409689	11	619	['Q4167410']
Q93112	25	list of municipalities in Burgos	['Q13406463']
Q1354440	6	Carver	['Q17343829']
Q16945721	1	Action Jaction	['Q5']
Q1885109	33	Elgin	['Q1093829']
Q2843866	5	Amor Cautivo	['Q5398426']
Q2615619	32	Udall	['Q1093829']
Q2859568	10	Arath de la Torre	['Q5']
Q3599792	8	765	['Q4167410']
Q954646	34	Laurens	['Q1093829']
Q2639776	34	Sherwood	['Q63440326']
Q1517828	33	Homedale	['Q1093829']
Q17457	85	Donald Knuth	['Q5']
Q15521541	7	Setaria homonyma	['Q16521']
Q5105	143	Céline Dion	['Q5']
Q983761	45	Fort Dodge	['Q62049', 'Q1093829']
Q20724	40	Louis Couturat	['Q5']
Q2334018	26	Edmond	['Q1093829']
Q457123	21	Nina Companéez	['Q5']
Q3203558	8	The Edifying and Joyous Story of Colinot	['Q11424']
Q208892	20	Pasacao	['Q24764']
Q3493507	9	Manuela Ímaz	['Q5']
Q62557	28	August Diehl	['Q5']
Q1939252	27	Vernon	['Q15127012']
Q926083	21	Tomboy	['Q11424']
Q467595	17	Sonia Pierre	['Q5']
Q12894973	1	Oriol Ginou	['Q5']
Q3474096	5	Arock	['Q17343829']
Q1502329	28	Springdale	['Q15127012']
Q741558	29	Ostrander	['Q1093829']
Q1183650	21	Volant	['Q777120']
Q968683	22	Pulaski	['Q15221242']
Q30374	125	857	['Q577']
Q12890930	1	Garcia, Las Tunas	['Q3957', 'Q486972']
Q857758	16	841	['Q21199', 'Q50705', 'Q50707', 'Q190900', 'Q940343', 'Q1589528', 'Q13366129', 'Q23296480']
Q3708248	14	Hope	['Q15127012', 'Q106071004']
Q2430230	12	Dondon	['Q3685462']
Q3240090	26	Monroe	['Q15127012']
Q7991	7	natural science	['Q2465832', 'Q11862829']
Q1022769	27	Danville	['Q62049', 'Q15127012']
Q24767	123	203	['Q577']
Q778265	35	Dimmitt	['Q62049', 'Q1093829']
Q39856	90	Ágreda	['Q2074737']
Q2792242	26	Hiltonia	['Q1093829', 'Q76514543']
Q982520	28	Ganado	['Q1093829']
Q3554312	2	Valérie Stroh	['Q5']
Q1088684	29	Runnemede	['Q2911266']
Q1930423	29	Knierim	['Q1093829']
Q2925481	9	Brigitte Roüan	['Q5']
Q532711	48	Encinitas	['Q1093829']
Q224154	37	Daniel	['Q4167410']
Q3459642	6	Paulina	['Q17343829']
Q3281063	7	Ugly Miss Young-Ae	['Q5398426']
Q483278	30	South Weber	['Q1093829']
Q2538562	17	Dessalines Arrondissement	['Q1665357']
Q213227	22	Matalom	['Q24764']
Q968379	29	Westby	['Q15127012']
Q54465	23	Samal	['Q24764']
Q846149	42	Alhaurín el Grande	['Q2074737']
Q84120171	2	Vincent Londez	['Q5']
Q32719	119	269	['Q577']
Q2719558	26	Marquette	['Q486972']
Q689112	21	Vissoie	['Q532', 'Q70208', 'Q123705', 'Q685309', 'Q15042037']
Q174	242	São Paulo	['Q515', 'Q174844', 'Q1549591', 'Q1637706', 'Q3184121', 'Q51929311']
Q1340950	17	Eriq Ebouaney	['Q5']
Q1028734	27	Glenrock	['Q15127012']
Q5168722	3	Copper Creek	['Q74047']
Q492039	8	Ms Panda and Mr Hedgehog	['Q5398426']
Q3186659	4	Joséphine Lebas-Joly	['Q5']
Q828605	15	937	['Q21199', 'Q49008', 'Q2524197', 'Q13366129']
Q47619	113	Nadine Gordimer	['Q5']
Q5806	209	Mecca	['Q570116', 'Q692581', 'Q1637706']
Q192165	56	Danny Glover	['Q5']
Q2454171	23	De Witt	['Q751708']
Q25	234	Wales	['Q6256', 'Q6266', 'Q3336843']
Q23108	158	1	['Q577']
Q953880	26	Platte Woods	['Q1093829']
Q2266109	11	Abolition	['Q4167410']
Q5218475	17	Daniel Portman	['Q5']
Q56008	86	Tim Burton	['Q5']
Q12888053	1	Bob Lapierre	['Q5']
Q2023272	25	Faison	['Q15127012']
Q483628	27	Oak City	['Q15127012']
Q3319237	9	Héctor Suárez Gomís	['Q5']
Q625828	34	Richland	['Q1093829']
Q1180752	24	Manorville	['Q777120']
Q323377	14	Gaston Modot	['Q5']
Q1085632	26	Spring Lake Heights	['Q2911266']
Q4883662	8	Belle Mina	['Q17343829']
Q2354434	24	Olanta	['Q15127012']
Q2918081	15	Livingston	['Q15127012', 'Q106071004']
Q785984	23	Giuseppe Veronese	['Q5']
Q1978123	34	Marion	['Q62049', 'Q1093829']
Q2598606	34	Donalsonville	['Q1093829', 'Q76514543']
Q6007	134	1334	['Q577']
Q6904462	3	Montas Antoine	['Q5']
Q1933872	35	Calmar	['Q1093829']
Q3453131	17	Burdett	['Q751708', 'Q55237813']
Q16568	127	Jacksonville	['Q1093829', 'Q1549591', 'Q3301053']
Q513332	21	Millville	['Q15127012']
Q1983491	23	Goldonna	['Q751708', 'Q102126612']
Q2102499	23	Dalzell	['Q751708']
Q475286	16	Animal	['Q11424']
Q16946623	1	Jean-Louis Lanoux Frederique	['Q5']
Q1615397	30	Candín	['Q2074737']
Q6372596	16	916	['Q21199', 'Q50707', 'Q13366104']
Q1374222	24	Exmore	['Q15127012']
Q208345	45	Tortuga	['Q23442']
Q738355	20	Dumarsais Estimé	['Q5']
Q277648	35	Taxi 3	['Q11424']
Q12896333	1	Roger Derice	['Q5']
Q20050997	2	1769	['Q4167410']
Q69564	1	taiga	['Q101998', 'Q2083910']
Q36977	124	12	['Q21199', 'Q50707', 'Q223722', 'Q674928', 'Q1081248', 'Q1486643', 'Q2067166', 'Q10886944', 'Q13366104', 'Q13823786']
Q2189383	27	Mound City	['Q62049', 'Q15127012']
Q3261519	7	Louis Chedid	['Q5']
Q2077751	22	West Point	['Q751708']
Q3600234	7	979	['Q4167410']
Q65322660	1	Tabata Ndiaye	['Q5']
Q1911450	39	Litchfield	['Q62049', 'Q1093829']
Q5199019	13	Cyclosorus	['Q16521']
Q849592	43	Caldwell	['Q62049', 'Q1093829']
Q16946789	1	Leon Woodson	['Q5']
Q6457	149	1536	['Q577']
Q3051298	11	Elizaveta Litvinova	['Q5']
Q229048	63	Melissa McCarthy	['Q5']
Q12887522	1	Arlette Peirano	['Q5']
Q11759	1	Stone Age	['Q200325', 'Q15401699', 'Q26907166']
Q20563352	1	Tiffany Paul	['Q5']
Q1050682	28	281	['Q21199', 'Q49008', 'Q1587812', 'Q13366129']
Q3159899	6	Jacques Roche	['Q5']
Q1269772	11	Fabián Ríos	['Q5']
Q314907	25	Malita	['Q24764']
Q12893998	1	Manm	['Q8171']
Q3249435	7	Mirador de la Flor	['Q860861']
Q67581	31	Loxley	['Q15127012']
Q3228126	4	Le Vilain	['Q11424']
Q212748	22	Parang	['Q24764']
Q5475762	6	Fourbi	['Q11424']
Q627638	23	Remedios T. Romualdez	['Q24764']
Q99982097	14	BigBug	['Q11424']
Q1175704	25	Melfa	['Q15127012']
Q7616	171	1839	['Q235684', 'Q3186692']
Q1447729	43	Uleila del Campo	['Q2074737']
Q1628810	19	Lillete Dubey	['Q5']
Q2028740	23	Arapahoe	['Q486972', 'Q15127012']
Q651817	7	Victorinos	['Q5398426']
Q441223	27	Saunders Mac Lane	['Q5']
Q12886763	2	1636	['Q4167410']
Q856237	33	Sangha-Mbaéré	['Q20732250']
Q1069445	22	423	['Q21199', 'Q50707', 'Q13366129']
Q1754150	40	Almogía	['Q2074737']
Q1987082	32	St. Martinville	['Q62049', 'Q1093829']
Q236217	46	La Vie en Rose	['Q11424']
Q1440516	36	Franco	['Q4167410']
Q1886908	12	White Oak Springs	['Q15127012']
Q2427371	25	North Reading	['Q15127012']
Q30909	120	457	['Q577']
Q12897488	1	Stone J	['Q5']
Q1247620	10	Esperanza del Corazón	['Q5398426']
Q12889496	3	Denmark	['Q17343829']
Q3251906	3	list of Finance Ministers of Haiti	['Q13406463']
Q2143496	23	Lapel	['Q15127012']
Q428750	85	Momordica charantia	['Q16521']
Q12897522	3	Sulphur Springs	['Q17343829']
Q2122185	21	Greenview	['Q751708']
Q36074	154	Queensland	['Q5852411']
Q1844284	22	Waterbury	['Q751708']
Q2227628	29	Solway	['Q1093829']
Q981422	31	Kemah	['Q1093829']
Q961676	30	Crane	['Q1093829']
Q3710156	7	Eight Mile	['Q17343829']
Q3050173	6	El Pantera	['Q5398426']
Q964474	21	Philippe Nahon	['Q5']
Q2581974	32	Norcross	['Q1093829', 'Q76514543']
Q318477	38	Babez for Breakfast	['Q482994']
Q2044	197	Florence	['Q515', 'Q747074', 'Q1549591', 'Q4115680']
Q1957230	29	Decherd	['Q1093829']
Q966449	36	Lexington	['Q1093829']
Q4029630	5	1970	['Q4167410']
Q3225344	7	The Country I Come From	['Q11424']
Q86680275	7	Between Two Worlds	['Q11424']
Q1570368	27	Greenwood	['Q532', 'Q15221373']
Q662224	45	Olvera	['Q2074737']
Q1912786	25	Abbyville	['Q1093829']
Q180226	39	Rancho Palos Verdes	['Q1093829']
Q79435	53	Lake Havasu City	['Q1093829']
Q1000136	30	Speedway	['Q15127012']
Q2044031	22	Eddyville	['Q751708']
Q2668542	22	Zaleski	['Q751708']
Q12886626	5	1418	['Q4167410']
Q978142	21	Payne Springs	['Q15127012']
Q1363158	33	Buckley	['Q1093829']
Q4029325	5	1864	['Q4167410']
Q986308	19	East Greenbush	['Q106071004']
Q3708970	18	Machias	['Q15127012', 'Q106071004']
Q961699	29	Rock Hill	['Q1093829']
Q406317	22	Culaba	['Q24764']
Q32871	120	531	['Q577']
Q993809	30	Longboat Key	['Q3957']
Q1274906	25	Alda	['Q486972']
Q2299339	29	River Forest	['Q751708']
Q97798045	5	Chadwick Tromp	['Q5']
Q51579061	5	Lola Marois	['Q5']
Q1991013	36	Greenville	['Q62049', 'Q1093829']
Q579578	29	Keewatin	['Q1093829']
Q1711059	6	Judith Magre	['Q5']
Q57072	84	Otto Stern	['Q5']
Q2671763	21	Hidalgo	['Q751708']
Q7753	177	1872	['Q19828', 'Q217024', 'Q3186692']
Q981137	26	Hallsburg	['Q1093829']
Q6841	165	1707	['Q235673', 'Q3186692']
Q2258630	24	Unionville Center	['Q751708']
Q3709398	6	Morgan City	['Q17343829']
Q1751217	40	Villacarrillo	['Q2074737']
Q150437	5	Penta Investments Limited	['Q4830453', 'Q6881511']
Q39694	20	Vintar	['Q24764']
Q382593	46	New Netherland	['Q133156', 'Q3024240']
Q12898268	5	Wayans	['Q101352']
Q142489	13	gigabit interface converter	['Q954187']
Q30738454	3	Verdon Secret 3D	['Q11424']
Q3709232	6	Arthur Harold Stone	['Q5']
Q970122	22	Oilton	['Q498162']
Q1675580	11	Ivan M. Niven	['Q5']
Q2232996	31	What Cheer	['Q1093829']
Q3475845	7	Rush	['Q17343829']
Q758542	44	Auburn	['Q62049', 'Q1093829', 'Q2933979']
Q79570	34	Carbon Hill	['Q1093829']
Q816096	35	Belmont	['Q15127012']
