Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Jean - Alfred Villain - Marais ( 1913 - 1998 ) i akta blong Franis .,Jean - Alfred Villain - Marais,akta,Q168359,Q33999,P106
Bette Midler ( boen 1 Desemba 1945 ) i akta blong Yunaeted Stet blong Amerika .,Bette Midler,akta,Q190631,Q10800557,P106
Jirō Hatoyama ( boen 1979 ) i politikis blong Japan .,Jirō Hatoyama,politikis,Q17219387,Q82955,P106
Coreca i taon long saot blong Itali .,Coreca,Itali,Q15220504,Q38,P17
Mongolia i kaontri long Esia .,Mongolia,Esia,Q711,Q48,P30
Yemen i kaontri long Esia .,Yemen,Esia,Q805,Q48,P30
Momoko Okui ( boen 7 Maj 1968 ) i akta blong Japan .,Momoko Okui,akta,Q11445603,Q33999,P106
Sanma hem i provens blong Vanuatu .,Sanma,Vanuatu,Q740640,Q686,P131
William Shatner ( boen 22 Maj 1931 ) em i akta blong Kanada .,William Shatner,akta,Q16297,Q33999,P106
Judy Garland ( 10 Jun 1922 – 22 Jun 1969 ) em i akta blong Yunaeted Stet blong Amerika .,Judy Garland,akta,Q11637,Q33999,P106
Swiselan i kaontri long Yurop .,Swiselan,Yurop,Q39,Q46,P30
Gryfice i wan taon long Polan .,Gryfice,Polan,Q167744,Q36,P17
Nepal i kaontri long Esia .,Nepal,Esia,Q837,Q48,P30
Gambia i kaontri long Afrika .,Gambia,Afrika,Q1005,Q15,P30
Sejong i bigtaon blong saot Koria .,Sejong,saot Koria,Q20929,Q884,P131
Lebanon i kaontri long Esia .,Lebanon,Esia,Q822,Q48,P30
Demi Moore ( boen 11 Novemba 1962 olsem Demetra Gene Guynes ) em i akta blong Yunaeted Stet blong Amerika .,Demi Moore,akta,Q43044,Q33999,P106
Tuvalu i kaontri long Pasifik .,Tuvalu,Pasifik,Q672,Q538,P30
Vienna hem i kapital blong Ostria .,Vienna,Ostria,Q1741,Q40,P1376
Wrocław i wan bigtaon long Polan .,Wrocław,Polan,Q1799,Q36,P17
Filipin i kaontri long Esia .,Filipin,Esia,Q928,Q48,P30
Madrid i kapital blong Spen .,Madrid,Spen,Q2807,Q29,P1376
Springfield hem i kapital blong Illinois .,Springfield,Illinois,Q28515,Q1204,P1376
Kajang Tularak ( 1913 - 2009 ) i politikis blong Taelan .,Kajang Tularak,politikis,Q13012531,Q82955,P106
Jemani i kaontri long Yurop .,Jemani,Yurop,Q183,Q46,P30
Lauren Bacall ( 16 Septemba 1924 – 12 Ogis 2014 ) em i akta blong Yunaeted Stet blong Amerika .,Lauren Bacall,akta,Q104000,Q33999,P106
James Montgomery Doohan ( 1920 - 2005 ) i akta blong Kanada .,James Montgomery Doohan,akta,Q318412,Q33999,P106
Bry - sur - Marne stap taon blong Franis .,Bry - sur - Marne,Franis,Q369954,Q142,P17
Botsuana em i wan kaontri long Afrika .,Botsuana,Afrika,Q963,Q15,P30
Irwin Keyes ( 16 Maj 1952 – 8 Julae 2015 ) em i akta blong Yunaeted Stet blong Amerika .,Irwin Keyes,akta,Q6075068,Q33999,P106
Claudette Colbert ( 13 Septemba 1903 – 30 Julae 1996 ) i akta blong Yunaeted Stet blong Amerika .,Claudette Colbert,akta,Q203819,Q10800557,P106
Gary Cooper ( 7 Mei 1901 – 13 Mei 1961 ) em i akta blong Yunaeted Stet blong Amerika .,Gary Cooper,akta,Q93957,Q33999,P106
Prague hem i kapital blong Jek Ripablik .,Prague,Jek Ripablik,Q1085,Q213,P1376
Yuriko Koike ( boen 15 Julae 1952 ) em i politikis blong Japan .,Yuriko Koike,politikis,Q261703,Q82955,P106
Ryutaro Hashimoto ( 29 Julae 1937 – 1 Julae 2006 ) i praem minista blong Japan .,Ryutaro Hashimoto,praem minista blong Japan,Q309374,Q274948,P39
Bochotnica i wan smol taon long Polan .,Bochotnica,Polan,Q2386011,Q36,P17
Gwangju i bigtaon blong saot Koria .,Gwangju,saot Koria,Q41283,Q884,P17
Jackie Chan ( boen 1954 ) i akta blong Hong Kong .,Jackie Chan,akta,Q36970,Q10800557,P106
Seoul i kapital blong saot Koria .,Seoul,saot Koria,Q8684,Q884,P1376
Benjamin Franklin ( 1706 - 1790 ) i politikis blong Yunaeted Stet blong Amerika .,Benjamin Franklin,politikis,Q34969,Q82955,P106
