Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Ilham Aliyev i presiden bilong Azerbaijan .,Ilham Aliyev,presiden bilong Azerbaijan,Q57371,Q205602,P39
Vilnius i kapitol bilong Lituwenia .,Vilnius,Lituwenia,Q216,Q37,P1376
Rio de Janeiro em i nambawan siti Brasil .,Rio de Janeiro,Brasil,Q8678,Q155,P17
Busares i kapitol bilong Romenia .,Busares,Romenia,Q19660,Q218,P1376
Kapitol bilong Laksembog emi Luxembourg .,Laksembog,Luxembourg,Q32,Q1842,P36
Hangari em i kantri bilong sentrel Yurop .,Hangari,Yurop,Q28,Q46,P30
Oman em i wanpela kantri long Esia .,Oman,Esia,Q842,Q48,P30
Kapitol bilong Aislan em i Reykjavik .,Aislan,Reykjavik,Q189,Q1764,P36
Budapest em i kapitol bilong Hangari .,Budapest,Hangari,Q1781,Q28,P1376
Mosko o Moskva em i kapitol bilong Rasia .,Mosko,Rasia,Q649,Q159,P1376
Moshchena em i nambawan siti saut Yukren .,Moshchena,Yukren,Q23495,Q212,P17
Kapitol bilong Hangari ol i kolim Budapest .,Hangari,Budapest,Q28,Q1781,P36
Tarja Halonen ( Desemba 24 1943 ) em i presiden bilong Pinlan .,Tarja Halonen,presiden bilong Pinlan,Q29213,Q29558,P39
Westen Provins em i wanpela provins bilong Papua Niugini .,Westen Provins,Papua Niugini,Q849790,Q691,P131
János Áder i presiden bilong Hangari .,János Áder,presiden bilong Hangari,Q57467,Q520765,P39
Olbri stap wanpela biktaun bilong Niu Saut Wels , Ostrelia .,Olbri,Ostrelia,Q331764,Q408,P17
Sandaun em i wanpela provins long Papua Niugini .,Sandaun,Papua Niugini,Q753689,Q691,P131
Araras em i nambawan siti Brasil .,Araras,Brasil,Q580366,Q155,P17
Wulongong stap wanpela biktaun bilong Niu Saut Wels , Ostrelia .,Wulongong,Ostrelia,Q187861,Q408,P17
Melben stap wanpela biktaun bilong Viktoria , Ostrelia .,Melben,Ostrelia,Q3141,Q408,P17
Kim Il - sung ( 15 Epril 1912 – 8 Julai 1994 ) i presiden bilong Not Koria .,Kim Il - sung,presiden bilong Not Koria,Q41117,Q11700396,P39
Simbu em i wanpela provins long hailans bilong Papua Niugini .,Simbu,Papua Niugini,Q599448,Q691,P17
Sauli Niinistö ( Ogas 24 1948 ) em i presiden bilong kantri Pinlan .,Sauli Niinistö,presiden bilong kantri Pinlan,Q29207,Q29558,P39
Westen Provins em i wanpela provins bilong Papua Niugini .,Westen Provins,Papua Niugini,Q849790,Q691,P17
.no em i Intanet kod bilong kantri Nowe .,.no,Nowe,Q41060,Q20,P17
Wes Niu Briten em i wanpela provins long Papua Niugini .,Wes Niu Briten,Papua Niugini,Q667468,Q691,P131
Sielong stap wanpela biktaun bilong Viktoria , Ostrelia .,Sielong,Ostrelia,Q231765,Q408,P17
Hokkaido em i bikpela ailan long Siapan .,Hokkaido,Siapan,Q35581,Q17,P17
.ro em i Intanet kod bilong kantri Romenia .,.ro,Romenia,Q42677,Q218,P17
Oklan em wanpela biktaun bilong Niu Silan .,Oklan,Niu Silan,Q37100,Q664,P17
Marcus Stephen i presiden bilong Nauru .,Marcus Stephen,presiden bilong Nauru,Q274174,Q628102,P39
Gordon Brown i praim minista bilong Yunaitet Kingdom .,Gordon Brown,praim minista bilong Yunaitet Kingdom,Q10648,Q14211,P39
Wes Niu Briten em i wanpela provins long Papua Niugini .,Wes Niu Briten,Papua Niugini,Q667468,Q691,P17
Stockholm i kapitol bilong Suwidan .,Stockholm,Suwidan,Q1754,Q34,P1376
Phu Quoc em i bikpela ailan long Vietnam .,Phu Quoc,Vietnam,Q146695,Q881,P17
Isten Hailans em i wanpela provins long Papua Niugini .,Isten Hailans,Papua Niugini,Q849812,Q691,P131
Port Vila i kapitol bilong Vanuatu .,Port Vila,Vanuatu,Q37806,Q686,P1376
Yemen em i kantri bilong kontinen Esia .,Yemen,Esia,Q805,Q48,P30
William Jefferson ( Bill ) Clinton i presiden bilong Amerika .,William Jefferson ( Bill ) Clinton,presiden bilong Amerika,Q1124,Q11696,P39
Madrid i kapitol bilong Spen .,Madrid,Spen,Q2807,Q29,P1376
Oro em i wanpela provins long Papua Niugini .,Oro,Papua Niugini,Q753686,Q691,P131
Gabon em i wanpela kantri bilong Aprika .,Gabon,Aprika,Q1000,Q15,P30
.sb em i Intanet kod bilong kantri Solomon Ailans .,.sb,Solomon Ailans,Q43829,Q685,P17
Laksembog em i kantri bilong Yurop .,Laksembog,Yurop,Q32,Q46,P30
Morobe em i wanpela provins long Papua Niugini .,Morobe,Papua Niugini,Q853664,Q691,P17
Kapitol bilong Not Korea emi Pyongyang .,Not Korea,Pyongyang,Q423,Q18808,P36
Is Sepik em i wanpela provins long Papua Niugini .,Is Sepik,Papua Niugini,Q690880,Q691,P17
Ham Lini i praim minista bilong Vanuatu .,Ham Lini,praim minista bilong Vanuatu,Q469851,Q1029958,P39
Kapitol bilong Sierra Leone i Freetown .,Sierra Leone,Freetown,Q1044,Q3780,P36
Honshu em i bikpela ailan long Siapan .,Honshu,Siapan,Q13989,Q17,P17
Sauten Hailans em i wanpela provins long Papua Niugini .,Sauten Hailans,Papua Niugini,Q849801,Q691,P131
Saut Koria o Korea i kantri bilong Esia .,Saut Koria,Esia,Q884,Q48,P30
Singapo i stap wanpela kantri long Esia .,Singapo,Esia,Q334,Q48,P30
Toranga stap wanpela biktaun long Niu Silan .,Toranga,Niu Silan,Q207756,Q664,P17
Simbu em i wanpela provins long hailans bilong Papua Niugini .,Simbu,Papua Niugini,Q599448,Q691,P131
Is Sepik em i wanpela provins long Papua Niugini .,Is Sepik,Papua Niugini,Q690880,Q691,P131
Balarat stap wanpela biktaun bilong Viktoria , Ostrelia .,Balarat,Ostrelia,Q17856,Q408,P17
Milen Be em i wanpela provins long Papua Niugini .,Milen Be,Papua Niugini,Q874962,Q691,P17
Kapitol bilong Slovakia i Bratislava .,Slovakia,Bratislava,Q214,Q1780,P36
Meksiko i wanpela kantri bilong Not Amerika .,Meksiko,Not Amerika,Q96,Q49,P30
Kapitol bilong Ostria ol i kolim Vienna .,Ostria,Vienna,Q40,Q1741,P36
Sandaun em i wanpela provins long Papua Niugini .,Sandaun,Papua Niugini,Q753689,Q691,P17
Toomas Hendrik Ilves i presiden bilong Estonia .,Toomas Hendrik Ilves,presiden bilong Estonia,Q57289,Q890005,P39
Bagdad em i kapitol bilong Irak .,Bagdad,Irak,Q1530,Q796,P1376
Senegal em i kantri bilong kontinen Aprika .,Senegal,Aprika,Q1041,Q15,P30
Medellín em i nambawan siti saut Kolambia .,Medellín,Kolambia,Q48278,Q739,P17
Gris emi wanpela kantri bilong Yurop .,Gris,Yurop,Q41,Q46,P30
