Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Reunioh a wahn terichri ina Afrika .,Reunioh,Afrika,Q17070,Q15,P30,P30,TRUE
Sout Sudan a wahn konchri ina Afrika .,Sout Sudan,Afrika,Q958,Q15,P30,P30,TRUE
Rumienia a wah konchri ina Yuurop .,Rumienia,Yuurop,Q218,Q46,P30,P2936,FALSE
Logzimboerg a wah konchri ina Yuurop .,Logzimboerg,Yuurop,Q32,Q46,P30,P31,FALSE
Slovakia a wah konchri ina senchral Yuurop .,Slovakia,Yuurop,Q214,Q46,P30,P37,FALSE
Botswaana a wahn konchri ina Afrika .,Botswaana,Afrika,Q963,Q15,P30,P30,TRUE
Giabon a wahn konchri ina Afrika .,Giabon,Afrika,Q1000,Q15,P30,P30,TRUE
Zambia a wahn konchri ina Afrika .,Zambia,Afrika,Q953,Q15,P30,P30,TRUE
Puolan a wah konchri ina senchral Yuurop .,Puolan,Yuurop,Q36,Q46,P30,P31,FALSE
Maashal Ailanz a wahn konchri ina Uoshania .,Maashal Ailanz,Uoshania,Q709,Q538,P30,P2936,FALSE
Denmaak a wah konchri ina Yuurop .,Denmaak,Yuurop,Q35,Q46,P30,P31,FALSE
Sloviinia a wah konchri ina Yuurop .,Sloviinia,Yuurop,Q215,Q46,P30,P31,FALSE
Liktenstain a wahn konchri ina Yuurop .,Liktenstain,Yuurop,Q347,Q46,P30,P39,FALSE
Angguola a wahn konchri ina Afrika .,Angguola,Afrika,Q916,Q15,P30,P30,TRUE
Kapa a wah kimikal eliment wid simbal Cu ( frah Latn : cuprum ) ah atamik nomba 29 .,Kapa,kimikal eliment,Q753,Q11344,P31,P31,TRUE
Kaaban a wah kimikal eliment wid simbal C ah atamik nomba 6 .,Kaaban,kimikal eliment,Q623,Q11344,P31,P31,TRUE
Silva a di kimikal eliment wid di hatamik nomba 47 .,Silva,kimikal eliment,Q1090,Q11344,P31,P31,TRUE
Iiliom a wah kimikal eliment wid simbal He ah atamik nomba 2 .,Iiliom,kimikal eliment,Q560,Q11344,P31,P31,TRUE
Axijen a wah kimikal eliment wid simbal O ah atamik nomba 8 .,Axijen,kimikal eliment,Q629,Q11344,P31,P31,TRUE
Naichojen a wah kimikal eliment wid simbal N ah atamik nomba 7 .,Naichojen,kimikal eliment,Q627,Q11344,P31,P31,TRUE
Aijrojin a wah kimikal eliment wid kimikal simbal H ah atamik nomba 1 .,Aijrojin,kimikal eliment kimikal,Q556,Q11344,P31,P31,TRUE
Ayan a wah kimikal eliment wid simbal Fe ( frah Latn : ferrum ) ah atamik nomba 26 .,Ayan,kimikal eliment,Q677,Q11344,P31,P31,TRUE
Solfa a di kimikal eliment wid simbal S ah atamik nomba 16 .,Solfa,kimikal eliment,Q682,Q11344,P31,P31,TRUE
Yuurieniom a wah kimikal eliment wid simbal U ah atamik nomba 92 .,Yuurieniom,kimikal eliment,Q1098,Q11344,P31,P31,TRUE
Aluuminom a wah kimikal eliment ina di buoran gruup wid simbal Al ah atamik nomba 13 .,Aluuminom,kimikal eliment,Q663,Q11344,P31,P31,TRUE
"Guol a kimikal eliment wid di simbal Au ah di "" h""atamik nomba 79 .",Guol,kimikal eliment,Q897,Q11344,P31,P31,TRUE
"Di kiapital a Puotigal niem "" Lizban "" .",Puotigal,Lizban,Q45,Q597,P36,P37,FALSE
"Ikiapital a Warsaa , ah di ofishal languij a Puolish .",Warsaa,Puolish,Q270,Q809,P37,P31,FALSE
"Di kiapital a Masko , ah di ofishal languij a Roshan .",Masko,Roshan,Q649,Q7737,P37,P31,FALSE
"Ikiapital a Paris , ah di ofishal languij a French .",Paris,French,Q90,Q150,P37,P37,TRUE
George Walker Bush ( 6 July 1946 ) wehna 43 t Prezident a Yunaitid Stiet ( 2001 – 2009 ) .,George Walker Bush,Prezident a Yunaitid Stiet,Q207,Q11696,P39,P39,TRUE
Nicolas Sarkozy ( 28 Janiweri 1955 – ) wehna Prezident a Frans ( 2007 – 2012 ) .,Nicolas Sarkozy,Prezident a Frans,Q329,Q191954,P39,P39,TRUE
Jacques Chirac ( 29 Novemba 1932 – 26 Septemba 2019 ) wehna Prezident a Frans ( 1995 – 2007 ) .,Jacques Chirac,Prezident a Frans,Q2105,Q191954,P39,P39,TRUE
Ronald Wilson Reagan ( 6 Febiweri 1911 – 5 Juun 2004 ) wehna 40 t Prezident a Yunaitid Stiet ( 1981 – 1989 ) .,Ronald Wilson Reagan,Prezident a Yunaitid Stiet,Q9960,Q11696,P39,P39,TRUE
"Shikomor , di ofishal languij ina Komoros ah azwel spiik ina Mayot ( Shimaore ) , rilietid tuo Swayili .",Shikomor,Komoros,Q33077,Q970,P495,P37,FALSE
Nightwish wehn a rak ban frahn Finlan .,Nightwish,Finlan,Q43510,Q33,P495,P39,FALSE
Lordi wehn a rak ban frahn Finlan .,Lordi,Finlan,Q23471,Q33,P495,P39,FALSE
"Rhino Bucket wehn a rak ban frahn California , Yunaitid Stiet .",Rhino Bucket,Yunaitid Stiet,Q1779944,Q30,P495,P39,FALSE
