Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Yuurieniom a wah kimikal eliment wid simbal U ah atamik nomba 92 .,Yuurieniom,kimikal eliment,Q1098,Q11344,P31
Guol a kimikal eliment wid di simbal Au ah di " h"atamik nomba 79 .,Guol,kimikal eliment,Q897,Q11344,P31
Leonard Norman Cohen ( 21 September 1934 – 7 November 2016 ) wehna Kianadan singa .,Leonard Norman Cohen,singa,Q1276,Q177220,P106
Rhino Bucket wehn a rak ban frahn California , Yunaitid Stiet .,Rhino Bucket,Yunaitid Stiet,Q1779944,Q30,P495
Anuova ( Joerman pronongxieshan : [ haˈnoːfɐ ] ) a wah siti ina Joermani .,Anuova,Joermani,Q1715,Q183,P17
Natalie Dessay a wah singa fram Frans .,Natalie Dessay,singa,Q241030,Q177220,P106
Ucero a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Ucero,Soria,Q835085,Q55276,P131
Valdelagua del Cerro a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Valdelagua del Cerro,Soria,Q832134,Q55276,P131
Silva a di kimikal eliment wid di hatamik nomba 47 .,Silva,kimikal eliment,Q1090,Q11344,P31
Kambodja a wah savrin konchri a Ieja .,Kambodja,Ieja,Q424,Q48,P30
Ikiapital a Paris , ah di ofishal languij a French .,Paris,French,Q90,Q150,P37
Cihuela a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Cihuela,Soria,Q841496,Q55276,P131
Puolan a wah konchri ina senchral Yuurop .,Puolan,Yuurop,Q36,Q46,P30
Matamala de Almazán a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Matamala de Almazán,Soria,Q836175,Q55276,P131
Di kiapital a Masko , ah di ofishal languij a Roshan .,Masko,Roshan,Q649,Q7737,P2936
Anna Netrebko a wah singa fram Rosha .,Anna Netrebko,singa,Q78516,Q2865819,P106
Ikiapital a Paris , ah di ofishal languij a French .,Paris,French,Q90,Q150,P2936
Palau a wahn konchri ina Uoshania .,Palau,Uoshania,Q695,Q538,P30
Botswaana a wahn konchri ina Afrika .,Botswaana,Afrika,Q963,Q15,P30
Kuwiet a wah savrin konchri a Ieja .,Kuwiet,Ieja,Q817,Q48,P30
Nepal a wah savrin konchri a Ieja .,Nepal,Ieja,Q837,Q48,P30
Landan a di kiapital fi Ingglan an di Yunaitid Kindom .,Landan,Ingglan,Q84,Q21,P1376
Fuentecambrón a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Fuentecambrón,Soria,Q832009,Q55276,P131
Di kiapital a Taipei , ah di ofishal languij a Mandarin .,Taipei,Mandarin,Q1867,Q9192,P2936
Banggladesh a wah savrin konchri a Ieja .,Banggladesh,Ieja,Q902,Q48,P30
Harris Lilis Crosby ( 1903 - 1977 ) wehna Morkan singa .,Harris Lilis Crosby,singa,Q72984,Q177220,P106
Atenz a di kyapital fi Griis .,Atenz,Griis,Q1524,Q41,P1376
Di kiapital a Masko , ah di ofishal languij a Roshan .,Masko,Roshan,Q649,Q7737,P37
Sean Paul a wah Jumiekan rappa , singa an DJ fram Kinston .,Sean Paul,singa,Q200577,Q177220,P106
Lordi wehn a rak ban frahn Finlan .,Lordi,Finlan,Q23471,Q33,P495
Mexiko Siti a di kyapital fi Mexiko .,Mexiko Siti,Mexiko,Q1489,Q96,P1376
Iiliom a wah kimikal eliment wid simbal He ah atamik nomba 2 .,Iiliom,kimikal eliment,Q560,Q11344,P31
Biejing a di kiapital fi di Piiplz Ripoblik a Chaina .,Biejing,a Piiplz Ripoblik a Chaina,Q956,Q148,P1376
Lesta a wah siti ina Ingglan , Yunaitid Kindom .,Lesta,Yunaitid Kindom,Q83065,Q145,P131
Masko a di kyapital fi Rosha .,Masko,Rosha,Q649,Q159,P1376
Arancón a wahn miunisipaliti luokiet ina di Pravins a Soria , Kiastiil ahn León , Spien .,Arancón,Soria,Q36805,Q55276,P131
Axijen a wah kimikal eliment wid simbal O ah atamik nomba 8 .,Axijen,kimikal eliment,Q629,Q11344,P31
Kaaban a wah kimikal eliment wid simbal C ah atamik nomba 6 .,Kaaban,kimikal eliment,Q623,Q11344,P31
Fuentearmegil a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Fuentearmegil,Soria,Q832389,Q55276,P131
Sofiya a di kiapital fi Bulgieria .,Sofiya,Bulgieria,Q472,Q219,P1376
Boerlin a di kiapital a Joermani .,Boerlin,Joermani,Q64,Q183,P1376
Nightwish wehn a rak ban frahn Finlan .,Nightwish,Finlan,Q43510,Q33,P495
Vadillo a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Vadillo,Spien,Q302875,Q29,P131
Giabon a wahn konchri ina Afrika .,Giabon,Afrika,Q1000,Q15,P30
Di kiapital a Puotigal niem " Lizban " .,Puotigal,Lizban,Q45,Q597,P36
Reunioh a wahn terichri ina Afrika .,Reunioh,Afrika,Q17070,Q15,P30
Valderrodilla a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Valderrodilla,Soria,Q834027,Q55276,P131
Luciana Andrade ( 18 setembro 1978 ) wehna Brazil singa .,Luciana Andrade,singa,Q10320248,Q177220,P106
Kiergi a di ofishal languij a Kiergistan .,Kiergi,Kiergistan,Q9255,Q813,P17
Denmaak a wah konchri ina Yuurop .,Denmaak,Yuurop,Q35,Q46,P30
Basshunter , Jonas Erik Altberg ( baan 22 Disemba 1984 a Halmstad ) a wah singa an DJ fram Swiidn .,Basshunter,singa,Q383541,Q177220,P106
Solfa a di kimikal eliment wid simbal S ah atamik nomba 16 .,Solfa,kimikal eliment,Q682,Q11344,P31
Broslz a di kiapital fi Beljiom .,Broslz,Beljiom,Q239,Q31,P1376
Ayan a wah kimikal eliment wid simbal Fe ( frah Latn : ferrum ) ah atamik nomba 26 .,Ayan,kimikal eliment,Q677,Q11344,P31
Maashal Ailanz a wahn konchri ina Uoshania .,Maashal Ailanz,Uoshania,Q709,Q538,P30
Ágreda a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Ágreda,Soria,Q39856,Q55276,P131
La Losilla a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,La Losilla,Soria,Q837352,Q55276,P131
Vybz Kartel ( ril niem Adidjah Azim Palmer ) a wah Jumiekan rappa , singa an DJ fram Portmore , Jumieka .,Vybz Kartel,singa,Q1357035,Q177220,P106
Sloviinia a wah konchri ina Yuurop .,Sloviinia,Yuurop,Q215,Q46,P30
Fantine Rodrigues Thó ( 15 fevereiro 1979 ) wehna Brazil singa .,Fantine Rodrigues Thó,singa,Q10280031,Q177220,P106
Aluuminom a wah kimikal eliment ina di buoran gruup wid simbal Al ah atamik nomba 13 .,Aluuminom,kimikal eliment,Q663,Q11344,P31
Ikiapital a Warsaa , ah di ofishal languij a Puolish .,Warsaa,Puolish,Q270,Q809,P37
Madagiaska a wahn konchri ina Afrika .,Madagiaska,Afrika,Q1019,Q15,P30
George Walker Bush ( 6 July 1946 ) wehna 43 t Prezident a Yunaitid Stiet ( 2001 – 2009 ) .,George Walker Bush,Prezident a Yunaitid Stiet,Q207,Q11696,P39
Fiiji a wahn konchri ina Uoshania .,Fiiji,Uoshania,Q712,Q538,P30
San Mariino Siti a di kiapital ah bigis siti ina San Mariino .,San Mariino Siti,San Mariino,Q1848,Q238,P1376
Lizban a di kiapital fi Puotigal .,Lizban,Puotigal,Q597,Q45,P1376
Slovakia a wah konchri ina senchral Yuurop .,Slovakia,Yuurop,Q214,Q46,P30
Brazilia a di kiapital fi Brazil .,Brazilia,Brazil,Q2844,Q155,P1376
Swiidn a wah Naadik konchri ina Nadan Yuurop .,Swiidn,Yuurop,Q34,Q46,P30
Kenia a wahn konchri ina Afrika .,Kenia,Afrika,Q114,Q15,P30
Daabi a wah siti ina Ingglan , Yunaitid Kindom .,Daabi,Yunaitid Kindom,Q43475,Q145,P131
Kapa a wah kimikal eliment wid simbal Cu ( frah Latn : cuprum ) ah atamik nomba 29 .,Kapa,kimikal eliment,Q753,Q11344,P31
Liktenstain a wahn konchri ina Yuurop .,Liktenstain,Yuurop,Q347,Q46,P30
Nicolas Sarkozy ( 28 Janiweri 1955 – ) wehna Prezident a Frans ( 2007 – 2012 ) .,Nicolas Sarkozy,Prezident a Frans,Q329,Q191954,P39
Rumienia a wah konchri ina Yuurop .,Rumienia,Yuurop,Q218,Q46,P30
Naichojen a wah kimikal eliment wid simbal N ah atamik nomba 7 .,Naichojen,kimikal eliment,Q627,Q11344,P31
Cirujales del Río a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Cirujales del Río,Soria,Q835700,Q55276,P131
Adradas a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Adradas,Soria,Q829225,Q55276,P131
Ruom a di kyapital fi Itali .,Ruom,Itali,Q220,Q38,P1376
