text,text_preprocessed,LEN,label
"Un sistema di teksto na bos òf TTS na [[ingles]]) restorá e teksto di idioma normal na bos, otro sitemap interpretá presentacion linguistica i simbolisá (manera di transicion fonétiko) den e bos.",Un sistema di teksto na bos òf TTS na ingles restorá e teksto di idioma normal na bos otro sitemap interpretá presentacion linguistica i simbolisá den e bos,28,466
Yucatan ta un peninsula i un estado di e [[Mexico]].,Yucatan ta un peninsula i un estado di e Mexico,10,476
"Romanonan 6:23 Gotico: þo auk launa frawaurhtais dauþus; iþ ansts gudis libains aiweino in Xristau [[Iesu]], fraujin unsaramma.",Romanonan Gotico þo auk launa frawaurhtais dauþus iþ ansts gudis libains aiweino in Xristau Iesu fraujin unsaramma,17,276
"[[Papiamentu]]: Pasobra e pago di piká ta morto, ma e don di grasia di Dios ta bida etèrno den [[Cristo Jesus]], nos Señor.",Papiamentu Pasobra e pago di piká ta morto ma e don di grasia di Dios ta bida etèrno den Cristo Jesus nos Señor,23,510
"Yerevan (na ""armenio"": Երևան Jerevan) ta [[kapital]] i e siudat mas grandi di [[Armenia]] (2010: 1.117.800 habitante; 2001: 1.091.235 habitante; 1989: 1.201.539 habitante).",Yerevan ta kapital i e siudat mas grandi di Armenia,10,24
Tanki Flip ta un bario na [[Aruba]].,Tanki Flip ta un bario na Aruba,7,368
Gaborone ta [[kapital]] di e [[Botswana]].,Gaborone ta kapital di e Botswana,6,58
Podgorica ta e [[kapital]] i e suidat mas grandi di [[Montenegro]].,Podgorica ta e kapital i e suidat mas grandi di Montenegro,11,123
"Universidad Mayor (UM) ta un institushon akademiko priva situá na Santiago, [[Chile]].",Universidad Mayor ta un institushon akademiko priva situá na Santiago Chile,11,15
"Siena (na ""[[Latin]]"": Sena Iulia) ta un siudat den e parti sentral di [[Italia]], den e region di Toskana.",Siena ta un siudat den e parti sentral di Italia den e region di Toskana,15,115
E ta [[kapital]] di e provinsia di Siena i tin un poblashon di 53.901 hende (2017).,E ta kapital di e provinsia di Siena i tin un poblashon di hende,14,178
"Ingles ta un idioma West German, Indo-europeo cu ta origina for di [[Inglatera]] y ta e [[lenga materno]] di e mayoria di hende na Estados Unidos (Merca), Gran Britania, [[Australia]], [[Canada]], New Zealand, [[Irlanda]] y e parti di Caribe Anglofonico.",Ingles ta un idioma West German Indoeuropeo cu ta origina for di Inglatera y ta e lenga materno di e mayoria di hende na Estados Unidos Gran Britania Australia Canada New Zealand Irlanda y e parti di Caribe Anglofonico,39,246
Desde e [[Di Dos Guera Mundial]] e crecemento influencial economico y cultural di e Estados Unidos a adopta e idioma Ingles.,Desde e Di_Dos_Guera_Mundial e crecemento influencial economico y cultural di e Estados Unidos a adopta e idioma Ingles,18,276
"Arkansas (State of Arkansas) ta un di e sinkuenta (50) estado di e pais [[Estadonan Uni di Merka]], i tin un poblashon di 2.855.390 habitante.",Arkansas ta un di e sinkuenta estado di e pais Estadonan_Uni_di_Merka i tin un poblashon di habitante,17,29
"Arte ta un producto di actividad humano cu ta envolvi e uzo conciente di imaginacion creativo pa expresa proficiencia [[tecnico]], bunitesa, poder emocional y ideanan di concepto.",Arte ta un producto di actividad humano cu ta envolvi e uzo conciente di imaginacion creativo pa expresa proficiencia tecnico bunitesa poder emocional y ideanan di concepto,27,183
"E tres sectornan clasico di arte visual ta pintura, escultura y [[arkitectura]].",E tres sectornan clasico di arte visual ta pintura escultura y arkitectura,12,247
"Teatro, baile y otro forma di actuacion, y tambe [[literatura]], musica, fotografia, cinematografia y otro media manera media interactivo ta inclui den e definicion global di loke ta encera e artenan.",Teatro baile y otro forma di actuacion y tambe literatura musica fotografia cinematografia y otro media manera media interactivo ta inclui den e definicion global di loke ta encera e artenan,31,384
"Un trabou di [[arte]] ta normalmente husga door con hopi ta impresiona hende, e cantidad di hende cu por relata cu ne y con hopi hende ta apreci'e.",Un trabou di arte ta normalmente husga door con hopi ta impresiona hende e cantidad di hende cu por relata cu ne y con hopi hende ta aprecie,28,384
E prome y mas amplio sentido di [[arte]] kemen 'aregla' of 'haci'.,E prome y mas amplio sentido di arte kemen aregla of haci,12,257
"Den e sentido aki, arte ta crea ora un hende ta haci cos haya den [[mundo]] y ta diseñ'e nobo of form'e of ta crea colo hunto cu otro den un cuadro pa haci un imagen of simplemente pa haci un diseño bunita of un diseño interesante.",Den e sentido aki arte ta crea ora un hende ta haci cos haya den mundo y ta diseñe nobo of forme of ta crea colo hunto cu otro den un cuadro pa haci un imagen of simplemente pa haci un diseño bunita of un diseño interesante,47,79
E [[artista]] por sinti cierto emocion y ta sinti cu no tin otro manera pa expres'e door di crea algo significante p'e.,E artista por sinti cierto emocion y ta sinti cu no tin otro manera pa exprese door di crea algo significante pe,22,183
"Tur e gran civilacion bieu manera Antiguo Egipto, [[India]], [[China]], Grecia, [[Roma]] of Arabia a wordo haya trabou di arte y estilo di arte.",Tur e gran civilacion bieu manera Antiguo Egipto India China Grecia Roma of Arabia a wordo haya trabou di arte y estilo di arte,24,475
"Na [[India]] y Tibet e enfasis tawata escultura pinta, baile y pintura religioso.",Na India y Tibet e enfasis tawata escultura pinta baile y pintura religioso,13,289
"Na China arte tawata inclui jade carving, obranan brons, ceramica, [[poesia]], caligrafia, musica, pintura, teatro y ficcion.",Na China arte tawata inclui jade carving obranan brons ceramica poesia caligrafia musica pintura teatro y ficcion,17,2
"Na [[Europa]] despues di tempo medieval a bin ""Renaissance"" cu kiermen 'bolbe nace'.",Na Europa despues di tempo medieval a bin Renaissance cu kiermen bolbe nace,13,365
"Na final di 1800, artista di Europa a crea pintura di modernidad manera [[clasicismo]], [[romanticismo]], [[realismo]], y impresionismo.",Na final di artista di Europa a crea pintura di modernidad manera clasicismo romanticismo realismo y impresionismo,17,247
[[Nan]] ta kere cu e hende mes a pone nan mesun 'talento' den dje.,Nan ta kere cu e hende mes a pone nan mesun talento den dje,14,219
"Den punto di bista aki, [[arte]] ta propiedad di e artista.",Den punto di bista aki arte ta propiedad di e artista,11,86
"Den otro comunidad, hende ta kere cu [[arte]] no ta pa hende.",Den otro comunidad hende ta kere cu arte no ta pa hende,12,465
[[Nan]] ta pensa cu nan a pone nan capital social den e artista y e obra di artista.,Nan ta pensa cu nan a pone nan capital social den e artista y e obra di artista,18,204
"E palabra a bini for di e palabra [[griego]] δημοκρατία - (""dēmokratía"")",E palabra a bini for di e palabra griego δημοκρατία,10,168
Esaki ta un lista di [[gezaghebber]] di [[Boneiru]].,Esaki ta un lista di gezaghebber di Boneiru,8,4
Esaki ta e lista di gezaghebber di [[Boneiru]] formando [[parti]] di [[Kolonia]] [[Kòrsou]] i Teritorio [[Kòrsou]] (te 1951).,Esaki ta e lista di gezaghebber di Boneiru formando parti di Kolonia Kòrsou i Teritorio Kòrsou,16,4
Teritorio insular di [[Boneiru]].,Teritorio insular di Boneiru,4,3
Esaki ta un lista di gezaghebber di Boneiru komo un teritorio insular di [[Antias Hulandes]] (1951 - 2010).,Esaki ta un lista di gezaghebber di Boneiru komo un teritorio insular di Antias_Hulandes,14,4
Esaki ta un lista di [[gezaghebber]] di [[Boneiru]] komo un entidat publiko di [[Hulanda]] (2010 - presente).,Esaki ta un lista di gezaghebber di Boneiru komo un entidat publiko di Hulanda,14,4
"Vincent Willem van Gogh miho conoci como Vincent van Gogh, tabata un pintor [[Hulandes]].",Vincent Willem van Gogh miho conoci como Vincent van Gogh tabata un pintor Hulandes,14,191
Awendia e ta un di e pintornan mas conoci den historia y un bon contribuido den [[arte]] moderno.,Awendia e ta un di e pintornan mas conoci den historia y un bon contribuido den arte moderno,18,90
[[Van Gogh]] a cuminsa pinta cu su binti aña.,Van_Gogh a cuminsa pinta cu su binti aña,8,185
El a haci mas cu 2.000 obra di [[arte]].,El a haci mas cu obra di arte,8,5
"Asina mes, su trabou di [[arte]] tawatin masha influencia den [[arte]] di Modernismo despues di dje.",Asina mes su trabou di arte tawatin masha influencia den arte di Modernismo despues di dje,16,131
"El a biba na [[Paris]] hunto cu su ruman, Theo, cu tawata un comerciante di arte y a conoce hopi artista famoso cu a yud'e y influenci'e.",El a biba na Paris hunto cu su ruman Theo cu tawata un comerciante di arte y a conoce hopi artista famoso cu a yude y influencie,27,391
"Na 1886 el a bay [[Paris]] pa compaña su ruman, Theo, cu tawata manager di un galeria yama 'Goupil's'.",Na el a bay Paris pa compaña su ruman Theo cu tawata manager di un galeria yama Goupils,18,221
Na [[Paris]] el studia cu [[Cormon]].,Na Paris el studia cu Cormon,6,62
"E tambe a conoce [[Pisarro]], [[Monet]], y [[Gauguin]].",E tambe a conoce Pisarro Monet y Gauguin,8,361
"Na final di aña 1888, [[Gauguin]] a laga [[Arles]].",Na final di aña Gauguin a laga Arles,8,225
"[[Van Gogh]] a sigui cu un mashin di feita, pero [[Gauguin]] a par'e.",Van_Gogh a sigui cu un mashin di feita pero Gauguin a pare,12,401
[[Van Gogh]] a corta e lobulo di su horea.,Van_Gogh a corta e lobulo di su horea,8,161
"Despues di esey, [[van Gogh]] a cuminsa haya ataka di locura y nan a mand'e na un [[institucion]] psikiatrico na [[Saint-Remy]] pa tratamento medico.",Despues di esey van_Gogh a cuminsa haya ataka di locura y nan a mande na un institucion psikiatrico na SaintRemy pa tratamento medico,23,391
Den mei di 1890 su salud mental a mehora y el a bay biba na [[Auvers-sur-Oise]].,Den mei di su salud mental a mehora y el a bay biba na AuverssurOise,15,225
"Theo,cu tabata cu [[Van Gogh]] prome cu el a muri a informa cu su ultimo palabranan tawata ""[[La]] tristese durera toujours"", cu kiermen ""E tristesa lo dura pa semper"" na [[Frances]].",Theocu tabata cu Van_Gogh prome cu el a muri a informa cu su ultimo palabranan tawata La tristese durera toujours cu kiermen E tristesa lo dura pa semper na Frances,30,468
[[Van Gogh]] su pinturnan bunita a bende nan den menos di tres aña.,Van_Gogh su pinturnan bunita a bende nan den menos di tres aña,12,110
E mama di [[Van Gogh]] a tira tur su pinturanan afo durante cu e tawata na bida y hasta tambe despues di su morto.,E mama di Van_Gogh a tira tur su pinturanan afo durante cu e tawata na bida y hasta tambe despues di su morto,23,351
[[Pero]] el a biba suficiente tempo pa wak su yiu bira un pintor famoso rond [[mundo]].,Pero el a biba suficiente tempo pa wak su yiu bira un pintor famoso rond mundo,16,452
Santiago de Compostela ta un siudat den region norteste di [[Spaña]].,Santiago de Compostela ta un siudat den region norteste di Spaña,11,284
"Santiago, ku ta nifica ""San Jakobo"", ta situa den e provinsia A Coruna i ta e [[kapital]] di e komunidat outonomo di Galicia.",Santiago ku ta nifica San Jakobo ta situa den e provinsia A Coruna i ta e kapital di e komunidat outonomo di Galicia,23,229
"Dilma Vana Rousseff ([[Belo Horizonte]], 14 di december [[1947]]) ta un ekonomista i politiko brasileño, afilia na e ""Partido den Trabalhadornan"" (PT) y e aktual presidente di e Republika Federativo di [[Brazil]].",Dilma Vana Rousseff ta un ekonomista i politiko brasileño afilia na e Partido den Trabalhadornan y e aktual presidente di e Republika Federativo di Brazil,25,345
Ela wordu suspendi desde [[12 di mei]] [[2016]].,Ela wordu suspendi desde _di_mei,5,6
"RMS Titanic miho konosi komo Titanic tabata e barku di stóm di pasahero di mas grandi na mundu ora e la sali for pa su prome viaye for di Southampton, [[Inglatera]] pa [[New York]] na 10 di April 1912.",RMS Titanic miho konosi komo Titanic tabata e barku di stóm di pasahero di mas grandi na mundu ora e la sali for pa su prome viaye for di Southampton Inglatera pa New York na di April,37,200
Den Haag (òf 's Gravenhage) ta un siudat na [[Hulanda]] ku un poblashon di 500.000 hende.,Den Haag ta un siudat na Hulanda ku un poblashon di hende,12,180
Tripoli ta [[kapital]] di e [[Libia]].,Tripoli ta kapital di e Libia,6,21
15 di aprel ta e di 105 dia di aña (106 den un schrikkeljaar) riba e [[kalènder gregoriano]].,di aprel ta e di dia di aña riba e kalènder_gregoriano,11,48
Nicole Hoevertsz (n. 30 di mei [[1964]] na [[Aruba]]) ta un ex-landado sincronisa y dirigente deportivo [[Aruba]]no.,Nicole Hoevertsz ta un exlandado sincronisa y dirigente deportivo Arubano,10,107
Ela participa na Weganan Olimpico di Zomer na [[Los Angeles]] bou di e bandera di [[Antias Hulandes]].,Ela participa na Weganan Olimpico di Zomer na Los_Angeles bou di e bandera di Antias Hulandes,16,7
Desde 2017 e ta miembro di e directiva ehecutivo di [[Comite Olimpico Internacional]] (COI) y na 2021 a keda elegi como vice-presidente.,Desde e ta miembro di e directiva ehecutivo di Comite_Olimpico_Internacional y na a keda elegi como vicepresidente,17,33
"Nicole Hoevertsz ta yiu di Dolf Hoevertsz di Aruba y Marie-José Smarius di Limburg, [[Hulanda]].",Nicole Hoevertsz ta yiu di Dolf Hoevertsz di Aruba y MarieJosé Smarius di Limburg Hulanda,15,33
"Su tata tabata rector di [[Colegio Arubano]] di 1979 te 1993, unda na 1982 ela obtene su VWO-diploma.",Su tata tabata rector di Colegio_Arubano di te unda na ela obtene su VWOdiploma,14,112
"Aki ela gradua cu titulo di [[maestria]] den ley, specialisando den derecho internacional.",Aki ela gradua cu titulo di maestria den ley specialisando den derecho internacional,13,131
Durante e prome y di dos gabinete [[Mike Eman]] (2009-2017) Hoevertsz ta asumi e funcion di secretario di conseho di minister.,Durante e prome y di dos gabinete Mike_Eman Hoevertsz ta asumi e funcion di secretario di conseho di minister,19,365
Na e Weganan Olimpico di 1988 e tabata coach di e team di landamento sincronisa di Aruba na [[Seoul]] pa [[Comite Olimpico Arubano]] (COA).,Na e Weganan Olimpico di e tabata coach di e team di landamento sincronisa di Aruba na Seoul pa Comite Olimpico Arubano,22,510
Riba tereno di dirigente deportivo na [[Aruba]] Hoevertsz a ocupa varios posicion.,Riba tereno di dirigente deportivo na Aruba Hoevertsz a ocupa varios posicion,12,188
Desde 1991 Hoevertsz ta secretario-general di Arubaanse Zwembond y desde 1998 secretario-general di [[Comite Olimpico Arubano]] (COA).,Desde Hoevertsz ta secretariogeneral di Arubaanse Zwembond y desde secretariogeneral di Comite_Olimpico_Arubano,12,166
E mesun aña e ta bira presidente di comision di deporte femenino pa e Organisacion Pan-Americano di Deporte ([[PASO]]) y ta canciller di [[PASO]] desde 1999.,E mesun aña e ta bira presidente di comision di deporte femenino pa e Organisacion PanAmericano di Deporte y ta canciller di PASO desde,24,183
"E tabata co-fundador y secretario di directiva di Instituto di Medicina pa Deporte di [[Aruba]] (ARUMEDE), lanta na 1992.",E tabata cofundador y secretario di directiva di Instituto di Medicina pa Deporte di Aruba lanta na,17,183
Na 2006 Hoevertsz ta keda elegi miembro di [[Comite Olimpico Internacional]].,Na Hoevertsz ta keda elegi miembro di Comite_Olimpico_Internacional,8,425
"Den e funcion aki Hoevertsz ta desplega rolnan importante, entre otro como presidente di e Comision di Coordinacion pa e Weganan Olimpico di Los Angeles 2028 y vicepresidente di e Comision di Coordinacion pa e Weganan Olimpico di [[Paris]] 2024.",Den e funcion aki Hoevertsz ta desplega rolnan importante entre otro como presidente di e Comision di Coordinacion pa e Weganan Olimpico di Los Angeles y vicepresidente di e Comision di Coordinacion pa e Weganan Olimpico di Paris,38,8
Durante un reunion di [[COI]] na [[Tokio]] dia 20 di juli 2021 ela keda elegi como vice-presidente di [[COI]] despues cu ela postula cu mes como unico candidato pa sigui [[Anita DeFrantz]].,Durante un reunion di COI na Tokio dia di juli ela keda elegi como vicepresidente di COI despues cu ela postula cu mes como unico candidato pa sigui Anita DeFrantz,30,466
Na 2018 Nicole Hoevertz tabatin e honor di ta un di e coredonan cu e antorcha pa weganan olimpico di invierno na [[Sur Korea]].,Na Nicole Hoevertz tabatin e honor di ta un di e coredonan cu e antorcha pa weganan olimpico di invierno na Sur_Korea,22,63
"Brydan Daniels ([[Willemstad]], 23 di desèmber [[1985]]) miho konosi komo Bboy Puff ta un rapper kurasoleño.",Brydan Daniels miho konosi komo Bboy Puff ta un rapper kurasoleño,11,108
Lantando den diferente bario door di keda muda te ora ku e la muda pa e bario di [[Suffisant]] kual e tin aktualmente 10 aña ta biba aden.,Lantando den diferente bario door di keda muda te ora ku e la muda pa e bario di Suffisant kual e tin aktualmente aña ta biba aden,27,239
"Tin scuole di francombat entre otronan in: [[Paris]], Bordeaux, í Montpellier.",Tin scuole di francombat entre otronan in Paris Bordeaux í Montpellier,11,503
Esaki marziale [[arte]] si basa riba strategia í riba konosemento di e humano kurpa.,Esaki marziale arte si basa riba strategia í riba konosemento di e humano kurpa,14,240
"Segun na e hende [[kén]] ehercicio esaki displina, e efficacità den e lotta dipende riba tres fattori:  E allenamento di e francombat si basa su:",Segun na e hende kén ehercicio esaki displina e efficacità den e lotta dipende riba tres fattori E allenamento di e francombat si basa su,25,8
"Erik Þorvaldsson ([[nordico bieu]]: Eirikr Þorvaldsson), miho conoci como Erik e Korá ([[nordico bieu]]: Eirīkr hinn rauði)(* 950 - 1003), vikingo, comerciante y explorador [[noruega]] na final di siglo X.",Erik Þorvaldsson miho conoci como Erik e Korá vikingo comerciante y explorador noruega na final di siglo X,18,33
A funda e prome asentamento vikingo den [[Groenlandia]].,A funda e prome asentamento vikingo den Groenlandia,8,365
"A nace den e distrito di Jæren, Rogaland, [[Noruega]], yiu di Þorvald Asvaldsson, un exiliado pa asesinato.",A nace den e distrito di Jæren Rogaland Noruega yiu di Þorvald Asvaldsson un exiliado pa asesinato,17,188
"Erik tin cuatro yu: Freydis Eiríksdóttir, [[Leif Eriksson]], Thorvald Eriksson y Þorsteinn Eriksson.",Erik tin cuatro yu Freydis Eiríksdóttir Leif_Eriksson Thorvald Eriksson y Þorsteinn Eriksson,12,9
Chicago ta e ciudad mas grandi den e estado di [[Illinois]] y e di tres ciudad mas grandi den e [[Estadonan Uni di Merka]].,Chicago ta e ciudad mas grandi den e estado di Illinois y e di tres ciudad mas grandi den e Estadonan Uni di Merka,24,10
"Rudolfo Valentino “Vale” Croes (5 di november [[1951]] - 6 di april [[2015]]), tabata un cantante y comediante Arubiano.",Rudolfo Valentino “ Vale ” Croes tabata un cantante y comediante Arubiano,12,429
E la studia como carpinte na Aruba y despues a specialisa su mes na [[Hulanda]] den traha cu fibreglass.,E la studia como carpinte na Aruba y despues a specialisa su mes na Hulanda den traha cu fibreglass,19,465
Nikiboko ta un di e sinku (5) barionan tradishonal di [[Boneiru]].,Nikiboko ta un di e sinku barionan tradishonal di Boneiru,10,476
"E otro barionan ta [[Antriol]], Nort’i Saliña, [[Rincon]] i [[Tera Kòrá]].",E otro barionan ta Antriol Nort ’ i Saliña Rincon i Tera Kòrá,13,333
"Guayaquil, ofisialmente Santiago de Guayaquil, ta e siudat mas grandi di [[Ecuador]].",Guayaquil ofisialmente Santiago de Guayaquil ta e siudat mas grandi di Ecuador,12,427
"E siudat ta [[kapital]] di provinsia Guayas i ta situá na e oria west di Riu Guayas, ku ta desemboká den Oseano Pasífiko na Golfo di Guayaquil.",E siudat ta kapital di provinsia Guayas i ta situá na e oria west di Riu Guayas ku ta desemboká den Oseano Pasífiko na Golfo di Guayaquil,27,229
Pakistan ta un pais den [[Asia]].,Pakistan ta un pais den Asia,6,477
E [[kapital]] di Pakistan ta e siudad [[Islamabad]].,E kapital di Pakistan ta e siudad Islamabad,8,313
E siudad mas grandi ta [[Karachi]].,E siudad mas grandi ta Karachi,6,315
"Ora e ta alkansá kosta e [[parti]] dilanti di ola ta retrasá,su tras ta oumentá miónes liter di awa [[mas]], halsa e ola 10 meter òf [[mas]] promé k'e bira basha riba kosta òf un siudatnan riba liña di kosta, manera a sosodé na [[Sendai (Hapon]]) kasi nada no ta keda para.",Ora e ta alkansá kosta e parti dilanti di ola ta retrasásu tras ta oumentá miónes liter di awa mas halsa e ola meter òf mas promé ke bira basha riba kosta òf un siudatnan riba liña di kosta manera a sosodé na Sendai kasi nada no ta keda para,50,217
"Stofnan fini di e volkan a bai haltu den atmosfer i kousá skuridat den dia, hopi añanan despues tabata un katastròfe pa naturalisa, stof di e volkan a kai te riba [[Merka]].",Stofnan fini di e volkan a bai haltu den atmosfer i kousá skuridat den dia hopi añanan despues tabata un katastròfe pa naturalisa stof di e volkan a kai te riba Merka,32,78
[[Dor]] di e ekploshon e seru i un [[parti]] mas grandi di e isla a desparsé bou di awa i kousá un tsunami destruktivo den historia ku ola di ku 40 meter haltu.,Dor di e ekploshon e seru i un parti mas grandi di e isla a desparsé bou di awa i kousá un tsunami destruktivo den historia ku ola di ku meter haltu,32,11
"Olanan di e tsunami a yaga kosta [[Afrika]], west di [[Merka]] i Sùit [[Amerika]].",Olanan di e tsunami a yaga kosta Afrika west di Merka i Sùit Amerika,14,406
"[[E]] isla no ta hopi konosí, pero e tin un historia grandi.",E isla no ta hopi konosí pero e tin un historia grandi,12,74
"Despues di 22 ora olanan di 5,5 meter a yega kosta di Hapon, tabatin hopi daño i viktima riba area di kostanan na Osean Pasifeko [[Atjeh]] ([[Samatra]]).",Despues di ora olanan di meter a yega kosta di Hapon tabatin hopi daño i viktima riba area di kostanan na Osean Pasifeko Atjeh,24,510
Kasi pa hasi 80 aña despues ku e [[volkan]] krakatou i hundí den laman i kousá e tsunami di mas destruktivo di e tempu aya.,Kasi pa hasi aña despues ku e volkan krakatou i hundí den laman i kousá e tsunami di mas destruktivo di e tempu aya,24,402
Lo no tin niun hende mas den e regio ku lo a kede kòrda tsunami di krakatou te ora ku bolbe surgi un tsunami na Hawaï na aña 1964 ku kousá daño i viktima den regio ei i na [[California]].,Lo no tin niun hende mas den e regio ku lo a kede kòrda tsunami di krakatou te ora ku bolbe surgi un tsunami na Hawaï na aña ku kousá daño i viktima den regio ei i na California,39,400
E ola a keda kore 3000 mia riba osean bai te kosta di [[Afrika]] na Somalia ela hasi daño i kosta bida hende i tambe paisnan den regio.,E ola a keda kore mia riba osean bai te kosta di Afrika na Somalia ela hasi daño i kosta bida hende i tambe paisnan den regio,27,204
"E ola a keda kore ku e mes energia ku ela surgi bai [[Sri Lanka]], India, Thailand, Maleisia i otro islanan di [[Indonesia]].",E ola a keda kore ku e mes energia ku ela surgi bai Sri_Lanka India Thailand Maleisia i otro islanan di Indonesia,22,111
"E [[mundu]] di Minecraft ta fisikamente disponibel tambe den diferente forma: ""papercraft"" (origami), produktonan derivá (peluche, paña etc.)",E mundu di Minecraft ta fisikamente disponibel tambe den diferente forma papercraft produktonan derivá,14,365
"E ta enfoká riba konstrukshon dor di laga hungadonan ""[[mina]]"" strukturanan uzando kubonan ku textura den un [[mundu]] tresdimenshonal (3D).",E ta enfoká riba konstrukshon dor di laga hungadonan mina strukturanan uzando kubonan ku textura den un mundu tresdimenshonal,19,466
"E ley aki tin como meta pa duna proteccion na flora y fauna indigeno di [[Aruba]], cu ta sea bao presion di extincion o di cual un presencia duraduro ta desea pa su valor ecologico.",E ley aki tin como meta pa duna proteccion na flora y fauna indigeno di Aruba cu ta sea bao presion di extincion o di cual un presencia duraduro ta desea pa su valor ecologico,35,128
Mantencion di e reglanan riba tera ta den man di park rangers di [[Parke Nacional Arikok]] y e inspectornan di Departamento di Naturalesa y Medio Ambiente (DNM).,Mantencion di e reglanan riba tera ta den man di park rangers di Parke_Nacional_Arikok y e inspectornan di Departamento di Naturalesa y Medio Ambiente,24,246
"Loiri Porto San Paolo ta un siudad na [[Sardegna]], [[Italia]].",Loiri Porto San Paolo ta un siudad na Sardegna Italia,10,12
Yanüari Febrüari [[Mart]] Aprel Mei Yüni Yüli Ougùstùs Sèptèmber Oktober Novèmber Desèmber A nase.,Yanüari Febrüari Mart Aprel Mei Yüni Yüli Ougùstùs Sèptèmber Oktober Novèmber Desèmber A nase,14,13
Yanüari Febrüari [[Mart]] Aprel Mei Yüni Yüli Ougùstùs Sèptèmber Oktober Novèmber Desèmber A Fayese.,Yanüari Febrüari Mart Aprel Mei Yüni Yüli Ougùstùs Sèptèmber Oktober Novèmber Desèmber A Fayese,14,13
Yanüari Febrüari [[Mart]] Aprel Mei Yüni Yüli Ougùstùs Sèptèmber Oktober Novèmber Desèmber,Yanüari Febrüari Mart Aprel Mei Yüni Yüli Ougùstùs Sèptèmber Oktober Novèmber Desèmber,12,13
Kärnten ta un Bundesland den [[Austria]].,Kärnten ta un Bundesland den Austria,6,14
Su [[kapital]] ta [[Klagenfurt]].,Su kapital ta Klagenfurt,4,292
Shanayah Shaljenshka Howell (n. 19 di januari [[1999]] na [[Aruba]]) ta un ciclista BMX di Aruba.,Shanayah Shaljenshka Howell ta un ciclista BMX di Aruba,9,191
"Shanayah Howell a nace na [[San Nicolas]], yiu di Maru Howell y Alan Howell, di profesion polis y politico activo.",Shanayah Howell a nace na San_Nicolas yiu di Maru Howell y Alan Howell di profesion polis y politico activo,19,33
"Cu shete aña e ta conkista su prome titulo mundial ganando e UCI BMX World Championship 2006 den su categoria di edad na [[São Paulo]], Brasil.",Cu shete aña e ta conkista su prome titulo mundial ganando e UCI BMX World Championship den su categoria di edad na São_Paulo Brasil,24,348
