text,text_preprocessed,LEN,label
"[[Sèrbi]] /sɛʁ.bi/, an form long Répiblik di [[Sèrbi]], an serb laten [[Srbija]]/sř̩.bi.ja/ é [[Republika Srbija]], an serbecyrillique Сpбија é Република Сpбија, sa roun Léta di Éròp di Lès, ki ka fè [[parti]] dé Balkan oksidantal é di Éròp santral ; so réjim politik sa di tip démokrasi parlmantèr monokaméral.",Sèrbi sɛʁbi an form long Répiblik di Sèrbi an serb laten Srbijasř̩bija é Republika Srbija an serbecyrillique Сpбија é Република Сpбија sa roun Léta di Éròp di Lès ki ka fè parti dé Balkan oksidantal é di Éròp santral so réjim politik sa di tip démokrasi parlmantèr monokaméral,48,32
"Emmanuel [[Kant (Immanuel]] an alman, prounonsé an sa lanng [ɪˈmaːnu̯eːl kant]), né 22 avril 1724 atè [[Königsberg]], kapital di [[Prusse]]-Oryantal, é mouri annan sa menm lavil 12 févriyé 1804, sa roun filozòf alman, fondatò di kritisism é di dòktrin dit « idéyalism transandantal ».",Emmanuel Kant__né__avril__atè_Königsberg kapital di PrusseOryantal é mouri annan sa menm lavil févriyé sa roun filozòf alman fondatò di kritisism é di dòktrin dit « idéyalism transandantal »,27,99
"Gran pansò di [[Aufklärung]] (Limyè almann), [[Kant]] ègzèrsé oun enfliyans konsidérab asou idéyalism almann, filozofi analitik-a, fénoménoloji-a, filozofi pòsmodèrn-an, ké pansé kritik-a an jénéral.",Gran pansò di Aufklärung Kant ègzèrsé oun enfliyans konsidérab asou idéyalism almann filozofi analitika fénoménolojia filozofi pòsmodèrnan ké pansé kritika an jénéral,22,3
Oun Minout sa oun inité pratik di mizour di [[tan]].,Oun Minout sa oun inité pratik di mizour di tan,10,320
Minout-a sa défini kou oun douré di 60 [[ségonn]].,Minouta sa défini kou oun douré di ségonn,8,111
Oun [[lò]] gen 60 minout.,Oun lò gen minout,4,4
Élèktrokardjografi ([[EKG]]) sa roun rouprézantasyon grafik di aktivité élèktrik-a di tchò.,Élèktrokardjografi sa roun rouprézantasyon grafik di aktivité élèktrika di tchò,10,183
"[[Lonn]] (prounonsé [lɔ̃dʁ] ; an anglé [[London[ˈlʌn.dən]]]), sitchwé annan Sidès-a di [[Grann-Brétagn]], sa kapital-a ké pli grann lavil di Anglétèr é di Rwayom-Ini.",Lonn sitchwé annan Sidèsa di GrannBrétagn sa kapitala ké pli grann lavil di Anglétèr é di RwayomIni,17,300
"Lontan kapital di Anpir britanik, li sa dézòrmè syèj di [[Commonwealth of Nations]].",Lontan kapital di Anpir britanik li sa dézòrmè syèj di Commonwealth_of_Nations,11,334
"Fondé i té gen prèsk 2 000 lan pa Romen-yan anba non-an di [[Londinium]], [[Lonn]] té o xixe syèk lavil-a pli péplé di monn.",Fondé i té gen prèsk lan pa Romenyan anba nonan di Londinium Lonn té o xixe syèk lavila pli péplé di monn,22,300
"[[Charlemagne]], di laten [[Carolus Magnus]], oben Charles Ie nonmen « Gran-an », né à roun dat enkonnèt (vrèsanblabman douran lannen 742, wè 747 oben 748, pitèt 2 avril), mouri 28 janvyé 814 à [[Aix-la-Chapelle]], sa roun rwa dé [[Franc]] é anprò.",Charlemagne di laten Carolus Magnus oben Charles Ie nonmen « Granan » né à roun dat enkonnèt mouri janvyé à AixlaChapelle sa roun rwa dé Franc é anprò,28,2
I ka apartni à dinasti-a dé [[Carolingien]].,I ka apartni à dinastia dé Carolingien,7,5
"Tiboug di [[Pépin le Bref]], li sa rwè dé [[Franc]] à partir di 768, ka divini pa konkèt rwa dé Lombards an 774 é sa kouronné anprò à [[Rome]] pa pap [[Léon III]] 25 désanm 800 (oben 24 décembre 800), ka rélévé oun dignité ki té disparèt dipi chit-a Anpir romen di Ògsidan an 476.",Tiboug di Pépin_le_Bref li sa rwè dé Franc à partir di ka divini pa konkèt rwa dé Lombards an é sa kouronné anprò à Rome pa pap Léon III désanm ka rélévé oun dignité ki té disparèt dipi chita Anpir romen di Ògsidan an,44,44
"Élisabeth Ié, né 7 sèptanm 1533 o palè di [[Placentia]] atè [[Lonn]] é mouri 24 mars 1603 o palè di Richmond atè [[Lonn]], té renn d'Anglétèr é d'Irlann di 1558 à so lanmò.",Élisabeth Ié né sèptanm o palè di Placentia atè Lonn é mouri mars o palè di Richmond atè Lonn té renn dAnglétèr é dIrlann di à so lanmò,28,44
"Élisabeth té tifi-a di rwè [[Henri VIII]] d'Anglétèr, so mè [[Anne Boleyn]] té ègzékité trwa lan aprè so nésans, é li ka pédi so tit di prensès.",Élisabeth té tifia di rwè Henri_VIII dAnglétèr so mè Anne Boleyn té ègzékité trwa lan aprè so nésans é li ka pédi so tit di prensès,26,219
"[[So]] dimi-frè [[Édouard VI]] té nonmen kou éritchèr so kouzin [[Jeanne Grey]], sa ki ka ékarté Élisabeth ké so dimi-sò [[Marie]] di siksésyon o tronn.",So dimifrè Édouard VI té nonmen kou éritchèr so kouzin Jeanne Grey sa ki ka ékarté Élisabeth ké so dimisò Marie di siksésyon o tronn,25,219
"Testaman-an d'Édouard [[VI]] té néyanmwen ignoré, [[Jeanne Grey]] té ègzékité é Marie divini renn an 1553.",Testamanan dÉdouard VI té néyanmwen ignoré Jeanne Grey té ègzékité é Marie divini renn an,15,48
"Afganistan, an form long Répiblik islamik d'Afganistan (pachto : د أفغانستان اسلامي جمهوریت (Da Afghanestan Islami Jomhouriyet) ; dari : جمهوری اسلامی أفغانستان(Jomhūrī-ye Eslāmī-ye Afġānestān)), sa roun péyi d'[[Lazi]] santral.",Afganistan an form long Répiblik islamik dAfganistan dari جمهوری اسلامی أفغانستان sa roun péyi dLazi santral,16,103
Lendi a jou di lasimèn ki ka siksédé o [[dimanch]] é ki ka présédé [[mardi]].,Lendi a jou di lasimèn ki ka siksédé o dimanch é ki ka présédé mardi,15,305
"Étik-a ka défini so kò [[tèl]] oun réflèksyon fondamantal asou lakèl moral-a ké établi so nòrm, so limit é so dévwar.",Étika ka défini so kò tèl oun réflèksyon fondamantal asou lakèl morala ké établi so nòrm so limit é so dévwar,21,165
"Pou dé filozòf tèl ki [[Aristote]] é [[Kant]], étik-a gen pou but di défini sa ki divèt fika.",Pou dé filozòf tèl ki Aristote é Kant étika gen pou but di défini sa ki divèt fika,18,180
Sa paj ka konsèrnen lannen 1507 di [[kalandriyé julyen]].,Sa paj ka konsèrnen lannen di kalandriyé_julyen,7,0
"Pli jénéralman, nosyon-an di [[parti politik]] ka posédé dé définisyon.",Pli jénéralman nosyonan di parti_politik ka posédé dé définisyon,9,298
"Pronmyé-a, di lòrd idéyolojik, sa prèsk sinonim di faksyon : ki sa, pou roupran tèrm-ya di [[Benjamin Constant]], di roun « réynyon di wonm ki ka profésé lamenm dòktrin politik ».",Pronmyéa di lòrd idéyolojik sa prèsk sinonim di faksyon ki sa pou roupran tèrmya di Benjamin_Constant di roun « réynyon di wonm ki ka profésé lamenm dòktrin politik »,29,193
"Ségon-an, di lòrd enstitisyonèl, ka tchenbé li pou éléman ésansyèl di jé démokratik : « li ka konsisté à sézi [[parti politik]] antan ki fòrm politik, èstriktir di lòrgannizasyon di démokrasi-a ».",Ségonan di lòrd enstitisyonèl ka tchenbé li pou éléman ésansyèl di jé démokratik « li ka konsisté à sézi parti_politik antan ki fòrm politik èstriktir di lòrgannizasyon di démokrasia »,30,44
"[[Frédéric François Chopin]] (an polonè : [[Fryderyk Franciszek Chopin]] ou versyon antyèrman polonizé [[Szopen]] ; o xixe syèk, grafi Szopę té itilizé an [[Pologn]] an konkirans ké grafi [[Chopin]]) sa roun konpozitò é pyanis virtyoz di asandans franko-polonèz, né an 1810 à [[Żelazowa Wola]], asou téritwar di douché di [[Varsovie]] (atchwèlman an [[Pologn]]), é mò an 1849 à [[Pari]].",Frédéric_François_Chopin sa roun konpozitò é pyanis virtyoz di asandans frankopolonèz né an à Żelazowa Wola asou téritwar di douché di Varsovie é mò an à Pari,26,2
Lalwa di mouvman di [[Newton]] té énonsé annan so ouvraj Philosophiae naturalis principia mathematica an 1687.,Lalwa di mouvman di Newton té énonsé annan so ouvraj Philosophiae naturalis principia mathematica an,15,280
"[[A]] anfèt dé prensip ki à baz-a di grann téyori di [[Newton]] ki konsèrné mouvman-an dé kò, téyori ki nou ka nonmen jòdla mékanik newtonyenn oben òkò mékanik klasik.",A anfèt dé prensip ki à baza di grann téyori di Newton ki konsèrné mouvmanan dé kò téyori ki nou ka nonmen jòdla mékanik newtonyenn oben òkò mékanik klasik,29,44
"[[À]] sa lalwa jénéral di mouvman ki fondé an partikilyé asou di rélativité dé mouvman, [[Newton]] té ajouté lalwa di gravitasyon inivèrsèl-a ka pèrmèt d'entèrprété osi byen chit-a dé kò ki mouvman-an di Lalin-an otour di [[Latè]]-a.",À sa lalwa jénéral di mouvman ki fondé an partikilyé asou di rélativité dé mouvman Newton té ajouté lalwa di gravitasyon inivèrsèla ka pèrmèt dentèrprété osi byen chita dé kò ki mouvmanan di Lalinan otour di Latèa,37,323
"Entchwitivman, li pouvé fika vizwalizé kou roun féy d'épésò [[nil]] ki ka étann so kò à enfini-a.",Entchwitivman li pouvé fika vizwalizé kou roun féy dépésò nil ki ka étann so kò à enfinia,17,58
"Nou ka trouvé roun définisyon aksyomatik di plan koté [[Éklid]], bò'd 300 [[lan]] anvan [[Jézi]]-[[Kris]], ki ka défini roun sirfas kou « sa ki gen longò é larjò rounso » é présiz alò annan so définisyon 7: À finisman-an di xixe syèk, aprè dékouvèrt-a dé jéyométri ki pa éklidjenn, roun mouvman ka désiné so kò pou aksyomatizé òkò davantaj jéyométri-a an sasé à vidé li di so kontni ontolojik.",Nou ka trouvé roun définisyon aksyomatik di plan koté Éklid bòd lan anvan JéziKris ki ka défini roun sirfas kou « sa ki gen longò é larjò rounso » é présiz alò annan so définisyon À finismanan di xixe syèk aprè dékouvèrta dé jéyométri ki pa éklidjenn roun mouvman ka désiné so kò pou aksyomatizé òkò davantaj jéyométria an sasé à vidé li di so kontni ontolojik,67,218
"Pronmyé Lagèr mondjal-a sa roun konfli militèr ki ka enpliké annan roun pronmyé tan pwisans éropéyenn-yan é ka étann so kò answit à plizyò kontinan di 1914 à 1918 (byen ki li diplomatikman pèrdouré jouk an 1923 pou péyi-ya konsèrné pa trété-a di [[Lausanne]], dannyé ki té signé, 24 jwiyé 1923).",Pronmyé Lagèr mondjala sa roun konfli militèr ki ka enpliké annan roun pronmyé tan pwisans éropéyennyan é ka étann so kò answit à plizyò kontinan di à,27,220
"Fransé-a fòrmen so kò atè [[Lafrans]] (varyété di lanng-an « lanng d'oyl », ki sa lanng-an di parti sèptantriyonnal-a di péy) é sa jòdla palé asou tout kontinan-yan pa anviron 274 milyon di moun don 212 milyon ka itilizé'l kotidjennman, 76 milyon an étan dé lokitò natif.",Franséa fòrmen so kò atè Lafrans é sa jòdla palé asou tout kontinanyan pa anviron milyon di moun don milyon ka itilizél kotidjennman milyon an étan dé lokitò natif,29,193
"Li sa roun dé sis lanng ofisyèl épi roun dé Dé lanng di travay (ké anglé-a) di Lòrgannizasyon dé Nasyonzini, é lanng ofisyèl oben di travay di plizyò lòrgannizasyon entèrnasyonnal oben réjyonnal, don [[Linyon éropéyen]]-an.",Li sa roun dé sis lanng ofisyèl épi roun dé Dé lanng di travay di Lòrgannizasyon dé Nasyonzini é lanng ofisyèl oben di travay di plizyò lòrgannizasyon entèrnasyonnal oben réjyonnal don Linyon_éropéyenan,32,329
"Souvan lenvansyon-an di mo à partir di mo byen fransé ka pasé pa roun lanpren à so fòrm an laten klasik : mère/maternel, frère/fraternel, cheveu/capillaire, foi/fidèle, [[œil]]/oculaire, sûr/sécurité, siècle/séculaire, etc.. Listwè.",Souvan lenvansyonan di mo à partir di mo byen fransé ka pasé pa roun lanpren à so fòrm an laten klasik mèrematernel frèrefraternel cheveucapillaire foifidèle œiloculaire sûrsécurité siècleséculaire etc Listwè,30,2
[[À]] lépòk-a di konkèt-a di Lagol pa larmé ronmen-yan di [[Jules César]] an 52 anv.,À lépòka di konkèta di Lagol pa larmé ronmenyan di Jules César an anv,14,172
"[[J.-K.]], ésèpté Lakitenn-an di lanng proto-bask, Lagol té majoritèrman péplé di tribi golwa ki té ka palé dé lanng sèltik ki sèrtennman aparanté é probabman konpréyansib.",JK ésèpté Lakitennan di lanng protobask Lagol té majoritèrman péplé di tribi golwa ki té ka palé dé lanng sèltik ki sèrtennman aparanté é probabman konpréyansib,26,32
"J.-K. Vèrsyon ronman dé Sèrman di Èstasbour di 842 sa pronmyé tègs marké an lanng d’oyl, dérivé di [[Ba]] laten é roumodlé à laswit-a di létablisman-an dé Jèrmen, prensipalman dé Fran (a di la ki vini lapélasyon-an di fransé), annan nò-a di Lagol.",JK Vèrsyon ronman dé Sèrman di Èstasbour di sa pronmyé tègs marké an lanng d ’ oyl dérivé di Ba laten é roumodlé à laswita di létablismanan dé Jèrmen prensipalman dé Fran annan nòa di Lagol,36,78
"[[A]] pou antan bò'd 880 pou pronmyé tègs litérèr-a, Sékans di sen Élali, òkò ki nou pwé konsidéré ki lanng-an di sa tègs sa plis di pikar ki di fransé li-menm, fransé-a ki té roun djalèk parmi plizyò o Mwayen Laj, aplé franceis / françoys / françois alò (prounonsé progrésivman [frãntseis], [frãntsois] épi [frãswe]).",A pou antan bòd pou pronmyé tègs litérèra Sékans di sen Élali òkò ki nou pwé konsidéré ki lanngan di sa tègs sa plis di pikar ki di fransé limenm franséa ki té roun djalèk parmi plizyò o Mwayen Laj aplé franceis françoys françois alò,45,105
"[[Pari]] ké so réjyon sa bèrso istorik di sa franceis ki [[tré]] vit anrichi so kò pa lapò-a di nòrman, di pikar, di bourgignon ké dé ròt palé d’oyl alantou, [[pas]] pi [[Pari]] té ka pran di lenpòrtans-a asou plan politik-a, dé jan di tout péy-a té ka afliyé yé kò é ka enpòrté ké yé yé varyant lengwistik.",Pari ké so réjyon sa bèrso istorik di sa franceis ki tré vit anrichi so kò pa lapòa di nòrman di pikar di bourgignon ké dé ròt palé d ’ oyl alantou pas pi Pari té ka pran di lenpòrtansa asou plan politika dé jan di tout péya té ka afliyé yé kò é ka enpòrté ké yé yé varyant lengwistik,61,105
[[Fransé]]-a sa marké (prensipalman) ké lalfabé laten-an di baz (26 lèt) ki étann pa tchèk sign djakritik (obligatwar) ké ligatir (itilizé konvansyonnèlman mé soulon roun konvansyon mwen rèspègté).,Franséa sa marké ké lalfabé latenan di baz ki étann pa tchèk sign djakritik ké ligatir,16,194
"Markaj-a di fransé an markaj laten ka fè lòbjè-a dipi plizyò syèk di nòrm òrtografik ki asé prési, pibliyé, ansengnen, jénéralman roukonnèt é asèpté mé pa toujou [[tré]] byen rèspègté (sa nòrm té évoliyé é té plizoumwen adapté yé kò ké tan-an).",Markaja di fransé an markaj laten ka fè lòbjèa dipi plizyò syèk di nòrm òrtografik ki asé prési pibliyé ansengnen jénéralman roukonnèt é asèpté mé pa toujou tré byen rèspègté,30,219
"Èsprésyon-an jé di jart ka dézigné an menm tan : [[Annan]] ròt domenn, oun jé di kart pouvé égalman dézigné oun ansanm di kart jéyografik oben roun ansanm di kart ki pèrforé pou trétman mékanografik.",Èsprésyonan jé di jart ka dézigné an menm tan Annan ròt domenn oun jé di kart pouvé égalman dézigné oun ansanm di kart jéyografik oben roun ansanm di kart ki pèrforé pou trétman mékanografik,34,108
"Li sa érité à nésans-a, mè otonom, adaptatif ké dwé di roun grann plastisité, li ka évoliyé answit o gré dé kontak ki li [[gen]] dé mikròb oben sibstans anvironnmantal ki étranjèr o kò.",Li sa érité à nésansa mè otonom adaptatif ké dwé di roun grann plastisité li ka évoliyé answit o gré dé kontak ki li gen dé mikròb oben sibstans anvironnmantal ki étranjèr o kò,34,329
"Létoni, an form long Répiblik di Létoni, an léton Latvija é Latvijas Republika, sa roun péyi di [[Léròp]] di Nò é manm di [[Linyon éropéyen]], sitchwé asou riv oryantal di lanmè Baltik.",Létoni an form long Répiblik di Létoni an léton Latvija é Latvijas Republika sa roun péyi di Léròp di Nò é manm di Linyon éropéyen sitchwé asou riv oryantal di lanmè Baltik,32,269
"Annan lanng-yan koté tèrm-a sa isou di laten, rélijyon-an sa souvan anvizajé kou sa ki ka konsèrné roulasyon-an ant [[mounité]]-a ké [[Bondjé]].",Annan lanngyan koté tèrma sa isou di laten rélijyonan sa souvan anvizajé kou sa ki ka konsèrné roulasyonan ant mounitéa ké Bondjé,22,218
"[[Mo-a]] lachas pouvé dézigné osi dé téren di lachas, IGN-an ka posédé pa lègzanp oun « [[Kart]] dé lachas di rwa », ki lévé di 1764 à 1773 é di 1801 à 1807 asou lòrd di [[Louis XV]] é à partir di roun kart antéryò di Douché di Rambouillet.",Moa lachas pouvé dézigné osi dé téren di lachas IGNan ka posédé pa lègzanp oun « Kart dé lachas di rwa » ki lévé di à é di à asou lòrd di Louis XV é à partir di roun kart antéryò di Douché di Rambouillet,45,99
"Jouridikman, lachas-a [[gen]] osi roun dimansyon d'apropriyasyon di zannimo san propriyétèr légal pa roun endividi oben roun group di endividi (Res nullius annan drwè-a).",Jouridikman lachasa gen osi roun dimansyon dapropriyasyon di zannimo san propriyétèr légal pa roun endividi oben roun group di endividi,20,323
"Istwè di Éròp-a, é soutou di Éròp méridjonal-a, sa roun étid dé [[parti]] simyé dokimanté-ya, étidjé é konnèt di listwè mondjal-a, pou kat rézon :",Istwè di Éròpa é soutou di Éròp méridjonala sa roun étid dé parti simyé dokimantéya étidjé é konnèt di listwè mondjala pou kat rézon,24,44
Wannari sa roun koumin fransé di DROM di [[Lagwiyann]].,Wannari sa roun koumin fransé di DROM di Lagwiyann,9,6
[[A]] roun dé pli piti koumin di [[Lagwiyann]].,A roun dé pli piti koumin di Lagwiyann,8,7
[[O]] nò di koumin-an ka trouvé so kò roun zonn kotché ki bòdé pa loséyan [[Atlantik]]-a.,O nò di kouminan ka trouvé so kò roun zonn kotché ki bòdé pa loséyan Atlantika,16,8
"[[À]] lès-a di koumin-an ka trouvé so kò frontchè-a ké [[Brézil]]-a. Koumin limitròf-ya, atè [[Lagwiyann]] inikman, sa o nonm di 2.",À lèsa di kouminan ka trouvé so kò frontchèa ké Brézila Koumin limitròfya atè Lagwiyann inikman sa o nonm di,20,82
[[A]] [[Senjòrj]]-di-Loyapòk o sid ké [[Réjina]] à lwès-a.,A SenjòrjdiLoyapòk o sid ké Réjina à lwèsa,8,48
"Lagsé à Wannari ka fè so kò an jénéral pa piròg pa larivyè [[Wannari]]-a. Toutfwè, koumin-an ka dispozé di roun piti pis di latérisaj an latè di anviron 700 mèt téyorik, mé ki pa ka akéyi ki dé lélikòptèr akoz di so mové léta.",Lagsé à Wannari ka fè so kò an jénéral pa piròg pa larivyè Wannaria Toutfwè kouminan ka dispozé di roun piti pis di latérisaj an latè di anviron mèt téyorik mé ki pa ka akéyi ki dé lélikòptèr akoz di so mové léta,43,78
"À pati di 2006, popilasyon légal-ya dé koumin sa pibliyé anniyèlman pa [[Insee]]-a. Rousansman-an ka roupozé dézòrmè asou roun kolèk di lenfòrmasyon anniyèl, ki ka konsèrnen sigsésivman tout téritwè kouminal-ya o kour di roun péryòd di senk lannen.",À pati di popilasyon légalya dé koumin sa pibliyé anniyèlman pa Inseea Rousansmanan ka roupozé dézòrmè asou roun kolèk di lenfòrmasyon anniyèl ki ka konsèrnen sigsésivman tout téritwè kouminalya o kour di roun péryòd di senk lannen,37,201
[[A]] à prògsimité di [[Wannari]] ki té ka trouvé so kò bangn-an di montangn di Lajan (prèski-zilé di lèstchwè-a di Loyapòk).,A à prògsimité di Wannari ki té ka trouvé so kò bangnan di montangn di Lajan,16,59
"Pataj di [[Afrik]] ka dézigné processus di konpétisyon téritoryal ant pwisans éropéyenn-yan an [[Afrik]], [[parti]] di mouvman jénéral di kolonizasyon di finisman-an di xixe syèk (prensipalman ant 1880 é Pronmyé Lagèr mondjal).",Pataj di Afrik ka dézigné processus di konpétisyon téritoryal ant pwisans éropéyennyan an Afrik parti di mouvman jénéral di kolonizasyon di finismanan di xixe syèk,25,156
Dé prensipal péyi éropéyenn-yan ki konsèrné té [[Lafrans]] ké Rwayom-Ini.,Dé prensipal péyi éropéyennyan ki konsèrné té Lafrans ké RwayomIni,10,194
"Almagn, [[Itali]], Portigal, [[Bèljik]] ké Èspagn té osi partisipé, mè di fason mwen enpòrtant é souvan pli tardiv.",Almagn Itali Portigal Bèljik ké Èspagn té osi partisipé mè di fason mwen enpòrtant é souvan pli tardiv,18,151
[[A]] douran sa tchèk lannen-yan ki té fòrmalizé annan yé grann lign di nonbré téritwar afriken atchwèl.,A douran sa tchèk lannenyan ki té fòrmalizé annan yé grann lign di nonbré téritwar afriken atchwèl,17,202
"Sa divizyon té souvan senbolizé pa Konférans di [[Berlin]] (1884-1885), menm si sa konférans pa téfè ki fiksé dé règ é pa té prosédé o pataj.",Sa divizyon té souvan senbolizé pa Konférans di Berlin menm si sa konférans pa téfè ki fiksé dé règ é pa té prosédé o pataj,25,324
"Li sa ni nésésèrman oun royalté, ni nésésèrman éréditèr : i toujou ègzisté dé monarchi élèktiv, pa lègzanp rwa-ya koté golwa-ya, oben [[dog]]-ya annan répiblik-a di Véniz.",Li sa ni nésésèrman oun royalté ni nésésèrman éréditèr i toujou ègzisté dé monarchi élèktiv pa lègzanp rwaya koté golwaya oben dogya annan répiblika di Véniz,26,219
"[[Soulon]] définisyon-an di [[Montesquieu]], oun monarchi ka défini so kò pa gouvèlman absoli-a di roun sèl, mè sa pouvwar sa limité par dé lalwa.",Soulon définisyonan di Montesquieu oun monarchi ka défini so kò pa gouvèlman absolia di roun sèl mè sa pouvwar sa limité par dé lalwa,24,323
"Li sa souvan admèt, lòské Léta-a sa ménasé [[pas]] roun lagèr étranjèr oben sivil, ki roun lalwa marsyal ka bay li provizwarman tout pouvwar-ya : monarchi-a ka divini alò, o sans antik, oun diktatir (kou té ka ègzèrsé [[konsil]]-ya oben jénéral romen-yan an ka di grav problenm).",Li sa souvan admèt lòské Létaa sa ménasé pas roun lagèr étranjèr oben sivil ki roun lalwa marsyal ka bay li provizwarman tout pouvwarya monarchia ka divini alò o sans antik oun diktatir,33,325
"Laten (an laten : lingua Latīna oben Latīna lingua) sa roun [[lanng]] italik di fanmi dé lanng endo-éropéyenn, palé à lorijin-an andan Latium-an ké Romm antik-a.",Laten sa roun lanng italik di fanmi dé lanng endoéropéyenn palé à lorijinan andan Latiuman ké Romm antika,18,208
I ka siksédé [[mèrkrédi]] é ka présédé [[vandrédi]].,I ka siksédé mèrkrédi é ka présédé vandrédi,8,305
Nòrm [[ISO]] ka kodé jédi pa chif 4.,Nòrm ISO ka kodé jédi pa chif,7,9
Oun nòrm résant [[ISO 8601]] ka dézigné jédi kou milyé di lasimèn.,Oun nòrm résant ISO_ ka dézigné jédi kou milyé di lasimèn,11,306
"Lazi (don non an ka vini di oun rasin sémitik « esch », ka dézigné lyé où Solèy a ka lévé) sa roun dé sèt [[kontinan]] ou roun parti dé siperkontinan Érazi ou Afro-Érazi di [[Latè]].",Lazi sa roun dé sèt kontinan ou roun parti dé siperkontinan Érazi ou AfroÉrazi di Latè,16,111
[[Azi]] sa roun sou-kontinan di 43 810 582 km2.,Azi sa roun soukontinan di km,6,10
"I ka posédé plizyò rékòr jéyografik mondyal : altitid maksimal ([[Everest]] andan [[Himalaya]] ké 8 848 m), altitid minimal (lanmè Mort ké −417 m) é latè émerjé pli élwagné di tout loséyan (sitchwé à 2 648 km di kot pli pròch, koòrdoné 46° 17′ N, 86° 40′ E), ensi ki [[lak]] pli profon ([[Lak Baïkal]]) ki ka rouprézanté prè di 20 % dé rézerv di dilo dous di planèt a. Popilasyon é sivilizasyon.",I ka posédé plizyò rékòr jéyografik mondyal altitid maksimal altitid minimal é latè émerjé pli élwagné di tout loséyan ensi ki lak pli profon ki ka rouprézanté prè di dé rézerv di dilo dous di planèt a Popilasyon é sivilizasyon,40,44
"[[Azi]] ka konté 4,3 milyar di zabitan an 2014, [[swa]] pli di lamotché di popilasyon mondyal (anviron 60 %).",Azi ka konté milyar di zabitan an swa pli di lamotché di popilasyon mondyal,14,154
Popilasyon an sa toutfwè [[trè]] inégalman réparti : o dézèr moun di lwès é di nò di [[Azi]] ki ka opozé so kò gran fwayé yan di pèpman di [[Azi]] di sid é di lès.,Popilasyon an sa toutfwè trè inégalman réparti o dézèr moun di lwès é di nò di Azi ki ka opozé so kò gran fwayé yan di pèpman di Azi di sid é di lès,34,44
"Lanng yan pli parlé an [[Azi]] sa mandarin, ké anviron 1 milyar di lokitò é hindi.",Lanng yan pli parlé an Azi sa mandarin ké anviron milyar di lokitò é hindi,15,11
