Property,e1,e2,Sentence,Properties,TripleInWD
P106,Q261703,Q82955,[[Yuriko Koike]] (boen 15 Julae 1952) em i [[politikis]] blong Japan.,['P106'],True
P106,Q777936,Q82955,[[Kunio Hatoyama]] (1948 - 2016) i [[politikis]] blong Japan.,['P106'],True
P106,Q13012531,Q82955,[[Kajang Tularak]] (1913 - 2009) i [[politikis]] blong Taelan.,['P106'],True
P106,Q1156675,Q82955,[[Kaoru Yosano]] (22 Ogis 1938 – 23 Mei 2017) em i [[politikis]] blong Japan.,['P106'],True
P106,Q22212,Q82955,[[Lindsey Olin Graham]] (boen 9 Julae 1955) i [[politikis]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q465290,Q82955,[[Renhō Murata]] (boen 1967) i [[politikis]] blong Japan.,['P106'],True
P106,Q178903,Q82955,[[Alexander Hamilton]] (1757 - 1804) i [[politikis]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q4922374,Q82955,[[Somkid Jatusripitak]] (bon long yia 1958) i [[politikis]] blong Taelan.,['P106'],True
P106,Q744989,Q82955,[[Masayoshi Ito]] (15 Desemba 1913 – 21 Mei 1994) em i [[politikis]] blong Japan.,['P106'],True
P106,Q34969,Q82955,[[Benjamin Franklin]] (1706 - 1790) i [[politikis]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q242676,Q33999,[[Liu Yifei]] (boen 1987) i [[akta]] blong Jaena.,['P106'],True
P106,Q11445603,Q33999,[[Momoko Okui]] (boen 7 Maj 1968) i [[akta]] blong Japan.,['P106'],True
P106,Q11577355,Q33999,[[Momoko Tanabe]] (boen 21 Ogis 1999) em i [[akta]] blong Japan.,['P106'],True
P106,Q102462,Q33999,[[James Maitland Stewart]] (20 Mei 1908 – 2 Julae 1997) i [[akta]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q203819,Q33999,[[Claudette Colbert]] (13 Septemba 1903 – 30 Julae 1996) i [[akta]] blong Yunaeted Stet blong Amerika.,,False
P106,Q43044,Q33999,[[Demi Moore]] (boen 11 Novemba 1962 olsem Demetra Gene Guynes) em i [[akta]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q6075068,Q33999,[[Irwin Keyes]] (16 Maj 1952 – 8 Julae 2015) em i [[akta]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q104000,Q33999,[[Lauren Bacall]] (16 Septemba 1924 – 12 Ogis 2014) em i [[akta]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q93957,Q33999,[[Gary Cooper]] (7 Mei 1901 – 13 Mei 1961) em i [[akta]] blong Yunaeted Stet blong Amerika.,['P106'],True
P106,Q16297,Q33999,[[William Shatner]] (boen 22 Maj 1931) em i [[akta]] blong Kanada.,['P106'],True
P106,Q1060139,Q33999,[[Sakura Andō]] (boen 18 Februari 1986) i [[akta]] blong Japan.,['P106'],True
P106,Q168359,Q33999,[[Jean-Alfred Villain-Marais]] (1913 - 1998) i [[akta]] blong Franis.,['P106'],True
P106,Q150662,Q33999,[[Gérard Philipe]] (1922 - 1959) i [[akta]] blong Franis.,['P106'],True
P106,Q36970,Q33999,[[Jackie Chan]] (boen 1954) i [[akta]] blong Hong Kong.,,False
P106,Q11637,Q33999,[[Judy Garland]] (10 Jun 1922 – 22 Jun 1969) em i [[akta]] blong Yunaeted Stet blong Amerika.,"['P101', 'P106']",True
P106,Q318412,Q33999,[[James Montgomery Doohan]] (1920-2005) i [[akta]] blong Kanada.,['P106'],True
P106,Q2448709,Q33999,"[[Benedicta Boccoli]] (bon long Milan long 11 Novemba 1966), em i [[akta]] blong Itali.",['P106'],True
P106,Q5360024,Q33999,[[Takahiro Miura]] (boen 10 Novemba 1985) i [[akta]] blong Japan.,['P106'],True
P106,Q190631,Q33999,[[Bette Midler]] (boen 1 Desemba 1945) i [[akta]] blong Yunaeted Stet blong Amerika.,,False
