Property,e1,e2,Sentence,Properties,TripleInWD
P30,Q41,Q46,[[Gris]] emi wanpela kantri bilong [[Yurop]].,['P30'],True
P30,Q96,Q49,[[Meksiko]] i wanpela kantri bilong [[Not Amerika]].,"['P30', 'P361']",True
P30,Q142,Q46,[[Frens]] em i kantri bilong [[Yurop]].,['P30'],True
P30,Q1041,Q15,[[Senegal]] em i kantri bilong kontinen [[Aprika]].,['P30'],True
P30,Q805,Q48,[[Yemen]] em i kantri bilong kontinen [[Esia]].,['P30'],True
P30,Q804,Q27611,[[Panama]] emi wanpela kantri bilong [[Sentrel Amerika]].,['P361'],False
P30,Q148,Q48,[[China]] istap tupela kantri bilong [[Esia]].,['P30'],True
P30,Q32,Q46,[[Laksembog]] em i kantri bilong [[Yurop]].,['P30'],True
P30,Q28,Q46,[[Hangari]] em i kantri bilong sentrel [[Yurop]].,['P30'],True
P30,Q842,Q48,[[Oman]] em i wanpela kantri long [[Esia]].,['P30'],True
P30,Q1000,Q15,[[Gabon]] em i wanpela kantri bilong [[Aprika]].,['P30'],True
P30,Q794,Q48,[[Iran]] em i wanpela kantri long [[Esia]].,['P30'],True
P131,Q580366,Q155,[[Araras]] em i nambawan siti [[Brasil]].,['P17'],False
P131,Q48278,Q739,[[Medellín]] em i nambawan siti saut [[Kolambia]].,['P17'],False
P131,Q4035,Q155,[[Osasku]] em i nambawan siti saut [[Brasil]].,['P17'],False
P131,Q8678,Q155,[[Rio de Janeiro]] em i nambawan siti [[Brasil]].,"['P17', 'P1376']",False
P131,Q23495,Q212,[[Moshchena]] em i nambawan siti saut [[Yukren]].,['P17'],False
P131,Q23520,Q159,[[Paltoga]] em i nambawan siti saut [[Rasia]].,['P17'],False
P131,Q497793,Q408,"[[Bendago]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].",['P17'],False
P131,Q339527,Q408,"[[Lonseston]] stap wanpela biktaun bilong Tasmenia, [[Ostrelia]].",['P17'],False
P131,Q11568,Q408,"[[Dawin]] stap wanpela biktaun bilong Noten Teritori, [[Ostrelia]].",['P17'],False
P131,Q3141,Q408,"[[Melben]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].",['P17'],False
P131,Q17856,Q408,"[[Balarat]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].",['P17'],False
P131,Q231765,Q408,"[[Sielong]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].",['P17'],False
P131,Q5112,Q408,"[[Adalet]] stap wanpela biktaun bilong Saut Ostrelia, [[Ostrelia]].",['P17'],False
P131,Q37100,Q664,[[Oklan]] em wanpela biktaun bilong [[Niu Silan]].,"['P17', 'P1376']",False
P131,Q34932,Q408,"[[Brisbin]] stap wanpela biktaun bilong Kwinslan, [[Ostrelia]].",['P17'],False
P131,Q187861,Q408,"[[Wulongong]] stap wanpela biktaun bilong Niu Saut Wels, [[Ostrelia]].",['P17'],False
P131,Q331764,Q408,"[[Olbri]] stap wanpela biktaun bilong Niu Saut Wels, [[Ostrelia]].",['P17'],False
P131,Q3183,Q408,"[[Pet]] stap wanpela biktaun bilong Wes Ostrelia, [[Ostrelia]].",['P17'],False
P131,Q207756,Q664,[[Toranga]] stap wanpela biktaun long [[Niu Silan]].,['P17'],False
P106,Q29207,Q30461,[[Sauli Niinistö]] (Ogas 24 1948) em i [[presiden]] bilong kantri Pinlan.,,False
P106,Q76,Q30461,[[Barack Hussein Obama II]] i [[presiden]] bilong Ol Yunaitet Stet.,,False
P106,Q274174,Q30461,[[Marcus Stephen]] i [[presiden]] bilong Nauru.,,False
P106,Q329,Q30461,[[Nicolas Sarkozy]] i [[presiden]] bilong Frens.,,False
P106,Q57371,Q30461,[[Ilham Aliyev]] i [[presiden]] bilong Azerbaijan.,,False
P106,Q1124,Q30461,[[William Jefferson (Bill) Clinton]] i [[presiden]] namba 42 bilong Amerika.,,False
P106,Q41117,Q30461,[[Kim Il-sung]] (15 Epril 1912 – 8 Julai 1994) i [[presiden]] (28 Disemba 1972 – 8 Julai 1994) bilong Not Koria.,,False
P106,Q57289,Q30461,[[Toomas Hendrik Ilves]] i [[presiden]] bilong Estonia.,,False
P106,Q57289,Q30461,[[Toomas Hendrik Ilves]] i [[presiden]] bilong Estonia.,,False
P106,Q57467,Q30461,[[János Áder]] i [[presiden]] namba 5 bilong Hangari.,,False
P106,Q29213,Q30461,[[Tarja Halonen]] (Desemba 24 1943) em i [[presiden]] bilong Pinlan.,,False
P106,Q469851,Q14212,[[Ham Lini]] i [[praim minista]] bilong Vanuatu.,,False
P106,Q57892,Q14212,[[Peter O'Neill]] i [[praim minista]] bilong Papua Niugini.,,False
P106,Q561213,Q14212,[[Xavier Bettel]] i [[praim minista]] bilong Laksembog.,,False
P106,Q43135,Q14212,[[Kevin Rudd]] i [[praim minista]] bilong Ostrelia.,,False
P106,Q316267,Q14212,[[Apisai Ielemia]] i [[praim minista]] bilong Tuvalu.,,False
P106,Q180383,Q14212,[[Helen Clark]] i [[praim minista]] bilong Niu Silan.,,False
P106,Q10648,Q14212,[[Gordon Brown]] i [[praim minista]] bilong Yunaitet Kingdom.,,False
P106,Q16986436,Q14212,[[Sanna Marin]] (Novemba 16 1985) i [[praim minista]] bilong Pinlan.,,False
P106,Q57641,Q14212,[[Viktor Orbán]] i [[praim minista]] bilong Hangari.,,False
P131,Q35581,Q17,[[Hokkaido]] em i bikpela ailan long [[Siapan]].,['P17'],False
P131,Q13989,Q17,[[Honshu]] em i bikpela ailan long [[Siapan]].,['P17'],False
P131,Q13991,Q17,[[Shikoku]] (o Sikoku) em i bikpela ailan long [[Siapan]].,"['P17', 'P131']",True
P131,Q13987,Q17,[[Kyushu]] (o Kiusiu) em i bikpela ailan long [[Siapan]].,"['P17', 'P131']",True
P131,Q146695,Q881,[[Phu Quoc]] em i bikpela ailan long [[Vietnam]].,['P17'],False
P131,Q370746,Q881,[[Con Dao]] em i bikpela ailan long [[Vietnam]].,['P17'],False
P131,Q1247596,Q691,[[Takuu]] emi wanpela ailan long [[Papua Niugini]].,['P17'],False
P131,Q849790,Q691,[[Westen Provins]] em i wanpela provins bilong [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q753686,Q691,[[Oro]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q753689,Q691,[[Sandaun]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q853664,Q691,[[Morobe]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q874962,Q691,[[Milen Be]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q849801,Q691,[[Sauten Hailans]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q690880,Q691,[[Is Sepik]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q599448,Q691,[[Simbu]] em i wanpela provins long hailans bilong [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q849812,Q691,[[Isten Hailans]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q667468,Q691,[[Wes Niu Briten]] em i wanpela provins long [[Papua Niugini]].,"['P17', 'P131']",True
P131,Q753702,Q691,[[Is Niu Briten]] em i wanpela provins long [[Papua Niugini]].,['P17'],False
P17,Q43829,Q685,[[.sb]] em i Intanet kod bilong kantri [[Solomon Ailans]].,['P17'],True
P17,Q36541,Q159,[[.ru]] em i Intanet kod bilong kantri [[Rasia]].,['P17'],True
P17,Q41060,Q20,[[.no]] em i Intanet kod bilong kantri [[Nowe]].,['P17'],True
P17,Q38291,Q222,[[.al]] em i Intanet kod bilong kantri [[Albenia]].,['P17'],True
P17,Q42677,Q218,[[.ro]] em i Intanet kod bilong kantri [[Romenia]].,['P17'],True
P17,Q37420,Q408,[[.au]] em i Intanet kod bilong kantri [[Ostrelia]].,['P17'],True
P1376,Q216,Q37,[[Vilnius]] i kapitol bilong [[Lituwenia]].,"['P17', 'P1376']",True
P106,Q57289,Q30461,[[Toomas Hendrik Ilves]] i [[presiden]] bilong Estonia.,,False
