Property,e1,e2,Sentence,Properties,TripleInWD
P30,Q31,Q46,[[El Belgica]] amo un pais na [[Europa]].,"['P30', 'P361']",True
P30,Q822,Q48,[[El Líbano]] es un pais na [[Asia]].,['P30'],True
P30,Q921,Q48,[[Brunei]] es un pais na [[Asia]].,['P30'],True
P30,Q902,Q48,[[Bangladesh]] es un pais del sur de [[Asia]].,['P30'],True
P30,Q241,Q30,[[El Cuba]] es un pais na [[America]].,['P47'],False
P30,Q854,Q48,[[Sri Lanka]] es un pais insular de [[Asia]].,['P30'],True
P361,Q691,Q55643,[[Papua Nueva Guinea]] es un pais na [[Oceania]].,,True
P30,Q334,Q48,[[Singapur]] es un pais insular de [[Asia]].,['P30'],True
P106,Q16707481,Q177220,[[Natalia Morozova]] es una [[cantante]] de Ucrania.,['P106'],True
P106,Q151892,Q177220,[[Ariana Grande]] es un [[cantante]],,False
P106,Q2639866,Q177220,[[Lela Tsurtsumia]] es un [[cantante]],['P106'],True
P106,Q78516,Q177220,[[Anna Netrebko]] (ta nacida el 1971) es un [[cantante]].,,False
P106,Q447343,Q177220,[[Emilija Kokić]] (ta nacida el 1968) es un [[cantante]] de pop y soul,['P106'],True
P106,Q29564107,Q177220,[[Billie Eilish]] es un [[cantante]],['P106'],True
P106,Q157372,Q177220,[[Sopho Khalvashi]] es un [[cantante]],['P106'],True
P106,Q43189,Q177220,[[Juanes Juanes]] es un [[cantante]] de Colombia de pop.,['P106'],True
P106,Q18710983,Q177220,[[Nina Sublatti]] (Sulaberidze) es un [[cantante]],['P106'],True
P106,Q4978828,Q177220,[[Nini Shermadini]] es un [[cantante]],['P106'],True
P106,Q468367,Q177220,[[Franka Batelić]] (ta nacida el 1992) es un [[cantante]] de pop y soul.,['P106'],True
P106,Q22928445,Q177220,[[Nina Kraljić]] (ta nacida el 1992) es un [[cantante]] de pop,['P106'],True
P106,Q4293297,Q177220,[[Mila Nitich]] es una [[cantante]] de Ucrania.,['P106'],True
P106,Q16185856,Q177220,[[Bebe Rexha]] es un [[cantante]],['P106'],True
P106,Q6522077,Q177220,[[Lena Belkina]] (ta nacida el 1987) es un [[cantante]].,['P106'],True
P106,Q230451,Q177220,[[Cher Lloyd]] es un [[cantante]],['P106'],True
P106,Q12864919,Q177220,[[Tamuna Amonashvili]] es un [[cantante]],,False
P106,Q293590,Q177220,"[[Allan Pineda Lindo]], alias apl.de.ap, (nacido el 28 de noviembre de 1974) es un [[cantante]] de R&B y soul.",['P106'],True
P106,Q41173,Q177220,[[Demi Diometria Devonne Lovato]] (ta nacida el 20 de agosto 1992) es una [[cantante]] y actriz es estadounidense.,['P106'],True
P106,Q463925,Q177220,[[Cristina Branco]] es una [[cantante]] de fado de Portugal.,['P106'],True
P106,Q463930,Q177220,[[Ana Moura]] es una [[cantante]] de fado de Portugal.,,False
P131,Q6022566,Q298,[[Monte Águila]] el primero es una ciudad na [[Chile]].,['P17'],False
P131,Q43387,Q43,[[Edirne]] es una ciudad na [[Turquía]],['P17'],False
P131,Q1718,Q183,El [[Düsseldorf]] amo un ciudad del [[Alemania]].,['P17'],False
P131,Q3873,Q298,[[Coronel]] es un ciudad del [[Chile]] con un populacion de 95.527 gente (2002).,['P17'],False
P131,Q72,Q39,"[[Zurich]] es un ciudad del [[Suiza]], tiene un populacion de 392.062 maga gente (2012).",['P17'],False
P131,Q172,Q16,"[[Toronto]] es un ciudad del [[Canada]], tiene un populacion de 2 731 571 maga gente (2016).",['P17'],False
P131,Q44213,Q414,"[[Paraná]] es un ciudad de [[Argentina]], con un populacion de 283.710 maga gente (2013).",['P17'],False
P131,Q803,Q55,"[[Utrecht]] es un ciudad de [[Holanda]], con un populacion de 324.723 maga gente (2013).",['P17'],False
P131,Q16911,Q298,[[Lota]] es un ciudad del [[Chile]] con un populacion de 49.089 gente (2002).,['P17'],False
P131,Q244005,Q38,[[Baselga di Piné]] es una ciudad [[italia]] na de la provincia de Trento (Trentino).,['P17'],False
P131,Q52535,Q414,"[[Rosario]] es un ciudad de [[Argentina]], con un populacion de 1.036.286 maga gente (2009).",['P17'],False
P131,Q35135,Q155,"[[Catalão]] es un ciudad del Centro-Oeste del [[Brasil]], na estado de Goiás.",['P17'],False
P131,Q44797,Q414,"[[Mendoza]] es un ciudad de [[Argentina]], con un populacion de 114.822 maga gente 2010.","['P17', 'P131']",True
P131,Q34370,Q55,"[[Rotterdam]] es un ciudad de [[Holanda]], con un populacion de 617.347 maga gente (2012).","['P17', 'P131']",True
P131,Q44758,Q414,"[[Corrientes]] es un ciudad de [[Argentina]], con un populacion de 346.334 maga gente (2010).","['P17', 'P131']",True
P131,Q933165,Q414,"[[Reconquista]] es un ciudad de [[Argentina]], con un populacion de 99.288 maga gente 2010.","['P17']",False
P131,Q44759,Q414,"[[Córdoba]] es un ciudad de [[Argentina]], con un populacion de 1.329.604 maga gente 2010.","['P17', 'P131']",True
P1376,Q1533,Q717,[[Caracas]] - es el capital del nacion [[Venezuela]].,"['P17', 'P1376']",True
P1376,Q220,Q38,El [[Roma]] amo el capital del' [[Italia]],"['P17', 'P1376']",True
P1376,Q3711,Q403,[[Belgrado]] es el ciudad capital del [[Serbia]].,"['P17', 'P1376']",True
P1376,Q956,Q148,[[Pekín]] es el capital de [[China]].,"['P17', 'P131', 'P1376']",True
P1376,Q226,Q223,El [[Nuuk]] es el ciudad capital del [[Groenlandia]].,"['P17', 'P1376']",True
P1376,Q1930,Q16,El [[Ottawa]] es el ciudad capital del [[Canada]].,"['P17', 'P1376']",True
P1376,Q727,Q55,[[Amsterdam]] es el ciudad capital del [[Holanda]].,['P17'],False
P1376,Q597,Q45,El [[Lisboa]] es el ciudad capital del [[Portugal]].,"['P17', 'P1376']",True
P1376,Q994,Q230,El [[Tbilisi]] amo el capital del'[[Georgia]].,"['P17', 'P131', 'P1376']",True
P1376,Q64,Q183,El [[Berlín]] amo el capital del [[Alemania]].,"['P17', 'P131', 'P1376']",True
P1376,Q1492,Q5705,"[[Barcelona]] ay una ciudad española, el capital de [[Cataluña]].",['P1376'],True
P1376,Q90,Q142,El [[Paris]] amo el capital del'[[Francia]].,"['P17', 'P1376']",True
P131,Q972594,Q28,"[[Tordas]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1094990,Q28,"[[Pátka]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1084388,Q28,"[[Sárosd]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q240322,Q28,"[[Újbarok]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q390971,Q28,"[[Sárkeresztes]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q258522,Q28,"[[Sárkeszi]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1084395,Q28,"[[Soponya]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q523090,Q28,"[[Úrhida]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1094998,Q28,"[[Szár]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q339890,Q28,"[[Perkáta]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q587260,Q28,"[[Vereb]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1084360,Q28,"[[Vértesacsa]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1084400,Q28,"[[Pákozd]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q1095342,Q28,"[[Óbarok]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q946252,Q28,"[[Tác]] es un baryu del provincia de Fejér, na [[Hungría]].",['P17'],False
P131,Q484981,Q29,"[[Láchar]] es un municipio del provincia de Granada, na [[España]].",['P17'],False
