Text,Wiki_ID,Wikidata_ID,Source
Galita,None,Q128499,OpenTapioca
jan,None,Q3751067,OpenTapioca
Gaz,None,Q47492,OpenTapioca
General Motors Company,None,Q81965,OpenTapioca
Gine,None,Q1006,OpenTapioca
Guinee,None,Q1006,OpenTapioca
Giyon,None,Q219783,OpenTapioca
resipyan,15080,Q12896163,Wikipedia
Gòl,None,Q23397,OpenTapioca
franse,15873,Q121842,Wikipedia
Ayiti,13,Q790,Wikipedia
Santo Domingo,None,Q786,OpenTapioca
dat,None,Q4027913,OpenTapioca
lan,None,Q1145155,OpenTapioca
Fabre Geffrard,23098,Q546872,Wikipedia
Birmingham,None,Q2256,OpenTapioca
gou,None,Q45491576,OpenTapioca
ren,None,Q45665207,OpenTapioca
Gouye,None,Q22394986,OpenTapioca
valè,None,Q28599456,OpenTapioca
lang,4196,Q232182,Wikipedia
frazalèlè,70374,Q65322910,Wikipedia
estanda,60451,Q12890501,Wikipedia
Lengwistik,2721,Q8162,Wikipedia
enfòmatik,3239,Q21198,Wikipedia
gramè fòmèl,70364,Q373045,Wikipedia
Papa,None,Q19546,OpenTapioca
Kalite,None,Q23196405,OpenTapioca
Nò,None,Q943932,OpenTapioca
Grande Rivière du Nord,None,Q3115020,OpenTapioca
Grès,1155,Q41,Wikipedia
Sant,2202,Q1906806,Wikipedia
Masif dinò,76822,Q2284041,Wikipedia
rivyè Kano,76842,Q7338915,Wikipedia
vil,12921,Q515,Wikipedia
peyi,3941,Q6256,Wikipedia
Komin,2931,Q517760,Wikipedia
souprefekti,2930,Q1367821,Wikipedia
awondisman,2863,Q30059,Wikipedia
Ka (1/4),59164,Q1437134,Wikipedia
Ka (ki te rive),59163,Q25582726,Wikipedia
bouk,2597,Q189804,Wikipedia
Òganizasyon Mondyal Lasante,None,Q7817,OpenTapioca
Justin Lhérisson,13271,Q3190467,Wikipedia
Nasyonal,None,Q499616,OpenTapioca
Okay,None,Q984786,OpenTapioca
Sid,None,Q936704,OpenTapioca
Pòtoprens,None,Q34261,OpenTapioca
21 septanm,3385,Q2891,Wikipedia
Ostrali,2000,Q408,Wikipedia
lame endijèn,69639,Q55164990,Wikipedia
Philippe Sudré Dartiguenave,32429,Q268439,Wikipedia
Charlemagne Péralte,32303,Q2957888,Wikipedia
Benoît Batraville,32359,Q2896435,Wikipedia
chay,None,Q5967067,OpenTapioca
Almay,2161,Q183,Wikipedia
tant,15279,Q12897630,Wikipedia
Kanè,None,Q39984,OpenTapioca
Kanif,None,Q6363150,OpenTapioca
Afrik,None,Q15,OpenTapioca
gate,None,Q34442,OpenTapioca
Dan,None,Q35,OpenTapioca
Plato,None,Q859,OpenTapioca
Kanperen,None,Q2281419,OpenTapioca
Jeremi,None,Q986301,OpenTapioca
Kaporal,None,Q55364000,OpenTapioca
Karant,None,Q1148819,OpenTapioca
Ven,None,Q1741,OpenTapioca
manba,14691,Q65324770,Wikipedia
Kach,None,Q331852,OpenTapioca
Kache,None,Q21340701,OpenTapioca
Katab,None,Q24895049,OpenTapioca
solid,None,Q231455,OpenTapioca
son,None,Q4174776,OpenTapioca
Rapadou,15033,Q25580161,Wikipedia
vantrikil,60504,Q12898009,Wikipedia
cœur,None,Q20669022,OpenTapioca
cor,None,Q41158,OpenTapioca
Rache,None,Q1605425,OpenTapioca
Pouse,None,Q23665318,OpenTapioca
rad,None,Q3141290,OpenTapioca
Kann,None,Q39984,OpenTapioca
Pye,None,Q33923,OpenTapioca
klè,14407,Q12892382,Wikipedia
klate,14402,Q25579570,Wikipedia
corpus,None,Q939871,OpenTapioca
Lò,None,Q34442,OpenTapioca
katolik,None,Q1841,OpenTapioca
peche,None,Q180538,OpenTapioca
Rezon,None,Q13589419,OpenTapioca
anviwònman,60881,Q43619,Wikipedia
eksperyans,60894,Q101965,Wikipedia
syans,1608,Q336,Wikipedia
Lòt,None,Q65,OpenTapioca
biznis,13860,Q4830453,Wikipedia
Kote,None,Q41963,OpenTapioca
jij,None,Q870764,OpenTapioca
mizik,2547,Q638,Wikipedia
atis,13772,Q483501,Wikipedia
Konsepsyon,None,Q1880,OpenTapioca
Kont (adjektif),58651,Q25582686,Wikipedia
Kont (non),58652,Q12892438,Wikipedia
Kont (prepozisyon),58653,Q25582685,Wikipedia
Kontrè,None,Q1080900,OpenTapioca
Kotri,None,Q2657702,OpenTapioca
Koud (non),59185,Q42586,Wikipedia
Koud (vèb),59184,Q12892465,Wikipedia
Kouchè,None,Q22554819,OpenTapioca
Koute (gen pri),58789,Q25582707,Wikipedia
Koute (tande),58788,Q25582704,Wikipedia
Kouti,None,Q23672959,OpenTapioca
zouti,58529,Q39546,Wikipedia
Flè,None,Q864748,OpenTapioca
Koze (fè pase),58846,Q12892483,Wikipedia
Koze (pale),58845,Q12892482,Wikipedia
Krim,None,Q7835,OpenTapioca
senbòl,15149,Q80071,Wikipedia
Gè. Lè,None,Q45413024,OpenTapioca
Monnen,14787,Q12894547,Wikipedia
Biyè,13859,Q551800,Wikipedia
achte,13750,Q1369832,Wikipedia
vann,58515,Q3380760,Wikipedia
Ajan,3760,Q3987924,Wikipedia
tonmtonm,15323,Q12897796,Wikipedia
Lan (adjektif),58672,Q12893167,Wikipedia
Lan (atik),58673,Q25582688,Wikipedia
Satan,15128,Q35230,Wikipedia
Bib,None,Q81178309,OpenTapioca
Paske,None,Q21196,OpenTapioca
Jerizalèm,85481,Q1218,Wikipedia
lavi,14610,Q3,Wikipedia
Lapli,None,Q969479,OpenTapioca
Latè,None,Q2,OpenTapioca
dezè,None,Q8514,OpenTapioca
lak,59273,Q23397,Wikipedia
Men,None,Q724,OpenTapioca
Baguio,None,Q1822,OpenTapioca
Luzon,None,Q125384,OpenTapioca
Filipin,None,Q928,OpenTapioca
Las (jwèt kat),59742,Q12893202,Wikipedia
Las (maladi),59741,Q35869,Wikipedia
Nich,None,Q42541,OpenTapioca
Laten,None,Q551087,OpenTapioca
Ewòp,None,Q46,OpenTapioca
lanmò,14589,Q4,Wikipedia
Legliz,None,Q21,OpenTapioca
Lenno,None,Q47633,OpenTapioca
Soti,None,Q16428559,OpenTapioca
L,None,Q1043,OpenTapioca
Li (pwonon),58521,Q12893481,Wikipedia
Li (vèb),58520,Q12893485,Wikipedia
pèp,None,Q1308067,OpenTapioca
Limonade,None,Q687146,OpenTapioca
Limonad,None,Q687146,OpenTapioca
https://fr.wikipedia.org/wiki/Limonade_(Ha%C3%AFti,None,Q8447,OpenTapioca
https://fr.wikipedia.org/wiki/Limonade,None,Q8447,OpenTapioca
Livre,None,Q950076,OpenTapioca
Loray,None,Q906799,OpenTapioca
Loup,None,Q162560,OpenTapioca
Majè,None,Q28567,OpenTapioca
gòl,None,Q23397,OpenTapioca
Mal (adjektif),58547,Q12893934,Wikipedia
Mal (non),58548,Q12893936,Wikipedia
grip,14305,Q2840,Wikipedia
kansè,59119,Q12078,Wikipedia
nemoni,59426,Q12192,Wikipedia
Malis,None,Q912,OpenTapioca
sal,None,Q180516,OpenTapioca
trè,None,Q10884,OpenTapioca
Pran,None,Q3111264,OpenTapioca
GMC (General Motor Company,None,Q28993,OpenTapioca
Jezi,None,Q302,OpenTapioca
Masakre,None,Q6782488,OpenTapioca
Mache (non),58504,Q1277907,Wikipedia
Mache (ale),58505,Q12893867,Wikipedia
Mache (manje),58506,Q12893866,Wikipedia
A,None,Q48,OpenTapioca
"A=B, B",None,Q17985721,OpenTapioca
Sen-Domeng,None,Q34820,OpenTapioca
Mazda,None,Q35996,OpenTapioca
Mè,None,Q96,OpenTapioca
mèg,14733,Q1146902,Wikipedia
move,None,Q285547,OpenTapioca
Apre,None,Q1102400,OpenTapioca
Men (konjonksyon),59252,Q12894329,Wikipedia
Men (non),58542,Q33767,Wikipedia
Men’m,None,Q724,OpenTapioca
Mèt (mezi),58938,Q11573,Wikipedia
Mèt (propriyetè),58939,Q25582710,Wikipedia
planèt,3226,Q634,Wikipedia
lanèj,58602,Q7561,Wikipedia
lapli,14596,Q7925,Wikipedia
zeklè,83856,Q33741,Wikipedia
Mi (atwopòd),60198,Q13389887,Wikipedia
Mi (adjektif),58543,Q25582664,Wikipedia
Mi (non),58544,Q25582665,Wikipedia
mikwoskòp elektwonik,60867,Q132560,Wikipedia
fotomikwoskòp konpoze,60729,Q912313,Wikipedia
Sendomeng,None,Q34820,OpenTapioca
Minorite,None,Q692799,OpenTapioca
Mibalè,None,Q2635422,OpenTapioca
Mit,None,Q54566952,OpenTapioca
Modi,None,Q1058,OpenTapioca
seksyon kominal,72449,Q22091865,Wikipedia
fig,13491,Q65324479,Wikipedia
Mòtye,None,Q1068964,OpenTapioca
Mov,None,Q6717183,OpenTapioca
fou,None,Q12775566,OpenTapioca
kantite,14350,Q12892284,Wikipedia
pwofesè,14998,Q37226,Wikipedia
aritmetik,13100,Q12887518,Wikipedia
lantikite,3126,Q41493,Wikipedia
Mwen,None,Q23670300,OpenTapioca
Pa (mach),59033,Q12895028,Wikipedia
Pa (negasyon),59032,Q12895025,Wikipedia
Pa (pati),59034,Q12895024,Wikipedia
Pak (andwa),59131,Q12895046,Wikipedia
Pak (fèt),58281,Q21196,Wikipedia
Pak (trete),58282,Q131569,Wikipedia
Pakoti,None,Q2013474,OpenTapioca
Palè (gwo kay),59261,Q16560,Wikipedia
Palè (ki pale),59260,Q12895117,Wikipedia
Palisad,None,Q2748924,OpenTapioca
pyebwa,4000,Q10884,Wikipedia
Espay,955,Q29,Wikipedia
Venezwela,2188,Q717,Wikipedia
Ajantin,971,Q414,Wikipedia
Meksik,1619,Q96,Wikipedia
Pap,None,Q19546,OpenTapioca
Katolik,None,Q9592,OpenTapioca
Itali,None,Q38,OpenTapioca
Ròm,None,Q220,OpenTapioca
Paranoya,None,Q18629684,OpenTapioca
Pasay,None,Q17189,OpenTapioca
Pati (non),58549,Q12895225,Wikipedia
Pati (vèb),58550,Q25582666,Wikipedia
zèb,2587,Q207123,Wikipedia
Pè (doub),58774,Q25582701,Wikipedia
Pè (gen lapè),58775,Q12895863,Wikipedia
Pè (relijyon),58773,Q12895864,Wikipedia
New York,None,Q60,OpenTapioca
baraj,None,Q16350537,OpenTapioca
jón,None,Q1965038,OpenTapioca
Meksik,None,Q96,OpenTapioca
pat,None,Q95155475,OpenTapioca
Desen,None,Q2450176,OpenTapioca
plane,None,Q160091,OpenTapioca
Fòse,None,Q609035,OpenTapioca
Latibonit,None,Q48245,OpenTapioca
Pò (pou bato),58560,Q25582668,Wikipedia
Pò (sou po),58561,Q25582675,Wikipedia
Pòl,None,Q36,OpenTapioca
Polèn,None,Q36,OpenTapioca
monte,None,Q71369066,OpenTapioca
ekspè,58995,Q25581249,Wikipedia
etenn,59232,Q25581285,Wikipedia
Pòtigal,957,Q45,Wikipedia
lang pòtigè,62465,Q5146,Wikipedia
Brezil,980,Q155,Wikipedia
Poule,None,Q1388987,OpenTapioca
Poulèt,None,Q53313,OpenTapioca
Pous (anatomi),59472,Q83360,Wikipedia
Pous (mezi),59473,Q218593,Wikipedia
ache,None,Q37632040,OpenTapioca
Pri,None,Q13216758,OpenTapioca
Pwès,None,Q3393908,OpenTapioca
lekòl,58423,Q3914,Wikipedia
pied,None,Q29230685,OpenTapioca
Anyen,None,Q1069547,OpenTapioca
twal,15362,Q28823,Wikipedia
Ba,59464,Q193017,Wikipedia
Chapo,59300,Q80151,Wikipedia
Chemiz,15182,Q2393753,Wikipedia
Gan,59302,Q169031,Wikipedia
Jip,59087,Q2160801,Wikipedia
wòb,59203,Q200539,Wikipedia
Nivo,None,Q12134673,OpenTapioca
Sèvis,None,Q1164359,OpenTapioca
Sèvi,None,Q1164359,OpenTapioca
ganmèl,14253,Q12890922,Wikipedia
kayèt,14375,Q25579550,Wikipedia
sant,2202,Q1906806,Wikipedia
Payòl,None,Q210130,OpenTapioca
Fransè,None,Q121842,OpenTapioca
Leyogan,None,Q509810,OpenTapioca
Pak,None,Q21196,OpenTapioca
Vodou,12992,Q177764,Wikipedia
Re,None,Q34442,OpenTapioca
sòl,None,Q231455,OpenTapioca
bòs,None,Q903746,OpenTapioca
Ren,None,Q584,OpenTapioca
Rèn,None,Q584,OpenTapioca
rèn,None,Q45665207,OpenTapioca
machin,14720,Q1420,Wikipedia
achtè,13751,Q25578962,Wikipedia
komès an detay,70474,Q126793,Wikipedia
bokal,59368,Q1207302,Wikipedia
boutèy,13923,Q80228,Wikipedia
bwat,13936,Q188075,Wikipedia
gode,14271,Q1531435,Wikipedia
krich,59371,Q132397,Wikipedia
panye,58815,Q201097,Wikipedia
Mèt,None,Q160236,OpenTapioca
rèv,None,Q184358,OpenTapioca
nèt,None,Q4545456,OpenTapioca
Rèz,None,Q13360,OpenTapioca
Ri (non),59189,Q79007,Wikipedia
Ri (vèb),59190,Q12896208,Wikipedia
Sal (adjektif),58580,Q12896538,Wikipedia
Sal (gwo chanm),58581,Q12896535,Wikipedia
San (non),58583,Q7873,Wikipedia
San (nonm),58582,Q12896570,Wikipedia
San (prepozisyon),58584,Q12896568,Wikipedia
chimi,1609,Q2329,Wikipedia
Inik,None,Q10739175,OpenTapioca
Sansi,None,Q46913,OpenTapioca
Sachè,None,Q589584,OpenTapioca
savann,None,Q42320,OpenTapioca
Sen,None,Q1041,OpenTapioca
Gonayiv,None,Q852550,OpenTapioca
Sahara,None,Q6583,OpenTapioca
vèb,58761,Q24905,Wikipedia
mè,14731,Q65324872,Wikipedia
legliz,14614,Q16970,Wikipedia
Sèl (adjektif),58587,Q12897564,Wikipedia
Sèl (materyo chimik),58588,Q364509,Wikipedia
Sèl (sou cheval),58589,Q192249,Wikipedia
Sen (anatomi),59098,Q9103,Wikipedia
Sen (relijyon),59097,Q12897230,Wikipedia
Sèn,None,Q1041,OpenTapioca
wol,None,Q42329,OpenTapioca
Dis,None,Q504031,OpenTapioca
bank,None,Q204776,OpenTapioca
mèb,58984,Q14745,Wikipedia
bèt,12636,Q12888296,Wikipedia
pat,14844,Q346435,Wikipedia
Si (adjektif),59488,Q12897281,Wikipedia
Si (konjonksyon),59489,Q12897284,Wikipedia
Twa,None,Q23663442,OpenTapioca
six,None,Q677871,OpenTapioca
nò,2204,Q7071508,Wikipedia
mòn,3868,Q8502,Wikipedia
Anri Kristòf,13109,Q353458,Wikipedia
INESKO,4004,Q7809,Wikipedia
bati,None,Q177882,OpenTapioca
nasyonalite,59030,Q231002,Wikipedia
Myèl,None,Q4289719,OpenTapioca
Somèy,None,Q470296,OpenTapioca
table,None,Q17087098,OpenTapioca
teinmp-io,65801,Q65324182,Wikipedia
bat,None,Q177882,OpenTapioca
Bat,None,Q177882,OpenTapioca
lanati,14583,Q7860,Wikipedia
Etazini,15,Q30,Wikipedia
enèji sinetik,60124,Q46276,Wikipedia
tèmomèt,61181,Q646,Wikipedia
frèt,14238,Q25579466,Wikipedia
cho,15193,Q12888883,Wikipedia
transfè tèmik,79045,Q179635,Wikipedia
antwopi,60880,Q45003,Wikipedia
tèmodinamik,60545,Q11473,Wikipedia
meteyoloji,14754,Q25261,Wikipedia
klimatoloji ,83846,Q52139,Wikipedia
medsin,2451,Q11190,Wikipedia
degre Sèlsiyis,79056,Q25267,Wikipedia
gradyasyon,14288,Q12891129,Wikipedia
matyè,60167,Q11691604,Wikipedia
molekil,60197,Q11369,Wikipedia
atòm,1612,Q9121,Wikipedia
limyè,14639,Q9128,Wikipedia
etwal,3814,Q523,Wikipedia
enèji tèmik,60543,Q180241,Wikipedia
chalè,15168,Q44432,Wikipedia
teyori sinetik,60125,Q12897711,Wikipedia
lavalas,11851,Q6502295,Wikipedia
Tant (fanmi),58887,Q76507,Wikipedia
Tant (ti kay),58888,Q170544,Wikipedia
latè,3212,Q2,Wikipedia
fraz,None,Q29950070,OpenTapioca
Bouki,None,Q20457610,OpenTapioca
Tit,None,Q1421,OpenTapioca
bato,13820,Q35872,Wikipedia
Angletè,956,Q21,Wikipedia
Angletè,None,Q21,OpenTapioca
sinema,2548,Q11424,Wikipedia
Titanic,15314,Q25173,Wikipedia
Tiwa,None,Q960,OpenTapioca
Fas,None,Q1028,OpenTapioca
kanal,None,Q523166,OpenTapioca
lam,15744,Q65324686,Wikipedia
krab,2631,Q40802,Wikipedia
Tou (advèb),58692,Q12897831,Wikipedia
Traka,None,Q191015,OpenTapioca
Koupe,None,Q1785581,OpenTapioca
"a (""trois",None,Q29949791,OpenTapioca
Franse,15873,Q121842,Wikipedia
bet,None,Q95215776,OpenTapioca
lil,None,Q648,OpenTapioca
L.,None,Q1043,OpenTapioca
Mart,None,Q17054,OpenTapioca
Hitchc,None,Q2063155,OpenTapioca
R. Br,None,Q155764,OpenTapioca
Lam,15744,Q65324686,Wikipedia
Lamveritab,14581,Q12893161,Wikipedia
Fosb,None,Q4492095,OpenTapioca
Tonmtonm,15323,Q12897796,Wikipedia
labouyi,12833,Q12893112,Wikipedia
pen,14864,Q7802,Wikipedia
Karayib,3567,Q664609,Wikipedia
Sonn,None,Q507034,OpenTapioca
Thunb,None,Q39658,OpenTapioca
Lindl,None,Q378629,OpenTapioca
Sw,None,Q632088,OpenTapioca
Fawc,None,Q3568610,OpenTapioca
L.) Hall,None,Q102286291,OpenTapioca
tuba,None,Q180516,OpenTapioca
L.) A.,None,Q65,OpenTapioca
Urb,None,Q64845,OpenTapioca
L. f.,None,Q178823,OpenTapioca
Gwadloup,None,Q17012,OpenTapioca
Euphorbiaceæ,64537,Q156584,Wikipedia
O.F.Cook,None,Q1548577,OpenTapioca
G.N.Collins,None,Q20973529,OpenTapioca
Pavonia,None,Q175057,OpenTapioca
L.f.,None,Q178823,OpenTapioca
Miskad,2553,Q83165,Wikipedia
epis,14154,Q106623607,Wikipedia
Schinus molle L.,None,Q55741651,OpenTapioca
A. Juss,None,Q377094,OpenTapioca
Bancr,None,Q3048451,OpenTapioca
Willd,None,Q76353,OpenTapioca
legim,12747,Q25578543,Wikipedia
DC,None,Q61,OpenTapioca
Poir,None,Q966539,OpenTapioca
Salm-Dyck,None,Q62938,OpenTapioca
saman,None,Q42042,OpenTapioca
Maranta,None,Q809505,OpenTapioca
Pierre,None,Q33923,OpenTapioca
Sapoti,2417,Q14959,Wikipedia
J.W.Moore,None,Q5933704,OpenTapioca
Stapf,None,Q78630,OpenTapioca
Capraria,None,Q52650,OpenTapioca
Muell.Arg.,None,Q2504914,OpenTapioca
Roxb,None,Q748967,OpenTapioca
Benth,None,Q731808,OpenTapioca
J.Vahl,None,Q4263287,OpenTapioca
Rou,58798,Q361313,Wikipedia
Wou (zouti),59318,Q25582738,Wikipedia
plant,4002,Q756,Wikipedia
karayib,3567,Q664609,Wikipedia
Beauv,None,Q458941,OpenTapioca
Moq,None,Q55068622,OpenTapioca
O.,None,Q23397,OpenTapioca
Kunth,None,Q77074,OpenTapioca
kreyòl ayisyen,2,Q33491,Wikipedia
mitoloji grèk,62907,Q34726,Wikipedia
non,58450,Q82799,Wikipedia
29 desanm,3496,Q2862,Wikipedia
Natal,None,Q19809,OpenTapioca
Denis de Paris,None,Q244380,OpenTapioca
Almay,None,Q183,OpenTapioca
1e fevriye,3524,Q2312,Wikipedia
22 me,3458,Q2581,Wikipedia
powèt,68452,Q49757,Wikipedia
ekriven,13472,Q36180,Wikipedia
ameriken,13667,Q25578863,Wikipedia
18 oktòb,3407,Q2964,Wikipedia
Gwadloup,951,Q17012,Wikipedia
Guadeloupe,None,Q17012,OpenTapioca
Caraïbe,None,Q664609,OpenTapioca
24 jiyè,3329,Q2721,Wikipedia
Akademi Kreyòl Ayisyen,63521,Q22065910,Wikipedia
Monreyal,None,Q340,OpenTapioca
Kebèk,None,Q176,OpenTapioca
Laval,None,Q141810,OpenTapioca
MA,None,Q1028,OpenTapioca
Karayib,None,Q664609,OpenTapioca
Florid,None,Q812,OpenTapioca
Maude Heurtelou,16380,Q20559271,Wikipedia
Florid,4016,Q812,Wikipedia
11 fevriye,3535,Q2335,Wikipedia
15 janvye,3507,Q2260,Wikipedia
lengwis,73063,Q85985294,Wikipedia
Ewòp,992,Q46,Wikipedia
4 avril,3164,Q2508,Wikipedia
Lwès,2200,Q248180,Wikipedia
Kanada,959,Q16,Wikipedia
26 jen,3298,Q2661,Wikipedia
17 avril,2797,Q2520,Wikipedia
politisyen,14934,Q82955,Wikipedia
Negritid,23151,Q852544,Wikipedia
mapou,2751,Q138617,Wikipedia
Léopold Sédar Senghor,57585,Q154545,Wikipedia
24 fevriye,3548,Q2355,Wikipedia
Franse,None,Q121842,OpenTapioca
15 fevriye,3539,Q2334,Wikipedia
Pennsylvania,None,Q1400,OpenTapioca
Cornell,None,Q49115,OpenTapioca
"Scott, Foresman",None,Q7436348,OpenTapioca
Bloomington Indiana,None,Q490385,OpenTapioca
Etudes Créoles,None,Q15752860,OpenTapioca
Meday,None,Q64779542,OpenTapioca
27 me,3463,Q2587,Wikipedia
nouvèl,70635,Q49084,Wikipedia
pwezi,13014,Q482,Wikipedia
5 novanm,3426,Q2993,Wikipedia
Swis,1106,Q39,Wikipedia
11 avril,3170,Q2501,Wikipedia
Amerik disid,994,Q18,Wikipedia
Sorbonne,None,Q209842,OpenTapioca
Marcel Mauss,None,Q295393,OpenTapioca
Alfred Métraux,None,Q123921,OpenTapioca
23 mas,3154,Q2445,Wikipedia
Moris,1623,Q1027,Wikipedia
Kebèk,58146,Q176,Wikipedia
André Vilaire Chéry,None,Q16945772,OpenTapioca
Andre Vilaire Chery,16012,Q16945772,Wikipedia
Georges Sylvain,13235,Q428334,Wikipedia
Dantès Bellegarde,13200,Q3015752,Wikipedia
Massillon Coicou,13290,Q3297724,Wikipedia
Antoine Innocent,None,Q16945793,OpenTapioca
Le Soir,None,Q690672,OpenTapioca
L’histoire,None,Q1043,OpenTapioca
3 desanm,3471,Q2298,Wikipedia
pwodiktè,60345,Q1758713,Wikipedia
Djibril Diop Mambety,None,Q1232197,OpenTapioca
sineyas,61556,Q1414443,Wikipedia
17 desanm,3484,Q2413,Wikipedia
Vijini,4048,Q1370,Wikipedia
Kansas,None,Q1558,OpenTapioca
Fòs,None,Q80985,OpenTapioca
Carrié Paultre,74173,Q97254151,Wikipedia
Léopoldville,None,Q3838,OpenTapioca
Congo-belge,None,Q213510,OpenTapioca
Paris,None,Q90,OpenTapioca
Paris XI,None,Q1480643,OpenTapioca
Président,None,Q11696,OpenTapioca
Congo,None,Q971,OpenTapioca
L'Harmattan,None,Q3579383,OpenTapioca
-A,None,Q48,OpenTapioca
XXè siècle,None,Q3570491,OpenTapioca
-Droit et Société,None,Q15753106,OpenTapioca
Louvain,None,Q118958,OpenTapioca
La,None,Q1588,OpenTapioca
Neuve,None,Q16337,OpenTapioca
Haiti,None,Q790,OpenTapioca
Madagaskar,2015,Q1019,Wikipedia
istoryen,71885,Q97254751,Wikipedia
jounalis,58795,Q1930187,Wikipedia
Michel Joseph Martelly,None,Q57512,OpenTapioca
Daniel-Gérard Rouzier,None,Q3013611,OpenTapioca
