ENT1	ENT2	Properties
Q18	Q419	['P150', 'P527']
Q45	Q97	['P206', 'P1589']
Q96	Q241	['P530']
Q7317	Q1810148	['P19']
Q567	Q49762	['P102']
Q40130	Q180215	['P36', 'P150']
Q30	Q183	['P530']
Q390670	Q80398	['P40']
Q865	Q1065	['P463']
Q734	Q664609	['P361']
Q7809	Q90	['P159']
Q235250	Q105092	['P27']
Q403	Q403	['P17']
Q219060	Q219060	['P17']
Q736	Q739	['P47', 'P530']
Q98	Q2	['P706']
Q996195	Q846239	['P47']
Q60	Q18426	['P150']
Q148	Q865	['P1336']
Q734	Q3769	['P1889']
Q90	Q193370	['P47']
Q902	Q902	['P17']
Q15180	Q15180	['P17']
Q44401	Q3769	['P131', 'P1376']
Q828	Q7322	['P61']
Q503433	Q1028	['P17']
Q7604	Q80222	['P802']
Q39	Q142	['P47', 'P530']
Q414	Q12585	['P361']
Q2070605	Q177302	['P170']
Q419	Q298	['P47', 'P530']
Q142	Q46	['P30']
Q142	Q155	['P47', 'P530']
Q865	Q928	['P47', 'P530']
Q13498	Q38	['P17']
Q507980	Q17	['P27']
Q744546	Q202393	['P47']
Q730	Q3769	['P47']
Q458	Q1065	['P530']
Q1027	Q1027	['P17']
Q297	Q8717	['P19', 'P937']
Q35942	Q538	['P361']
Q17	Q668	['P530']
Q15	Q48	['P47']
Q991	Q649	['P19']
Q1029	Q954	['P47']
Q155	Q45	['P530']
Q717	Q1533	['P36']
Q44481	Q90	['P20']
Q80398	Q1524	['P19', 'P20']
Q183	Q46	['P30']
Q27611	Q804	['P527']
Q174432	Q45	['P27']
Q419	Q739	['P47', 'P530']
Q35355	Q11767	['P361']
Q30	Q98	['P206']
Q912	Q1006	['P47']
Q419	Q29	['P530']
Q1841	Q1841	['P140']
Q21	Q1146222	['P610']
Q5401	Q46	['P527']
Q3769	Q155	['P47']
Q114	Q924	['P47', 'P530']
Q272521	Q8514	['P31']
Q1490	Q17	['P17', 'P131', 'P1376']
Q30	Q242	['P530']
Q1048	Q220	['P19', 'P551']
Q2530	Q49768	['P102']
Q5142401	Q30	['P495']
Q399	Q399	['P17']
Q57197	Q3122631	['P463']
Q717	Q58132	['P6', 'P35']
Q18677875	Q142	['P17']
Q858	Q3766	['P36']
Q1044	Q1006	['P47']
Q29564107	Q65	['P19', 'P937']
Q686	Q142	['P530']
Q27611	Q800	['P527']
Q30	Q828	['P138', 'P1889']
Q7243	Q4071563	['P20']
Q34664	Q38234	['P190']
Q10288	Q177302	['P84']
Q155	Q298	['P530']
Q2877417	Q180215	['P2789']
Q105313	Q105092	['P155']
Q458	Q233	['P150', 'P527']
Q4121	Q217818	['P138', 'P200']
Q31	Q458	['P361', 'P463']
Q783	Q27611	['P361']
Q1146222	Q211778	['P4552']
Q687	Q90	['P19', 'P20']
Q1065	Q30	['P112']
Q42323	Q19546	['P39']
Q406	Q406	['P1382']
Q270273	Q90	['P1366']
Q846239	Q744546	['P47']
Q307	Q2031761	['P20']
Q48	Q15	['P47']
Q828	Q30	['P1889']
Q21	Q25	['P47']
Q5451	Q148	['P17']
Q97	Q1025	['P205']
Q884	Q17	['P47', 'P530']
Q273312	Q948333	['P47']
Q730	Q458	['P47']
Q83973	Q148	['P17']
Q5401	Q48	['P527']
Q458	Q33	['P150', 'P527']
Q173474	Q219	['P17']
Q193494	Q115	['P17', 'P131']
Q18	Q155	['P150', 'P527']
Q18	Q298	['P150', 'P527']
Q301	Q160544	['P19']
Q142	Q730	['P47', 'P530']
Q18097	Q48	['P30']
Q43473	Q424	['P17']
Q736	Q98	['P1589']
Q30	Q1014	['P530']
Q884	Q252	['P530']
Q668	Q252	['P47', 'P530']
Q233929	Q30	['P17', 'P2541']
Q408	Q408	['P17']
Q308987	Q273312	['P131', 'P931']
Q2031761	Q2044	['P131']
Q61445	Q943099	['P131']
Q30	Q17	['P530']
Q142	Q142	['P17']
Q731606	Q996195	['P47']
Q29	Q1410	['P47']
Q1489	Q60	['P190']
Q1489	Q96	['P17', 'P131', 'P1376']
Q367211	Q224	['P17']
Q220	Q38	['P17', 'P1376']
Q749556	Q159	['P17']
Q97	Q1006	['P205']
Q155	Q717	['P47', 'P530']
Q406	Q43	['P17']
Q3769	Q730	['P47']
Q31	Q183	['P47', 'P530']
Q148	Q17	['P47', 'P530']
Q36	Q183	['P47', 'P530']
Q125551	Q41155	['P737']
Q273312	Q996422	['P47']
Q242	Q27611	['P361']
Q996267	Q731606	['P47']
Q229	Q399	['P530']
Q948333	Q371808	['P47']
Q148	Q252	['P530']
Q219	Q858	['P530']
Q1049	Q79	['P47', 'P530']
Q29	Q1028	['P47', 'P530']
Q739	Q419	['P47', 'P530']
Q34969	Q1345	['P20']
Q2	Q828	['P527']
Q5682	Q2807	['P20']
Q352280	Q3419897	['P102']
Q884	Q884	['P17']
Q155	Q142	['P47', 'P530']
Q30259093	Q30	['P17']
Q668	Q884	['P530']
Q12585	Q828	['P30']
Q414	Q419	['P530']
Q115	Q15	['P30']
Q9036	Q60	['P551']
Q142	Q17063	['P150']
Q739	Q98	['P1589']
Q805	Q805	['P17']
Q134350	Q28	['P17']
Q191141	Q142	['P17']
Q731606	Q3769	['P131']
Q35	Q1748	['P36']
Q432072	Q3769	['P131']
Q38	Q142	['P47', 'P530']
Q142	Q3769	['P150']
Q783	Q783	['P17']
Q5428	Q159	['P17']
Q155	Q30	['P530']
Q44401	Q816739	['P47']
Q114	Q843	['P530']
Q371808	Q273312	['P47']
Q414	Q44821	['P150']
Q83322	Q2353077	['P19']
Q174	Q155	['P17']
Q1581	Q1497	['P206']
Q4071563	Q159	['P17']
Q18	Q730	['P527']
Q744546	Q846239	['P47']
Q16	Q148	['P530']
Q5806	Q35484	['P190']
Q148	Q884	['P47', 'P530']
Q273874	Q796	['P17']
Q8605	Q750	['P27']
Q126462	Q30	['P27']
Q159	Q30	['P47', 'P530']
Q25277	Q790	['P17', 'P150']
Q258	Q1029	['P47', 'P530']
Q301	Q5836	['P20', 'P937']
Q156882	Q34575	['P206', 'P276']
Q15529123	Q499207	['P155']
Q36097	Q905	['P50', 'P180']
Q270085	Q4970	['P19', 'P551']
Q45	Q155	['P530']
Q296	Q90	['P19', 'P937']
Q938040	Q816739	['P47']
Q1065	Q16	['P112']
Q2	Q15	['P527']
Q290073	Q142	['P27']
Q45	Q1028	['P530']
Q884	Q928	['P530']
Q220	Q33923	['P417']
Q148	Q1065	['P463']
Q155	Q77	['P47', 'P530']
Q38088	Q155	['P17', 'P131']
Q46	Q5401	['P361']
Q298	Q96	['P530']
Q155	Q3769	['P47']
Q21195	Q34	['P17', 'P527']
Q30	Q804	['P530']
Q41705	Q148	['P17', 'P131']
Q286004	Q29	['P17']
Q507980	Q912208	['P140']
Q6722	Q3033	['P20']
Q38120	Q496570	['P361']
Q40	Q28	['P47', 'P530']
Q1780252	Q44821	['P131']
Q114	Q1033	['P530']
Q49762	Q567	['P488']
Q97	Q96	['P205']
Q750	Q419	['P47', 'P530']
Q5577	Q6839	['P19', 'P20', 'P551', 'P2632']
Q142	Q35	['P530']
Q49	Q16	['P17']
Q219060	Q23792	['P706', 'P1889']
Q2	Q525	['P397']
Q142	Q458	['P361', 'P463']
Q3769	Q97	['P206']
Q293646	Q1530	['P19', 'P20']
Q18	Q77	['P150', 'P527']
Q69103	Q1028	['P27']
Q1400	Q30	['P17', 'P131']
Q3621	Q183	['P17']
Q18	Q3769	['P527']
Q213679	Q41	['P17']
Q13719518	Q34	['P17']
Q750	Q1491	['P36']
Q5463	Q30	['P17']
Q117211	Q38	['P17']
Q8023	Q1020378	['P19']
Q114	Q1036	['P47', 'P530']
Q252	Q252	['P17']
Q183	Q29	['P530']
Q414	Q750	['P47', 'P530']
Q1014	Q30	['P530']
Q796	Q858	['P47', 'P530']
Q1029	Q1050	['P47']
Q1065	Q1254	['P3320']
Q794	Q796	['P47', 'P530']
Q155	Q736	['P530']
Q298	Q2887	['P36']
Q7817	Q1065	['P749']
Q242	Q774	['P47', 'P530']
Q928	Q252	['P47', 'P530']
Q966777	Q20	['P17']
Q863	Q863	['P17']
Q1748	Q35	['P17', 'P1376']
Q155	Q97	['P206', 'P1589']
Q96	Q739	['P530']
Q16730480	Q23482	['P19']
Q801	Q801	['P17']
Q734	Q155	['P47', 'P530']
Q16	Q176	['P150']
Q16	Q36	['P530']
Q374096	Q142	['P17']
Q7348	Q843	['P17', 'P205']
Q6882	Q72	['P20', 'P937']
Q912	Q1028	['P530']
Q996422	Q996195	['P47']
Q129259	Q403	['P17']
Q90	Q537720	['P1830']
Q5107	Q2	['P361']
Q2554759	Q155	['P27']
Q155	Q18	['P30', 'P361']
Q174	Q1489	['P190']
Q1067	Q2044	['P19', 'P551', 'P937']
Q258	Q5465	['P36']
Q736	Q419	['P47']
Q212974	Q142	['P17']
Q7314	Q30	['P27']
Q730	Q155	['P47', 'P530']
Q160544	Q5836	['P190']
Q16	Q30	['P47', 'P530']
Q155	Q29	['P530']
Q3392	Q4918	['P403']
Q45	Q1029	['P530']
Q1963	Q3392	['P206']
Q258	Q15	['P30', 'P138']
Q142	Q183	['P47', 'P530']
Q717	Q155	['P47', 'P530']
Q97	Q1044	['P205']
Q18	Q736	['P150', 'P527']
Q27611	Q664609	['P527']
Q1033	Q843	['P530']
Q705869	Q881	['P27']
Q380401	Q80398	['P40']
Q18	Q97	['P206']
Q432072	Q948333	['P47']
Q183	Q183	['P17']
Q148	Q42200	['P150']
Q29	Q45	['P47', 'P530']
Q985518	Q1142895	['P131', 'P706']
Q705869	Q430309	['P20']
Q7314	Q157688	['P19']
Q3769	Q734	['P1889']
Q1780252	Q414	['P17', 'P205']
Q96	Q717	['P530']
Q668	Q668	['P17']
Q419	Q96	['P530']
Q49	Q30	['P17', 'P527']
Q142	Q96	['P530']
Q734	Q1185362	['P150']
Q202393	Q3769	['P131']
Q9047	Q39599	['P184', 'P737']
Q130736	Q843	['P17']
Q794	Q794	['P17']
Q18	Q739	['P150', 'P527']
Q884	Q148	['P47', 'P530']
Q4120832	Q38872	['P17', 'P1376']
Q97	Q1014	['P205']
Q159	Q159	['P17']
Q298	Q750	['P47', 'P530']
Q211778	Q23066	['P131']
Q963	Q954	['P47']
Q1028	Q150	['P2936']
Q155	Q734	['P47', 'P530']
Q430309	Q881	['P17', 'P1366']
Q307	Q2044	['P551', 'P937']
Q90	Q142	['P17', 'P1376']
Q3769	Q44401	['P36']
Q217818	Q775	['P131']
Q1032	Q912	['P47']
Q30	Q836	['P530']
Q739	Q804	['P47', 'P530']
Q7809	Q142	['P17']
Q3769	Q142	['P17', 'P131']
Q30	Q155	['P530']
Q956	Q148	['P17', 'P131', 'P1376']
Q865	Q148	['P47', 'P1336']
Q148	Q668	['P47', 'P530']
Q810	Q810	['P17']
Q29	Q46	['P30', 'P361']
Q214	Q214	['P17']
Q30	Q1028	['P530']
Q828	Q47674	['P138']
Q1029	Q953	['P47', 'P530']
Q5513	Q23397	['P31']
Q90	Q243	['P1830']
Q214317	Q142	['P27']
Q734	Q730	['P47', 'P530']
Q148	Q148	['P17']
Q97	Q155	['P205']
Q23548	Q30	['P17']
Q677348	Q155	['P17']
Q155	Q96	['P530']
Q97	Q1028	['P205']
Q538	Q3359409	['P527']
Q8016	Q84	['P937']
Q96	Q30	['P47', 'P530']
Q928	Q833	['P47', 'P530']
Q525	Q2	['P398']
Q18	Q717	['P150', 'P527']
Q833	Q334	['P47', 'P530']
Q18	Q734	['P150', 'P527']
Q458	Q4264	['P530']
Q21	Q84	['P36']
Q1963	Q1049	['P17', 'P1376']
Q804	Q804	['P17']
Q810	Q48	['P30']
Q702	Q98	['P206', 'P1589']
Q730	Q730	['P17']
Q9141	Q42941	['P131']
Q82339	Q90	['P20']
Q884	Q48	['P30']
Q1146222	Q23066	['P131']
Q30	Q38	['P530']
Q668	Q48	['P30']
Q858	Q4918	['P206']
Q786	Q664609	['P361', 'P706']
Q39	Q38	['P47', 'P530']
Q982008	Q650035	['P140']
Q1166	Q30	['P17', 'P131']
Q648	Q150	['P37', 'P2936']
Q7349	Q254	['P3342']
Q46	Q48	['P47']
Q513	Q5451	['P361']
Q30	Q774	['P530']
Q819	Q819	['P17']
Q79	Q115	['P530']
Q5463	Q16	['P17']
Q142	Q90	['P36']
Q3630	Q252	['P17', 'P131', 'P1376']
Q11772	Q41	['P2341']
Q734	Q10717	['P36']
Q96	Q77	['P530']
Q273312	Q273312	['P1376']
Q731606	Q996153	['P47']
Q804	Q27611	['P361']
Q266019	Q90	['P19', 'P20']
Q148	Q48	['P30']
Q3392	Q79	['P17', 'P205']
Q30971	Q186430	['P150']
Q219	Q796	['P530']
Q828	Q18	['P527']
Q97	Q1008	['P205']
Q34	Q30	['P530']
Q1183	Q30	['P17']
Q79	Q79	['P17']
Q5823	Q5831	['P190']
Q7317	Q490	['P20']
Q272593	Q750	['P17']
Q408	Q28	['P530']
Q414	Q77	['P47', 'P530']
Q115	Q115	['P17']
Q78	Q39	['P17']
Q157688	Q159	['P17']
Q7243	Q749556	['P19', 'P119']
Q145	Q25	['P150']
Q18	Q98	['P206']
Q237220	Q49112	['P69', 'P108']
Q298	Q419	['P47', 'P530']
Q30	Q142	['P530']
Q948	Q1028	['P530']
Q1185362	Q734	['P17', 'P131']
Q17	Q17	['P17']
Q12585	Q1183	['P527']
Q21578	Q30	['P17']
Q148	Q833	['P530']
Q96	Q414	['P530']
Q22424	Q4478	['P47']
Q17	Q252	['P530']
Q9458	Q180123	['P40']
Q16613982	Q794	['P17', 'P138']
Q7349	Q255	['P802']
Q9191	Q1754	['P20', 'P937']
Q30	Q30	['P17']
Q117211	Q128139	['P190']
Q1036	Q924	['P47']
Q7320	Q7278	['P1454']
Q800	Q27611	['P361']
Q664609	Q166131	['P527', 'P1889']
Q1001	Q6419912	['P19']
Q816253	Q734	['P17']
Q79	Q3392	['P206']
Q414	Q414	['P17']
Q97	Q30	['P205']
Q148	Q30	['P530']
Q744546	Q3769	['P131']
Q1006	Q1008	['P47']
Q5598	Q43631	['P937']
Q399	Q858	['P530']
Q1019	Q15	['P30']
Q7314	Q60	['P20', 'P551']
Q3769	Q18	['P30', 'P361']
Q739	Q272747	['P150']
Q38	Q17	['P530']
Q237901	Q148	['P17']
Q151869	Q151995	['P26']
Q2	Q48	['P527']
Q16	Q96	['P530']
Q739	Q739	['P17']
Q15	Q5401	['P47']
Q97	Q20	['P205']
Q938040	Q273312	['P47']
Q983	Q1009	['P47']
Q155	Q155	['P17']
Q1420365	Q30971	['P131']
Q2877417	Q40130	['P131']
Q739	Q29	['P530']
Q5598	Q727	['P20', 'P937']
Q131128	Q40	['P17']
Q91	Q30	['P27']
Q816739	Q44401	['P47']
Q371808	Q948333	['P47']
Q17	Q884	['P47', 'P530']
Q774	Q774	['P17']
Q60	Q1489	['P190']
Q60	Q30	['P17']
Q39	Q39	['P17']
Q8739	Q13670	['P551']
Q80222	Q7604	['P737', 'P1066']
Q1191	Q1156	['P36']
Q33760	Q60028	['P737']
Q1033	Q15	['P30']
Q31	Q55	['P47', 'P530']
Q8678	Q155	['P17', 'P1376']
Q1050	Q1029	['P47']
Q733	Q733	['P17']
Q48	Q2	['P361']
Q1792	Q36	['P17']
Q48	Q46	['P47']
Q202393	Q371808	['P47']
Q804	Q739	['P47', 'P530']
Q2070605	Q10288	['P276']
Q76716	Q183	['P27']
Q80338	Q902	['P17', 'P131']
Q2887	Q298	['P17', 'P1376']
Q354634	Q84	['P20']
Q846913	Q1028	['P17']
Q211233	Q220	['P131']
Q23792	Q219060	['P17', 'P1889']
Q42200	Q148	['P17', 'P131']
Q878	Q878	['P17']
Q387433	Q142	['P17']
Q180123	Q9458	['P22']
Q97	Q45	['P205']
Q817	Q817	['P17']
Q996422	Q371808	['P47']
Q3392	Q1049	['P17', 'P205']
Q45412	Q45	['P17', 'P1376']
Q80398	Q390670	['P25']
Q15180	Q30	['P47', 'P530']
Q241	Q16	['P530']
Q33	Q458	['P361', 'P463']
Q750	Q414	['P47', 'P530']
Q1190801	Q414	['P17']
Q996195	Q731606	['P47']
Q508582	Q734	['P17']
Q734	Q717	['P47', 'P530']
Q105092	Q105313	['P156']
Q148	Q83973	['P740']
Q996153	Q996195	['P47']
Q559661	Q148	['P17']
Q30	Q97	['P206']
Q796	Q219	['P530']
Q183	Q31	['P47', 'P530']
Q241	Q115319	['P150']
Q29	Q97	['P206']
Q79	Q15	['P30']
Q242	Q242	['P17']
Q11703	Q30	['P17', 'P138']
Q801	Q858	['P47', 'P530']
Q399	Q219	['P530']
Q750	Q298	['P47', 'P530']
Q8413	Q129259	['P19']
Q2044	Q38	['P17']
Q730	Q734	['P47', 'P530']
Q774	Q30	['P530']
Q171758	Q30	['P27']
Q211778	Q1146222	['P610']
Q25	Q21	['P47']
Q371808	Q432072	['P47']
Q717	Q734	['P47', 'P530']
Q4264	Q458	['P530']
Q155	Q730	['P47', 'P530']
Q948333	Q432072	['P47']
Q162356	Q83229	['P1038']
Q414	Q96	['P530']
Q996422	Q273312	['P47']
Q38	Q220	['P36']
Q1028	Q912	['P530']
Q18723	Q145	['P17']
Q334	Q833	['P47', 'P530']
Q924	Q15	['P30']
Q96	Q98	['P206']
Q38234	Q34664	['P190']
Q148	Q956	['P36', 'P150']
Q30	Q16	['P47', 'P530']
Q176	Q16	['P17', 'P131']
Q273312	Q3769	['P131']
Q1775258	Q38	['P17']
Q114	Q15	['P30']
Q97	Q29	['P205']
Q1860	Q150	['P737']
Q23148	Q21	['P361']
Q730	Q142	['P47', 'P530']
Q77	Q414	['P47', 'P530']
Q828	Q66192	['P3938']
Q382570	Q77	['P27']
Q3359409	Q538	['P361']
Q953	Q1029	['P47', 'P530']
Q15	Q2	['P361']
Q5831	Q5823	['P190']
Q148	Q16	['P530']
Q948333	Q273312	['P47']
Q44059	Q414	['P17']
Q459935	Q77	['P27']
Q804	Q30	['P47', 'P530']
Q828	Q2	['P361']
Q686	Q686	['P17']
Q811	Q811	['P17']
Q90	Q656902	['P138']
Q142	Q18677875	['P150']
Q567	Q49762	['P102']
Q201247	Q298	['P17']
Q29	Q183	['P530']
Q28930	Q298	['P27']
Q1009	Q983	['P47']
Q30	Q49	['P30', 'P361']
Q403	Q403	['P17']
Q272747	Q739	['P17', 'P131']
Q219060	Q219060	['P17']
Q98	Q2	['P706']
Q12585	Q414	['P527']
Q419	Q414	['P530']
Q148	Q865	['P1336']
Q151509	Q31711	['P53']
Q734	Q3769	['P1889']
Q760	Q664609	['P361', 'P706']
Q902	Q902	['P17']
Q4918	Q858	['P17', 'P205']
Q15180	Q15180	['P17']
Q44401	Q3769	['P131', 'P1376']
Q30	Q96	['P47', 'P530']
Q996153	Q731606	['P47']
Q912	Q1025	['P47', 'P530']
Q45	Q29	['P47', 'P530']
Q1282	Q38	['P17', 'P131']
Q2	Q5107	['P527']
Q166131	Q664609	['P361', 'P1889']
Q11260	Q30	['P17']
Q419	Q298	['P47', 'P530']
Q233	Q458	['P361', 'P463']
Q142	Q46	['P30']
Q142	Q155	['P47', 'P530']
Q29	Q419	['P530']
Q730	Q3769	['P47']
Q1254	Q1065	['P108']
Q1027	Q1027	['P17']
Q2376525	Q17	['P27']
Q1139395	Q750	['P17']
Q15	Q48	['P47']
Q155	Q45	['P530']
Q499207	Q15529123	['P156']
Q183	Q46	['P30']
Q148	Q41705	['P150']
Q996267	Q996195	['P47']
Q27611	Q804	['P527']
Q38	Q39	['P47', 'P530']
Q419	Q739	['P47', 'P530']
Q739	Q736	['P47', 'P530']
Q142	Q686	['P530']
Q17	Q148	['P47', 'P530']
Q35355	Q11767	['P361']
Q66192	Q3122631	['P463']
Q30	Q98	['P206']
Q193370	Q90	['P47']
Q1841	Q1841	['P140']
Q5401	Q46	['P527']
Q3769	Q155	['P47']
Q272521	Q8514	['P31']
Q83476	Q105313	['P27']
Q5428	Q98	['P206']
Q96	Q155	['P530']
Q726173	Q258	['P27']
Q1183	Q12585	['P361']
Q399	Q399	['P17']
Q1029	Q155	['P530']
Q1362890	Q55	['P17']
Q924	Q1029	['P47']
Q30	Q828	['P138', 'P1889']
Q27611	Q800	['P527']
Q142	Q38	['P47', 'P530']
Q739	Q18	['P30', 'P361']
Q44401	Q97	['P206']
Q996195	Q371808	['P47']
Q16	Q7184	['P463']
Q255	Q254	['P737']
Q971915	Q258	['P27']
Q3122631	Q155019	['P131']
Q1065	Q7817	['P355']
Q1044	Q97	['P206', 'P1589']
Q722644	Q77	['P27']
Q734	Q18	['P30', 'P361', 'P706']
Q115	Q193494	['P150']
Q1142895	Q717	['P17']
Q17	Q38	['P530']
Q1021734	Q262	['P17']
Q42323	Q19546	['P39']
Q1008	Q1006	['P47']
Q406	Q406	['P1382']
Q676203	Q419	['P17']
Q1009	Q15	['P30']
Q833	Q928	['P47', 'P530']
Q846239	Q744546	['P47']
Q128139	Q117211	['P190']
Q30	Q1408	['P150']
Q48	Q15	['P47']
Q237	Q46	['P30']
Q828	Q30	['P1889']
Q21	Q25	['P47']
Q36	Q16	['P530']
Q1008	Q97	['P206']
Q884	Q17	['P47', 'P530']
Q273312	Q948333	['P47']
Q730	Q18	['P30', 'P361']
Q1369002	Q3151094	['P974']
Q668	Q17	['P530']
Q58132	Q717	['P27']
Q30	Q1400	['P150']
Q18	Q2	['P361']
Q79	Q4918	['P206']
Q252	Q884	['P530']
Q717	Q18	['P30', 'P361']
Q18	Q155	['P150', 'P527']
Q996153	Q846239	['P47']
Q142	Q730	['P47', 'P530']
Q202393	Q744546	['P47']
Q35484	Q5806	['P190']
Q30	Q1014	['P530']
Q816	Q30	['P17', 'P131']
Q390670	Q380401	['P26']
Q408	Q408	['P17']
Q308987	Q273312	['P131', 'P931']
Q1664	Q183	['P17']
Q142	Q142	['P17']
Q254	Q7349	['P3342']
Q731606	Q996195	['P47']
Q7640962	Q17	['P17']
Q3392	Q15	['P30']
Q782	Q98	['P206', 'P1589']
Q183	Q142	['P47', 'P530']
Q163	Q21	['P131']
Q1388990	Q77	['P27']
Q183	Q36	['P47', 'P530']
Q220	Q38	['P17', 'P1376']
Q816739	Q938040	['P47']
Q35342	Q23397	['P31']
Q155	Q717	['P47', 'P530']
Q1715	Q2079	['P190']
Q3769	Q730	['P47']
Q31	Q183	['P47', 'P530']
Q273312	Q996422	['P47']
Q859	Q125551	['P737']
Q928	Q865	['P47', 'P530']
Q142	Q30	['P530']
Q739	Q96	['P530']
Q18426	Q30	['P17']
Q12998	Q1841	['P140']
Q948333	Q371808	['P47']
Q17	Q1490	['P36', 'P150']
Q34	Q21195	['P706']
Q29	Q155	['P530']
Q96	Q419	['P530']
Q183	Q30	['P530']
Q739	Q419	['P47', 'P530']
Q298	Q18	['P30', 'P361']
Q664609	Q27611	['P30', 'P361']
Q5836	Q160544	['P190']
Q76717	Q183	['P27']
Q17	Q30	['P47', 'P530']
Q889	Q794	['P47', 'P530']
Q884	Q884	['P17']
Q1036	Q114	['P47', 'P530']
Q774	Q242	['P47', 'P530']
Q155	Q142	['P47', 'P530']
Q884	Q18097	['P1365']
Q180215	Q40130	['P131', 'P1376']
Q252	Q928	['P47', 'P530']
Q1028	Q45	['P530']
Q4918	Q3392	['P200']
Q1405	Q220	['P19']
Q115	Q15	['P30']
Q805	Q805	['P17']
Q739	Q98	['P1589']
Q241	Q96	['P530']
Q187520	Q126692	['P135']
Q458	Q46	['P30', 'P1889']
Q27611	Q783	['P527']
Q35	Q1748	['P36']
Q30	Q159	['P530']
Q912208	Q507980	['P112']
Q717	Q96	['P530']
Q207162	Q1841	['P3075']
Q142	Q3769	['P150']
Q783	Q783	['P17']
Q155	Q30	['P530']
Q44401	Q816739	['P47']
Q1581	Q1497	['P206']
Q334518	Q711	['P27']
Q881	Q430309	['P1365']
Q9458	Q5806	['P19', 'P551']
Q44821	Q414	['P17', 'P131']
Q39599	Q9047	['P185', 'P802']
Q127892	Q733	['P17', 'P131', 'P205']
Q744546	Q846239	['P47']
Q142	Q39	['P47', 'P530']
Q1049	Q1963	['P36']
Q148	Q884	['P47', 'P530']
Q30	Q34	['P530']
Q48	Q5401	['P279', 'P361']
