ENT1	ENT2	Properties
Q232	Q874	['P47']
Q717	Q16	['P530']
Q472082	Q189288	['P131']
Q265	Q865	['P530']
Q241	Q30	['P47']
Q16	Q27	['P530']
Q36	Q211	['P530']
Q114	Q924	['P47', 'P530']
Q16272	Q38	['P17']
Q794	Q851	['P47', 'P530']
Q584	Q216171	['P5998']
Q155	Q97	['P206', 'P1589']
Q184	Q28	['P530']
Q233932	Q202453	['P19', 'P551']
Q38	Q1447	['P150']
Q188	Q36	['P17']
Q2033101	Q25396	['P131']
Q801	Q801	['P17']
Q713572	Q1860	['P1412']
Q9799	Q55	['P17']
Q26273	Q7411	['P37', 'P2936']
Q150	Q31	['P17']
Q156298	Q183	['P495']
Q35	Q20	['P47', 'P530']
Q184	Q217	['P530']
Q18	Q49	['P47']
Q159	Q36	['P47', 'P530']
Q796	Q817	['P47', 'P530']
Q30	Q801	['P530']
Q1212	Q30	['P17', 'P131']
Q657	Q1049	['P47', 'P530']
Q913	Q380190	['P802']
Q1045	Q977	['P47', 'P530']
Q16	Q458	['P530']
Q184	Q214	['P530']
Q34370	Q55	['P17', 'P361']
Q668	Q819	['P530']
Q1951	Q16	['P17', 'P131']
Q25396	Q331584	['P36']
Q60	Q1384	['P131']
Q21203	Q18	['P30']
Q1371	Q30	['P17', 'P131']
Q7411	Q29999	['P17']
Q736	Q865	['P530']
Q21203	Q25227	['P361']
Q159	Q212	['P47', 'P3461']
Q865	Q813	['P530']
Q225	Q215	['P530']
Q4709	Q205796	['P131', 'P1376']
Q15180	Q159	['P3842']
Q38	Q928	['P530']
Q419	Q739	['P47', 'P530']
Q18094	Q30	['P17']
Q1533	Q717	['P17', 'P1376']
Q817	Q43	['P530']
Q55	Q7411	['P37', 'P2936']
Q1397	Q30	['P17', 'P131']
Q1642093	Q132679	['P276', 'P361']
Q391007	Q391134	['P47']
Q29	Q1028	['P47', 'P530']
Q29921	Q2023	['P2341']
Q843	Q902	['P530']
Q36	Q37	['P47', 'P530']
Q18	Q27611	['P47']
Q34863	Q1649	['P1376']
Q717	Q29999	['P47']
Q65	Q30	['P17']
Q668	Q843	['P47']
Q790	Q717	['P530']
Q142	Q1028	['P530']
Q17	Q928	['P47', 'P530']
Q29	Q46	['P30', 'P361']
Q403	Q221	['P47', 'P530']
Q7411	Q730	['P17']
Q14196	Q7411	['P144']
Q30	Q30	['P17']
Q155	Q155	['P17']
Q727	Q46	['P30']
Q4627	Q750	['P17']
Q27509	Q214	['P527']
Q29574	Q159609	['P26']
Q39	Q40	['P47', 'P530']
Q736	Q739	['P47', 'P530']
Q641460	Q695387	['P47']
Q1930	Q16	['P17', 'P1376']
Q362	Q159	['P276']
Q176	Q2023	['P47']
Q55	Q30	['P530']
Q155	Q298	['P530']
Q1975735	Q55	['P17']
Q99	Q30	['P17', 'P131']
Q79	Q865	['P530']
Q717	Q739	['P47', 'P530']
Q174	Q1563	['P190']
Q924	Q1036	['P47']
Q1649	Q30	['P17', 'P131']
Q188	Q31	['P17']
Q41843	Q801	['P17']
Q220	Q5119	['P31']
Q41211	Q1183	['P17', 'P131', 'P1376']
Q159	Q813	['P530']
Q265	Q813	['P47', 'P530']
Q948	Q262	['P47', 'P530']
Q859	Q913	['P737', 'P1066']
Q797	Q30	['P17', 'P131', 'P500']
Q183	Q27	['P530']
Q30	Q21203	['P530']
Q1256	Q38	['P17', 'P131']
Q96	Q739	['P530']
Q804	Q1247	['P1589']
Q183	Q55	['P47', 'P530']
Q837	Q902	['P530']
Q34	Q33	['P47', 'P530']
Q25279	Q33856	['P37', 'P2936']
Q667017	Q444595	['P26']
Q21203	Q131243	['P36']
Q27611	Q804	['P527']
Q538840	Q727	['P937']
Q819	Q881	['P47', 'P530']
Q4035	Q174	['P47']
Q27509	Q183	['P527']
Q25277	Q1247	['P276']
Q33	Q5689	['P150']
Q769	Q244	['P530']
Q865	Q41	['P530']
Q390646	Q16272	['P131']
Q3616	Q794	['P17', 'P1376']
Q16	Q40	['P530']
Q30	Q717	['P530']
Q865	Q16	['P530']
Q40	Q35	['P530']
Q53536	Q30	['P17', 'P1001']
Q45	Q29	['P47', 'P530']
Q13955	Q1049	['P17']
Q32	Q142	['P47', 'P530']
Q43	Q403	['P530']
Q750	Q18	['P30', 'P361']
Q1065414	Q727	['P159']
Q7411	Q31	['P17']
Q26273	Q29999	['P17', 'P131']
Q183	Q458	['P361', 'P463']
Q25262	Q881	['P17']
Q668	Q668	['P17']
Q212	Q36	['P47', 'P530']
Q1880	Q298	['P17']
Q1726	Q183	['P17']
Q3041568	Q3066174	['P131', 'P1376']
Q132679	Q25279	['P17', 'P131', 'P1376']
Q35505	Q20	['P17']
Q25279	Q132679	['P36']
Q25396	Q25227	['P361']
Q142	Q39	['P47', 'P530']
Q252	Q664	['P530']
Q13955	Q822	['P17']
Q174	Q155	['P17']
Q41	Q403	['P530']
Q1016	Q948	['P47']
Q2044	Q38	['P17']
Q236	Q215	['P530']
Q928	Q796	['P530']
Q60	Q30	['P17']
Q766	Q754	['P530']
Q30	Q865	['P530']
Q813	Q863	['P47', 'P530']
Q1384	Q30	['P17', 'P131']
Q7411	Q25279	['P17']
Q142	Q40	['P530']
Q46	Q48	['P47']
Q97	Q717	['P205']
Q3630	Q3757	['P706']
Q869	Q252	['P530']
Q334738	Q717	['P17']
Q3757	Q48	['P30']
Q168182	Q283102	['P156']
Q1072284	Q36600	['P131']
Q843	Q43	['P530']
Q1321	Q739	['P17']
Q31	Q183	['P47', 'P530']
Q41	Q794	['P530']
Q221357	Q55	['P17']
Q920491	Q3041568	['P19']
Q1014	Q1006	['P47']
Q214	Q184	['P530']
Q55	Q183	['P47', 'P530']
Q1439	Q30	['P17', 'P131']
Q29999	Q55	['P150', 'P1889']
Q15499	Q155	['P17', 'P131']
Q40	Q39	['P47', 'P530']
Q754	Q244	['P530']
Q38	Q220	['P36']
Q739	Q155	['P47', 'P530']
Q172	Q1904	['P131', 'P1376']
Q843	Q796	['P530']
Q717	Q30	['P47', 'P530']
Q33	Q159	['P47']
Q25396	Q55	['P17', 'P131']
Q1533	Q34820	['P190']
Q1589192	Q21203	['P20']
Q214	Q28	['P47', 'P530']
Q25227	Q26273	['P150', 'P156']
Q27306	Q41304	['P17']
Q408	Q27	['P530']
Q7411	Q21203	['P17']
Q1537	Q30	['P17', 'P131']
Q786	Q717	['P47']
Q1860	Q30	['P17']
Q842	Q805	['P47', 'P530']
Q774	Q96	['P47', 'P530']
Q811	Q1247	['P1589']
Q43287	Q41304	['P1366']
Q1227	Q30	['P17', 'P131']
Q19386	Q25279	['P527']
Q2028082	Q21203	['P17']
Q155	Q750	['P47', 'P530']
Q183	Q39	['P47', 'P530']
Q575	Q573	['P361']
Q36	Q28	['P530']
Q29999	Q458	['P463']
Q391134	Q16272	['P131']
Q3066174	Q204876	['P131']
Q641460	Q476233	['P47']
Q43	Q221	['P530']
Q750	Q414	['P47', 'P530']
Q331584	Q25396	['P131', 'P1376']
Q126368	Q30	['P17']
Q2435584	Q205796	['P131']
Q9682	Q145	['P27']
Q20	Q33	['P47', 'P530']
Q810	Q79	['P530']
Q30	Q1509	['P150']
Q29	Q717	['P530']
Q42411692	Q55	['P1001']
Q183	Q40	['P47', 'P530']
Q865	Q874	['P530']
Q220	Q38	['P17', 'P1376']
Q902	Q1354	['P36']
Q750	Q298	['P47', 'P530']
Q19386	Q21203	['P527']
Q79	Q668	['P530']
Q90	Q142	['P17', 'P1376']
Q36	Q214	['P47', 'P530']
Q160549	Q253414	['P749']
Q21	Q145	['P17', 'P131']
Q41	Q221	['P47', 'P530']
Q9035	Q35	['P17', 'P2341']
Q16	Q183	['P530']
Q657	Q1009	['P47']
Q538840	Q84	['P20', 'P937']
Q45229	Q30	['P27']
Q1988	Q1987	['P156']
Q224	Q236	['P47', 'P530']
Q97	Q730	['P205']
Q13955	Q796	['P17']
Q84771091	Q84771079	['P170']
Q27306	Q43287	['P17', 'P159', 'P463']
Q132679	Q5119	['P31']
Q813	Q265	['P47', 'P530']
Q2807	Q29	['P17', 'P1376']
Q2179773	Q25279	['P17']
Q96	Q717	['P530']
Q219	Q472	['P36']
Q183	Q184	['P530']
Q3430243	Q21203	['P159']
Q16	Q739	['P530']
Q1299	Q1203	['P527']
Q1016	Q262	['P47', 'P530']
Q750	Q733	['P47']
Q38	Q796	['P530']
Q84771091	Q132679	['P131']
Q234	Q31	['P17']
Q29921	Q16	['P17']
Q241	Q717	['P530']
Q55	Q31	['P47', 'P530']
Q1214	Q1221	['P47']
Q232	Q813	['P47']
Q9159	Q9163	['P461']
Q159	Q15180	['P807']
Q15180	Q15180	['P17']
Q55	Q25396	['P150']
Q29	Q183	['P530']
Q38555	Q1522	['P1376']
Q36600	Q55	['P17', 'P1376']
Q155	Q739	['P47', 'P530']
Q813	Q865	['P530']
Q391134	Q391247	['P47']
Q16	Q159	['P530']
Q222	Q1246	['P47', 'P530']
Q43	Q858	['P47', 'P530']
Q786	Q790	['P47']
Q1203	Q2599	['P1327']
Q47102	Q727001	['P737']
Q17	Q865	['P47', 'P530']
Q142	Q183	['P47', 'P530']
Q176	Q16	['P17', 'P131']
Q1851445	Q717	['P17']
Q4361	Q155	['P17']
Q391191	Q382223	['P47']
Q189	Q223	['P47']
Q913	Q859	['P802']
Q390692	Q391191	['P47']
Q29999	Q7411	['P37', 'P2936']
Q928	Q29	['P530']
Q1256	Q1449	['P36']
Q9960	Q30	['P27', 'P945']
Q1948	Q2023	['P47']
Q38	Q1216	['P150']
Q19828	Q12138	['P361']
Q214	Q212	['P47', 'P530']
Q25396	Q7411	['P37']
Q859	Q125551	['P737']
Q41	Q229	['P530']
Q902	Q865	['P530']
Q1823	Q3492	['P706']
Q4093	Q22	['P276']
Q43631	Q55	['P17']
Q184	Q36	['P47', 'P530']
Q376111	Q390865	['P47']
Q231	Q31	['P17', 'P131']
Q29	Q159	['P530']
Q36	Q212	['P47', 'P530']
Q30	Q38	['P530']
Q668	Q902	['P47', 'P530']
Q1461	Q928	['P17', 'P1376']
Q18	Q736	['P150', 'P527']
Q37693	Q48292	['P937']
Q40	Q183	['P47', 'P530']
Q1204	Q30	['P17', 'P131']
Q390646	Q391142	['P47']
Q142	Q159	['P530']
Q810	Q801	['P47', 'P530']
Q298	Q98	['P206', 'P1589']
Q21203	Q29999	['P17', 'P131', 'P159']
Q6605	Q159	['P17', 'P131']
Q889	Q889	['P17']
Q25277	Q790	['P17', 'P150']
Q38	Q1458	['P150']
Q313009	Q30	['P27']
Q283102	Q573	['P361']
Q390646	Q390824	['P47']
Q131243	Q21203	['P17', 'P131', 'P1376']
Q1400	Q30	['P17', 'P131']
Q843	Q668	['P47']
Q221	Q221	['P17']
Q12626505	Q30	['P17']
Q391191	Q391326	['P47']
Q739	Q804	['P47', 'P530']
Q35	Q458	['P361', 'P463', 'P530']
Q7239	Q283	['P2283']
Q817	Q794	['P47']
Q25279	Q7809	['P463']
Q692	Q472082	['P119']
Q352	Q7318	['P27']
Q84	Q145	['P17', 'P1376']
Q221	Q219	['P47', 'P530']
Q8678	Q155	['P17', 'P1376']
Q2305983	Q25279	['P17']
Q1486	Q5119	['P31']
Q889	Q843	['P47', 'P530']
Q9192	Q865	['P17']
Q771	Q30	['P17', 'P131']
Q390687	Q390824	['P47']
Q252	Q730	['P530']
Q730	Q730	['P17']
Q302	Q178885	['P31']
Q420	Q7239	['P2578']
Q1354	Q902	['P17', 'P1376']
Q408	Q16	['P530']
Q25528	Q55	['P17', 'P131']
Q55	Q6723	['P421']
Q790	Q96	['P530']
Q717	Q786	['P47']
Q2868	Q419	['P17', 'P1376']
Q43	Q794	['P47', 'P530']
Q800	Q800	['P17']
Q142	Q31	['P47', 'P530']
Q1486	Q414	['P17', 'P131', 'P1376']
Q159	Q184	['P47', 'P530']
Q865	Q265	['P530']
Q403	Q236	['P47', 'P530']
Q419	Q736	['P47']
Q298	Q419	['P47', 'P530']
Q1317	Q186316	['P1366']
Q3630	Q252	['P17', 'P131', 'P1376']
Q334738	Q204876	['P131']
Q2019	Q2021	['P156']
Q38	Q219	['P530']
Q902	Q843	['P530']
Q419	Q29	['P530']
Q1904	Q16	['P17', 'P131']
Q668	Q41	['P530']
Q41	Q142	['P530']
Q652	Q38	['P17', 'P2341']
Q20	Q34	['P47', 'P530']
Q5806	Q35484	['P190']
Q62060692	Q29	['P17']
Q38	Q17	['P530']
Q986	Q1049	['P47']
Q29	Q419	['P530']
Q31	Q55	['P47', 'P530']
Q4361	Q15499	['P131', 'P1376']
Q26180	Q55	['P17', 'P131']
Q694178	Q486860	['P131']
Q478813	Q695387	['P47']
Q35	Q801	['P530']
Q19386	Q25396	['P527']
Q37	Q211	['P47', 'P530']
Q1490	Q17	['P17', 'P131', 'P1376']
Q796	Q43	['P47', 'P530']
Q38	Q1443	['P150']
Q38	Q29	['P530']
Q35	Q39	['P530']
Q26180	Q29999	['P131']
Q159	Q211	['P47', 'P530']
Q142	Q29	['P47', 'P530']
Q38	Q1256	['P150']
Q1283189	Q21203	['P17', 'P1001']
Q717	Q29	['P530']
Q2988566	Q21203	['P19']
Q1781	Q28	['P17', 'P131', 'P1376']
Q78503	Q57384	['P802']
Q1216	Q38	['P17', 'P131']
Q30	Q458	['P530']
Q1065414	Q55	['P17']
Q29574	Q154946	['P25']
Q13955	Q1045	['P17']
Q55	Q458	['P361']
Q159	Q265	['P530']
Q99	Q824	['P47']
Q25396	Q29999	['P131']
Q1049	Q114	['P47', 'P530']
Q1384	Q1860	['P2936']
Q21203	Q7411	['P37', 'P2936']
Q55	Q96	['P530']
Q859	Q169243	['P737']
Q858	Q810	['P47', 'P530']
Q17	Q668	['P530']
Q24861	Q126188	['P138']
Q258	Q1029	['P47', 'P530']
Q41137	Q5680	['P36']
Q39109	Q155	['P17', 'P131']
Q4709	Q2435584	['P1376']
Q41304	Q7318	['P1366']
Q168182	Q573	['P361']
Q476233	Q695387	['P47']
Q1243	Q38	['P17', 'P131']
Q114	Q1049	['P47', 'P530']
Q39	Q142	['P47', 'P530']
Q25227	Q5762	['P421']
Q668	Q865	['P530']
Q977	Q1045	['P47', 'P530']
Q55	Q26180	['P150']
Q3711	Q5119	['P31']
Q30	Q49	['P30', 'P361']
Q25279	Q29999	['P17', 'P131', 'P159']
Q21203	Q30	['P530']
Q390824	Q390865	['P47']
Q188	Q183	['P17', 'P2341']
Q865	Q159	['P530']
Q25325	Q55	['P17']
Q1273	Q38	['P17', 'P131']
Q730	Q3769	['P47']
Q27	Q27	['P17']
Q84	Q21	['P1376']
Q27306	Q7318	['P17']
Q2021	Q2024	['P156']
Q902	Q668	['P47', 'P530']
Q154946	Q29999	['P27']
Q25227	Q25279	['P150', 'P156']
Q733	Q18	['P30', 'P361']
Q717	Q1533	['P36']
Q45	Q1028	['P530']
Q717	Q18	['P30', 'P361']
Q423	Q865	['P530']
Q1794	Q183	['P17']
Q153056	Q36153	['P527']
Q252	Q668	['P47', 'P530']
Q810	Q796	['P47', 'P530']
Q8778	Q220	['P20']
Q16	Q408	['P530']
Q458	Q55	['P527']
Q744748	Q16555	['P127', 'P131', 'P138', 'P931']
Q805	Q1045	['P530']
Q159	Q37	['P47', 'P530']
Q45	Q46	['P30']
Q766	Q145	['P47']
Q38	Q1273	['P150']
Q183	Q1055	['P150']
Q6302049	Q30	['P17']
Q716364	Q2988566	['P86', 'P676']
Q5119	Q2844	['P5869']
Q48	Q15	['P47']
Q21203	Q21203	['P17']
Q34	Q159	['P530']
Q25528	Q7411	['P37']
Q7411	Q55	['P17', 'P2341']
Q191174	Q717	['P17', 'P131']
Q824	Q1223	['P47']
Q3889	Q5119	['P31']
Q390646	Q391134	['P47']
Q16272	Q1462	['P131']
Q225	Q236	['P47', 'P530']
Q97	Q155	['P205']
Q172345	Q20	['P19', 'P27']
Q25227	Q21203	['P150', 'P156']
Q9252	Q232	['P17', 'P2341']
Q45	Q155	['P530']
Q16	Q96	['P530']
Q21203	Q1860	['P2936']
Q38	Q1243	['P150']
Q191	Q46	['P30']
Q38	Q55	['P530']
Q376111	Q36198	['P47']
Q727	Q55	['P17']
Q212	Q184	['P47', 'P530']
Q159	Q874	['P530']
Q2395093	Q25279	['P17']
Q265	Q874	['P47', 'P530']
Q458	Q35	['P150', 'P527', 'P530']
Q38	Q1282	['P150']
Q390687	Q391134	['P47']
Q26180	Q7411	['P37']
Q2179773	Q132679	['P131']
Q40	Q215	['P47']
Q419	Q414	['P530']
Q1282	Q38	['P17', 'P131']
Q668	Q48	['P30']
Q298	Q414	['P47', 'P530']
Q391247	Q391134	['P47']
Q189	Q33	['P530']
Q414	Q419	['P530']
Q79	Q79	['P17']
Q1490	Q5119	['P31', 'P138']
Q142	Q36	['P530']
Q977	Q986	['P47', 'P530']
Q29	Q45	['P47', 'P530']
Q29	Q142	['P47', 'P530']
Q38	Q142	['P47', 'P530']
Q1029	Q258	['P47', 'P530']
Q1376903	Q1163715	['P118']
Q750	Q4627	['P37', 'P2936']
Q159	Q34	['P47', 'P530']
Q96	Q55	['P530']
Q730	Q97	['P1589']
Q409	Q9794	['P136']
Q419	Q298	['P47', 'P530']
Q298	Q155	['P530']
Q865	Q17	['P47', 'P530']
Q142	Q142	['P17']
Q1447	Q38	['P17', 'P131']
Q36198	Q391247	['P47']
Q1045	Q13955	['P37']
Q289957	Q163329	['P19']
Q865	Q736	['P530']
Q3766	Q13955	['P37']
Q211	Q33	['P530']
Q29999	Q25279	['P150']
Q1520	Q5119	['P31', 'P138']
Q717	Q96	['P530']
Q27611	Q18	['P47', 'P361']
Q3066174	Q3041568	['P36']
Q183	Q27509	['P361', 'P706']
Q212	Q214	['P47', 'P530']
Q16555	Q744748	['P1830']
Q739	Q717	['P47', 'P530']
Q159	Q7737	['P37', 'P2936']
Q25279	Q7411	['P37', 'P2936']
Q865	Q668	['P530']
Q48957376	Q9174	['P31']
Q205796	Q2435584	['P150']
Q3909	Q5119	['P31']
Q1522	Q38555	['P36']
Q717	Q155	['P47', 'P530']
Q38	Q1210	['P150']
Q150747	Q154946	['P40']
Q874	Q232	['P47']
Q10717	Q5119	['P31']
Q846570	Q828	['P1889']
Q35	Q46	['P30']
Q183	Q183	['P17']
Q717	Q241	['P530']
Q40	Q142	['P530']
Q29999	Q21203	['P150']
Q774253	Q717	['P27']
Q796	Q38	['P530']
Q874	Q265	['P47', 'P530']
Q2844	Q5119	['P31']
Q181936	Q30	['P27']
Q928	Q1461	['P36']
Q1221	Q1214	['P47']
Q7411	Q26273	['P17']
Q223	Q20	['P47']
Q1841	Q1841	['P140']
Q41	Q865	['P530']
Q212	Q183	['P530']
Q29999	Q717	['P47']
Q30	Q1227	['P150']
Q3561	Q5119	['P31']
Q20	Q159	['P47', 'P530']
Q874	Q865	['P530']
Q730	Q155	['P47', 'P530']
Q1299	Q1860	['P1412']
Q391326	Q390692	['P47']
Q1028	Q45	['P530']
Q1355823	Q84	['P159']
Q1028	Q142	['P530']
Q155	Q419	['P47', 'P530']
Q1930	Q5119	['P31']
Q28	Q1781	['P36', 'P150']
Q472	Q219	['P17', 'P1376']
Q804	Q27611	['P361']
Q155	Q736	['P530']
Q104302	Q36	['P17']
Q55	Q131713	['P85']
Q155	Q29	['P530']
Q4918	Q79	['P17', 'P205']
Q170842	Q41239	['P737']
Q55	Q25528	['P150']
Q819	Q865	['P530']
Q42418	Q889	['P17', 'P159']
Q1047	Q668	['P27']
Q79	Q801	['P47', 'P530']
Q33856	Q25279	['P17']
Q924	Q114	['P47', 'P530']
Q221	Q41	['P47', 'P530']
Q15	Q5107	['P31']
Q159609	Q29574	['P26']
Q27	Q16	['P530']
Q805	Q842	['P47', 'P530']
Q2023	Q1948	['P47']
Q692265	Q30	['P27']
Q30	Q53536	['P1304']
Q1247	Q804	['P17', 'P205']
Q1280	Q38	['P17', 'P131']
Q5689	Q33	['P17']
Q458	Q16	['P530']
Q55	Q29999	['P17', 'P131', 'P361', 'P1889']
Q16272	Q391134	['P150']
Q419	Q2868	['P36']
Q801	Q35	['P530']
Q9089	Q748	['P156']
Q244	Q754	['P530']
Q380190	Q913	['P737', 'P1066']
Q408	Q865	['P530']
Q31	Q46	['P30', 'P361']
Q874	Q159	['P530']
Q142	Q38	['P47', 'P530']
Q15	Q48	['P47']
Q211	Q37	['P47', 'P530']
Q25227	Q25396	['P150']
Q145	Q84	['P36']
Q31	Q231	['P150', 'P527']
Q686	Q686	['P17']
Q298	Q750	['P47', 'P530']
Q236	Q403	['P47', 'P530']
Q48	Q46	['P47']
Q30	Q1537	['P150']
Q183	Q31	['P47', 'P530']
Q34943	Q868	['P737']
Q1431168	Q25279	['P17']
Q730	Q252	['P530']
Q17	Q38	['P530']
Q154946	Q150747	['P25', 'P138']
Q276	Q150	['P364', 'P407']
Q33	Q34	['P47', 'P530']
Q28	Q36	['P530']
Q458	Q1065	['P530']
Q21203	Q33856	['P37', 'P2936']
Q391191	Q390692	['P47']
Q221	Q43	['P530']
Q21203	Q664609	['P361', 'P706']
Q1210	Q1243	['P47']
Q414	Q298	['P47', 'P530']
Q1019	Q15	['P30']
Q1462	Q652	['P37', 'P2936']
Q769	Q754	['P530']
Q39	Q35	['P530']
Q3921	Q5119	['P31']
Q265	Q865	['P530']
Q31	Q234	['P527']
Q36198	Q390824	['P47']
Q38	Q1462	['P150']
Q55	Q1247	['P206']
Q391142	Q391007	['P47']
Q155	Q97	['P206', 'P1589']
Q1223	Q824	['P47']
Q733	Q750	['P47']
Q31	Q188	['P37', 'P2936']
Q37	Q36	['P47', 'P530']
Q244	Q769	['P530']
Q2033101	Q25396	['P131']
Q801	Q801	['P17']
Q84	Q1860	['P37']
Q713572	Q1860	['P1412']
Q6117429	Q717	['P27']
Q84263196	Q57751738	['P1889']
Q30	Q1397	['P150']
Q199821	Q8605	['P35']
Q26273	Q7411	['P37', 'P2936']
Q97	Q739	['P205']
Q3110	Q5119	['P31']
Q1462	Q16272	['P150']
Q183	Q29	['P530']
Q819	Q869	['P47', 'P530']
Q16	Q1930	['P36']
Q458	Q183	['P150', 'P527']
Q754	Q766	['P530']
Q458	Q29999	['P112', 'P150']
Q40	Q16	['P530']
Q1987	Q1988	['P155']
Q1045	Q977	['P47', 'P530']
Q25227	Q132679	['P36']
Q390865	Q390824	['P47']
Q184	Q214	['P530']
Q739	Q419	['P47', 'P530']
Q46940	Q29	['P17']
Q4918	Q801	['P17', 'P205']
Q668	Q794	['P530']
Q739	Q736	['P47', 'P530']
Q784	Q786	['P1889']
Q25396	Q331584	['P36']
Q49	Q30	['P17', 'P527']
Q13780930	Q2	['P460']
Q5089	Q48	['P30']
Q7411	Q29999	['P17']
Q458	Q46	['P30', 'P1889']
Q2024	Q2021	['P155']
Q1781	Q5119	['P31']
Q29999	Q41614	['P122']
Q21203	Q25227	['P361']
Q262	Q948	['P47', 'P530']
Q865	Q813	['P530']
Q18	Q733	['P150', 'P527']
Q15180	Q159	['P3842']
Q265	Q159	['P530']
Q29	Q928	['P530']
Q472	Q5119	['P31']
Q790	Q34261	['P36']
Q155	Q45	['P530']
Q31	Q7411	['P37', 'P2936']
Q41	Q668	['P530']
