ENT1	ENT2	Properties
Q2826644	Q142	['P17']
Q828	Q7322	['P61']
Q1649	Q30	['P17', 'P131']
Q17012	Q664609	['P706']
Q64	Q90	['P190']
Q30	Q771	['P150']
Q704	Q456	['P159']
Q236	Q41	['P530']
Q766	Q155	['P530']
Q5370358	Q790	['P27']
Q181	Q52	['P800']
Q731824	Q30	['P17']
Q1317264	Q790	['P17']
Q30	Q828	['P138', 'P1889']
Q39	Q183	['P47', 'P530']
Q148	Q668	['P47', 'P530']
Q986301	Q790	['P17']
Q3774	Q298	['P17']
Q717	Q142	['P47', 'P530']
Q1321	Q241	['P17']
Q1043104	Q142	['P17', 'P291', 'P495']
Q530045	Q142	['P27']
Q191934	Q186517	['P1889']
Q34583	Q154425	['P1889']
Q3792	Q945	['P17', 'P1376']
Q96	Q298	['P530']
Q30612480	Q15777045	['P463']
Q96	Q20	['P530']
Q717	Q736	['P530']
Q3572	Q948	['P17', 'P1376']
Q21	Q25	['P47']
Q5813	Q29	['P17', 'P131']
Q23792	Q801	['P17', 'P1382']
Q36	Q142	['P530']
Q11194	Q225	['P17', 'P1376']
Q979	Q7186	['P61']
Q209617	Q1395689	['P102']
Q16899166	Q790	['P17']
Q615	Q38	['P27']
Q218	Q39	['P530']
Q1008	Q1008	['P17']
Q7727	Q11574	['P527', 'P9059']
Q2745589	Q8652	['P131']
Q520445	Q156913	['P127']
Q819	Q9326	['P36']
Q1345	Q30	['P17']
Q2980493	Q155	['P27']
Q40	Q215	['P47']
Q159	Q145	['P530']
Q115441	Q241	['P17', 'P131']
Q1865	Q833	['P17', 'P131', 'P1376']
Q40715	Q30	['P27']
Q945890	Q536635	['P26']
Q1458	Q38	['P17', 'P131']
Q1207	Q37066	['P36']
Q49	Q664609	['P527']
Q230597	Q657461	['P36']
Q962960	Q5092	['P20']
Q843	Q837	['P530']
Q142	Q17012	['P150']
Q46	Q38	['P527']
Q241	Q30	['P47']
Q23482	Q142	['P17']
Q1754	Q34	['P17', 'P1376']
Q183	Q39	['P47', 'P530']
Q29422	Q30	['P17']
Q829	Q30	['P17', 'P131']
Q80245	Q96	['P17', 'P131']
Q160636	Q96	['P17']
Q340	Q141963	['P47']
Q79	Q142	['P530']
Q21005754	Q204220	['P54']
Q33959	Q142	['P17']
Q928	Q334	['P530']
Q204327	Q81965	['P127', 'P749']
Q94775	Q241	['P17']
Q936717	Q923362	['P36']
Q790	Q33491	['P37', 'P2936']
Q38	Q142	['P47', 'P530']
Q406	Q43	['P17']
Q45859	Q1841	['P140']
Q39	Q39	['P17']
Q1006	Q1008	['P47']
Q228	Q29	['P47']
Q95025	Q29	['P17']
Q185	Q1860	['P1412', 'P6886']
Q48	Q15	['P47']
Q1428	Q30	['P17', 'P131']
Q749029	Q142	['P27']
Q155	Q16	['P530']
Q888180	Q41211	['P19', 'P20']
Q172	Q1904	['P131', 'P1376']
Q159	Q159	['P17']
Q902	Q148	['P530']
Q252	Q142	['P530']
Q142	Q40	['P530']
Q736	Q77	['P530']
Q7187	Q37748	['P361']
Q912	Q1028	['P530']
Q79	Q43	['P530']
Q983159	Q3350789	['P1327']
Q155	Q38	['P530']
Q1387804	Q142	['P27']
Q17	Q148	['P47', 'P530']
Q4264	Q414	['P112', 'P527']
Q1563	Q241	['P17', 'P1376']
Q515386	Q504520	['P461']
Q851	Q79	['P47']
Q239	Q61	['P190']
Q16655725	Q83172	['P361']
Q16	Q17	['P530']
Q12894798	Q790	['P27']
Q142	Q17054	['P150']
Q29	Q2807	['P36']
Q898618	Q16563	['P159']
Q1612	Q1509	['P47']
Q727	Q55	['P17']
Q3133	Q9128	['P279']
Q14821	Q183	['P17']
Q658160	Q606555	['P40']
Q142	Q46	['P30']
Q790	Q16	['P530']
Q846	Q851	['P47', 'P530']
Q3733	Q1006	['P17', 'P1376']
Q812	Q30	['P17', 'P131']
Q302	Q21196	['P841']
Q485235	Q30	['P17']
Q9022	Q96	['P17']
Q30	Q797	['P150']
Q18426	Q60	['P131']
Q1589444	Q61	['P131', 'P159']
Q125384	Q928	['P17', 'P131', 'P361', 'P706']
Q353458	Q790	['P20', 'P27']
Q1781	Q28	['P17', 'P131', 'P1376']
Q6256	Q7275	['P460', 'P1889']
Q51103	Q739	['P17']
Q1011	Q5146	['P37', 'P2936']
Q16739	Q30	['P17']
Q81033	Q1489	['P190']
Q668	Q30	['P530']
Q790	Q790	['P17']
Q241	Q155	['P530']
Q2935107	Q456	['P20']
Q142	Q730	['P47', 'P530']
Q18813	Q36766	['P527']
Q1128	Q37463	['P61']
Q57512	Q34261	['P19']
Q121842	Q142	['P17', 'P27']
Q156913	Q921159	['P199', 'P1830']
Q1877	Q23533	['P131', 'P1376']
Q750	Q419	['P47', 'P530']
Q96	Q717	['P530']
Q8717	Q29	['P17']
Q183	Q29	['P530']
Q3297724	Q790	['P27']
Q30	Q812	['P150']
Q185572	Q9617	['P54', 'P6087']
Q38	Q928	['P530']
Q92067	Q183	['P27']
Q30	Q717	['P530']
Q5555008	Q30	['P17']
Q3525440	Q1677882	['P26', 'P451']
Q81621	Q142	['P17']
Q35	Q30	['P530']
Q577	Q5151	['P527']
Q736	Q717	['P530']
Q155	Q414	['P47', 'P530']
Q57512	Q790	['P27']
Q148	Q858	['P530']
Q183	Q30	['P530']
Q43387	Q43	['P17']
Q574427	Q22299157	['P156']
Q12892	Q31	['P17']
Q57512	Q3290543	['P39']
Q162684	Q64	['P127', 'P131', 'P137', 'P159', 'P2541']
Q649	Q159	['P17', 'P131', 'P1376']
Q82142	Q5783	['P131']
Q3350789	Q142	['P27']
Q37260	Q5	['P1535']
Q16946310	Q790	['P27']
Q790	Q183	['P530']
Q21207600	Q790	['P17']
Q3519	Q38	['P17']
Q2861263	Q446842	['P40']
Q7204	Q48	['P30', 'P361']
Q39	Q30	['P530']
Q1041737	Q1930	['P159']
Q24384	Q1311	['P527']
Q1050194	Q142	['P27']
Q9887	Q16330	['P1889']
Q5232952	Q1183	['P131']
Q830	Q693690	['P527']
Q801	Q790	['P530']
Q923766	Q187697	['P112']
Q3505937	Q223955	['P26']
Q62823	Q739	['P17']
Q414	Q183	['P530']
Q116716	Q16181	['P131']
Q502	Q1289	['P19']
Q81923	Q142	['P27']
Q1748	Q35	['P17', 'P1376']
Q19546	Q450675	['P1308']
Q30	Q1166	['P150']
Q96	Q1489	['P36', 'P150']
Q717	Q790	['P530']
Q668	Q1019	['P530']
Q238315	Q142	['P27']
Q710	Q710	['P17']
Q2941437	Q995695	['P131']
Q8619	Q340	['P19', 'P20']
Q8717	Q5783	['P1376']
Q142	Q16	['P530']
Q796	Q48	['P30']
Q18363	Q29	['P27']
Q31	Q183	['P47', 'P530']
Q39673	Q13813	['P131']
Q956	Q148	['P17', 'P131', 'P1376']
Q9326	Q5119	['P31']
Q8932	Q20	['P527']
Q16557	Q30	['P17']
Q3287790	Q142	['P27']
Q1757	Q33	['P17', 'P1376']
Q34404	Q30	['P17']
Q1205322	Q790	['P17']
Q859290	Q30	['P17']
Q95028	Q29	['P17']
Q658160	Q3438839	['P26']
Q298	Q29	['P530']
Q5831	Q29	['P17', 'P131', 'P500', 'P1336']
Q204793	Q14833	['P47']
Q1041	Q1041	['P17']
Q95015	Q5783	['P131']
Q16	Q790	['P530']
Q6334727	Q1362411	['P118']
Q142	Q38	['P47', 'P530']
Q5823	Q5831	['P190']
Q774	Q30	['P530']
Q148	Q46862	['P150']
Q1858	Q881	['P17', 'P1376']
Q155	Q96	['P530']
Q230	Q46	['P30']
Q20	Q30	['P530']
Q3300715	Q3427179	['P26']
Q766	Q754	['P530']
Q3085147	Q2348226	['P102']
Q1016929	Q790	['P17']
Q865	Q833	['P530']
Q902	Q1354	['P36']
Q884	Q833	['P530']
Q816	Q30	['P17', 'P131']
Q517	Q142	['P27']
Q28803333	Q30	['P551']
Q30290566	Q790	['P17']
Q183	Q31	['P47', 'P530']
Q924	Q1029	['P47']
Q658160	Q2863424	['P40']
Q739	Q419	['P47', 'P530']
Q1408	Q30	['P17', 'P131']
Q115027	Q241	['P17', 'P131']
Q884	Q794	['P530']
Q1041	Q1006	['P47']
Q1411	Q220	['P20']
Q9326	Q819	['P17', 'P1376']
Q96	Q142	['P530']
Q38555	Q1522	['P1376']
Q994	Q230	['P17', 'P131', 'P1376']
Q851	Q34	['P530']
Q29	Q45	['P47', 'P530']
Q148	Q142	['P530']
Q1212	Q30	['P17', 'P131']
Q851	Q48	['P30']
Q604581	Q2868	['P159']
Q3357483	Q142	['P27']
Q18424	Q60	['P131']
Q923362	Q790	['P17']
Q183	Q55	['P47', 'P530']
Q858	Q423	['P530']
Q778	Q778	['P17']
Q30	Q142	['P530']
Q3157785	Q1451173	['P26']
Q3901	Q970	['P17', 'P1376']
Q790	Q96	['P530']
Q535	Q90	['P20', 'P937']
Q183	Q733	['P530']
Q529	Q142	['P27']
Q816092	Q142	['P17']
Q7239	Q7868	['P527']
Q15760892	Q142	['P495']
Q1461	Q928	['P17', 'P1376']
Q84	Q145	['P17', 'P1376']
Q42666	Q16967	['P131']
Q796	Q817	['P47', 'P530']
Q51488	Q229258	['P26']
Q114	Q185371	['P150']
Q155	Q97	['P206', 'P1589']
Q16945742	Q790	['P27']
Q865	Q8646	['P530']
Q1672657	Q16554694	['P2632']
Q46	Q458	['P1889']
Q1498	Q1165	['P47']
Q8646	Q865	['P530']
Q8684	Q884	['P17', 'P131', 'P1376']
Q125232	Q2536941	['P150']
Q183	Q40	['P47', 'P530']
Q155	Q174432	['P61']
Q1563	Q1489	['P190']
Q298	Q750	['P47', 'P530']
Q7809	Q90	['P159']
Q2868	Q419	['P17', 'P1376']
Q1761	Q27	['P17', 'P131', 'P1376']
Q1509	Q30	['P17', 'P131']
Q357387	Q3086968	['P1327']
Q38	Q183	['P530']
Q3992	Q31	['P17']
Q14833	Q204793	['P47']
Q1041737	Q16	['P17']
Q210093	Q82142	['P131']
Q42814	Q30	['P3461']
Q790	Q865	['P530']
Q23556	Q30	['P17']
Q252	Q902	['P530']
Q970	Q1019	['P47']
Q51693	Q30	['P17']
Q1415	Q30	['P17', 'P131']
Q1141252	Q51566	['P57', 'P58', 'P161', 'P162']
Q38	Q1243	['P150']
Q589047	Q419	['P17']
Q1509	Q173	['P47']
Q1019	Q15	['P30']
Q1022933	Q77	['P17']
Q5151	Q577	['P361']
Q145	Q142	['P530']
Q588787	Q12772	['P131']
Q42814	Q458	['P3461']
Q1400	Q30	['P17', 'P131']
Q159	Q16	['P530']
Q298	Q155	['P530']
Q17054	Q81621	['P36', 'P150']
Q96	Q414	['P530']
Q1041	Q30	['P530']
Q16	Q39	['P530']
Q585	Q20	['P17', 'P1376']
Q1395689	Q34261	['P159']
Q4264	Q77	['P112', 'P527']
Q34	Q191	['P530']
Q37400	Q836	['P17', 'P1376']
Q1308616	Q1486	['P47']
Q858	Q79	['P530']
Q6602	Q142	['P17']
Q142	Q39	['P47', 'P530']
Q159	Q38	['P530']
Q900627	Q142	['P17']
Q29	Q145	['P530']
Q796	Q794	['P47', 'P530']
Q30	Q17	['P530']
Q786	Q790	['P47']
Q81978	Q29	['P17']
Q922867	Q207973	['P131']
Q7295057	Q790	['P495']
Q597	Q8678	['P190']
Q142	Q28	['P530']
Q98057749	Q29	['P17']
Q56855591	Q1437507	['P108']
Q7771	Q142	['P27']
Q116716	Q38	['P17']
Q100960048	Q790	['P17']
Q38	Q419	['P530']
Q142	Q148	['P530']
Q29	Q29	['P17']
Q403	Q221	['P47', 'P530']
Q993851	Q790	['P17']
Q1588	Q30	['P17', 'P131']
Q725722	Q657	['P27']
Q5644342	Q539678	['P118']
Q1132121	Q2068218	['P185']
Q1492	Q29	['P17']
Q114680	Q142	['P17']
Q12097	Q16511993	['P460', 'P461']
Q2887	Q298	['P17', 'P1376']
Q414	Q30	['P530']
Q77	Q750	['P530']
Q419	Q2868	['P36']
Q40	Q142	['P530']
Q754	Q145	['P530']
Q9128	Q11982	['P366']
Q17427	Q148	['P17']
Q7758	Q142	['P27']
Q142	Q36	['P530']
Q38	Q45	['P530']
Q34261	Q790	['P17', 'P1376']
Q25581833	Q790	['P27']
Q55	Q38	['P530']
Q43	Q142	['P530']
Q766	Q34692	['P36']
Q90	Q142	['P17', 'P1376']
Q230597	Q739	['P17', 'P131']
Q80263	Q739	['P17']
Q142	Q1009	['P530']
Q148	Q711	['P47', 'P530']
Q3621870	Q36947	['P19', 'P20']
Q642627	Q90	['P159']
Q1311	Q1313	['P461']
Q1000139	Q262	['P17']
Q16	Q176	['P150']
Q46862	Q11746	['P36', 'P150']
Q18094	Q782	['P1376']
Q759	Q30	['P17', 'P131']
Q20013824	Q29	['P27']
Q948	Q142	['P530']
Q255116	Q177764	['P1049']
Q965	Q965	['P17']
Q790	Q608361	['P150']
Q26430	Q55	['P17']
Q16	Q215	['P530']
Q31	Q30	['P530']
Q2135	Q1948	['P361', 'P1376']
Q55381	Q90	['P19', 'P20']
Q173	Q30	['P17', 'P131']
Q986301	Q913231	['P1376']
Q2841	Q739	['P17', 'P131', 'P1376']
Q414	Q298	['P47', 'P530']
Q155	Q77	['P47', 'P530']
Q3300715	Q106418	['P40']
Q7414	Q127552	['P355', 'P1830']
Q15	Q5401	['P47']
Q717	Q29	['P530']
Q241	Q115441	['P150']
Q867851	Q142	['P17']
Q155	Q258	['P530']
Q1166	Q30	['P17', 'P131']
Q419	Q155	['P47', 'P530']
Q142	Q244	['P530']
Q884	Q17	['P47', 'P530']
Q3995	Q29	['P17', 'P131']
Q23533	Q881	['P17', 'P131']
Q468470	Q939319	['P26']
Q8162	Q8091	['P527']
Q754	Q664609	['P361', 'P706']
Q928	Q796	['P530']
Q7239	Q283	['P2283']
Q34	Q34	['P17']
Q717	Q30	['P47', 'P530']
Q916	Q1033	['P530']
Q150	Q142	['P17', 'P2341']
Q30	Q61	['P36']
Q2044	Q38	['P17']
Q215147	Q241	['P17', 'P131']
Q1006	Q1014	['P47']
Q731824	Q96	['P17']
Q183	Q16	['P530']
Q16	Q29	['P530']
Q36600	Q55	['P17', 'P1376']
Q1009	Q3808	['P36']
Q115497	Q241	['P17', 'P131']
Q881	Q142	['P530']
Q766	Q298	['P530']
Q63059	Q1045616	['P26']
Q461111	Q2851691	['P26']
Q1439	Q30	['P17', 'P131']
Q20563779	Q790	['P27']
Q16	Q30	['P47', 'P530']
Q1006	Q1006	['P17']
Q30	Q786	['P530']
Q1774	Q924	['P17', 'P131']
Q11756	Q41493	['P156']
Q939319	Q468470	['P26']
Q50413883	Q967260	['P131']
Q30	Q774	['P530']
Q48245	Q790	['P17']
Q16	Q794	['P530']
Q178925	Q5813	['P361', 'P706']
Q33977	Q3816	['P737']
Q5401	Q15	['P47']
Q23436	Q22	['P1376']
Q239	Q31	['P17', 'P1376']
Q90	Q46	['P30']
Q5816	Q17427	['P102']
Q889674	Q790	['P27']
Q3116170	Q790	['P17']
Q32494	Q82595	['P118']
Q924	Q114	['P47', 'P530']
Q1017	Q6916	['P47']
Q2778106	Q74428	['P1327']
Q467803	Q722071	['P945']
Q796	Q7204	['P361']
Q39	Q142	['P47', 'P530']
Q25281	Q881	['P17']
Q56823818	Q114	['P19']
Q299119	Q45	['P27']
Q38	Q29	['P530']
Q33491	Q22065910	['P1018', 'P3719']
Q229990	Q312258	['P26', 'P737']
Q142	Q458	['P361', 'P463']
Q241	Q96	['P530']
Q296386	Q142	['P27']
Q30	Q790	['P530']
Q77	Q717	['P530']
Q1553	Q30	['P17', 'P131']
Q64	Q183	['P17', 'P131', 'P1376']
Q1486	Q414	['P17', 'P131', 'P1376']
Q1489	Q96	['P17', 'P131', 'P1376']
Q724	Q30	['P17', 'P131']
Q38	Q30	['P530']
Q414	Q733	['P47', 'P530']
Q74428	Q2778106	['P1327']
Q786	Q96	['P530']
Q34692	Q766	['P17', 'P1376']
Q12891041	Q790	['P27']
Q38	Q794	['P530']
Q142	Q90	['P36']
Q767221	Q16	['P17']
Q1490	Q90	['P190']
Q236	Q221	['P530']
Q157	Q142	['P27']
Q18	Q155	['P150', 'P527']
Q30612480	Q29033668	['P26']
Q1861	Q869	['P17', 'P131', 'P1376']
Q157309	Q36180	['P106']
Q1209	Q1197	['P47', 'P501']
Q1008	Q965	['P47']
Q36153	Q18913048	['P40']
Q31	Q55	['P47', 'P530']
Q2031705	Q34261	['P19']
Q1019	Q148	['P530']
Q1183	Q30	['P17']
Q80478	Q96	['P17']
Q17496643	Q3844	['P19']
Q34617	Q142	['P17', 'P131', 'P500']
Q30	Q183	['P530']
Q218984	Q230	['P17']
Q3703	Q912	['P17', 'P1376']
Q183	Q414	['P530']
Q2659710	Q3116170	['P4552']
Q3711	Q403	['P17', 'P1376']
Q154545	Q90	['P937']
Q807	Q39	['P17']
Q97	Q96	['P205']
Q618992	Q3294676	['P26']
Q928	Q8646	['P530']
Q6256	Q183	['P5869']
Q148	Q766	['P530']
Q252	Q843	['P530']
Q467803	Q1042	['P20']
Q1009	Q142	['P530']
