text,text_preprocessed,k10_label
Et esa bloo flag with t' yoonyen flag in t' kantan an t' tal' o' t' [[Pitkern]] stap.,Et esa bloo flag with t yoonyen flag in t kantan an t tal o t Pitkern stap,8_20
"B'for dem [[Urup]]ean liiwd defe, t' siit o' Brisbin s' enhabit a' dem Aborijinal salan.",Bfor dem Urupean liiwd defe t siit o Brisbin s enhabit a dem Aborijinal salan,8_22
Dis rilijin staat in t' [[Medl Eist]] lorng tiem agoe.,Dis rilijin staat in t Medl_Eist lorng tiem agoe,8_59
Norfolk TV esa televisiien chann'l o' t' [[Norfuk Ailen]] (administratively paat a' [[Ostrielya]]) broadkastin advertisements for lokel businesses an tuurist informayshun.,Norfolk TV esa televisiien channl o t Norfuk_Ailen broadkastin advertisements for lokel businesses an tuurist informayshun,8_6
Islem esa [[rilijin]] a' wan [[God]]; Allah a' Islem.,Islem esa rilijin a wan God Allah a Islem,8_20
"[[Meka]], [[Mediina]] an Jerusalem a' dem emportan citiis i' Islem.",Meka Mediina an Jerusalem a dem emportan citiis i Islem,8_59
"Bifo' et bin wos t' paat o' [[Doichland]], an t' las naiim wos Kyonigsberg (Doich: ""Königsberg;"" [[Rushan]]: ""Кёнигсберг"").",Bifo et bin wos t paat o Doichland an t las naiim wos Kyonigsberg,8_26
T' siisen a' kam aafta [[winta]] an afor [[sama]].,T siisen a kam aafta winta an afor sama,8_59
"En ar sauthen hemisfiya 's miek ap a' [[Septemba]], [[Oktoeba]] an [[Nowemba]].",En ar sauthen hemisfiya s miek ap a Septemba Oktoeba an Nowemba,8_32
Dem Lyrics i' [[Niuean]].,Dem Lyrics i Niuean,8_59
Pukapukan es konsidired b' skolars an' talas tuu t' b' a distinkt laenghwij moor rilii riilated t' Sāmoan and Tokelauan t' Dem [[Cook]] [[Ailen]] Māori.,Pukapukan es konsidired b skolars an talas tuu t b a distinkt laenghwij moor rilii riilated t Sāmoan and Tokelauan t Dem Cook Ailen Māori,8_7
"Tiemsoen esa plais a' [[Erth]] se hes standid [[tiem]], niemd ""loekil tiem"".",Tiemsoen esa plais a Erth se hes standid tiem niemd loekil tiem,8_59
Esa goldin yeloe flag wi' t' flag o' t' [[Yunitid Kingdum]] i' t' kantan a' t' flag.,Esa goldin yeloe flag wi t flag o t Yunitid_Kingdum i t kantan a t flag,8_29
Et es dem [[ailen]] in a' Medittaraniyan See neya [[Italii]].,Et es dem ailen in a Medittaraniyan See neya Italii,8_26
"Admiral Arthur Phillip RN (11 Oktoeba 173831 Orgas 1814) wos t' fas Gavna a' Nyuu Sowth Wiels, an founder o' t' settlement which became [[Sidni]].",Admiral Arthur Phillip RN wos t fas Gavna a Nyuu Sowth Wiels an founder o t settlement which became Sidni,8_8
"[[Bra]] [[esa]] andargamn f' holdin dem briists o' women in plaes, an' kiip dem kover'd.",Bra esa andargamn f holdin dem briists o women in plaes an kiip dem koverd,8_20
"[[Bras]] ar design'd f' wiid warietiis o' purposes, such a' enhans t' size o' dem briists, t' criiate kliiwaj, among otha konsaaiderashuns.",Bras ar designd f wiid warietiis o purposes such a enhans t size o dem briists t criiate kliiwaj among otha konsaaiderashuns,8_9
"Sum piopel haa a' medikal niid f' [[bras]], but t' majoritii wear dem f' feshn o' kulchural riisons onlii.",Sum piopel haa a medikal niid f bras but t majoritii wear dem f feshn o kulchural riisons onlii,8_59
Deir esn't ewidens daa [[bras]] prewen t' saggin o' dem briists w' aging; aksyulii t' ewidens i' kontrarii.,Deir esnt ewidens daa bras prewen t saggin o dem briists w aging aksyulii t ewidens i kontrarii,8_59
"One studieh sujests daa [[bras]] wiiken t' tissue o' dem briists, w' eksepshun o' durin eksersiis o' sports.",One studieh sujests daa bras wiiken t tissue o dem briists w eksepshun o durin eksersiis o sports,8_59
"I' spaait o' dis, manii women haa protest'd t' standart o' sosietii daa women must wear [[bras]] a' aw tiems i' plaeses o' pablik.",I spaait o dis manii women haa protestd t standart o sosietii daa women must wear bras a aw tiems i plaeses o pablik,8_10
Bras [[ken]] [[elsa]] bii yuus'd t' miek a' soshul statement.,Bras ken elsa bii yuusd t miek a soshul statement,8_59
"A' dem 1920s i' dem [[Yunitid Staits o' Merika]], t' feshn a' tiem waa miek dem briists look flat.",A dem s i dem Yunitid_Staits_o_Merika t feshn a tiem waa miek dem briists look flat,8_30
[[A]]' 2003 dem hired t' jeweler Mouawad t' kriiat one yuusin ower 2500 karats o' diemonds an' safires.,A dem hired t jeweler Mouawad t kriiat one yuusin ower karats o diemonds an safires,8_59
"Howeva, a' 10 Juulai 1999, Brandi Chastain gave dem [[Yunitid Staits o' Merika]] t' win ower China a' game o' fuutbaw a' t' 1999 FIFA Women's World Cup Final.",Howeva a Juulai Brandi Chastain gave dem Yunitid_Staits_o_Merika t win ower China a game o fuutbaw a t FIFA Womens World Cup Final,8_11
Biin siin i' plaeses a' pablik [[wit]] nor bra es biikomin [[mor]] sosyuuli aksepted a' t' West.,Biin siin i plaeses a pablik wit nor bra es biikomin mor sosyuuli aksepted a t West,8_26
"Đồng Hới (Wiyetnaamese: ""Thành phố Đồng Hới"") esa toen i' Vietnam, en t' prowins o' Quảng Bình, i' Bac Trung Bo, [[Wiyetnaam]].",Đồng Hới esa toen i Vietnam en t prowins o Quảng Bình i Bac Trung Bo Wiyetnaam,8_13
"As a Plato's deskripshun, Etlantida wos sityuaitiid bitwiin mautiin chain Etlas i' [[Afreka]] an [[Jibrulta]].",As a Platos deskripshun Etlantida wos sityuaitiid bitwiin mautiin chain Etlas i Afreka an Jibrulta,8_59
"Jiiografii es t' [[saiens]] t' studehs dem land, dem fiichaa, dem salan, an t' fenomena a' t' [[Erth]] an otha plaanets.",Jiiografii es t saiens t studehs dem land dem fiichaa dem salan an t fenomena a t Erth an otha plaanets,8_12
Kosawo esa province o' [[Serbya]].,Kosawo esa province o Serbya,8_20
[[Ches]] an [[Minecraft]] ar geiims.,Ches an Minecraft ar geiims,8_26
Kuntrii es neya [[Skotlund]] a' [[Waals]].,Kuntrii es neya Skotlund a Waals,8_26
"William Bradley ""Brad"" Pitt ([[Disemba]] 18, 1963) es wun Merikan akter an film producer.",William Bradley Brad Pitt es wun Merikan akter an film producer,8_66
"Josiif Davidovich Kobsoen (; [[Septemba]] 11, 1937, Chasov Yar — [[Orgas]] 30, 2018, [[Moskou]]) wos t' [[Rushan]] siinga an politishun o' [[Jua]] nayshun.",Josiif Davidovich Kobsoen wos t Rushan siinga an politishun o Jua nayshun,8_59
Et es neer [[Shiina]] an [[Endya]].,Et es neer Shiina an Endya,8_26
Somoto esa toen i' [[Nicaragua]].,Somoto esa toen i Nicaragua,8_13
"Biiolojii esa [[saiens]], daa studehs laaef, dem plaant an dem anamal.",Biiolojii esa saiens daa studehs laaef dem plaant an dem anamal,8_20
Kreschenitii esa [[rilijin]] mad f' t' tiichin a' [[Jesus]].,Kreschenitii esa rilijin mad f t tiichin a Jesus,8_20
A' wan [[God]] a' Kreschenitii.,A wan God a Kreschenitii,8_59
Dem salan daa folluu kreschenitii a' em [[kreschen]].,Dem salan daa folluu kreschenitii a em kreschen,8_59
Dis rilijin staat esa i' t' [[Medl Eist]]/Lewant 'bout tu tausen iya agoe.,Dis rilijin staat esa i t Medl_EistLewant bout tu tausen iya agoe,8_20
"Hachikuu (Japaniis: ハチ公) esa akitainuu [[dorg]] bin remembren f' his loyalitii tuu his ownaa, Hidesaburo Ueno (Japaniis: 上野 英三郎), f' huum hi kontinyuud t' weit f' ower 9 iyas aafta Ueno's deth.",Hachikuu esa akitainuu dorg bin remembren f his loyalitii tuu his ownaa Hidesaburo Ueno f huum hi kontinyuud t weit f ower iyas aafta Uenos deth,8_14
"Mikheil Saakashvili (Juun 1967) es t' 3th President o' t' [[Jorja]] (2004-2007, 2008-2013).",Mikheil Saakashvili es t th President o t Jorja,8_26
Dzhek esa village i' [[Eserbeyjan]].,Dzhek esa village i Eserbeyjan,8_20
"Svetlana Sergiyivna Loboda (Yukrayniian: Світла́на Сергі́ївна Лобода́; [[Rushan]]: Светлана Сергеевна Лобода) (Oktoeba 18, 1982, [[Kiev]], [[YoSSR]]) esa wun Yukrayiniian an [[Rushan]] singaa.",Svetlana Sergiyivna Loboda esa wun Yukrayiniian an Rushan singaa,8_20
"Hoss ulla Hors ([[Leten]]: ""Equus ferus caballus"") esa wun a' em domestik anamals.",Hoss ulla Hors esa wun a em domestik anamals,8_20
" es d' sikth manth a' d' iya, en d' fas manth a' [[sama]].",es d sikth manth a d iya en d fas manth a sama,8_15
Histreikli Koukeisiis es a' nachural border bitwiin Eist Urup an [[West Asya]].,Histreikli Koukeisiis es a nachural border bitwiin Eist Urup an West_Asya,8_26
"Boards of Canada ([[Norfuk]]: ""Bods o' Kaneda)"" esa band i' [[Skotlund]].",Boards of Canada esa band i Skotlund,8_20
"Jason Bateman ([[Jaenyuweri]] 14, 1969) es wun Merikan akter.",Jason Bateman es wun Merikan akter,8_66
Entanashunal Fonetikl Elphabet (EFE; [[Inglish]]: IPA; [[French]]: API) esa elphabetik system o' fonetikl notayshun beis'd a' t' [[Leten]] elphabet.,Entanashunal Fonetikl Elphabet esa elphabetik system o fonetikl notayshun beisd a t Leten elphabet,8_20
Luciano Huck (born 3 septemba 1971) es a [[Bresel]]yan television presenter.,Luciano Huck es a Breselyan television presenter,8_26
"Woodway esa [[citii]] i' Snohomish County, Washington, Yunitid Staits.",Woodway esa citii i Snohomish County Washington Yunitid Staits,8_58
Woodway es 6th o' 522 i' [[mani]] i' Washington.,Woodway es th o i mani i Washington,8_26
"I' t' 19t centurii, [[Wenezuela]] endured poliitical turmoil an militarii dictatorships.",I t t centurii Wenezuela endured poliitical turmoil an militarii dictatorships,8_59
"T' Yunitid Staits, [[Kolombiya]], an mani othas rekognaaiz'd his claim.",T Yunitid Staits Kolombiya an mani othas rekognaaizd his claim,8_58
"Anda t' government o' [[Adoelf Hitlar]], Jirmanii waa transformed t' a' totalitarian stait daa kontroled ewery aspekt o' life.",Anda t government o Adoelf_Hitlar Jirmanii waa transformed t a totalitarian stait daa kontroled ewery aspekt o life,8_16
[[A]]' Kontenent esa larj piis o' lan.,A Kontenent esa larj piis o lan,8_20
"Dem [[Indo]]-Urupean laenghwij: [[French]], Doich (Jerman), [[Italiian]], Katalan, [[Latwyan]], [[Lithyuanyan]], [[Rushan]], [[Elbanyan]], Occitan, [[Inglish]], [[Leten]], [[Aarmanyan]], Gikuiiu, Swis (Roemaansh), [[Romainyan]], [[Porchuguees]], [[Belerushan]], [[Bulgeriyan]], [[Serbyan]], [[Slowarkyan]], Slowenyan, Airiish, [[Skots]], [[Poelish]], [[Norfuk]], [[Pitkern]].",Dem IndoUrupean laenghwij French Doich Italiian Katalan Latwyan Lithyuanyan Rushan Elbanyan Occitan Inglish Leten Aarmanyan Gikuiiu Swis Romainyan Porchuguees Belerushan Bulgeriyan Serbyan Slowarkyan Slowenyan Airiish Skots Poelish Norfuk Pitkern,8_17
"All o' dem ailen eksept f' Swains Ailen ar part o' dem Samoan Ailen, loekaytid west o' [[Dem Kuuk Ailen]], north o' Tonga, an soom 300 miles (500 km) sowth o' Tokelau.",All o dem ailen eksept f Swains Ailen ar part o dem Samoan Ailen loekaytid west o Dem_Kuuk_Ailen north o Tonga an soom miles sowth o Tokelau,8_18
T' Pitkern Anthem es wun nashunal anthem o' [[Norfuk Ailen]] an [[Pitkern Ailen]].,T Pitkern Anthem es wun nashunal anthem o Norfuk_Ailen an Pitkern Ailen,8_26
"En ar sauthen hemisfiya 's miek ap a' [[Juun]], [[Juulai]] an [[Orgas]].",En ar sauthen hemisfiya s miek ap a Juun Juulai an Orgas,8_32
"En ar nauthen hemisfiya 's en [[Disemba]], [[Jaenyuweri]] an [[Febyuweri]].",En ar nauthen hemisfiya s en Disemba Jaenyuweri an Febyuweri,8_32
Jua esa followers o' t' rilijin a' [[Judaism]].,Jua esa followers o t rilijin a Judaism,8_20
Mani tuares in [[Norfuk Ailen]] kam tu sii dem historik bildings in [[Kingston]].,Mani tuares in Norfuk_Ailen kam tu sii dem historik bildings in Kingston,8_26
"Howea esa genus a' tu paams, ""H. belmoreana"" an ""H. forsteriana"", both endemic t' [[Lord Howe Ailen]], [[Ostrielya]].",Howea esa genus a tu paams H belmoreana an H forsteriana both endemic t Lord_Howe_Ailen Ostrielya,8_4
"Reginaldo Figueira de Faria ([[Juun]] 11, 1937) es wun [[Bresel]]yan atker.",Reginaldo Figueira de Faria es wun Breselyan atker,8_26
Ets t' branch a' [[biiolojii]] a daa haufs t' dea wit' t' riilayshunshep a' em organisms t' wan anotha an t' deir fisikel suroundins.,Ets t branch a biiolojii a daa haufs t dea wit t riilayshunshep a em organisms t wan anotha an t deir fisikel suroundins,8_19
T' [[tal]]' o' t' [[Norfuk Ailen]] esa simbol o' t' ailen.,T tal o t Norfuk Ailen esa simbol o t ailen,8_20
[[It]] wos edaptedi an 1980.,It wos edaptedi an,8_59
Feminism [[esa]] politikal muuwment tat calls f' total ekwalitii o' women in sosietii.,Feminism esa politikal muuwment tat calls f total ekwalitii o women in sosietii,8_20
A' wata molekuul contains wun oksijen an tu [[hiidrojen]] [[etem]]s konnektiid b' covalent bonds.,A wata molekuul contains wun oksijen an tu hiidrojen etems konnektiid b covalent bonds,8_59
Protestantism es a' sekt of [[Kreschenitii]].,Protestantism es a sekt of Kreschenitii,8_26
"Hirawanu Tapu (1824 — 1900) wos a' notibl liida o' Moriori nayshunalitii (i' [[Nyuu Ziilan]]), t' las spiika o' t' Moriori laenghwiji.",Hirawanu Tapu wos a notibl liida o Moriori nayshunalitii t las spiika o t Moriori laenghwiji,8_26
"Hii wos t' major suurs f' Aleksandar Shand's werks 'bout Moriori [[histrei]], [[laenghwij]], kulchur andem.",Hii wos t major suurs f Aleksandar Shands werks bout Moriori histrei laenghwij kulchur andem,8_26
Dems many [[riveh]] o' ailen.,Dems many riveh o ailen,8_59
" esa kuntrii i' sowth-eist [[Asya]], neya [[Kamboedya]], [[Wiyetnaam]] an [[Tailan]].",esa kuntrii i sowtheist Asya neya Kamboedya Wiyetnaam an Tailan,8_20
T' President o' [[Yunitid Staits o' Merika]] is elektud evuhry for iyas to determane t' rulaa o' t' kuntrii.,T President o Yunitid_Staits_o_Merika is elektud evuhry for iyas to determane t rulaa o t kuntrii,8_30
T' 2016 Merikan presidential election was an electoral contest t' elect t' [[President o' Yunitid Staits o' Merika]].,T Merikan presidential election was an electoral contest t elect t President_o_Yunitid_Staits_o_Merika,8_30
"Ostrielyan fuutball ([[Inglish]]: ""Australian football"" or ""Aussie rules footy""), shortn'd as AFL, es an [[Ostrielya]]n [[sportii]].",Ostrielyan fuutball shortnd as AFL es an Ostrielyan sportii,8_4
"I' es meinly play'd en [[Wiktoreya]], [[Westen Ostrielya]], [[Tasmainya]], [[Sowth Ostrielya]] an t' [[Northan Teritrii]].",I es meinly playd en Wiktoreya Westen Ostrielya Tasmainya Sowth Ostrielya an t Northan Teritrii,8_4
"Biif ([[Inglish]]: ""beef"") es t' miit from [[kau]]s. I' es wan o' t' most iiten miits on [[Erth]].",Biif es t miit from kaus I es wan o t most iiten miits on Erth,8_26
  Julien Doré (7 [[Juulai]] 1982) esa singer.,Julien Doré esa singer,8_20
Lena Belkina (27 [[Nowemba]] 1987) esa singer.,Lena Belkina esa singer,8_20
A bilding i' dem tings like a [[haus]] or [[brij]] made by salan.,A bilding i dem tings like a haus or brij made by salan,8_59
"Toples esa stait o' biin f' a' woman daa haufs nor top ([[shirt]] an [[bra]]) i' pablik (ulla at liist haufin hir briists, nippls an' areola eksposud).",Toples esa stait o biin f a woman daa haufs nor top i pablik,8_20
"A' t' Wiktoriyan Era, women's modustii wos konsaaider'd musa importaan b' Urupin sosietii, espeshali i' t' [[Yunitid Kingdum]].",A t Wiktoriyan Era womens modustii wos konsaaiderd musa importaan b Urupin sosietii espeshali i t Yunitid_Kingdum,8_21
Otha eksampels o' sosietiis daa aksept toples ar mani iindiijunuus piopel around t' [[Erth]].,Otha eksampels o sosietiis daa aksept toples ar mani iindiijunuus piopel around t Erth,8_26
"B'for dem [[Urup]]ean liiwd defe, t' siit o' Melban a' t' Yarra Riveh s' enhabit a' dem Wurundjeri Aborijinal salan.",Bfor dem Urupean liiwd defe t siit o Melban a t Yarra Riveh s enhabit a dem Wurundjeri Aborijinal salan,8_22
It es liik Slowenyan an [[Rushan]].,It es liik Slowenyan an Rushan,8_59
"Montehermoso ([[Spanish]]: ""Montehermoso"") esa toen i' Spain, en t' prowins o' Cáceres, i' Extremadura.",Montehermoso esa toen i Spain en t prowins o Cáceres i Extremadura,8_13
"Billii Aelish Paaerat Baiird O'Konl ([[Inglish]]: ""Billie Eilish Pirate Baird O'Connell"") (Desemba 18, 2001, Haeland Park) esa wun Merikan singaa an model.",Billii Aelish Paaerat Baiird OKonl esa wun Merikan singaa an model,8_66
Major league soccer Esa men's football league located I T Yunaitid Stiets An [[Kaneda]].,Major league soccer Esa mens football league located I T Yunaitid Stiets An Kaneda,8_59
"Echar ([[Slowarkyan]]: ""Ečer""; Hungriian: ""Ecser"") esa willaj i' [[Hungrii]].",Echar esa willaj i Hungrii,8_20
T' siisen a' kam aafta [[spring]] an afor [[ortam]].,T siisen a kam aafta spring an afor ortam,8_59
"En ar sauthen hemisfiya 's miek ap a' [[Disemba]], [[Jaenyuweri]] an [[Febyuweri]].",En ar sauthen hemisfiya s miek ap a Disemba Jaenyuweri an Febyuweri,8_32
"Vicente Costalago (Chabi) esa Spanish writer in [[Lingua Franca]] Nova, Interlingua and Interlingue.",Vicente Costalago esa Spanish writer in Lingua_Franca Nova Interlingua and Interlingue,8_20
Budism staat esa i' [[Endya]].,Budism staat esa i Endya,8_20
Pukapukan es konsidir'd b' skolars an' talas tuu t' b' a distinkt laenghwij moor rilii riilated t' Sāmoan and Tokelauan t' [[Dem Kuuk Ailen]] Maaori.,Pukapukan es konsidird b skolars an talas tuu t b a distinkt laenghwij moor rilii riilated t Sāmoan and Tokelauan t Dem_Kuuk_Ailen Maaori,8_7
Es meinii tal'n i' [[Leten Merika]] an [[Spain]].,Es meinii taln i Leten_Merika an Spain,8_59
